logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000172667.10	0.267387461147419	4.6443029937505	8.95152094797352	1.44674151579376e-18	3.46653734599342e-14	31.4279932263482
ENSG00000163564.14	0.511414358358202	1.58417785075085	8.47629670078543	7.32795129279719e-17	8.77925204633567e-13	27.3122695108101
ENSG00000112319.17	0.452928312272477	0.833333244457069	8.10391895622882	1.39690330753444e-15	1.11570667172776e-11	24.3323529965355
ENSG00000131080.14	0.503587170634451	2.1246993173843	7.77556683363836	1.70963101099266e-14	7.39396402288903e-11	22.2129770387053
ENSG00000181234.9	-0.536424652010004	5.5514178354112	-7.74431047069081	2.16008297484342e-14	7.39396402288903e-11	22.067423900262
ENSG00000139197.10	-0.263033990809808	5.98595917678023	-7.68908520276489	3.25741820845861e-14	9.7563747116096e-11	21.6640029855848
ENSG00000147889.17	0.493355039893893	-0.106261629618221	7.75711145701647	1.96269342160417e-14	7.39396402288903e-11	21.5836225898578
ENSG00000178821.12	-0.541392853662391	-0.312694998925026	-7.75277029702042	2.02741886361559e-14	7.39396402288903e-11	21.378174762528
ENSG00000151746.13	0.249256860220161	3.74398359987441	7.59631932095069	6.45950989900228e-14	1.54776316689994e-10	21.028112408174
ENSG00000244694.7	0.584645762656935	-0.474986821873759	7.67282179310537	3.67473628492093e-14	9.78337290255448e-11	20.8763451529045
ENSG00000154856.12	-0.568010628893063	6.01448853822419	-7.47586454322967	1.55475619077854e-13	3.38668300793133e-10	20.1455770640441
ENSG00000129473.9	-0.140651423253334	6.40167354626007	-7.41817980915941	2.35693933011855e-13	4.70621860741422e-10	19.7404741546196
ENSG00000186350.9	-0.275627276109606	7.24737376922028	-7.36982265568757	3.33380478645544e-13	5.70580689201848e-10	19.4080915484052
ENSG00000160685.13	-0.27532604357478	5.89963420055971	-7.34559924830172	3.96340959493177e-13	6.331150486944e-10	19.2365230816119
ENSG00000189134.3	-0.331523077492675	0.653755188313014	-7.38140306469972	3.068705466416e-13	5.65609628313798e-10	19.1865923424528
ENSG00000178163.7	-0.197822020457586	3.99106768570533	-7.31059849866499	5.08395670678497e-13	7.02231810590367e-10	19.0330428213589
ENSG00000083720.12	-0.317450792491896	5.39369042882879	-7.30079401468008	5.45083963132977e-13	7.02231810590367e-10	18.9329409956078
ENSG00000154655.15	0.210862009335864	2.74693278463155	7.29776955770769	5.56838379083384e-13	7.02231810590367e-10	18.9306200044615
ENSG00000092445.11	-0.491310741486498	5.11859321788368	-7.2661229568493	6.96697483695345e-13	8.34678420341208e-10	18.7016520120325
ENSG00000274964.1	0.376096555628578	-0.316696325461938	7.30560439069605	5.26740154198898e-13	7.02231810590367e-10	18.4659268431266
ENSG00000173588.14	0.195967588229259	3.55802120828103	7.21789955897246	9.78253041943873e-13	1.11618672085796e-09	18.4057384480463
ENSG00000197608.11	0.209096764823203	4.33481799750352	7.15377802931802	1.53184053024922e-12	1.64329173958801e-09	17.9553053652756
ENSG00000203761.5	0.240334444783907	1.68245521521628	7.14957138964877	1.57738450025141e-12	1.64329173958801e-09	17.8482343345767
ENSG00000181856.14	-0.466524603875706	4.74213707720817	-7.12958710483985	1.8128367154785e-12	1.80989085581585e-09	17.785306648134
ENSG00000182890.4	-0.28960117144553	0.984880662361932	-7.05887227344783	2.95585376229407e-12	2.83300847993312e-09	17.137562058956
ENSG00000158292.6	-0.359055862427058	5.08823750650473	-6.994874911514	4.58513292160676e-12	4.05279224582491e-09	16.8754351557591
ENSG00000260804.3	-0.288520487005001	2.44954556428467	-6.99011555276408	4.7359535446391e-12	4.05279224582491e-09	16.8612123653829
ENSG00000105429.12	-0.208141333382074	5.91674841879678	-6.99107092161391	4.70516502072128e-12	4.05279224582491e-09	16.8360731436676
ENSG00000105607.12	-0.303655074124617	4.2006829300393	-6.93612119104871	6.83855793080735e-12	5.46195621933583e-09	16.5182497080913
ENSG00000245970.2	0.245162309197457	1.69014615123668	6.94277649410477	6.5363758692243e-12	5.40062421387874e-09	16.5035636402391
ENSG00000132846.5	-0.374389606497017	4.77195092150019	-6.93057538695526	7.10106817646771e-12	5.4886675669788e-09	16.4620118773534
ENSG00000134463.14	-0.579374582474832	5.4654778400521	-6.90669228254613	8.34628149937394e-12	6.24953909395309e-09	16.2886804035925
ENSG00000198736.11	-0.315623189075567	4.1231497899485	-6.88325139012974	9.77525342676254e-12	6.7600129123586e-09	16.1762708025333
ENSG00000130707.17	-0.326317587761918	7.52183119958691	-6.88175587616657	9.87439806070494e-12	6.7600129123586e-09	16.1252124176953
ENSG00000185818.7	-0.752391705997099	5.27372356064806	-6.8705297305811	1.06496227813226e-11	7.08821142953528e-09	16.0591760145964
ENSG00000164976.8	-0.38577139380718	4.09000024676757	-6.856473693463	1.17042000752115e-11	7.57957670276065e-09	16.0044464452909
ENSG00000130513.6	0.759637129645257	3.24297395708535	6.84164581546322	1.29276899727701e-11	7.94257383173192e-09	15.9238900263544
ENSG00000189077.10	-0.276575385767575	5.76903262653627	-6.84325104313991	1.27886027859173e-11	7.94257383173192e-09	15.8688108731591
ENSG00000112964.13	-0.40825258213416	6.83996743885436	-6.79961788126836	1.71182801433678e-11	1.02542777628809e-08	15.5862567559419
ENSG00000234546.3	0.372427322955296	-1.47617691768267	6.89992516412832	8.73535198720781e-12	6.3426596656208e-09	15.481994181943
ENSG00000197989.13	0.253817224987748	3.77133536607914	6.76925381650368	2.09456638447026e-11	1.22409524727541e-08	15.4491531513338
ENSG00000119711.12	-0.32735721787829	5.32069444211306	-6.73607385831812	2.60956673322618e-11	1.48875782130554e-08	15.1862934177171
ENSG00000169738.7	-0.383790770681549	5.69806570756885	-6.7204651014266	2.89277529437579e-11	1.61194857740787e-08	15.0800396372298
ENSG00000167291.15	-0.304567734860613	6.89911151580388	-6.70118992208661	3.28418925380871e-11	1.78846497069342e-08	14.9561587224426
ENSG00000006756.15	-0.219375044806204	4.58090127560841	-6.6893677258966	3.54928044949414e-11	1.84878932283324e-08	14.9129737985175
ENSG00000122756.14	-0.413455576054213	5.82740019047117	-6.68972763097934	3.54130618434198e-11	1.84878932283324e-08	14.8827624897596
ENSG00000186868.15	-0.411283414436717	3.86048663994215	-6.63818744768019	4.96214704229689e-11	2.3790760937517e-08	14.6218985602245
ENSG00000151726.13	-0.547460259413724	9.20203084740369	-6.63811551697721	4.96447580182734e-11	2.3790760937517e-08	14.5859856001887
ENSG00000109738.10	-0.42199969861959	1.48527744071654	-6.64137706898478	4.85941094277673e-11	2.3790760937517e-08	14.5734264516743
ENSG00000198624.12	-0.322490093659197	7.5895326364402	-6.63860800154125	4.94842934009126e-11	2.3790760937517e-08	14.5665165670208
ENSG00000186453.12	-0.370463313963737	0.866360936071605	-6.63300632755365	5.13208526784239e-11	2.41117441377983e-08	14.447656205056
ENSG00000172057.9	-0.361062427005648	6.51234000926985	-6.60797410980527	6.04070802597584e-11	2.78348855789244e-08	14.3642815996458
ENSG00000100714.15	-0.307160117822518	5.87861995743208	-6.60356443632521	6.21621413630556e-11	2.81031522490599e-08	14.3376747807675
ENSG00000132541.10	-0.381325357420681	3.7666192189812	-6.55528393235088	8.49627050029716e-11	3.70143886286582e-08	14.1080959750169
ENSG00000078070.12	-0.310642591120555	5.08663437960907	-6.53648515335938	9.59021187520267e-11	4.0986991980104e-08	13.9346792603145
ENSG00000129250.11	-0.233449302477073	7.73209546916502	-6.53389633470248	9.75025475925849e-11	4.0986991980104e-08	13.9130311158466
ENSG00000181092.9	-0.715420644283818	8.64753625585674	-6.52796308310529	1.01304650274592e-10	4.18510469867155e-08	13.8880062854277
ENSG00000173599.13	-0.519871528915403	6.39384602457484	-6.52070288595777	1.06141358829817e-10	4.31059847274789e-08	13.8191962381307
ENSG00000162413.16	-0.245185658193431	6.26972734631233	-6.51805853075052	1.0794953291628e-10	4.31096459701164e-08	13.802296473414
ENSG00000186951.16	-0.240359843285925	4.91085361294686	-6.50117086503663	1.20291146982678e-10	4.64886479492248e-08	13.7211552022553
ENSG00000176974.19	-0.377505126499495	5.45901471581932	-6.50346079702459	1.18551919486358e-10	4.64886479492248e-08	13.7201341652519
ENSG00000181192.11	-0.202353734110615	4.53040581721331	-6.48499958010574	1.33401090783317e-10	5.06293719583097e-08	13.636988964431
ENSG00000180155.19	-0.301021328330526	4.50240143714406	-6.47630492702003	1.41026932057801e-10	5.19868664467226e-08	13.5860122578667
ENSG00000182782.7	-0.583995661862288	2.83648372472278	-6.46185239133268	1.54645155394902e-10	5.45278776068258e-08	13.550287838237
ENSG00000267041.5	0.186725519641163	1.94518793068212	6.45944084032833	1.57022810186177e-10	5.45278776068258e-08	13.514011095806
ENSG00000075234.16	-0.25119516077246	5.38551425321545	-6.46405524316418	1.5248121312683e-10	5.45278776068258e-08	13.47777476504
ENSG00000102181.20	-0.191387314886164	6.4600886972431	-6.4603239244717	1.56142285311164e-10	5.45278776068258e-08	13.4459776910702
ENSG00000188848.15	0.651790347168043	-1.85144336685922	6.57477044252096	7.49060334552229e-11	3.32374716226036e-08	13.4414143193758
ENSG00000018625.14	-0.488281599572557	6.61229653989585	-6.45293564017831	1.63676909863155e-10	5.6026606246158e-08	13.4011306822816
