logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000057657.15	0.636817302479256	1.62027694621492	6.00942822505111	6.92932370940728e-09	0.000146749217517827	9.88657480873331
ENSG00000170231.15	0.628466541605541	2.15721345166366	5.6030391880116	5.7988794946311e-08	0.000614043349686487	7.96490585320167
ENSG00000267121.5	0.487540705337104	0.555258713066039	5.18971016345587	4.5089880988992e-07	0.0024439910336096	5.95446200396397
ENSG00000066654.13	-0.204586250129675	5.52587123449293	-5.18484144359619	4.61609412335367e-07	0.0024439910336096	5.9527309976768
ENSG00000111816.7	-0.55651091822182	2.84465698783755	-5.05457259820153	8.59981796055208e-07	0.0030354490794762	5.46891251573476
ENSG00000074527.11	-0.486804233340134	5.14292906744548	-5.00090410247015	1.107783049962e-06	0.00335151849029933	5.13555855276056
ENSG00000268204.1	-0.820798654756236	-1.9575772622967	-5.11823541978086	6.3539939239067e-07	0.00269129766640992	4.89368165979002
ENSG00000100439.10	-0.404194999868698	5.95600180194431	-4.93711082948717	1.49218447348678e-06	0.00395018534743788	4.83610675235991
ENSG00000116852.14	0.398041703655528	2.11831449805193	4.85262946807074	2.20368706521912e-06	0.00406913443534644	4.59889127034794
ENSG00000215193.12	-0.137773331416286	5.56077713227551	-4.86753300497595	2.05784703640674e-06	0.00406913443534644	4.53378281359861
ENSG00000100109.16	-0.269984617794444	4.34822242139011	-4.831856413058	2.42372890293245e-06	0.00406913443534644	4.43118355772496
ENSG00000128342.4	0.82784354911379	2.54084593542397	4.81117371580599	2.66479196457923e-06	0.00406913443534644	4.41820039647727
ENSG00000164296.6	-0.228288583589342	2.84662851772133	-4.81083986474431	2.6678854873666e-06	0.00406913443534644	4.41755420540417
ENSG00000122574.10	-0.383061559033892	3.68213112605134	-4.79273829679222	2.89707301917471e-06	0.00409028082667213	4.30740444493478
ENSG00000178035.11	0.253879119194294	6.59793549147609	4.80903265956994	2.68995571323308e-06	0.00406913443534644	4.28438781992518
ENSG00000110848.8	0.759402691181556	0.103526635097293	4.72171471050931	3.99451439465704e-06	0.00511828398718658	3.97002905640362
ENSG00000197329.11	0.389400979742913	3.83259341230506	4.71542380643708	4.10854791680857e-06	0.00511828398718658	3.95554969167417
ENSG00000075213.10	0.734246028123859	-0.131370808471354	4.67925187983099	4.83097974358378e-06	0.0055418202074525	3.77848548516176
ENSG00000140553.17	-0.146793064732867	6.14670501985084	-4.65906998563961	5.28574977536792e-06	0.0055418202074525	3.63919219434715
ENSG00000197128.11	-0.322596987919956	3.22085151834529	-4.62110995001542	6.25531042797382e-06	0.0055418202074525	3.61443741385776
ENSG00000138100.13	-0.767683862954049	3.25523399289144	-4.61363558391924	6.46743788671343e-06	0.0055418202074525	3.58915756315252
ENSG00000105711.11	0.355314968928763	3.99876209346102	4.62021975983936	6.27998575541513e-06	0.0055418202074525	3.5467059851769
ENSG00000232040.2	-0.398890476778021	0.879531873209904	-4.60579818140928	6.69303961844021e-06	0.0055418202074525	3.54423366807995
ENSG00000152939.14	-0.489780434586575	-0.623426471052813	-4.64110418767502	5.72506008751047e-06	0.0055418202074525	3.50487055861432
ENSG00000083817.8	-0.301037794155318	1.8907570273404	-4.58405862952305	7.36549455115814e-06	0.00557094441444383	3.49165364169944
ENSG00000213578.5	0.956843654074586	3.01547298172111	4.57600812826276	7.6329484781984e-06	0.00557415803004434	3.42026181447777
ENSG00000128294.15	-0.384636677187267	5.5841730730871	-4.59358145137505	7.0653104920775e-06	0.0055418202074525	3.37005876524428
ENSG00000197903.7	-0.402845703113953	2.34775792964166	-4.55023791490577	8.54257857270142e-06	0.00603049096708902	3.35532823151338
ENSG00000101343.14	-0.192165840814078	4.28778324886386	-4.52300475349378	9.61990519870908e-06	0.006571946848331	3.13811337306629
ENSG00000168038.10	-0.398100386644752	2.17747477336881	-4.49430643755735	1.08961248890343e-05	0.00677161669652494	3.13482103715854
ENSG00000090104.11	1.02880173362234	3.82753772828249	4.50565266657632	1.03761898510108e-05	0.00677161669652494	3.07923803780415
ENSG00000231889.7	0.202106205056899	1.57558250130926	4.47486550071864	1.18514685742298e-05	0.00678352436391994	3.05856451725956
ENSG00000270964.1	-0.370944155984449	0.242234880764258	-4.48133654994392	1.15248765000744e-05	0.00677982873662711	3.01931617329627
ENSG00000136205.16	-0.288881204972829	7.22694524212467	-4.49979458729073	1.06401140779542e-05	0.00677161669652494	2.99688898136451
ENSG00000185904.11	0.91615386813959	-2.6229402989545	4.6009484361181	6.83772838500585e-06	0.0055418202074525	2.96502619153622
ENSG00000157600.11	-0.224092034305437	5.18781653618062	-4.48813312936554	1.11911693445261e-05	0.00677161669652494	2.94587401150356
ENSG00000150455.13	-0.230985693690929	2.0385064118922	-4.42945299651717	1.44066122211552e-05	0.00782315983640063	2.88103075406828
ENSG00000133878.8	-0.558327670286342	4.65197588408659	-4.41513461979715	1.53205251145444e-05	0.00786287871679025	2.68684070017913
ENSG00000164099.3	0.784502448122594	-1.12796406829571	4.42310999937812	1.48030832807352e-05	0.00783749244298525	2.6720919294254
ENSG00000076944.15	-0.288295921533571	4.8032618305838	-4.41093542810919	1.55935832517325e-05	0.00786287871679025	2.65379121894251
ENSG00000183671.12	-0.865119848676174	1.22887827204382	-4.3699968207784	1.85644043316635e-05	0.00873682122079934	2.64184600352853
ENSG00000117597.17	-0.246879712871085	4.09411744312883	-4.38009237388878	1.7781612962661e-05	0.00855861362098262	2.57967833344882
ENSG00000143344.15	-0.304438858062895	5.56492419461811	-4.39655673852891	1.65793928523357e-05	0.00816554376341317	2.56679244645921
ENSG00000196787.3	-0.665815298898283	-1.49415550131705	-4.4340894920781	1.41232745287903e-05	0.00782315983640063	2.54231076813545
ENSG00000140506.16	0.75605045095623	1.89345701206315	4.29286649404407	2.5685020453608e-05	0.0100732845030835	2.35210977587114
ENSG00000133424.20	-0.233620419846913	4.87385352279588	-4.32819627577139	2.21425288399151e-05	0.00975115734475768	2.31966488350225
ENSG00000075539.13	-0.212836668564203	5.36716315708933	-4.3280739955123	2.21539226887782e-05	0.00975115734475768	2.29839452329072
ENSG00000166135.13	-0.151823064240635	5.90545056370057	-4.32823627599379	2.21388029114396e-05	0.00975115734475768	2.29028468478866
ENSG00000059804.15	0.820584952943989	4.78867367606133	4.31427283309957	2.34823413250846e-05	0.00975115734475768	2.25711057438861
ENSG00000224945.1	0.43360447285088	4.21556162461749	4.30165988615664	2.47572619103488e-05	0.00991497408912974	2.24536155789166
ENSG00000163820.14	-0.306315200266555	5.71162763019373	-4.31460822060978	2.34441383162855e-05	0.00975115734475768	2.23894833835837
ENSG00000072818.11	0.3306933066206	1.83997190601045	4.23981942010761	3.20206775992936e-05	0.0110364346764117	2.15576156186607
ENSG00000126091.19	0.221265002864633	4.41006084011033	4.27736242593947	2.73959397934063e-05	0.0105489311444502	2.14019292391148
ENSG00000178075.19	-0.669189208824627	1.95578729203724	-4.23009553560553	3.33426675059769e-05	0.0110922046796284	2.12240284611748
ENSG00000167680.15	0.349861935626237	5.5248733758232	4.27287297727702	2.79190268514372e-05	0.0105583776903524	2.074921186093
ENSG00000234997.1	-0.868284130747172	-1.48419078999965	-4.30106331654852	2.4813184754173e-05	0.00991497408912974	2.06398706617071
ENSG00000161996.18	0.288045347356389	5.49741097509729	4.26070804127558	2.93626291599966e-05	0.0106533670883232	2.02789511202325
ENSG00000225889.7	0.482413258939981	1.48386349353741	4.2037478407877	3.71608293687249e-05	0.0113777923685422	2.02574065796959
ENSG00000159348.12	-0.284197106246629	6.02164794124375	-4.25812646266762	2.96793209090127e-05	0.0106533670883232	2.01557404942934
ENSG00000053770.11	-0.206928923651632	5.01884351325216	-4.24129731817316	3.18252951016914e-05	0.0110364346764117	1.9721941851541
ENSG00000280222.1	0.802493902949175	-2.76057138592365	4.3234765960674	2.2586397562094e-05	0.00975115734475768	1.97108874141955
ENSG00000136011.14	0.735343293975316	-1.07031476282075	4.22130067488107	3.45682079920425e-05	0.0110922046796284	1.9611376535762
ENSG00000277562.1	1.04910785070071	-5.7911835306041	4.6465232874566	5.5889733910009e-06	0.0055418202074525	1.94572179186155
ENSG00000123200.16	-0.189312398596607	5.65611237445134	-4.23764749603532	3.23098946990992e-05	0.0110364346764117	1.93816075134235
ENSG00000095203.14	-0.348851276319715	4.73363397028872	-4.2008833994948	3.76072086976087e-05	0.0113777923685422	1.83546574132397
ENSG00000109321.10	0.996586589991202	-0.0101432081801063	4.15707424566703	4.49989244145654e-05	0.012255513333883	1.83327893076328
ENSG00000177363.4	-0.518273936607685	3.31951664274275	-4.16886747918606	4.28837427623971e-05	0.0121092253896273	1.83231881835551
