logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000151575.14	0.515996571062511	0.754413833309122	11.4682221120395	5.40059215603151e-29	1.25585369996357e-24	54.4592431930838
ENSG00000205129.8	0.607306812418018	-0.690539558229655	10.6444524315348	2.27947587332968e-25	2.65034659792042e-21	45.894413419296
ENSG00000185633.10	0.759936490197716	7.05036492257912	10.27026432621	8.55973494500943e-24	6.63493588037497e-20	43.186645016242
ENSG00000237512.6	0.767286011193829	-1.22555389581178	10.0354728957992	7.87189710982657e-23	4.57632738479768e-19	40.1208940469918
ENSG00000146350.13	0.301604550199244	1.73867020047246	9.81732185400434	5.95945797604161e-22	2.30968726291453e-18	38.9491092203312
ENSG00000115339.13	0.564514380389048	0.83464239243186	9.83134673741189	5.23807847505229e-22	2.30968726291453e-18	38.9407082673851
ENSG00000170615.14	0.542966426799036	-1.92395847936909	9.74841583919049	1.12083577108441e-21	3.7234164315424e-18	37.2492697993675
ENSG00000228223.2	-0.293913232264983	3.15434005673472	-9.58043501123194	5.14682164394557e-21	1.49605238135388e-17	36.934799622224
ENSG00000185008.17	0.880566447027979	1.80694360458462	9.45678675629671	1.55941282089136e-20	4.02917619300084e-17	35.8009374425457
ENSG00000171951.4	0.856157082186767	2.63699638749611	9.39291783528972	2.75041788900578e-20	6.39582175909404e-17	35.2933670256846
ENSG00000117713.18	-0.171260367530546	6.60315521190048	-9.33635867329719	4.53057020148335e-20	9.53879603484188e-17	34.745470867001
ENSG00000143799.12	-0.176530186420649	5.83488074670493	-9.31047813657218	5.68993522622305e-20	1.01779810577378e-16	34.5192160910132
ENSG00000244694.7	0.523431546020169	0.343300807685612	9.32694392005495	4.92240270138912e-20	9.53879603484188e-17	34.4670702043497
ENSG00000188636.3	-0.243511007165599	5.0173793369669	-9.27062736859758	8.07276732142151e-20	1.34088665208811e-16	34.1898220801726
ENSG00000126215.13	0.298266799047669	4.32624529957059	9.19586366973606	1.55073962586762e-19	2.25380620374535e-16	33.5678627013491
ENSG00000035664.11	0.507727041465519	2.82147865342279	9.16430506421518	2.04050967991373e-19	2.72596849926672e-16	33.3383636125139
ENSG00000116128.10	-0.243329621031689	4.84140293928542	-9.16041224217373	2.11006420344031e-19	2.72596849926672e-16	33.2518978379649
ENSG00000124641.15	-0.187210268519861	3.26050953737117	-9.13508627523745	2.62773000314051e-19	2.98284032702228e-16	33.0908109557345
ENSG00000100014.19	-0.216213590759135	6.38551188235931	-9.13221970893756	2.69371492506527e-19	2.98284032702228e-16	32.9920639076758
ENSG00000136485.14	-0.15430059502005	5.87130215409136	-9.10687847530122	3.35308270709974e-19	3.39011240308249e-16	32.7762283105074
ENSG00000106536.19	0.855788240692009	-0.635589292167999	9.13778141680981	2.56759077907769e-19	2.98284032702228e-16	32.6706537525296
ENSG00000124813.20	0.453624551290666	2.3703672824432	9.07446148170594	4.43364436478448e-19	4.29583191911243e-16	32.572029798464
ENSG00000132825.6	-0.22832997475673	2.90523167597854	-9.02565538734485	6.74088176340552e-19	6.27009858104928e-16	32.1712648083036
ENSG00000273544.1	0.436239329255295	-1.45011741574829	9.10873137203203	3.29988580157111e-19	3.39011240308249e-16	32.1199647986988
ENSG00000196767.6	1.00709442485982	-4.48006055082347	9.20264829502932	1.46180950941006e-19	2.25380620374535e-16	31.7264206271037
ENSG00000188536.12	1.31139534095448	3.66658691306735	8.93913771689033	1.41079837028074e-18	1.26179635778879e-15	31.4253045930304
ENSG00000143319.16	-0.161932976851329	4.56256140342719	-8.9018106038873	1.93494397807115e-18	1.66648841726172e-15	31.0873912666349
ENSG00000172534.13	-0.152858609066758	6.25825759238735	-8.8931394259173	2.08223658825906e-18	1.72929748654915e-15	30.983009094064
ENSG00000145391.13	-0.188524068942019	7.20810426534488	-8.86442423049173	2.65370465538467e-18	2.12790510539018e-15	30.7566153560255
ENSG00000165671.19	-0.155753813550133	5.94077913194183	-8.8386313589527	3.29767610433551e-18	2.55613867100727e-15	30.5312753949523
ENSG00000226674.8	0.508643189764437	1.17840197056607	8.82482720489455	3.70347664209975e-18	2.77808534952863e-15	30.4302648871252
ENSG00000213085.9	0.562263401151616	0.740687012423782	8.81538686308153	4.00902956812568e-18	2.91331167428733e-15	30.3035635634196
ENSG00000188786.9	-0.208354100546271	4.09178945486029	-8.7808529177455	5.35449043566337e-18	3.77313092699746e-15	30.1131809514251
ENSG00000244734.3	1.31268415614953	5.73285453309743	8.77369019758053	5.68814216145967e-18	3.89035464184068e-15	30.0012734152705
ENSG00000159147.17	0.25699146557927	3.74566738035106	8.75481602946493	6.65570621662349e-18	4.2992164544823e-15	29.9105562402611
ENSG00000183346.6	0.68810690237164	-0.698487626981787	8.76853353008708	5.93539430005654e-18	3.94347597295756e-15	29.6563939426874
ENSG00000271959.1	0.671123668934248	2.47850766368081	8.68862876639406	1.15478911148341e-17	7.2576935130906e-15	29.4012584131689
ENSG00000173218.14	-0.260698000380573	3.90295231484571	-8.62448607510584	1.96100643588382e-17	1.20003272789585e-14	28.8528734641004
ENSG00000178163.7	-0.284671562142956	3.42890627211451	-8.60967294670264	2.21530850181866e-17	1.3208918949049e-14	28.755163104162
ENSG00000196652.11	-0.134682534688879	3.5511187470393	-8.51992496794456	4.61950578477668e-17	2.53732126782167e-14	28.0304627808725
ENSG00000166847.9	-0.160542905262357	5.68254709226529	-8.5303849760179	4.2417600194867e-17	2.46594718732859e-14	28.0267445978855
ENSG00000182379.9	0.778795146233595	0.199622721670101	8.51574903644953	4.78086253312718e-17	2.53732126782167e-14	27.8527112498501
ENSG00000206172.8	1.32205145005203	-0.23821946734519	8.52131093329668	4.56984819224187e-17	2.53732126782167e-14	27.8426989500245
ENSG00000086758.15	-0.174933878831034	7.8887235828859	-8.50062485939687	5.40572203332968e-17	2.79343689251219e-14	27.8149077181546
ENSG00000105953.14	-0.202302324264231	6.95718589098992	-8.49180309762166	5.80776359831581e-17	2.93595075467904e-14	27.7252618635252
ENSG00000169016.16	-0.233792534831187	2.91923591422144	-8.46502263944056	7.21799559713558e-17	3.57121850246363e-14	27.6158131286058
