logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000237892.1	0.860104603716703	-1.21980489213538	6.34861381599105	5.63779969726887e-10	1.34106341398935e-05	11.7532528220544
ENSG00000271553.1	-0.57145977145078	0.275758387759064	-6.19538512340394	1.38675294505385e-09	1.64933461519979e-05	11.2405187866573
ENSG00000156030.13	0.253088769257069	6.60702398954154	6.02781705615273	3.63784887869586e-09	2.88445037591795e-05	10.4740083789331
ENSG00000150991.14	0.429897159427055	9.37103084621479	5.95583069575658	5.46994645140295e-09	3.25284040598805e-05	10.1382492432896
ENSG00000260804.3	-0.408601657224704	2.7113855900178	-5.86803648412578	8.94802083421605e-09	3.43474118612562e-05	9.72233401770999
ENSG00000124217.4	-0.265142771994885	2.42106465493995	-5.8055291934249	1.26579336423051e-08	3.43474118612562e-05	9.39380331090959
ENSG00000173846.12	0.359514072591071	4.88204983249281	5.81899694521288	1.17494066185902e-08	3.43474118612562e-05	9.36045339875122
ENSG00000128016.5	0.749666300055256	9.34350314484361	5.80084202568193	1.29956155358518e-08	3.43474118612562e-05	9.31139898598954
ENSG00000163564.14	0.586334325506105	0.737029634096391	5.76923508499634	1.54609238286383e-08	3.67768995111819e-05	9.13354477245931
ENSG00000276517.1	0.504858634241534	1.64222372425054	5.73965948531472	1.81846121454582e-08	3.93233971912739e-05	9.04007829443805
ENSG00000188536.12	1.12648856400023	4.02584326592281	5.70485863865995	2.20003503013809e-08	4.36101943849122e-05	8.79895030330107
ENSG00000059804.15	0.920982735356622	7.25662504259247	5.67142334449486	2.63847723671406e-08	4.36315599236167e-05	8.58638285625241
ENSG00000277986.1	0.595096769807465	-0.702742773256601	5.6702280009008	2.65456254995775e-08	4.36315599236167e-05	8.43634119538969
ENSG00000270640.1	0.944836653479966	-0.688815246209074	5.66361864816115	2.75139109116009e-08	4.36315599236167e-05	8.42307337709253
ENSG00000274598.1	1.17477945131063	-3.93156133067106	5.84316317672383	1.02759811309562e-08	3.43474118612562e-05	8.40425559706035
ENSG00000133874.1	0.712687664010946	4.2113220858818	5.61372572915707	3.60304944634237e-08	5.35660857375912e-05	8.3180599607505
ENSG00000213085.9	0.504918100504941	0.928163664058568	5.57206435712834	4.50318945073434e-08	6.11724943490135e-05	8.16049258415341
ENSG00000104689.9	0.287822094833946	3.37743579892479	5.5471561505321	5.14335513927889e-08	6.11724943490135e-05	8.03766998957763
ENSG00000087074.7	0.481170349194691	7.2685498630024	5.55495708812283	4.93524864013348e-08	6.11724943490135e-05	7.98301853071884
ENSG00000230701.2	0.589279899546692	0.834935600393113	5.49844906247641	6.66076581090465e-08	7.2018016519995e-05	7.79363488606795
