logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	1.34688109936395	-1.25915036483432	11.8701030786699	9.74129939369679e-30	2.24088851252601e-25	55.4836933882721
ENSG00000112319.17	1.02945405613392	-0.175966301669273	10.8015735863487	2.92287136856654e-25	3.36188664812523e-21	46.0247875384473
ENSG00000147889.17	0.698437167869482	0.0957618418158206	10.7342943568384	5.4701869180194e-25	4.19453932873727e-21	45.4713994216878
ENSG00000161381.13	0.703790826915677	4.38252022126883	10.2299959630157	5.49712903615236e-23	3.16139890869122e-19	41.4019160413622
ENSG00000131080.14	0.614058073975719	2.01446985692973	10.1739633383336	9.07691902704969e-23	4.17610890596502e-19	40.8379091280148
ENSG00000198804.2	-1.17382849763258	13.8958085681318	-10.1478909606448	1.14641199978197e-22	4.39534360716405e-19	40.6908925844194
ENSG00000160097.16	1.06659161312378	1.0944872144357	10.0940273256004	1.85283803646969e-22	6.08895517013553e-19	40.0504189403632
ENSG00000179562.2	-0.333484227700952	4.03431051283859	-9.67755653093338	7.11599864681187e-21	1.81884925412511e-17	36.6410310710514
ENSG00000182810.6	-0.586773397499261	2.56818243403061	-9.67901228360261	7.02721125625651e-21	1.81884925412511e-17	36.6179955085654
ENSG00000113810.15	-0.38649588362206	4.36924839037949	-9.63070928945165	1.0650907673792e-20	2.2273952738901e-17	36.2365462084862
ENSG00000198730.7	-0.29068757663265	5.11511130264897	-9.62040733096134	1.16363893789195e-20	2.23069584393887e-17	36.1227251810049
ENSG00000172409.5	-0.5440443377641	2.83618489155463	-9.54344598039043	2.24880213295209e-20	3.59987969376606e-17	35.5013023608729
ENSG00000253710.2	-0.368923986522229	2.01101589623909	-9.53842041203189	2.34733939343118e-20	3.59987969376606e-17	35.4073651181685
ENSG00000215417.12	-1.05242272666994	-0.490828119241249	-9.58058829766183	1.63709943872382e-20	2.89691042218482e-17	35.2824809131505
ENSG00000268069.2	0.578396952037365	1.47867806243524	9.52345830250349	2.66674570498784e-20	3.83411363734626e-17	35.2618336400028
ENSG00000229367.1	1.53465231106975	-3.01409744148963	9.65731662041225	8.47275503874405e-21	1.94907256911268e-17	35.2322402636178
ENSG00000279528.1	0.408151861634289	0.553031807199655	9.5029528558396	3.17547519987245e-20	4.29697832340387e-17	34.9786122170032
ENSG00000258168.5	0.795927943385421	1.36901741478166	9.48599080663315	3.6680901413526e-20	4.68781920064863e-17	34.9485701048698
ENSG00000215251.3	-0.395542696712988	3.70382337110937	-9.43197978793618	5.79844674622684e-20	7.02039310264222e-17	34.5916070057226
ENSG00000237187.8	0.684608308452593	2.26672846085824	9.40307398330676	7.40275084722647e-20	8.06438988354009e-17	34.3315093011365
ENSG00000166189.7	-0.525968928716385	3.60830842985578	-9.39821777804366	7.71242294548261e-20	8.06438988354009e-17	34.3137975031924
ENSG00000124217.4	-0.383617203688581	2.5414918465465	-9.39098510173552	8.19757330482711e-20	8.19899896974969e-17	34.2289535882682
ENSG00000174173.6	-0.381260301478156	3.60417364915448	-9.36835241999577	9.91957347812943e-20	9.50791117878706e-17	34.0671837469138
ENSG00000198492.15	-0.254943353589858	5.6219804850139	-9.3152599100668	1.54936218922914e-19	1.42566111204108e-16	33.563342246798
ENSG00000204520.12	0.398527827566094	5.1131579276597	9.30230970733528	1.72688566469327e-19	1.52789530117708e-16	33.4648353331308
ENSG00000130772.13	-0.54979161919845	3.17174293854948	-9.27669362756387	2.13945968418236e-19	1.82281965092337e-16	33.3143776267874
ENSG00000244681.1	1.17221808235803	-3.18953106918195	9.41300426169027	6.80734347322268e-20	7.82980646290073e-17	33.170798704233
ENSG00000124688.13	-0.429629846219842	3.73635183562217	-9.21395141314876	3.608837167132e-19	2.9649175068823e-16	32.8017182489011
ENSG00000124659.6	-0.368307248743373	3.97838349206302	-9.20538185534543	3.87515764500752e-19	3.07393539537079e-16	32.724901669172
ENSG00000100109.16	-0.306232985362157	4.09013235776108	-9.18743329020784	4.49762549886951e-19	3.44877923253314e-16	32.574137114631
ENSG00000267107.6	0.720802138666085	2.37643168530329	9.17274794165334	5.08039721383448e-19	3.76998250022736e-16	32.4610224599085
ENSG00000105711.11	0.490275152904816	3.41655699070508	9.16643494262685	5.35238859144851e-19	3.84769834867755e-16	32.4166039270107
ENSG00000167447.12	-0.420791371661843	3.35581826476311	-9.13434090047314	6.97887917488812e-19	4.7867348331327e-16	32.1614721108686
ENSG00000162148.10	0.403140325862628	2.34575164580519	9.11217840248674	8.37881871547562e-19	5.50703844945146e-16	31.9692389013036
ENSG00000198824.5	-0.352954539308792	4.13427582540727	-9.09768919957433	9.44083811110737e-19	6.03269555299761e-16	31.8465010426477
ENSG00000107185.9	-0.366760139184749	5.27161208303715	-9.0743670822515	1.14367038493331e-18	6.92341935131735e-16	31.6100801750124
ENSG00000279407.1	-0.540272024404785	0.69630385120419	-9.08159681083287	1.07770240141226e-18	6.70039622759123e-16	31.5635296747302
ENSG00000164056.10	0.663953355242369	5.86307818450696	9.04013571372877	1.51522673566768e-18	8.93750662238444e-16	31.3145322846185
ENSG00000185670.7	-0.45167941036606	1.73400670526106	-9.0339145779074	1.59360265781933e-18	9.16480888511898e-16	31.2927042758968
ENSG00000171819.4	1.32939137433199	2.04560977089259	9.02086760456019	1.77404765059527e-18	9.95370540348622e-16	31.2383536129338
ENSG00000226426.1	1.5216434912584	-3.61490033762642	9.13269597077836	7.07481239464928e-19	4.7867348331327e-16	30.8736426776277
ENSG00000213398.7	0.637626356554685	4.603305393018	8.96089712699015	2.89339782405255e-18	1.58475532248821e-15	30.7137837014851
ENSG00000198841.3	-0.40592993380626	2.44459692554375	-8.93091410043359	3.68976601857834e-18	1.92907676116764e-15	30.5212106162231
ENSG00000130595.17	0.924789466552912	1.18559744404653	8.93597527479577	3.54215718111143e-18	1.89497171614622e-15	30.510794151805
ENSG00000162377.5	-0.407121307196243	3.61195434559933	-8.92736249688011	3.79764104214677e-18	1.94135410074543e-15	30.5024300391677
ENSG00000173210.19	0.596310522056819	4.81235226793143	8.91624196745045	4.15802923456875e-18	2.0793761850439e-15	30.3493951752357
ENSG00000112996.10	-0.24085168611328	4.57445662795645	-8.90315547671529	4.62074314774535e-18	2.26160798661136e-15	30.2673386244925
ENSG00000159167.11	1.08771325371774	3.10136159676592	8.88077208457823	5.54040244546154e-18	2.6010493439877e-15	30.1350743346934
ENSG00000008256.15	0.377854122917667	5.69460003260663	8.8921012588415	5.05310458048932e-18	2.42170037019951e-15	30.1338291942181
ENSG00000124785.8	0.730910691183634	3.94185170073552	8.8524995422804	6.96026390917498e-18	3.20227821933322e-15	29.8836839044761
ENSG00000114491.13	-0.344633941185187	4.02829604709561	-8.84994832984845	7.10147070956637e-18	3.20318102358558e-15	29.874641294732
ENSG00000120729.9	0.810889643684751	2.74364606221464	8.79752001869615	1.08294508682012e-17	4.44858371021607e-15	29.4860762293314
ENSG00000151006.7	0.498214698951592	2.45195675557705	8.79220780269293	1.12954954360453e-17	4.55862415808395e-15	29.4418421676728
ENSG00000244486.8	0.544749704994474	4.33889099154189	8.79797938283352	1.07878045972384e-17	4.44858371021607e-15	29.436302303368
ENSG00000026025.15	0.608773137605325	9.03262842441444	8.79855731243804	1.07377916095154e-17	4.44858371021607e-15	29.4149746424166
ENSG00000180383.3	0.944289153590682	-0.71534842690728	8.81984867291432	9.04786240230202e-18	3.92711371136897e-15	29.3729752514288
ENSG00000180787.5	-0.42205352377845	3.66454777849793	-8.77843023676465	1.26138523984201e-17	4.91811967073317e-15	29.3278399595981
ENSG00000241057.2	0.332579039856933	1.7364407085364	8.77342507134298	1.31295544729978e-17	5.03387118494735e-15	29.2668617977036
