logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000188536.12	1.58096325216043	2.68658153474157	9.28546529174934	6.566421042985e-20	8.503989900658e-16	34.4135921988795
ENSG00000153201.15	-0.22195211016297	6.73378274762319	-9.27690270920544	7.07957867187646e-20	8.503989900658e-16	34.3567333106508
ENSG00000270640.1	1.2550645799257	-0.952137483412838	9.18338836330077	1.60628750939747e-19	1.2863150375255e-15	32.9129564183656
ENSG00000244734.3	1.51057272074187	4.69253959615249	8.98085833140135	9.24133310835942e-19	5.25123668996065e-15	31.8535462353445
ENSG00000164944.11	-0.174128231839871	5.42211185702329	-8.96122401108827	1.09291472901279e-18	5.25123668996065e-15	31.6839974960538
ENSG00000189171.14	0.247510266124069	5.45460633014086	8.86480124917943	2.48074288502627e-18	9.93289451164517e-15	30.8797493526829
ENSG00000115760.13	-0.174664785079029	6.38154096366382	-8.73132839477426	7.61875654086396e-18	2.33939988436322e-14	29.7757380990776
ENSG00000086758.15	-0.199998824104596	7.83960007148896	-8.7286633170713	7.79020940513892e-18	2.33939988436322e-14	29.7533453585896
ENSG00000047315.15	-0.235104917653428	6.12417649829776	-8.66126339545647	1.36499111602613e-17	3.27925465714117e-14	29.206757583286
ENSG00000077380.15	-0.213438426474905	6.39866531575841	-8.6141724147228	2.01532328399088e-17	4.40146605223608e-14	28.8239339071019
ENSG00000215417.12	-0.747505026205416	-0.914246710447682	-8.68503583600054	1.12047867458322e-17	2.99093107535414e-14	28.6988275212652
ENSG00000119812.18	-0.21314509135294	5.22116102429849	-8.53853984896008	3.75358183832192e-17	6.949206905475e-14	28.2288697653321
ENSG00000206172.8	1.49303096146235	-1.04153172532007	8.53832888692752	3.76039334711851e-17	6.949206905475e-14	27.7549812357464
ENSG00000164902.13	-0.20282357508331	4.55351030000965	-8.43064416454946	9.04034164255145e-17	1.47161266248755e-13	27.3848748959127
ENSG00000124486.12	-0.254433979688997	6.95626392364485	-8.42863894073672	9.18839074979739e-17	1.47161266248755e-13	27.3385174176114
ENSG00000263001.5	-0.401590470299836	4.54508158831828	-8.41536279081988	1.02309507748528e-16	1.53617725884415e-13	27.2662523836386
ENSG00000153827.13	-0.205561300264228	7.17718002491422	-8.34529594738975	1.79952399026198e-16	2.45296065198865e-13	26.6811247041472
ENSG00000167447.12	-0.328778231904452	3.42298506927571	-8.33567050360519	1.94405741004825e-16	2.45296065198865e-13	26.650841054196
ENSG00000147533.16	-0.138694880173488	5.1239930679599	-8.33040886286587	2.02784774400814e-16	2.45296065198865e-13	26.5823574793241
ENSG00000141367.11	-0.230814369436967	7.73316557093521	-8.22644787194477	4.6457982716057e-16	4.98063424659155e-13	25.7548561108861
ENSG00000123200.16	-0.245026203270992	6.0092593833844	-8.22316719987973	4.76823154826282e-16	4.98063424659155e-13	25.7336371428826
ENSG00000232807.2	0.293082377950723	1.43001290702451	8.22316434460606	4.76833948017007e-16	4.98063424659155e-13	25.683242407085
ENSG00000172466.15	-0.128657502934628	6.05468793021027	-8.21423095111178	5.11810669991126e-16	5.12322480661117e-13	25.6635482960992
ENSG00000122692.8	-0.13317641716853	5.79087966159733	-8.18224784248709	6.59071150507581e-16	6.33341012791765e-13	25.4193698623074
