logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	0.677754316485214	-1.24759972481378	8.05047990487301	2.87091558485877e-15	6.07370901132721e-11	22.685344197692
ENSG00000131080.14	0.518146944201295	1.29222016056517	7.82196712195304	1.58856517971846e-14	1.68038424710619e-10	22.1247674995292
ENSG00000163071.10	0.463214371892646	1.47712344568852	7.49527229344047	1.70681997694239e-13	1.20364944773978e-09	19.9173206919629
ENSG00000074211.13	-0.663878687785819	1.34865996575931	-6.99871083309602	5.35054431984295e-12	2.63066288468109e-08	16.6172472127693
ENSG00000185904.11	0.914130677607412	-2.48942017614188	6.97637680307109	6.21729742078156e-12	2.63066288468109e-08	15.1821946984705
ENSG00000259431.5	-0.261516959670845	1.55142383796671	-6.7621372133631	2.57304171592154e-11	9.07254509033935e-08	15.1791231807606
ENSG00000130513.6	0.761881309329505	-0.235477180377338	6.70860028603791	3.64804113821018e-11	1.10254226171392e-07	14.5555148004228
ENSG00000172667.10	0.187935758035211	4.32939390467497	6.43757860312664	2.0580419693399e-10	4.35399359033548e-07	13.2707544476773
ENSG00000108932.11	0.689663882280707	-0.459939920170085	6.46303058605032	1.75400283630081e-10	4.12307600053111e-07	13.0568977702474
ENSG00000244306.10	0.760499654986302	-2.82989142142789	6.55493522965167	9.80256517341831e-11	2.59228836011047e-07	12.6436000378919
ENSG00000188536.12	0.999161190627629	4.81461044948744	6.31706627283524	4.35558298127487e-10	7.55846058394941e-07	12.5525117354297
ENSG00000163898.9	0.560688461676308	-1.0773663184432	6.3679461197201	3.17839415228554e-10	6.11291878961389e-07	12.3332030139371
ENSG00000167447.12	-0.373673521849893	2.54248372425015	-6.27307663777015	5.7084724880234e-10	8.62631742547307e-07	12.3099774147768
ENSG00000129696.12	-0.1945617333435	2.19333733554028	-6.23407008829358	7.24646523432153e-10	1.02204145664871e-06	12.0763329442584
ENSG00000206195.10	0.591374004135873	-1.79360323393291	6.30663314538434	4.64454469613076e-10	7.55846058394941e-07	11.7347628347294
ENSG00000175832.12	0.623039379688061	0.369291563160892	6.12213280130803	1.42681315395203e-09	1.88660369281308e-06	11.2990440862765
ENSG00000226419.7	0.239165120000611	1.66918117006237	5.98558906238157	3.21344991454029e-09	3.77687479955635e-06	10.6555267551798
ENSG00000120333.4	-0.123014105934348	3.77435216822487	-5.90285186861543	5.21536207518834e-09	5.27504761718939e-06	10.1868931772603
ENSG00000145246.13	0.172834883494441	3.99331461098392	5.90216804074732	5.23615049919536e-09	5.27504761718939e-06	10.1770961067909
ENSG00000133477.16	-0.425125779510075	2.10245611898056	-5.87254614199251	6.21858937265658e-09	5.98002167126921e-06	10.0443967425593
ENSG00000234546.3	0.500481321384869	-2.8778894099981	6.03981584457654	2.33213373277989e-09	2.90227183827596e-06	9.91465772337317
ENSG00000171951.4	0.786901354775439	-0.965798997819197	5.90871361122727	5.0407052294995e-09	5.27504761718939e-06	9.89419990832518
ENSG00000119681.11	0.510045972830273	6.71059156488359	5.83873150654034	7.56053724426096e-09	6.66461358081603e-06	9.84491286245878
ENSG00000137872.16	-0.266062286602757	3.47274042935672	-5.80808429732253	9.01676598677581e-09	7.63034804864916e-06	9.67431794257346
ENSG00000196290.14	-0.260753422483341	2.93574648017844	-5.78227209709397	1.04527883179633e-08	8.50535344826273e-06	9.54890775906978
ENSG00000276115.1	0.421284037981985	-1.51494617351949	5.84988093950588	7.08920731308839e-09	6.52083782242165e-06	9.42538959938489
ENSG00000185880.12	-0.243664378165041	5.29432086911787	-5.75318802956438	1.23381746183125e-08	9.20836332183389e-06	9.3534510013273
ENSG00000147912.12	-0.171628980404935	2.90062300131191	-5.74267241287658	1.30982171176024e-08	9.20836332183389e-06	9.33534387041997
ENSG00000146674.14	0.457189789596824	7.24387021121602	5.73730130939943	1.35046327923015e-08	9.20836332183389e-06	9.3021450912643
ENSG00000283633.1	0.401339013670863	0.818591682060187	5.73184547646368	1.39283241774761e-08	9.20836332183389e-06	9.23678973451156
ENSG00000246560.2	-0.241902798939285	0.438153461714161	-5.73785971090995	1.34610873604995e-08	9.20836332183389e-06	9.22264725099974
ENSG00000244734.3	0.900302111927771	6.8188794058015	5.6887160960169	1.77744462137418e-08	1.12510401567512e-05	9.03547143032904
ENSG00000143799.12	-0.313895622112049	6.06563612129438	-5.68566543121076	1.80816489567754e-08	1.12510401567512e-05	9.00036025209037
ENSG00000253719.3	-0.149056302428144	5.36568451969537	-5.67002468956186	1.97440911847128e-08	1.19344569458224e-05	8.90579051954052
ENSG00000128805.14	0.332473114800485	2.07022177697589	5.62671879891252	2.51615869518715e-08	1.35160805818589e-05	8.7296655198813
ENSG00000260196.1	0.36229749065968	0.378889515145698	5.63607557501196	2.38806435102876e-08	1.35160805818589e-05	8.69998219800019
ENSG00000280206.1	0.274804245135019	0.61492579609343	5.63017403213538	2.46809709438638e-08	1.35160805818589e-05	8.69026300833741
ENSG00000207165.1	0.268782863849277	0.732302624502954	5.62554666447794	2.53266861022458e-08	1.35160805818589e-05	8.67548045393785
ENSG00000197841.14	-0.226301323772868	3.48114169936567	-5.61950888260136	2.61939546160056e-08	1.35160805818589e-05	8.65920086791377
ENSG00000088448.14	0.177882956260182	6.02212177079666	5.62117633416247	2.59515972509096e-08	1.35160805818589e-05	8.65680488616095
ENSG00000158825.5	0.323680457025142	1.40107818579529	5.60950180768763	2.76953425441348e-08	1.36261085317143e-05	8.62920163163061
ENSG00000080224.17	0.624556345610194	-2.70958598186261	5.75559511288715	1.21703318449799e-08	9.20836332183389e-06	8.58061213138564
ENSG00000100104.13	-0.169888871216877	3.10332127393326	-5.59572225034712	2.99003293860266e-08	1.43766220111541e-05	8.54651811558469
ENSG00000158023.9	0.254639867739213	0.025370383135725	5.61406773919817	2.70002057924783e-08	1.36003893748969e-05	8.54605874179687
ENSG00000184857.7	-0.256297307849223	2.16380625050622	-5.5761799324426	3.33224143247077e-08	1.53254129881199e-05	8.46551549598895
ENSG00000198089.15	0.198051754220494	2.9364662784331	5.56291271219952	3.58594719618411e-08	1.6081061268729e-05	8.37791114799371
ENSG00000177410.12	0.262282316107168	2.71368880252953	5.55443323592622	3.75782586534929e-08	1.6081061268729e-05	8.34063677147701
ENSG00000159167.11	0.67402863201681	4.18473362086418	5.5327816888743	4.23403644363982e-08	1.72260144233931e-05	8.18117233084545
ENSG00000279528.1	0.29921435203146	-0.415009906635132	5.54879089377529	3.87660297175826e-08	1.6081061268729e-05	8.15671174704883
ENSG00000026103.21	0.303258883842819	3.08363246305896	5.51536829067418	4.6586524284504e-08	1.82515649585735e-05	8.12411959280649
ENSG00000147905.17	0.135750376560657	2.62814524846121	5.50790951609919	4.85303624455857e-08	1.86674245072511e-05	8.10202383848756
ENSG00000198155.5	0.295891628583171	-0.647683824414958	5.52634535615894	4.38626453417587e-08	1.7508643865099e-05	8.00626105048453
ENSG00000108439.9	-0.249158081303589	2.66932726878985	-5.48735905837386	5.43023856970939e-08	2.0514665567995e-05	7.99674347326077
ENSG00000269906.1	0.437106602469194	-1.39163516360717	5.54914416627563	3.8690603950007e-08	1.6081061268729e-05	7.96417800195128
ENSG00000189369.8	-0.2975794119754	2.4954939616438	-5.4627730109886	6.20868039951932e-08	2.23200243822001e-05	7.87518891175809
ENSG00000165795.23	-0.201500168832171	7.89245795826623	-5.45617253334908	6.43546386939561e-08	2.26914456034889e-05	7.8329618259215
ENSG00000117713.18	-0.145409443783635	5.77496762872188	-5.46230139079729	6.22462392961716e-08	2.23200243822001e-05	7.81872377293399
ENSG00000105607.12	-0.296843337179827	3.99907767997814	-5.44248161219299	6.93194015975517e-08	2.40413321343902e-05	7.71792921844487
