logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000198542.13	0.731227401074954	4.0214618941035	8.87562729885381	9.95237935712842e-18	2.03555027277907e-13	29.5477096692949
ENSG00000102452.15	0.641842787704052	1.60264704208838	8.80582014373345	1.7165326751099e-17	2.03555027277907e-13	28.6180269578695
ENSG00000143196.4	0.647141276885324	5.71486485823153	7.35567074797383	7.00743050581455e-13	5.53984097688013e-09	18.7247414664356
ENSG00000162998.4	0.640855666276313	4.23860513251434	7.29529057048014	1.05549336610838e-12	6.25828404099812e-09	18.3534988564366
ENSG00000173917.10	0.38222158699713	3.95021635620426	7.25703655978637	1.36504733788467e-12	6.47496554252215e-09	18.1079380790587
ENSG00000081818.3	0.371660982517127	2.58599919221857	7.01883892774428	6.65740904126614e-12	2.63156283719515e-08	16.5461185994352
ENSG00000113083.13	0.480980837430862	5.63862175249142	6.9351871212286	1.15055264920875e-11	3.03196190903155e-08	16.0136761645691
ENSG00000253537.2	0.383589094264074	0.686077375407733	6.96549768334511	9.43845705413836e-12	3.03196190903155e-08	15.9996373188944
ENSG00000147889.17	0.579007050684409	0.724099155207147	6.94824208229164	1.0561934900464e-11	3.03196190903155e-08	15.9076263042815
ENSG00000148516.21	0.317219395116126	6.38435022490377	6.8858439319791	1.58326366046776e-11	3.53822311594067e-08	15.6969575007159
ENSG00000102466.15	0.599368490461847	2.44424625930966	6.88029781856462	1.64103614602805e-11	3.53822311594067e-08	15.6822233985768
ENSG00000106624.10	0.423522077948103	9.18364851769583	6.82901903301676	2.28324474965566e-11	4.5126429772986e-08	15.3534677110395
ENSG00000131080.14	0.517818190939222	2.1583617647469	6.73292733896317	4.21704372860133e-11	7.69350970086445e-08	14.7663449793012
ENSG00000004776.12	0.455942345738857	5.33213678008069	6.70884583238977	4.91530198151941e-11	7.94323325802917e-08	14.6153743977322
ENSG00000071575.11	0.229547607663364	6.58504207582271	6.69510263321948	5.35867656653315e-11	7.94323325802917e-08	14.5159122287221
ENSG00000137843.11	-0.747781370252382	1.65351665371962	-6.70223120741791	5.1227851278899e-11	7.94323325802917e-08	14.5134802199841
ENSG00000128311.13	-0.59850646435766	3.91232606724562	-6.65894772691367	6.73452676558283e-11	9.39545713525459e-08	14.3619958420604
ENSG00000213949.8	0.358564607454821	8.0758857618906	6.6347196637777	7.83751118190898e-11	1.03267918167408e-07	14.1512374364425
ENSG00000112852.6	0.297615405797907	1.4119532741093	6.57974488436752	1.10523637403022e-10	1.37962584646709e-07	13.7921570950725
ENSG00000132329.10	0.544730777819676	3.95713745398917	6.521695927404	1.58563545324629e-10	1.83692497418657e-07	13.5327164394352
ENSG00000124688.13	-0.288139067012261	3.34918721758668	-6.51750153958233	1.62648836100341e-10	1.83692497418657e-07	13.5211745914296
ENSG00000184838.14	0.444419622221309	3.18581629714902	6.48228448706405	2.02122322299971e-10	2.05592571182092e-07	13.3137900491092
ENSG00000124615.17	0.314658087434419	6.12476512735173	6.49165648230745	1.9078440561568e-10	2.05592571182092e-07	13.2912110372326
ENSG00000188536.12	1.21544970156381	6.68804075855823	6.47774879906765	2.08045777643471e-10	2.05592571182092e-07	13.205122627424
