logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000228526.6	0.764543664007508	0.411736763782196	10.1026536246562	1.45296188318014e-22	2.95329032375194e-18	40.1647786268833
ENSG00000131080.14	1.10059320110648	0.898858057087631	9.89740910616567	9.07558386798489e-22	9.22351588503304e-18	38.491539212589
ENSG00000003137.8	0.93940600779221	2.42096997440011	9.70502666403074	4.89939936360518e-21	3.31950638215463e-17	36.9868828394239
ENSG00000100139.13	-0.325967964635438	4.0073904941643	-9.16102421169498	4.98401886396581e-19	1.80779256874906e-15	32.4844979396125
ENSG00000147889.17	1.1302003675372	-2.93004206655783	9.24119352967481	2.55191521660754e-19	1.29675571731912e-15	31.7729191002084
ENSG00000147231.13	0.609512281081443	1.17385688025835	9.06189821338278	1.13324050990368e-18	3.29060665775745e-15	31.6151743120621
ENSG00000174473.15	1.27134956255468	-2.29705296268825	9.15292953974828	5.33639447628376e-19	1.80779256874906e-15	31.4047554575768
ENSG00000168724.14	-0.285218026488988	6.10814756582727	-9.01271785934898	1.69901434330032e-18	4.31677069274029e-15	31.2803432911986
ENSG00000280010.1	-0.6692320657475	0.0752046304779076	-8.77748623431501	1.15095217813369e-17	2.12675036115867e-14	29.2023383600823
ENSG00000262855.1	1.00876234073901	0.269535033218546	8.7140374227891	1.92219666324439e-17	3.25588078142546e-14	28.7902512307902
ENSG00000230316.6	1.45261702437954	-4.13194935391837	8.9044849763124	4.11979249250578e-18	8.37389022026726e-15	28.7070639470226
ENSG00000233695.2	0.804348657628395	0.976497901675716	8.69256948437443	2.27872717748175e-17	3.56287758534569e-14	28.6989724516241
ENSG00000160767.20	-0.341885014337879	4.72475672563266	-8.66410287839775	2.85340555066669e-17	4.14273723020366e-14	28.5204412729781
ENSG00000223553.6	1.17206656679438	-5.09299980121181	8.92520837304188	3.47773278207811e-18	7.85426628094663e-15	28.4027819003095
ENSG00000138867.16	-0.330313138108126	6.95208407186817	-8.63652208857965	3.55358772050655e-17	4.8153482671344e-14	28.3119875579127
ENSG00000156515.21	-0.40136218273159	7.87123493861206	-8.61745997104703	4.13422712184375e-17	5.25201877991226e-14	28.1706129909551
ENSG00000137309.19	-0.453030153057341	6.10163030452066	-8.59230577797975	5.04821482156722e-17	6.0358832037162e-14	27.9633236040953
ENSG00000139990.17	-0.246717926103636	6.65339439452606	-8.54189191176395	7.51318164385003e-17	8.42130045264975e-14	27.5784555579701
ENSG00000144674.16	-0.362673644661118	7.837616125141	-8.53596902132923	7.8719230837521e-17	8.42130045264975e-14	27.541817838515
ENSG00000141034.9	-0.374438125230058	5.0662950372435	-8.47822950520951	1.2387132649762e-16	1.19171666812633e-13	27.0837241655357
ENSG00000213563.6	-0.412989508760441	3.46867188701417	-8.47306087381855	1.28986355892843e-16	1.19171666812633e-13	27.0635564684057
ENSG00000105520.10	-0.350837605283151	4.86545510425041	-8.46572083448122	1.36610700898318e-16	1.20728222019966e-13	26.9888792586039
ENSG00000196821.9	-0.327931125186484	8.27151527362449	-8.4382903354729	1.69254060263694e-16	1.43344084538327e-13	26.79822403657
ENSG00000069696.6	0.712723504500406	-1.06595451087965	8.48094753114317	1.21262429641245e-16	1.19171666812633e-13	26.7537110329857
ENSG00000108395.13	-0.265999783020609	3.96793317139654	-8.42292440762507	1.90792233379551e-16	1.48064525851818e-13	26.6726034333531
ENSG00000166451.13	-0.482338494195235	0.817195734697814	-8.4190212429511	1.9668120623827e-16	1.48064525851818e-13	26.5861156017127
ENSG00000163071.10	0.631646795300037	0.166902426355468	8.42188096325353	1.92349271212781e-16	1.48064525851818e-13	26.5589629393549
ENSG00000133134.11	0.854280723900948	0.644484290911399	8.39668883356799	2.34564440219065e-16	1.70277028996169e-13	26.4226381644333
ENSG00000129204.16	0.992570810313777	5.36029435044886	8.36525993359198	2.99991130308978e-16	2.03253990488676e-13	26.2209164259136
ENSG00000213753.10	-0.344095434304166	3.41500123284308	-8.34966211764309	3.3693725320084e-16	2.20922148663235e-13	26.1279012213817
ENSG00000105877.17	1.06742307268918	-0.359180101208675	8.30925607964265	4.61706059607581e-16	2.9326991773699e-13	25.6503407436649
ENSG00000171056.7	0.50005348001434	3.3182769096708	8.27368249000862	6.05755376278773e-16	3.73108599340677e-13	25.5550291741067
ENSG00000022840.15	-0.247112525446726	8.31251404739988	-8.26568544252802	6.43474292358236e-16	3.84684072543339e-13	25.4965763442539
ENSG00000082641.15	-0.30493108830878	10.5721114978526	-8.25647949265388	6.90550106064263e-16	4.01032041596063e-13	25.4394233852865
ENSG00000126777.17	-0.310136993671368	8.47591806415143	-8.24895293012167	7.31551548508777e-16	4.13042132638595e-13	25.3728306936969
ENSG00000011007.12	-0.266352713879232	5.17638180654942	-8.23383368996752	8.21313458594451e-16	4.51189658361914e-13	25.2352423441998
ENSG00000129250.11	-0.303594052484479	10.1134778647816	-8.21961197729296	9.1563292864977e-16	4.89767234414085e-13	25.1640849131905
ENSG00000182180.13	-0.244000803137065	5.87701864451518	-8.20828079118094	9.98368875403312e-16	5.20329378498659e-13	25.0464760581948
ENSG00000242689.2	-0.639972124610553	0.867332856391479	-8.18695003481024	1.17466146139961e-15	5.96904221610213e-13	24.8672897238043
ENSG00000080561.13	-0.320943989652197	3.16802008119722	-8.17015367106283	1.33474563344483e-15	6.61708286473163e-13	24.7910694282774
ENSG00000162129.12	-0.339925938328008	3.12309296876275	-8.15521324541579	1.49515308845449e-15	7.23582897045858e-13	24.6814746755513
ENSG00000226005.3	1.21839098920087	-5.0866965509515	8.37258745847166	2.82128261520278e-16	1.97742725643488e-13	24.5039169936158
ENSG00000114853.13	-0.354014292324093	7.0506424437233	-8.10987715566994	2.10765528476788e-15	9.73640939049818e-13	24.3268256264642
ENSG00000124635.8	-0.721620501036005	-0.480468502688159	-8.12907678186744	1.82277248472801e-15	8.61620314525153e-13	24.2583793426953
ENSG00000196440.11	0.481639489156482	3.05984766588068	8.07984634151514	2.64527227330755e-15	1.19484009393887e-12	24.1243338063869
ENSG00000162341.16	0.271061019256696	3.54464868956872	8.05330356588517	3.22798553901761e-15	1.3669173763765e-12	23.9199910115
ENSG00000167992.12	0.56794744229402	0.758561519453306	8.0545008836971	3.1990743339365e-15	1.3669173763765e-12	23.9122702128339
