logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000131080.14	0.490746065726542	3.06068088835339	9.93395889609632	1.47907723915719e-21	3.37569798292844e-17	38.0822893292678
ENSG00000147889.17	0.709460757106347	0.883204948667041	8.7535721128056	2.33877339597434e-17	2.66889126081612e-13	28.3456179144475
ENSG00000162734.12	-0.312959771578556	8.3565741158377	-8.66872994537991	4.52721014713382e-17	3.4441505729345e-13	28.095034314555
ENSG00000163812.13	-0.193612917830373	6.54277128779056	-8.62602125185356	6.3020334580676e-17	3.59578274033692e-13	27.7576392957622
ENSG00000128710.5	0.630090966332916	1.98285586755751	8.28692864043401	8.34714502012563e-16	3.81013781588654e-12	25.1578844347151
ENSG00000082781.11	-0.279059215029296	7.11429726444228	-8.24291903596238	1.15927893387593e-15	4.40970385130838e-12	24.9153618286304
ENSG00000164749.11	0.786400327827646	-0.516306850616958	8.21754399594121	1.40094787303242e-15	4.56769047231698e-12	23.9841932674716
ENSG00000175048.16	-0.253694583068935	4.26370573602795	-8.05326565829817	4.72193723890097e-15	1.28690862964213e-11	23.5796114935475
ENSG00000178163.7	-0.257173920807478	3.58972641321707	-8.02906282764945	5.63864798511208e-15	1.28690862964213e-11	23.412610223829
ENSG00000172667.10	0.228008028824167	5.37577122353172	7.95170716944459	9.91416386273231e-15	1.98820488003189e-11	22.8237699239715
ENSG00000176871.8	-0.199136006786497	5.52323761864425	-7.94441356164694	1.0453690820831e-14	1.98820488003189e-11	22.770683202677
ENSG00000047365.11	0.271523379650837	4.48315459401861	7.87135107611718	1.77379500512573e-14	3.11410180015265e-11	22.2830480752986
ENSG00000122390.17	-0.142445374734116	5.75588491191599	-7.83560155255314	2.29437727490413e-14	3.74032661036692e-11	21.9995133502138
ENSG00000008196.12	0.987195689321614	0.715152927890088	7.8133066349165	2.69819577255482e-14	4.10539480780125e-11	21.6430384638386
ENSG00000046647.13	0.164257275050355	4.75264767844778	7.74248271436258	4.46601400266442e-14	6.37048984892562e-11	21.3758482541407
ENSG00000128713.13	0.908022560877991	-2.58968511239584	8.04093139998736	5.16905495698837e-15	1.28690862964213e-11	21.3740611475669
ENSG00000154655.15	0.219748041818777	2.9969395442258	7.71939335169409	5.26291049577297e-14	7.06561213206039e-11	21.2438688059558
ENSG00000197535.14	0.227753217637717	6.36769413527083	7.59647991374597	1.25317265327894e-13	1.3619599745612e-10	20.340576900902
ENSG00000183762.12	-0.247577550434167	4.94105798724081	-7.55521568437347	1.67278841740613e-13	1.64068811394737e-10	20.0862884896993
ENSG00000186088.15	0.264710483620194	4.85193784612546	7.55078909909243	1.72529968605078e-13	1.64068811394737e-10	20.0558371541901
ENSG00000166451.13	-0.308572319107886	0.956206577199021	-7.56206805207306	1.5945904328627e-13	1.64068811394737e-10	19.9722795613152
ENSG00000163235.15	-0.66556239072264	3.44206086717712	-7.48396935742197	2.75117046891681e-13	2.51159854448353e-10	19.6509674109805
ENSG00000080224.17	0.654604919008286	-1.41781187418638	7.61604334410768	1.09233805103434e-13	1.24652156693784e-10	19.4932811581542
ENSG00000077327.15	0.896497556615719	-2.49581826448632	7.69307063405425	6.34329089424244e-14	8.04294044884973e-11	19.2624101324329
