logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000100211.10	0.182141778520489	3.59101524362895	5.30696951837841	2.16792320605844e-07	0.00426929116969088	6.72617348553957
ENSG00000178163.7	-0.265536970165588	1.96025382606382	-5.06941808032788	6.98699376727796e-07	0.00687974341295024	5.62601047024996
ENSG00000136861.17	-0.141789788050102	4.48905233633604	-4.73395724710691	3.39606230867092e-06	0.0188685599046046	4.11311383545186
ENSG00000101247.17	0.167806591617254	2.59579220216197	4.62035886212755	5.68996795274199e-06	0.0188685599046046	3.71068889963914
ENSG00000156170.12	0.192357847275472	3.08317956149723	4.48091597661306	1.05762820371497e-05	0.0251392952544562	3.11331138000364
ENSG00000170954.11	0.221284328862194	2.35727930459742	4.42616875889733	1.34351073570917e-05	0.0251392952544562	2.92805373585639
ENSG00000159212.12	-0.389410420987493	2.19798040531814	-4.36016338847944	1.78718394131106e-05	0.0251392952544562	2.67815171693193
ENSG00000142798.17	-0.268889924404703	6.53206040921009	-4.37837667092207	1.65240841874254e-05	0.0251392952544562	2.64807625186226
ENSG00000149716.12	0.135193382133527	3.96616581121218	4.36428940138547	1.75574393302219e-05	0.0251392952544562	2.59134285152729
ENSG00000136709.11	0.0880301147409326	5.30480355748863	4.36783527094698	1.72916573413108e-05	0.0251392952544562	2.5817169233329
ENSG00000196724.12	0.20230460825859	1.96395733879468	4.30046904052996	2.30653240380041e-05	0.028389089142526	2.44623391463916
ENSG00000233030.2	0.477497850974863	-1.58503170040113	4.41874167617774	1.38758374780181e-05	0.0251392952544562	2.3440650402914
ENSG00000138867.16	0.13680253216522	5.5875332802887	4.3042763303123	2.26949605088528e-05	0.028389089142526	2.33271787338905
ENSG00000125462.16	0.907128146896864	-3.33399469027043	4.67122292996119	4.52151710488669e-06	0.0188685599046046	2.31294366186414
ENSG00000253230.8	1.14818050083059	-3.60156963665395	4.61807178858425	5.74881223925394e-06	0.0188685599046046	2.07441891840159
ENSG00000198804.2	-0.626489779594396	12.9072022607301	-4.18554792511921	3.74043521864314e-05	0.035076376552733	2.00873000299959
