logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000106714.17	0.676823674544786	2.98454459743635	6.59120479416031	7.20326315343418e-10	1.01287389220652e-05	12.1914191602274
ENSG00000244242.1	0.752928351249152	3.74312397576057	6.53665753692919	9.56308258704172e-10	1.01287389220652e-05	11.9055736637952
ENSG00000185220.11	-0.435507342818028	3.11799103135957	-6.28546814565382	3.47107987868627e-09	2.01877413705762e-05	10.6910665851413
ENSG00000240089.2	0.785897706094959	1.46539810368806	6.13298219607553	7.49232778808004e-09	2.01877413705762e-05	9.92158150166607
ENSG00000141622.13	0.540342037779731	2.56467314362681	6.11887548227601	8.04088361072662e-09	2.01877413705762e-05	9.89228767296163
ENSG00000259275.2	0.640612290760309	0.552212688488825	6.14260119717461	7.13953460906115e-09	2.01877413705762e-05	9.87478353391374
ENSG00000246640.1	0.933444776143772	-0.463032569495372	6.18189129422674	5.86035176101209e-09	2.01877413705762e-05	9.86848944410155
ENSG00000100014.19	-0.220684609612986	5.83475388930293	-6.12911464069252	7.63895413232198e-09	2.01877413705762e-05	9.84930231073761
ENSG00000099365.10	0.591432778262779	1.61871245142334	6.09204338968813	9.19529443728851e-09	2.01877413705762e-05	9.73622647384879
ENSG00000105186.15	-0.235861856726114	5.03768858761186	-6.06576280515842	1.04831777876759e-08	2.01877413705762e-05	9.55589679004961
ENSG00000211454.13	0.774012193708813	-0.0573496293267726	6.07245354835879	1.01394129112204e-08	2.01877413705762e-05	9.45791677312558
ENSG00000261011.1	0.766080908384268	2.94666813694038	5.97474935623899	1.64657042807569e-08	2.32528675852849e-05	9.20571674939062
ENSG00000162482.4	0.606234023692066	0.627300931868421	5.98684713618819	1.55099853749893e-08	2.32528675852849e-05	9.16799893250135
ENSG00000126062.3	-0.247328564264081	5.17600319615711	-5.98245055798152	1.58508455151058e-08	2.32528675852849e-05	9.15354919196352
ENSG00000140830.8	-0.297892756187339	3.1212767850558	-5.89531114187774	2.43424009095315e-08	3.03320634392121e-05	8.83668440882076
ENSG00000250673.2	1.04047414072536	-0.248971725067184	5.93721950761734	1.98131247790966e-08	2.62313388872252e-05	8.82283712385002
ENSG00000100095.18	1.21202841437657	-1.56793307292256	5.98288696904172	1.58166853420844e-08	2.32528675852849e-05	8.6349916712233
ENSG00000241014.1	0.498785016467187	2.2475608606726	5.80523599925936	3.77841428421775e-08	4.44656387681025e-05	8.42706743369802
ENSG00000181827.14	0.346629204202126	4.79424869273456	5.77978488132551	4.27518729469173e-08	4.65478577483666e-05	8.20540420644988
ENSG00000163348.3	-0.224914275765104	5.44869006633313	-5.70345212203443	6.18052285253971e-08	6.11424785118187e-05	7.83691605680162
ENSG00000198547.8	1.15115497272216	-1.52864675652908	5.77408896753925	4.39483149208012e-08	4.65478577483666e-05	7.75870709630006
ENSG00000131931.8	-0.367946875139285	2.46738910691952	-5.64429337442359	8.20770629505734e-08	7.30182126734829e-05	7.69611618227075
ENSG00000146350.13	0.345540525860047	2.57434765231119	5.64263954378844	8.2728466419468e-08	7.30182126734829e-05	7.68527707069583
ENSG00000163508.12	1.03299364832067	-1.2699780198679	5.69782394519517	6.35006621942129e-08	6.11424785118187e-05	7.52343092807467
ENSG00000115307.16	-0.257671027251576	6.74313193585455	-5.62511969899479	8.99471913657927e-08	7.62140541880635e-05	7.48092338417926
ENSG00000214290.8	0.63759153561653	1.93306127726938	5.59302927184576	1.04800322371588e-07	8.53840472614366e-05	7.46571940199957
ENSG00000213901.10	-0.79322485445619	1.22288509584496	-5.50264891339272	1.60723881248015e-07	0.000105152300728947	7.02953738783665
ENSG00000129167.9	0.644337104957052	0.760940181925639	5.50239084578691	1.60919285091314e-07	0.000105152300728947	7.02559941750105
ENSG00000158201.9	-0.350164619933943	4.32946739286857	-5.50969023730056	1.55480855832052e-07	0.000105152300728947	7.00044483150721
ENSG00000130382.8	-0.163451992095119	6.36465326704875	-5.5073441410872	1.57208943875412e-07	0.000105152300728947	6.93919168325594
ENSG00000004766.15	-0.211300163805838	4.59542225810196	-5.49577755031223	1.66006660815488e-07	0.000105152300728947	6.91830192477648
ENSG00000166839.16	0.405418515939201	2.53298226566061	5.46860471598613	1.88609208166633e-07	0.000113262812907054	6.90766675903848
