logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000179151.11	-0.170877623509005	4.89172483590369	-8.15688526842604	6.71192740000363e-16	8.4965982572109e-12	25.4375204287386
ENSG00000176095.11	-0.169705602504616	5.91348305532195	-8.1521605018455	6.96899463353912e-16	8.4965982572109e-12	25.4067908990802
ENSG00000260804.3	-0.382621332068963	2.29361377934907	-8.06026101003241	1.44203232646601e-15	1.17208387495157e-11	24.385315137094
ENSG00000166135.13	-0.167750390611958	6.13470549006702	-7.94475361178357	3.55920332719271e-15	2.16969034825668e-11	23.8230024782313
ENSG00000159792.9	-0.232007897965792	4.77167328957394	-7.68989803910411	2.50659793271138e-14	1.22241767982469e-10	21.9340198111068
ENSG00000128731.15	-0.142559771435275	6.45719600217123	-7.6329109992265	3.84803632225486e-14	1.56384196136437e-10	21.5110310247663
ENSG00000107021.15	-0.171421106930542	4.99287445042298	-7.58216760228708	5.62274404081134e-14	1.9586427241592e-10	21.1538504221965
ENSG00000179886.5	-0.202128910955478	3.49854194739129	-7.42401501958441	1.80693241078713e-13	5.34881868863768e-10	19.9863198443184
ENSG00000128607.13	-0.136141540744792	5.44194683281	-7.41189566743902	1.97421949629836e-13	5.34881868863768e-10	19.9360465918629
ENSG00000139651.10	-0.159413273706603	5.01582442013666	-7.30059616546588	4.42470703256386e-13	9.117814087911e-10	19.1605509775361
ENSG00000165671.19	-0.137310690956954	6.40351227933343	-7.29865111151487	4.48711323223966e-13	9.117814087911e-10	19.1307311867808
ENSG00000259956.1	-0.197247591621285	5.9902335510221	-7.22506596374541	7.60333278260082e-13	1.42615128131491e-09	18.6250098794746
ENSG00000259882.2	0.731754571123014	-5.14789031280071	7.38152757655982	2.46320952809635e-13	6.00629011331013e-10	17.7631964153605
ENSG00000125817.7	-0.155145210987193	6.70388223350752	-7.02028831478204	3.21606506013441e-12	5.2280353617545e-09	17.2210374532442
ENSG00000156959.8	0.504495980615129	-1.97512882456382	7.178145003043	1.06157780230962e-12	1.84896522367984e-09	17.0756463784817
ENSG00000087152.15	-0.106238388937207	6.18728395866878	-6.92247749438153	6.32013546196066e-12	9.06530488849699e-09	16.5740517386967
ENSG00000198925.10	-0.118849405862413	6.52383919432132	-6.90223491982955	7.26075641162417e-12	9.47278208351885e-09	16.4354769579285
ENSG00000125741.4	-0.212779823326131	4.39567861658449	-6.8838310793241	8.23427307967e-12	9.47278208351885e-09	16.35028307923
ENSG00000197136.4	-0.122199190907081	6.13643526802033	-6.88783865818595	8.01193656343225e-12	9.47278208351885e-09	16.345655993573
ENSG00000169926.10	-0.279531147739339	7.05462915298667	-6.88541631674388	8.14561149995589e-12	9.47278208351885e-09	16.3186896994963
ENSG00000230733.2	-0.279293327843368	2.88663869483857	-6.87837648131723	8.5466373785029e-12	9.47278208351885e-09	16.2595178772031
ENSG00000130717.12	-0.108072732490643	4.85155330544181	-6.814126642442	1.32247551972727e-11	1.35324203497739e-08	15.8870293696665
ENSG00000213380.14	-0.104023966819685	4.40886939063323	-6.80703660306005	1.3874282674883e-11	1.35324203497739e-08	15.8486489495617
ENSG00000107185.9	-0.200224977330062	4.98577598771831	-6.77181685389345	1.75936871805984e-11	1.65001718542966e-08	15.6098014368916
ENSG00000102178.12	-0.125489842897902	5.29200747313001	-6.75874157073664	1.92099524043671e-11	1.73487214602995e-08	15.5177014884867
ENSG00000180035.12	-0.173635064982514	2.91311464351284	-6.73035635075502	2.32358332947405e-11	2.02350913949626e-08	15.316067905357
ENSG00000255442.1	0.865777447875152	-4.06915499555294	6.92344065116644	6.27849282112406e-12	9.06530488849699e-09	15.1039896629526
ENSG00000100413.16	-0.212894810761948	4.73993634286468	-6.68268070770775	3.19327556628115e-11	2.47401751265293e-08	15.0419797656379
ENSG00000160785.13	-0.110820682603521	5.0271731970937	-6.68376191147554	3.1704060283502e-11	2.47401751265293e-08	15.0413191516124
ENSG00000105341.18	-0.1363700149498	5.16383743595691	-6.68018227561317	3.24674214258915e-11	2.47401751265293e-08	15.0151871413753
ENSG00000174151.14	-0.26730773661965	4.76384135517319	-6.66158435398329	3.6732576942801e-11	2.63437398874488e-08	14.9071765843824
ENSG00000101152.10	-0.136517145425988	6.44457418803343	-6.66384343349401	3.61865709449554e-11	2.63437398874488e-08	14.8849193264451
ENSG00000280173.1	-0.281976066933942	0.313012313108433	-6.71595153451276	2.55841696726167e-11	2.1511875630934e-08	14.8456700632146
ENSG00000215193.12	-0.0860950933867767	5.50255743617047	-6.63506786326069	4.37767657572613e-11	3.0498647320716e-08	14.7187895588515
ENSG00000111537.4	0.564317084503678	-5.82691793236453	6.8130078253136	1.33252334629762e-11	1.35324203497739e-08	14.2957566294859
ENSG00000175224.16	-0.107751934335116	6.29293726503379	-6.52999259269635	8.7187275060635e-11	5.67551970491229e-08	14.0387300344932
ENSG00000111412.5	-0.197012526710095	4.66014009546959	-6.50299335048358	1.03904667885029e-10	6.15362582976153e-08	13.9104207148446
ENSG00000084652.15	-0.169969375318918	6.70831757817066	-6.50597816234678	1.0191241735294e-10	6.15362582976153e-08	13.8820248636264
ENSG00000125650.4	-0.18522672218794	0.945861650547893	-6.52778804094907	8.84472394958444e-11	5.67551970491229e-08	13.825707714323
ENSG00000147324.10	-0.156013792308953	4.70560336769459	-6.4849053500203	1.16818720442258e-10	6.62443646340469e-08	13.7964071555904
ENSG00000105607.12	-0.157302682247762	3.8428621017586	-6.47259757898208	1.26490471429119e-10	6.85409701183917e-08	13.736761308378
ENSG00000261662.1	-0.260230162594568	0.746875552224205	-6.51473385442948	9.62815057782369e-11	6.01981599204238e-08	13.7120361966301
ENSG00000088888.17	-0.145047410280983	6.90558218851044	-6.47682097606648	1.23086472231938e-10	6.82122849750815e-08	13.6971529990859
ENSG00000124164.15	-0.159742458241122	5.41436586449385	-6.45166140833522	1.447719443197e-10	7.67417193541645e-08	13.5696693445948
ENSG00000107815.7	-0.229468703035164	3.73673680774484	-6.43824403088575	1.57821360365413e-10	8.18790649180898e-08	13.5256717593458
ENSG00000240668.1	0.522317844209801	-2.91439614179318	6.60684144160833	5.27285958666838e-11	3.57148356003672e-08	13.4084526337135
ENSG00000255139.1	0.222086409978115	-0.601202132965605	6.49992473625403	1.0599257088664e-10	6.15362582976153e-08	13.3763220243197
ENSG00000170949.17	0.126498535927221	5.15010646296722	6.40898685464321	1.90392489862819e-10	9.67193848503119e-08	13.311857626025
ENSG00000166860.2	-0.179699947420177	3.33148228561034	-6.39652596586679	2.06182703192754e-10	1.02603245605145e-07	13.2661331760986
