logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000117597.17	-0.257583826801834	4.23133624363559	-3.97958685266775	0.00010479764940353	0.583487112466505	-0.231267897536356
ENSG00000130066.16	0.347226595419582	8.52189711136824	3.78955232517648	0.000213960014685431	0.64320117329659	-0.314410272406891
ENSG00000105732.12	-0.209559388553747	4.15782577002847	-3.87539962867932	0.000155474725489185	0.64320117329659	-0.49010983154237
ENSG00000260804.3	-0.315386865563408	3.08248143261575	-4.04275967756989	8.22031370460279e-05	0.583487112466505	-0.733095608941861
ENSG00000184640.17	-0.219391474563197	8.41838658313854	-3.5583508144139	0.000492535388969732	0.64320117329659	-0.85491355828129
ENSG00000154358.20	-0.37218871886577	5.91263159363674	-3.55171172696026	0.000504230186152884	0.64320117329659	-0.873987333327645
ENSG00000138231.12	-0.178244583056657	3.88071223461755	-3.70641763191448	0.000290037598750052	0.64320117329659	-0.975228185841644
ENSG00000198890.7	-0.261318981019107	3.56439543010066	-3.76127971074836	0.000237411967294874	0.64320117329659	-1.02815166673107
ENSG00000178163.7	-0.184409883285407	4.60447615721277	-3.52841050427836	0.000547145156942626	0.64320117329659	-1.10623693407091
ENSG00000172534.13	-0.174923460846924	6.6614197093463	-3.37997323662111	0.000912598622705428	0.791605741069738	-1.24371881735055
ENSG00000215421.9	-0.181462903201156	4.10927234123037	-3.52619609796639	0.000551402454065476	0.64320117329659	-1.26066426447288
ENSG00000120733.13	-0.119468626187795	6.72486842152356	-3.3711080402132	0.000940427429291045	0.791605741069738	-1.26344636743232
ENSG00000115568.15	-0.171725757711157	4.84934936016589	-3.37718519353267	0.000921266447562294	0.791605741069738	-1.38126881733969
ENSG00000166860.2	-0.249040846303469	3.77056910300366	-3.53326006472858	0.000537929387586634	0.64320117329659	-1.38655454604956
ENSG00000107815.7	-0.281166959160377	3.18331128623191	-3.6555700447547	0.000348503807479044	0.64320117329659	-1.41489637304708
ENSG00000111371.15	-0.314673883799424	7.06289480136008	-3.25398309121053	0.00139093310397221	0.955239269447805	-1.52487321243055
ENSG00000189241.6	-0.17513981557017	6.27991082338628	-3.22183210001857	0.00154583748272679	0.955239269447805	-1.59928759469308
ENSG00000149792.8	-0.144242950094158	5.40824340742353	-3.23883250496716	0.00146200582820108	0.955239269447805	-1.60552041360755
ENSG00000168806.7	-0.251037094884786	3.29522239322356	-3.52097555198159	0.00056156278929209	0.64320117329659	-1.60923245498563
ENSG00000174231.16	-0.135264022934986	8.26599588660934	-3.2132879189792	0.00158963756797746	0.955239269447805	-1.62863145625867
ENSG00000124160.11	-0.156410182577057	5.62776720620011	-3.18368641200933	0.00175046121394124	0.972838812277334	-1.7076759932152
ENSG00000164091.11	-0.132348827057011	6.79201082546587	-3.16251014415554	0.00187463870965715	0.972838812277334	-1.72278646332531
ENSG00000170903.10	-0.213214844619324	3.91489284316828	-3.33086101600624	0.00107703810038735	0.856668411918808	-1.72662291856999
ENSG00000110107.8	-0.159298529585976	6.28022182592851	-3.15244429498744	0.00193648555042325	0.980169765760823	-1.74851728839842
ENSG00000120942.13	-0.143978162706453	4.06876543563163	-3.28199058298648	0.00126780470086218	0.910815435254892	-1.76064448182538
ENSG00000166188.2	-0.193840348912577	3.5544670537653	-3.36751758051195	0.000951922458078292	0.791605741069738	-1.78042161961663
ENSG00000075856.11	-0.0967493782885103	5.86168783329543	-3.12594655374064	0.00210844958861972	0.997300593098687	-1.81607307325011
ENSG00000170468.7	-0.262937498431091	3.00836850054422	-3.43484613008772	0.000756779374718658	0.791605741069738	-1.882500839341
ENSG00000088205.12	-0.149811200786904	5.90455118374067	-3.08810163675832	0.00237866150844354	0.997300593098687	-1.89462297909334
ENSG00000130544.11	-0.188034640719946	2.58513755222522	-3.51290681863318	0.000577613195003898	0.64320117329659	-1.89827163082802
ENSG00000099381.17	-0.146073014560087	5.74575205343033	-3.06325844942633	0.00257307511731727	0.997300593098687	-1.95284403117216
ENSG00000172315.5	-0.161820445140451	3.81618063015937	-3.20562814655274	0.00162988156072994	0.955239269447805	-1.98738753843529
ENSG00000108557.18	-0.227560692285827	5.36536846310997	-3.03058291599779	0.00285113092565779	0.997300593098687	-2.04584330848847
ENSG00000068654.15	-0.198540982849074	5.21739375794866	-3.02065715851628	0.00294092602188341	0.997300593098687	-2.07637306101875
ENSG00000147454.13	0.219221628795495	6.26590251387788	2.99130845465728	0.00322189426851732	0.997300593098687	-2.08333364466878
ENSG00000013375.15	0.212363641442914	4.89347491730308	3.01658081400458	0.00297855236891591	0.997300593098687	-2.09987984589269
ENSG00000165671.19	-0.131818096193919	6.32544377502427	-2.95838922381919	0.00356629331430852	0.997300593098687	-2.15074641247028
ENSG00000219545.11	0.152902047106785	3.61313452252294	3.1239650639323	0.00212186103170416	0.997300593098687	-2.15995093899446
ENSG00000197037.10	-0.126009808089341	4.12253528186857	-3.0616788764097	0.00258591911931758	0.997300593098687	-2.16531338387071
ENSG00000168286.2	-0.182087314490765	4.69880653273619	-2.99169742708572	0.00321801427422494	0.997300593098687	-2.19304896566967
ENSG00000122692.8	-0.137251055587876	5.78296682750673	-2.94407324945453	0.00372635882048761	0.997300593098687	-2.19316535681571
ENSG00000168679.17	0.366904904719097	3.14165475310624	3.16190240965929	0.00187832018894191	0.972838812277334	-2.21327296987262
ENSG00000153201.15	-0.125550282604409	6.87068913021584	-2.91038278942491	0.00412939188047216	0.997300593098687	-2.24467716546359
ENSG00000092201.9	-0.12531271189736	6.72821236545161	-2.90986150059942	0.00413593035828823	0.997300593098687	-2.24572509379665
ENSG00000083642.18	-0.143229758999678	5.24678101108196	-2.92493279053611	0.00395066949517645	0.997300593098687	-2.26145085780616
ENSG00000132153.14	-0.10667714860828	6.39904659360979	-2.89124868581223	0.00437569588596867	0.997300593098687	-2.28429114453025
ENSG00000166133.17	-0.201984998874558	2.98028866654198	-3.18592428361031	0.0017377942485931	0.972838812277334	-2.29761538457414
ENSG00000170604.4	-0.170697698900321	4.72110513659536	-2.93416607347036	0.00384096125033959	0.997300593098687	-2.29850253186701
ENSG00000198301.11	-0.131461604687507	5.06285956505754	-2.90730826755357	0.00416809250599755	0.997300593098687	-2.3102158458463
ENSG00000198742.9	0.145243440788861	5.5846324260205	2.87028808588126	0.00466088625261191	0.997300593098687	-2.34223781444
ENSG00000124217.4	-0.223700218927463	2.89970986015199	-3.17445205052292	0.00180364193931783	0.972838812277334	-2.34390893569675
ENSG00000198876.12	0.181336744870883	4.87920284600283	2.88403126766443	0.00447204239423303	0.997300593098687	-2.36053427028465
ENSG00000177879.15	0.179945396810773	5.70424560310276	2.85440548073676	0.00488818947355996	0.997300593098687	-2.36848426891893
ENSG00000125484.11	-0.152014968307232	4.55196439229963	-2.90869519414607	0.00415059358937331	0.997300593098687	-2.36969635652218
ENSG00000196453.7	-0.160123365891233	3.98009766625323	-2.94461504925512	0.00372018290807347	0.997300593098687	-2.41460144790647
ENSG00000169919.16	0.176880130199351	6.03911557649531	2.81484222409799	0.0054990778590474	0.997300593098687	-2.43699826615972
ENSG00000232807.2	0.235431552987929	2.10751174664096	3.20823216818839	0.00161609518124599	0.955239269447805	-2.47503933976638
ENSG00000280173.1	-0.382573325416322	0.229636752451924	-3.67891270970675	0.000320402042829905	0.64320117329659	-2.47918692002548
ENSG00000149657.19	-0.0827832135866597	5.40513435567584	-2.80489295143042	0.00566327398553199	0.997300593098687	-2.48052264110017
ENSG00000197362.14	-0.211493138652733	2.77821916628493	-3.09912664102676	0.0022968110839789	0.997300593098687	-2.49710585923909
ENSG00000106246.17	-0.118146194702188	4.26110838992778	-2.8615326882482	0.00478496499930777	0.997300593098687	-2.4998553676752
ENSG00000198841.3	-0.235847437618049	2.90811558369813	-3.07119182388285	0.00250945240118226	0.997300593098687	-2.50658101120889
