logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000125630.15	-0.309856201900033	3.71397883281015	-4.96027339857281	1.15399100627344e-06	0.0126494724152663	5.17790832744424
ENSG00000180596.7	0.871444671491643	-0.368606048373136	5.00265879194137	9.41958997934076e-07	0.0126494724152663	4.78148745941906
ENSG00000172409.5	-0.374584737787061	2.97395539601472	-4.83052825369163	2.13018847619388e-06	0.0153092797553014	4.57866613987534
ENSG00000166860.2	-0.24453928390971	3.39579478762097	-4.77228143475355	2.79328189669322e-06	0.0153092797553014	4.36099303476838
ENSG00000130544.11	-0.179637750254856	2.34264487301481	-4.64921574464245	4.90972400316285e-06	0.0175071776150295	3.78543463505653
ENSG00000198841.3	-0.292839142486481	2.56203105755672	-4.64519395847056	5.00006815574786e-06	0.0175071776150295	3.78443247288166
ENSG00000198824.5	-0.244232426088309	4.20253017603804	-4.58288695843058	6.62155518680817e-06	0.0175071776150295	3.57416157597962
ENSG00000168806.7	-0.288257035747243	3.06766997319467	-4.56831788827021	7.06795481443363e-06	0.0175071776150295	3.50731501411013
ENSG00000104356.10	-0.375260553909557	2.30478988994204	-4.56457634579076	7.18718234435366e-06	0.0175071776150295	3.43614115438699
ENSG00000179151.11	-0.1459086963466	4.5307513852724	-4.49419874901489	9.82480513044907e-06	0.0187875581591067	3.2009717529785
ENSG00000132467.3	-0.257228047278278	4.46326041256636	-4.48384682910626	1.02837521283255e-05	0.0187875581591067	3.16246677159351
ENSG00000198730.7	-0.190644249184562	5.25125664710969	-4.48843184653364	1.00779952220986e-05	0.0187875581591067	3.15929052397878
ENSG00000177613.8	-0.242128662306564	4.84889304548609	-4.38940671431252	1.55362922061131e-05	0.0262001641565091	2.77018257901087
ENSG00000161381.13	0.414051765292345	4.05567513897386	4.3619272810922	1.74950071484036e-05	0.0273959315510323	2.67735074124924
ENSG00000203814.6	0.935820995259802	1.33726640463619	4.2661856511362	2.63399476292974e-05	0.0360236178263256	2.2673067139918
ENSG00000168209.4	0.466399135443395	5.3921062299349	4.25228163166118	2.7934201662525e-05	0.0360236178263256	2.20863688804712
ENSG00000185085.2	-0.201676748345141	4.31566398183373	-4.18068303923619	3.77138995891108e-05	0.0389994054833476	1.9743546874471
ENSG00000174173.6	-0.247463250093461	3.68047086949151	-4.17100460223752	3.92640068276209e-05	0.0389994054833476	1.96189498733843
ENSG00000166189.7	-0.329748514649008	3.75127152702955	-4.16639707146262	4.00231239353072e-05	0.0389994054833476	1.94383632150674
ENSG00000160097.16	0.599293482684068	3.67730443981261	4.16744293765615	3.98559727838829e-05	0.0389994054833476	1.93571570310779
ENSG00000215417.12	-0.69785684619391	0.31237397565433	-4.22969978595556	3.07189577021632e-05	0.0374139838724735	1.90855197877081
ENSG00000163798.13	-0.129190119752071	4.32759107675316	-4.14952781973015	4.29235902156248e-05	0.0392089111790476	1.8539141835627
ENSG00000105852.10	0.415614311681461	0.968771105550527	4.16108721713861	4.09153093151938e-05	0.0389994054833476	1.83286210224694
ENSG00000114491.13	-0.242625669439973	4.14092838246467	-4.13245901250436	4.60616552532374e-05	0.040392386724669	1.79998275502238
ENSG00000230333.6	0.517604958521635	-1.5344755518068	4.28757116438496	2.40516064237111e-05	0.035152224508468	1.77169784937753
ENSG00000169403.11	-0.456988128507706	2.25846201456625	-4.12124472259498	4.82410909017029e-05	0.0406765167630013	1.75958786215021
ENSG00000198890.7	-0.247583560887985	3.31337010309069	-4.05509552576019	6.3234343443976e-05	0.0427161813919871	1.54097996775292
ENSG00000167447.12	-0.28090673518053	3.43642313128476	-4.03547089689991	6.84743261517678e-05	0.0427161813919871	1.46724578724168
ENSG00000211459.2	0.469372495448	10.6014103868892	4.03818644158878	6.77253980406641e-05	0.0427161813919871	1.43652030246686
