logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	0.727670767365542	-0.665437564277684	6.70456464352358	8.89502594442703e-11	2.49932438986511e-06	12.7244415838754
ENSG00000004846.16	0.357245323250537	0.69055990666827	5.50068106298497	7.64802440546542e-08	0.000716313965815891	7.33872007936978
ENSG00000259298.1	0.273956074115645	0.688796593909222	5.39734609621493	1.30252409391424e-07	0.000911048350250738	6.86979059011416
ENSG00000180881.19	0.169673467770903	3.66727250423209	5.31845870066299	1.94543743380469e-07	0.000911048350250738	6.81765277423338
ENSG00000243715.1	0.481996504067066	-1.77609822551678	5.52127128956641	6.8717656487516e-08	0.000716313965815891	6.54486377770435
ENSG00000275056.1	0.317409097229828	-0.196974452314091	5.34826092397947	1.67274851427749e-07	0.000911048350250738	6.47424680108735
ENSG00000234956.5	0.936772800285008	-0.143844590043713	5.27861769230506	2.37913950750675e-07	0.000954986598313208	6.20585275927614
ENSG00000068383.18	-0.11883773701838	5.74827179676923	-5.17288756850507	4.02952808649364e-07	0.00141527100217873	6.1451129444679
ENSG00000232656.7	0.28046410243083	1.23884254517038	5.04414111355514	7.57154804444965e-07	0.00236383729947718	5.39280463561342
ENSG00000124260.11	-0.313619552089025	2.19658979640697	-4.97701865449967	1.04673368677827e-06	0.00267373846646326	5.18065595093701
ENSG00000181074.3	0.459279482177507	-1.20073354297586	4.99891367685503	9.42149998337996e-07	0.0026472530653301	4.70749555769353
ENSG00000126861.4	0.324295444580953	-0.96788358644983	4.95535047031981	1.16124086725968e-06	0.00271904549068854	4.61064765517331
ENSG00000171817.16	0.162881822426491	3.27572504886728	4.82346624115092	2.16755273078113e-06	0.00468491512534525	4.59246798597
ENSG00000204256.12	-0.085455627452153	8.61213145495713	-4.78338591569952	2.61330083325212e-06	0.00486076705536768	4.35378920142262
ENSG00000271795.1	0.215600675742878	0.760455461072219	4.75320481552447	3.00602478159058e-06	0.00486076705536768	4.13579067096029
ENSG00000186105.7	0.33902622414171	0.441328874778326	4.74990882390033	3.05220787009037e-06	0.00486076705536768	4.09166466430692
ENSG00000188536.12	1.07822683399201	2.4896612897167	4.70685228573795	3.72296176292881e-06	0.00486076705536768	4.08052375043811
ENSG00000204952.2	-0.277550874421178	1.93662356665698	-4.7062030337872	3.73311245379122e-06	0.00486076705536768	4.02975398656674
ENSG00000278867.1	0.190941340696105	1.61807993317918	4.69526840753633	3.92509977948076e-06	0.00486076705536768	3.97102854477623
ENSG00000204516.9	-0.288736433225892	1.77618242249063	-4.6922994796945	3.97884697392899e-06	0.00486076705536768	3.96209900594244
ENSG00000272282.1	0.509640298591684	-0.802434812620642	4.75518409399587	2.97913622649767e-06	0.00486076705536768	3.88865589445008
ENSG00000113319.12	0.137055370271755	3.58450911661421	4.64822752356025	4.86502242339757e-06	0.00526178191278354	3.86015414120816
ENSG00000164136.16	0.252946002878802	1.43826446354813	4.64805227410325	4.86889920038338e-06	0.00526178191278354	3.76953182217646
ENSG00000228446.2	0.289881163105176	-0.452394902837877	4.69237062285079	3.97755080577527e-06	0.00486076705536768	3.7216903276307
ENSG00000280269.1	0.373996319000485	-0.990112573304768	4.70911871956655	3.68346686059946e-06	0.00486076705536768	3.65410287141437
ENSG00000180139.11	0.38724443211902	3.35842367127974	4.53795202886774	7.99458067844244e-06	0.0076761462449948	3.4067210021064
ENSG00000196666.4	0.524206681609606	-1.52736313573412	4.68084878828794	4.19285514821616e-06	0.00490878516477407	3.38347756477175
ENSG00000237877.6	0.196427188191086	0.783421488974058	4.53232469635823	8.19575725495921e-06	0.0076761462449948	3.26537387014936
ENSG00000085465.12	0.212414542478696	4.53805228331753	4.50410215690933	9.29069394927079e-06	0.00810775126817156	3.24938711236359
ENSG00000253368.3	-0.222441181585987	1.82057180081011	-4.50714789627121	9.16609068614723e-06	0.00810775126817156	3.22843162304211
ENSG00000262905.1	0.265087598661935	-0.597044531509728	4.564108966851	7.11099918562441e-06	0.0071358876827741	3.20177159086308
ENSG00000171291.8	0.127636529750197	3.97054776366949	4.48653550439747	1.00417020433316e-05	0.00810775126817156	3.19416455895232
ENSG00000162396.5	-0.116409907255594	3.53542157975974	-4.46991465206533	1.08056597777961e-05	0.00810775126817156	3.13284453089529
ENSG00000259271.1	0.244359509345234	1.05511478226385	4.48339200308457	1.0182097661868e-05	0.00810775126817156	3.09692267852479
ENSG00000196961.12	-0.113743528298145	8.30115985414193	-4.47304700029784	1.06575474034735e-05	0.00810775126817156	3.03854889250311
ENSG00000188636.3	-0.135116954910888	5.84974884666922	-4.45994627595028	1.12902658867636e-05	0.00810775126817156	3.02741698040915
ENSG00000088247.17	-0.095349132795174	7.7658703224936	-4.46280450081937	1.11492241777918e-05	0.00810775126817156	3.0024416316325
ENSG00000161381.13	0.302319122880405	4.67453053668038	4.4347932555465	1.26100809334394e-05	0.00841064097579162	2.96203359708438
ENSG00000198414.5	-0.452701071278352	-0.283968298075509	-4.48842886207977	9.95941498208242e-06	0.00810775126817156	2.94781439671866
ENSG00000258859.1	0.361181149868322	-1.69017809330703	4.56519338900638	7.07653825541868e-06	0.0071358876827741	2.90014631785772
ENSG00000085185.15	-0.221709769370637	5.48795296127944	-4.42484285124772	1.31706243481682e-05	0.00841064097579162	2.89598824995039
ENSG00000189401.2	-0.375172930947159	2.77986286384189	-4.40816919278082	1.41646147752704e-05	0.00865211621642495	2.87877658317348
ENSG00000066044.14	-0.085893692398674	6.68051191184612	-4.4260300802317	1.31000525803928e-05	0.00841064097579162	2.86975473242516
ENSG00000230399.1	-0.343286250027405	0.172727739878368	-4.44143750230886	1.22458764539437e-05	0.0083923082098271	2.84735710208045
ENSG00000153046.17	-0.132106654619753	4.72590744572386	-4.39581281988553	1.49439622800555e-05	0.00893394579031914	2.80681681933219
ENSG00000105953.14	-0.128697612767917	7.22787073697952	-4.41197170646835	1.39290269576302e-05	0.00865211621642495	2.80284043192611
ENSG00000230453.9	0.293543719902443	3.42017930096373	4.37345513320131	1.6468206047753e-05	0.0095816618073358	2.75024508231526
ENSG00000134910.12	-0.162256911355112	6.13413005715894	-4.37005893413768	1.67094251747261e-05	0.0095816618073358	2.65573057682284
ENSG00000264364.2	-0.10865595102801	7.59148269598717	-4.35703386602084	1.76766883036884e-05	0.00993359175914075	2.57487945033072
ENSG00000196663.15	-0.107290839569136	6.46900606278386	-4.35169662160765	1.80883264860599e-05	0.00996560387461396	2.57392221027923
ENSG00000143294.14	-0.092538249103038	5.73371273124633	-4.32996516179331	1.98610770233977e-05	0.0107318565808351	2.50598059238119
ENSG00000270681.1	0.471503451469254	-1.74913658313633	4.45492685905478	1.15421044461123e-05	0.00810775126817156	2.50111738890525
ENSG00000270953.1	0.193105633542706	0.795976359218644	4.29764723118636	2.28078538360698e-05	0.011620615791088	2.37887356863725
ENSG00000129691.15	-0.122421411544741	6.41550167407221	-4.29877432952472	2.26983957583352e-05	0.011620615791088	2.36419049749603
ENSG00000128294.15	-0.254014476402537	5.51675860080566	-4.28188086554776	2.4397352028878e-05	0.0116571943632653	2.32412967542612
ENSG00000234373.1	0.223034201146214	0.651158793684355	4.28091210298678	2.44936587305105e-05	0.0116571943632653	2.30850057306041
ENSG00000172765.16	-0.0964722618769356	5.88572093045643	-4.2771133508463	2.48925781833552e-05	0.0116571943632653	2.29206072332434
ENSG00000235162.8	-0.139610288573285	5.53017474045233	-4.27037252628114	2.5615785248364e-05	0.0117992185886645	2.27740426044092
ENSG00000153933.9	0.0865679731588356	5.38771077092618	4.26405951139038	2.63112658185083e-05	0.0118318193384875	2.25596351823642
ENSG00000122417.15	0.106404957769058	4.67731563545668	4.25552583652488	2.72801102125164e-05	0.0118318193384875	2.25234416276384
ENSG00000196337.11	-0.290075486014705	-0.126521219415344	-4.28231579766668	2.43478039409575e-05	0.0116571943632653	2.22794026428392
ENSG00000254687.1	0.56697093645035	-0.625883136871153	4.29409734756797	2.31601709837329e-05	0.011620615791088	2.22099250362097
ENSG00000096070.19	-0.124035204882265	6.80529002472395	-4.26148947037965	2.65995333042372e-05	0.0118318193384875	2.20848111034499
ENSG00000182841.12	0.158258880269464	4.16997088729968	4.2379940761568	2.93785148019749e-05	0.0121591333011801	2.20559184834825
ENSG00000261460.1	0.164794715456446	2.17242644099838	4.23443865502759	2.98224676354298e-05	0.0121591333011801	2.20320301709583
ENSG00000148187.17	0.116423237419467	6.16174026964605	4.25474083078044	2.73709252260547e-05	0.0118318193384875	2.19524686658988
ENSG00000105402.7	-0.105980515278793	6.38110553115036	-4.24553952467247	2.84571574043759e-05	0.0121149880113357	2.15501555976738
ENSG00000107185.9	-0.118063311353986	5.05489870417863	-4.22404518464675	3.11572922515826e-05	0.0121591333011801	2.11553835823351
ENSG00000088038.17	-0.11384027671175	6.63788515866005	-4.23135654899711	3.02124957900819e-05	0.0121591333011801	2.09370164875712
ENSG00000013503.9	-0.112864977159792	3.79669866546523	-4.2042837615423	3.38541213154623e-05	0.0125932962532559	2.09092140785233
ENSG00000164086.9	-0.143890368138242	5.40227899892063	-4.22023085728277	3.16613204511978e-05	0.0121865723566816	2.08638243801647
ENSG00000184828.9	-0.264641329139319	4.48622828387108	-4.20286000533162	3.40625850682414e-05	0.0125932962532559	2.06112408361116
ENSG00000177946.5	-0.145912690156954	2.22499965429582	-4.19072131647928	3.58323439208252e-05	0.0127445215124981	2.0402469517035
ENSG00000141570.10	-0.177001750273649	4.36432812291406	-4.19337423264228	3.54369130199991e-05	0.0127445215124981	2.02930357632627
ENSG00000225511.6	0.249474259609411	0.66004286515531	4.18504159123927	3.66931354817227e-05	0.0128875465095681	1.96088580855996
ENSG00000189241.6	-0.122269838120332	6.68445491308137	-4.1953668949629	3.51426377876914e-05	0.0127445215124981	1.95246247747153
ENSG00000230333.6	0.381706000166669	-0.766628788610303	4.22489921599379	3.10454940450692e-05	0.0121591333011801	1.94854543950621
ENSG00000279467.1	0.253601139783003	-0.475867739878217	4.21138023605778	3.28609997696002e-05	0.0124774104260301	1.94470265148834
ENSG00000067596.10	-0.0912172474256644	5.99944096851176	-4.17353284612457	3.84981969664285e-05	0.0131917358336916	1.8848867643752
ENSG00000206172.8	0.786665112061043	-0.346641783078928	4.18022808662522	3.7444299137884e-05	0.0129890113231638	1.86396430837058
ENSG00000156026.14	0.0741445154906334	4.034043617541	4.14345547141177	4.36240363647805e-05	0.014269524284735	1.85077699576778
ENSG00000213557.4	0.321622634567006	-1.31064486339969	4.22909904337604	3.05012588895058e-05	0.0121591333011801	1.84348106452399
ENSG00000213390.10	-0.107723607173074	6.27407331776733	-4.16397144864943	4.00619212899135e-05	0.0135621670410119	1.84064706766639
ENSG00000169564.6	-0.164843503328598	5.57140280553745	-4.15746287435171	4.11608106365904e-05	0.0137682911579395	1.83785141630074
ENSG00000150281.6	-0.243994573696196	2.47645365893154	-4.13339426906493	4.54793294733675e-05	0.014269524284735	1.83351367668859
ENSG00000143067.4	-0.169521198699371	3.88581677228372	-4.13329214417453	4.54985412422062e-05	0.014269524284735	1.82006644363671
ENSG00000123444.13	-0.116002682862754	3.31602490108686	-4.12746902026584	4.66068696370063e-05	0.0143907672863802	1.81216235642053
ENSG00000244734.3	1.20338752772043	4.10719206011404	4.13222874713379	4.57063558127322e-05	0.014269524284735	1.79763831587236
ENSG00000181355.20	0.201162965936134	0.730348235514824	4.13812335161734	4.45981098349925e-05	0.014269524284735	1.79623757714085
ENSG00000257519.1	0.9099774407461	-2.52919755193806	4.30182069838006	2.24092075595742e-05	0.011620615791088	1.746031209157
ENSG00000126391.13	-0.153441657825123	6.04661745720826	-4.13468024406983	4.52380718544633e-05	0.014269524284735	1.73475208186862
ENSG00000165283.15	-0.121522835752435	5.8575711074247	-4.119121852337	4.82405502965423e-05	0.0145748707766908	1.68091211839281
ENSG00000198730.7	-0.137681547783451	6.33210271435233	-4.12116893315882	4.78349277590236e-05	0.0145748707766908	1.6752043860046
ENSG00000059588.9	0.146710655520839	5.91628506708499	4.1115729892087	4.97648290647485e-05	0.0147188649164348	1.64841330970427
ENSG00000183044.11	-0.288610749942579	5.85168330227763	-4.09689123414686	5.28698973033478e-05	0.0153193067527475	1.59788252709678
ENSG00000132405.18	-0.137319821900823	5.09029873917286	-4.08505947063022	5.54900491657213e-05	0.015743527120609	1.58277396709872
ENSG00000136485.14	-0.0838667505100801	6.78165253907734	-4.09678229168171	5.28853567875474e-05	0.0153193067527475	1.57141156690076
ENSG00000284024.1	-0.157947999288938	0.9085185918146	-4.07286145438276	5.83297032554574e-05	0.0159121165249693	1.5695315564956
ENSG00000232934.7	0.207197574690104	0.185976142676116	4.07894239642854	5.68972260503148e-05	0.0157725873433123	1.55375699819851
ENSG00000270015.1	0.107468016996206	4.22562691758427	4.06567344487036	6.0067227383669e-05	0.0161834748504377	1.55067399622068
ENSG00000124160.11	-0.109817585414158	6.38773697971656	-4.07740205169571	5.72568833731175e-05	0.0157725873433123	1.50735890976894
ENSG00000066651.18	0.169771501679817	4.52674764420387	4.0564679508506	6.23644034788494e-05	0.0165312736693275	1.50054561778056
ENSG00000120251.18	0.156002879510586	1.97441697691941	4.03718726041937	6.74494059719401e-05	0.0168585741174312	1.47867982828152
ENSG00000105607.12	-0.161313964590508	3.2924244779422	-4.03268601726613	6.86920500725309e-05	0.0169307826573506	1.46407437100473
ENSG00000277595.1	0.27690751572332	-0.776410594091588	4.08269162897531	5.60307748615881e-05	0.015743527120609	1.45637115447291
ENSG00000239306.4	-0.0963262757360398	6.85520938445751	-4.06400966965532	6.04763634171812e-05	0.0161834748504377	1.44574709042873
ENSG00000197977.3	-0.180065576793323	4.7963100615492	-4.04106952214135	6.63948336788804e-05	0.0168585741174312	1.43338210509898
ENSG00000272973.1	0.260538495860747	-1.4355074832835	4.11367087598358	4.93366800581071e-05	0.0147188649164348	1.42649662803488
ENSG00000198924.7	-0.138413523670129	3.62628626588668	-4.02447321569766	7.101560699976e-05	0.017201694185166	1.4253555458449
ENSG00000239388.8	0.150118928440989	0.987245088684257	4.02924236039193	6.96573894610175e-05	0.0170194202528319	1.42264900934861
ENSG00000282815.1	-0.26658670126898	2.99495078522539	-4.01747901498065	7.30542514289552e-05	0.0172453364626952	1.41347244710268
ENSG00000176566.4	-0.168327503132591	5.30911244151404	-4.03951202975801	6.68160120272973e-05	0.0168585741174312	1.40215979286872
ENSG00000072954.6	-0.266507275777833	3.41510295999693	-4.01569973180253	7.35870540960399e-05	0.0172453364626952	1.40010959861903
ENSG00000077232.17	0.161126571060862	7.67274325234513	4.05218769129917	6.34607485003222e-05	0.0166646739379631	1.38480453220933
ENSG00000125484.11	-0.0837739629435261	5.76226342877826	-4.03591267240198	6.77990915819534e-05	0.0168585741174312	1.36972817319023
ENSG00000167196.13	0.0791646612471882	5.1984793013328	4.01138805744372	7.48726058097987e-05	0.0172960169265032	1.29999166415432
ENSG00000167447.12	-0.168024279309488	4.22682239470771	-3.99449346891059	8.01473984903897e-05	0.0179165237546135	1.29104701842402
ENSG00000116478.11	-0.122930046708802	6.5054912285004	-4.01064211295462	7.50983723052668e-05	0.0172960169265032	1.25385535623436
ENSG00000214353.7	0.273318066994245	-1.18628130239212	4.03917635895848	6.69071164901021e-05	0.0168585741174312	1.23705271217469
ENSG00000116128.10	-0.160530689134265	5.21929234374562	-3.99388701145567	8.0343155850285e-05	0.0179165237546135	1.23692539414818
ENSG00000173933.19	-0.0897261294290461	6.65803829663986	-4.00537213626262	7.67118979717933e-05	0.0175239911318004	1.23033300977337
ENSG00000171551.11	-0.293329683480072	2.05128462908299	-3.96674929784453	8.95832099707665e-05	0.019091434514939	1.22905559361499
ENSG00000255491.2	-0.28592108495607	-0.719213123806535	-4.0176901827185	7.29907818595142e-05	0.0172453364626952	1.22740448666844
ENSG00000234084.1	0.305404020900247	-0.812763202061355	4.0154623981766	7.36508070155677e-05	0.0172453364626952	1.22692144126364
ENSG00000182759.3	-0.213516475058625	3.23687575326373	-3.96628413222459	8.97495111186683e-05	0.019091434514939	1.225700517677
ENSG00000237399.7	0.233482588453319	2.47378540819336	3.96183369501818	9.13606774442827e-05	0.019091434514939	1.21621174467661
ENSG00000135916.15	-0.276712619289051	5.37547079297261	-3.98916060278475	8.18959276180125e-05	0.0181189903481174	1.21355390143315
ENSG00000100280.16	-0.0984731370274442	6.82549937512755	-4.00170829177573	7.78530157516519e-05	0.0176412422305638	1.21290729944504
ENSG00000125744.11	-0.200558594172361	1.28707441322542	-3.95425420033048	9.41679880401632e-05	0.019091434514939	1.16915835576664
ENSG00000105877.17	0.20338639642178	2.77551977303641	3.94640170934065	9.71626142656515e-05	0.019091434514939	1.16032337661064
ENSG00000244513.6	0.158269361267665	0.979296130145781	3.94979445317518	9.5857839767468e-05	0.019091434514939	1.14694882440835
ENSG00000111364.15	0.0859420781279683	4.73108929925603	3.96309525543941	9.09011961974684e-05	0.019091434514939	1.1461260353305
ENSG00000157445.14	0.123517468911503	4.41040673332048	3.95519576451016	9.38148495933685e-05	0.019091434514939	1.13455378552342
ENSG00000165819.11	0.0817693696704817	6.26500230863347	3.97682605767666	8.60399811804945e-05	0.0188871202438245	1.1333764232305
ENSG00000276633.1	-0.287416167077885	-0.224784920166813	-3.96567299500095	8.99691494807356e-05	0.019091434514939	1.11974728139863
ENSG00000125968.8	-0.294772228990679	3.78705994583916	-3.94059333225329	9.94489423073474e-05	0.0194049748677212	1.11706879995977
ENSG00000271218.1	0.332360007661833	-2.33247264931795	4.08996859345818	5.43847699158466e-05	0.0155928904601577	1.1089070059343
ENSG00000101247.17	0.0743440270922985	4.63526428737433	3.94647480549581	9.71343263918327e-05	0.019091434514939	1.09085702401398
ENSG00000108406.9	-0.100453185989935	6.09203577611202	-3.96325491373673	9.08432025548007e-05	0.019091434514939	1.08946349242499
ENSG00000138669.9	0.196682816052572	1.8275703544222	3.92248582525827	0.000106849519569131	0.0200020249359249	1.07309613365135
ENSG00000239557.1	0.286078855436003	-0.554040609470788	3.95692236874186	9.31705397984262e-05	0.019091434514939	1.06828995596577
ENSG00000177324.13	-0.261592221052549	3.71283909513819	-3.92590336969144	0.000105425260175015	0.01988079839193	1.06710754223139
ENSG00000130227.16	-0.0737877906587157	7.08028477001096	-3.96077179228298	9.17491474212526e-05	0.019091434514939	1.05557431186427
ENSG00000224982.3	0.369614893428867	0.0188687960670503	3.9350387722663	0.000101664268139059	0.019565497302543	1.05166172572668
ENSG00000067064.10	0.138771717701541	5.56746424770046	3.9476123946619	9.6695090179221e-05	0.019091434514939	1.04839584064577
ENSG00000009335.17	-0.107178245786501	6.45744444280908	-3.9482991049997	9.64308560348608e-05	0.019091434514939	1.024292140996
ENSG00000174938.14	-0.235980542171877	5.17354340005984	-3.92807477151791	0.000104520914544774	0.0198434368708044	0.998924547913598
ENSG00000271945.1	0.319594840324427	1.1240292992335	3.90219733745211	0.000115781363358752	0.0202063648922622	0.989304543296074
