logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000212916.4	-0.461389841150035	1.66464240563255	-8.06705886553343	3.8560604581131e-15	9.32009812725937e-11	23.4902061588757
ENSG00000228223.2	-0.302256309709142	3.13720455807875	-7.93147611434001	1.04405920098411e-14	1.18044546199098e-10	22.7692282691141
ENSG00000130513.6	0.914987885119936	2.59179712069234	7.88519578875834	1.46517847992261e-14	1.18044546199098e-10	22.4171958670643
ENSG00000178163.7	-0.221442602220458	4.42469918312773	-7.78824249030937	2.94760181435372e-14	1.78108839632323e-10	21.8053997926963
ENSG00000180543.4	-0.248332715287418	4.42906376379408	-7.63179161237848	9.00312290117108e-14	4.3521096104261e-10	20.7229818922252
ENSG00000225950.8	0.607018939310338	-0.0160730416801533	7.58486573786137	1.25406497002896e-13	5.05179172093333e-10	19.838777202611
ENSG00000116128.10	-0.18026037109847	5.08054659167339	-7.15868854676392	2.35961467387742e-12	8.14741238108818e-09	17.5369318538618
ENSG00000124217.4	-0.340719445876774	2.45089675186294	-7.13684306051945	2.73256972209939e-12	8.25577627289278e-09	17.3858492667773
ENSG00000138231.12	-0.224280953232643	3.90379920368057	-7.0720335273213	4.21417125700745e-12	1.13173910313189e-08	17.0152507455348
ENSG00000270640.1	0.965687037682911	-0.851064214696461	6.96232515649221	8.71552821169869e-12	2.10654316876757e-08	15.6780698302281
ENSG00000196411.9	-0.253059667647417	5.9747376450833	-6.84179433983759	1.91328902884549e-11	3.85368298559962e-08	15.486845276743
ENSG00000166860.2	-0.279117866669147	3.29593267205487	-6.78295960072085	2.79790563407068e-11	4.47431185908751e-08	15.2012982401297
ENSG00000235070.3	-0.551474583070703	2.33027460311943	-6.76945168294431	3.05263278186283e-11	4.47431185908751e-08	15.0801049617245
ENSG00000178502.5	-0.431627736240753	1.0415687401954	-6.78531772847472	2.75575208589307e-11	4.47431185908751e-08	15.0356341018147
ENSG00000188536.12	1.3074062375295	4.91447873807079	6.7648383925085	3.14701289220057e-11	4.47431185908751e-08	15.0295656650773
ENSG00000197037.10	-0.169019239318355	4.18795767136688	-6.74556236342659	3.55744264689107e-11	4.75434556388113e-08	14.9490634169019
ENSG00000188636.3	-0.226762013646958	5.02333595225687	-6.7362058605622	3.77711445868783e-11	4.75434556388113e-08	14.8537183885386
ENSG00000132640.14	-0.180731679490248	5.34549548636955	-6.7298413623972	3.93408817863561e-11	4.75434556388113e-08	14.8019275339459
ENSG00000133561.15	-0.419828692324681	5.09182385863918	-6.68023177892057	5.40241992472192e-11	6.12761795770443e-08	14.5074094126951
ENSG00000101138.11	-0.226079735746487	4.35139332758961	-6.6269931028806	7.56316249811457e-11	7.61673489914288e-08	14.2149374126549
ENSG00000280173.1	-0.445426445568425	0.732097281031437	-6.62788794537969	7.52054318512193e-11	7.61673489914288e-08	14.0496998876372
ENSG00000179967.11	0.47572952934366	-0.772074270655465	6.67507800753272	5.57747600618524e-11	6.12761795770443e-08	13.9947689116549
ENSG00000244694.7	0.517522286560056	1.05025991009192	6.59065214472278	9.5091633078095e-11	9.19345908599023e-08	13.909644959442
ENSG00000189369.8	-0.265155897634387	2.99088879993254	-6.56759397779056	1.09901035666397e-10	1.02165693540647e-07	13.8911308762314
ENSG00000236426.5	0.80286412819148	-3.45521819130671	6.8482197578647	1.83520387224117e-11	3.85368298559962e-08	13.7252459160367
ENSG00000241112.1	0.928265729150263	-2.85134848732927	6.78078659168343	2.83730979442946e-11	4.47431185908751e-08	13.6798282401823
ENSG00000196659.9	-0.33507757389926	2.73725292202474	-6.51905764446384	1.48841139048355e-10	1.31824662851914e-07	13.597320845602
ENSG00000182810.6	-0.342575243696476	2.60864099648066	-6.4968662704572	1.70874877585894e-10	1.33227283588744e-07	13.4623939277496
ENSG00000214753.2	-0.114294078887815	7.22174581677155	-6.51218790288963	1.55346433228605e-10	1.31824662851914e-07	13.4587641364084
ENSG00000203879.11	0.140778656819517	7.55504415867541	6.50902776930961	1.58431671936156e-10	1.31824662851914e-07	13.4440355950153
ENSG00000174197.16	-0.144435078364692	5.5819753858354	-6.50384518214864	1.6362184052782e-10	1.31824662851914e-07	13.4155411238004
ENSG00000196455.7	-0.176510906872509	5.30451322621245	-6.47614393462244	1.94317398590038e-10	1.46770360122538e-07	13.2582506624776
ENSG00000197557.6	-0.299601952758809	3.12095691584824	-6.44483242160214	2.35828275485394e-10	1.72726346014605e-07	13.1629547489165
ENSG00000187566.5	-0.485687053445688	0.596654232627233	-6.42876055552921	2.60389926591378e-10	1.85106603697459e-07	12.8744969471452
ENSG00000174173.6	-0.281750283474139	3.22277793494752	-6.39153620407366	3.27295825579049e-10	2.19742780673489e-07	12.8491893573718
ENSG00000147124.12	-0.163879518215831	3.69591964847258	-6.35651450006211	4.05454956039761e-10	2.51278109935411e-07	12.6304857328121
ENSG00000141642.8	-0.200272309440513	3.52467793772598	-6.34863865831485	4.25401359501306e-10	2.57048771478664e-07	12.5911330251524
ENSG00000177981.10	-0.159340979196475	4.56837993897118	-6.34314302348537	4.3988514980323e-10	2.5931766026205e-07	12.5050246598732
ENSG00000168806.7	-0.304050983238502	3.17150516226949	-6.3234429353522	4.95879332433345e-10	2.72395533293499e-07	12.4532881469551
ENSG00000183317.16	0.540519528585746	-0.652770842935703	6.39388267954325	3.22622088773507e-10	2.19742780673489e-07	12.4520192409612
ENSG00000162148.10	0.269529279830964	2.32444842779062	6.29858667011482	5.76554376725037e-10	3.02941723596612e-07	12.3042846927923
ENSG00000205869.2	0.731921009599227	-0.891790226841679	6.37598958278246	3.59983277265808e-10	2.35156643554448e-07	12.2874970232577
ENSG00000158691.14	-0.200304270138611	3.50573979015776	-6.29182465023506	6.00637374227151e-10	3.08880964575962e-07	12.2616286267285
ENSG00000059804.15	0.684015218597185	6.79853775392887	6.30851275412933	5.43352055313909e-10	2.9184042615416e-07	12.2470382370379
ENSG00000166189.7	-0.307000916788451	3.36649226715398	-6.28459388255288	6.27478451033529e-10	3.15961545030842e-07	12.2247961608059
ENSG00000233170.4	-0.310391824325722	-0.303589406228869	-6.33732367962571	4.55748017551591e-10	2.6017024506078e-07	12.1818436886037
ENSG00000170468.7	-0.251358719600391	2.60176796115849	-6.26517521072678	7.05501788674949e-10	3.4103956464547e-07	12.1165491479661
ENSG00000116679.15	0.350749530548387	7.48384315744083	6.27806685626497	6.53001987566147e-10	3.22103225295383e-07	12.0749385413073
ENSG00000034533.11	-0.213773384397864	3.1691582339099	-6.24200593277576	8.11066652938824e-10	3.76990019260219e-07	11.9836129722886
ENSG00000213923.11	0.167761737357927	7.13372824411354	6.24797809534897	7.82464726773261e-10	3.70826910708033e-07	11.8955959385732
ENSG00000172409.5	-0.355999392672449	2.5468908412032	-6.20973524467299	9.84219069293161e-10	4.32519543723922e-07	11.7994670507948
ENSG00000132846.5	-0.205689019389887	5.09855801627165	-6.21799056884044	9.36761212901536e-10	4.1928737992278e-07	11.7485164881513
ENSG00000167447.12	-0.312076078084709	3.2093490781676	-6.19866652905125	1.05155450488754e-09	4.45896006721613e-07	11.735655125769
ENSG00000081041.8	0.694033430320208	1.99560368212655	6.19138805761836	1.09908603104033e-09	4.58015678797325e-07	11.6865177245471
ENSG00000167767.13	0.688124619602934	0.989102279936336	6.16762971504116	1.26587850158458e-09	5.18581074293208e-07	11.488980278899
ENSG00000235631.1	0.686026165001365	-2.43520847461245	6.33477878220485	4.62859765726668e-10	2.6017024506078e-07	11.457675837235
ENSG00000170365.9	-0.208014889671277	3.68315101114919	-6.13953224020928	1.49502523809644e-09	5.77784547759789e-07	11.3814441071152
ENSG00000269356.1	0.858064232670235	-3.09685921163849	6.36789828472529	3.78232538687642e-10	2.4057580158106e-07	11.3656685693001
ENSG00000178531.5	0.417061724014559	1.29372778153795	6.13829614249184	1.50601681873673e-09	5.77784547759789e-07	11.3480647304842
ENSG00000182791.4	-0.510905096889268	-0.635464621670562	-6.20141733058524	1.0344114178689e-09	4.45896006721613e-07	11.3344383042705
ENSG00000135392.15	-0.185615074873019	4.56231080531955	-6.13110109839202	1.57158110815269e-09	5.9351742787579e-07	11.2798322519796
ENSG00000232931.5	0.311902129693913	4.36765042755542	6.1255873207765	1.62394034571487e-09	6.03855971629668e-07	11.2537354845314
ENSG00000116819.6	0.356704443154068	0.0232159741729104	6.14875394766927	1.41546151412332e-09	5.60847619612471e-07	11.2505529786875
ENSG00000159147.17	0.20660583509539	3.84028039564032	6.10778129778505	1.80382667479837e-09	6.50723742236963e-07	11.1877698169909
ENSG00000180884.9	-0.307345217717587	2.5056886408631	-6.07710233021308	2.16098459458065e-09	7.46157109300203e-07	11.0541755938894
ENSG00000173209.22	0.235441790866326	7.9768448282674	6.09692137248554	1.92311498898215e-09	6.83554254172036e-07	11.0394880851995
ENSG00000125630.15	-0.197192762914603	4.42115079216573	-6.08365369566408	2.07933906448895e-09	7.28371379546346e-07	11.0199269976468
ENSG00000229808.1	0.559075465273397	-1.11994205684726	6.15681381630522	1.34932173241088e-09	5.43551771206182e-07	11.0196601714331
ENSG00000136866.13	-0.202201296078426	2.26874460469963	-6.05442874292237	2.46844401849554e-09	8.28642943431073e-07	10.924700441666
ENSG00000198824.5	-0.212020489261447	4.29230742212598	-6.05854025957627	2.40968732331153e-09	8.20311867668166e-07	10.8870877944882
ENSG00000183137.14	0.188564920391952	3.11700614059	6.03276898802492	2.80183543864403e-09	9.02938167360349e-07	10.800874930666
ENSG00000206172.8	1.23683508940693	1.17852012849258	6.03499309319255	2.7676024099671e-09	9.02938167360349e-07	10.781202582414
ENSG00000240303.7	0.208683070633997	5.9855833572541	6.05145726875243	2.5117771002068e-09	8.31639075506826e-07	10.7682215515787
ENSG00000123444.13	-0.230320521996641	2.28906502884022	-6.02499217801282	2.93195069081073e-09	9.32437476274938e-07	10.7625835567189
ENSG00000183569.17	0.333220287869452	1.22631885217657	6.02079948479993	3.00452759109969e-09	9.43109504894538e-07	10.6965391010348
ENSG00000186130.4	-0.233747709858618	3.18683845149544	-6.01025465918215	3.19490115940467e-09	9.77477987630517e-07	10.6766519734096
ENSG00000262870.1	0.815414553126123	-3.13799667111991	6.23000106281597	8.71686951389324e-10	3.97522143680754e-07	10.647540568576
ENSG00000131043.11	-0.182241451762149	4.94663915373172	-6.01579131865335	3.09352114326497e-09	9.58594949137363e-07	10.6049745625181
ENSG00000119401.10	-0.172079684641684	3.80079969012281	-5.99240355034451	3.54434549908287e-09	1.06391513610494e-06	10.5483881878776
ENSG00000163071.10	0.364344073621343	2.2745585790614	5.98293850537067	3.74448464563445e-09	1.1037096815242e-06	10.5333915133459
ENSG00000151376.16	0.199926913574104	5.06097625805747	5.99138079684263	3.56545825504758e-09	1.06391513610494e-06	10.4578218529759
ENSG00000125484.11	-0.209720496324458	5.14534129743421	-5.96944285876985	4.04904082942483e-09	1.17910020297829e-06	10.3358579299892
ENSG00000197128.11	-0.208016920530379	3.68068751730958	-5.95064155643547	4.51394111753247e-09	1.29883281917571e-06	10.3247449447779
ENSG00000162377.5	-0.248263890860353	3.51291031466491	-5.94351913167997	4.70332752631257e-09	1.32185379431366e-06	10.2950438571411
ENSG00000183248.11	0.49882399235294	1.60328833839147	5.92199232643495	5.32441671183351e-09	1.44596799915748e-06	10.1845735162239
ENSG00000266412.5	-0.175443671182072	6.85091032417344	-5.92825732900024	5.13560901921329e-09	1.42675482752167e-06	10.0773442101686
ENSG00000244734.3	1.15279024194684	6.9635107984579	5.92359995781304	5.27851057200416e-09	1.44596799915748e-06	10.0567417731228
ENSG00000172890.11	0.160230550249542	6.73046468008925	5.91912068229823	5.41269259693004e-09	1.45360866741999e-06	10.0264820527442
ENSG00000103381.11	-0.185321611770258	4.23921366447609	-5.89821173780504	6.10278523072474e-09	1.60330781550671e-06	9.99855923115443
ENSG00000255642.1	-0.30306371861984	0.328187444360731	-5.90168344011379	5.98254182937469e-09	1.58898940676908e-06	9.95340470702109
ENSG00000213089.4	0.639135930998702	-1.05516950051322	5.94430622231831	4.68202358626063e-09	1.32185379431366e-06	9.9355208825667
ENSG00000105376.4	0.632783685928843	1.68087595316585	5.85913153886074	7.63350687596677e-09	1.96278575736295e-06	9.85063079332298
ENSG00000164296.6	-0.187441045534367	2.28387215651157	-5.85522257076583	7.80169957874097e-09	1.97733712254252e-06	9.83926768827653
ENSG00000197329.11	0.331858175677524	4.8847946697126	5.87631009886256	6.92019890995678e-09	1.79850760917909e-06	9.82776094943445
ENSG00000134014.16	-0.14956836073592	4.79602274279763	-5.85405566177825	7.85371798775682e-09	1.97733712254252e-06	9.71738809584255
ENSG00000134152.10	0.148453310593952	4.33924171162653	5.84471174846057	8.28262200539359e-09	2.06382447289034e-06	9.6928516763346
ENSG00000259494.1	-0.17187403655027	3.60512716118762	-5.82925324765977	9.04281686655372e-09	2.20772609762226e-06	9.66506118997373
ENSG00000200879.1	1.11910761516822	-4.17463572638272	6.11338298415875	1.7452344439665e-09	6.39126007737427e-07	9.65788008384335
ENSG00000203814.6	0.864272098399162	1.59693135421462	5.81362571902007	9.88629469721619e-09	2.36585883991797e-06	9.60683389524067
ENSG00000006652.13	0.226055270159713	6.12957280089433	5.84257770870766	8.38373510579385e-09	2.06770283170446e-06	9.60521253905566
ENSG00000264538.6	0.175420262205107	4.42323249919692	5.81566441874797	9.76690328654157e-09	2.3606605243571e-06	9.52822495046164
ENSG00000165802.21	0.166974703771513	6.51865935557964	5.80658455263328	1.0281894452363e-08	2.43640577366288e-06	9.40770806963476
ENSG00000198841.3	-0.26852273535175	2.16239183763715	-5.77068362006928	1.25898768667237e-08	2.79171856760286e-06	9.38696326087913
ENSG00000117597.17	-0.162984409533212	4.0872409060165	-5.78340847564863	1.17192922160033e-08	2.69766945581714e-06	9.38430465300786
ENSG00000182168.14	-0.242047921978048	5.46139629290386	-5.79869401652137	1.07508405261045e-08	2.52279432539754e-06	9.38280193910822
ENSG00000132357.13	-0.282438395546511	4.20581536599255	-5.77577756940834	1.22340593526117e-08	2.7635253696507e-06	9.33653623177169
ENSG00000134107.4	0.618836266811894	7.55746103165555	5.78930435529932	1.13428468823802e-08	2.63612124179932e-06	9.32528035723993
ENSG00000174579.3	-0.175995858279835	5.19429474823312	-5.77970775370404	1.19662449041301e-08	2.72852961634741e-06	9.29063173067244
ENSG00000132773.11	-0.190367966606694	4.10264769683315	-5.75873891814988	1.34642138720033e-08	2.93180224582269e-06	9.25082629159232
ENSG00000257591.5	-0.227273238952187	0.973900862534175	-5.75400435463532	1.38269041743862e-08	2.95748914951252e-06	9.24878528138973
ENSG00000156853.12	-0.216117688015333	3.36742822996025	-5.74526229589221	1.45217527484184e-08	3.02578244766615e-06	9.22753010163242
ENSG00000103966.10	-0.201436440677228	6.57768127806872	-5.77322325454481	1.24112388205949e-08	2.77758928049796e-06	9.22647954286585
ENSG00000258469.1	0.501392634964937	0.383521184674192	5.75666440391826	1.36219765756855e-08	2.93967119494927e-06	9.22401244309265
ENSG00000120733.13	-0.118016452761422	6.67490012685177	-5.76073853432885	1.33138319979275e-08	2.92541199445371e-06	9.15916568560634
ENSG00000085465.12	0.281741008833931	2.28854435233823	5.72128127982884	1.66070362520629e-08	3.43070142061846e-06	9.12726045624828
ENSG00000148926.9	0.599525846294913	5.43506572299694	5.74626715916754	1.44485724821997e-08	3.02578244766615e-06	9.09485432903804
ENSG00000114491.13	-0.18151512025663	4.1137140259613	-5.71760037891835	1.69519000289858e-08	3.47226630254735e-06	9.02938247966002
ENSG00000196581.10	0.424907797901455	1.95312379552813	5.70047892294397	1.86498106555329e-08	3.72533821110933e-06	9.01686303611666
ENSG00000279348.1	-0.258672938769934	1.26989992310069	-5.70208326701648	1.84839294042944e-08	3.72297144751496e-06	8.99791427477032
ENSG00000155592.15	-0.176539481317082	2.97374693272155	-5.69761107729363	1.89499491296817e-08	3.74831156344868e-06	8.9913654105494
ENSG00000100109.16	-0.135183081898601	4.6094561028304	-5.71188984164169	1.75007609330596e-08	3.55456631724413e-06	8.96055164390729
ENSG00000166856.2	-0.504751720388261	1.43372503171967	-5.68651026988959	2.01577964746434e-08	3.89771152633704e-06	8.92263767315184
ENSG00000171649.11	-0.219335134106079	3.2293587268823	-5.68285413602192	2.0570244031464e-08	3.91482518299594e-06	8.90333443766981
ENSG00000100650.15	0.192714594710933	9.69076020908464	5.69497417368314	1.92300634616316e-08	3.74831156344868e-06	8.86481725456941
ENSG00000243716.10	0.272993806559581	5.92401739629705	5.69520293669829	1.92096057406957e-08	3.74831156344868e-06	8.80960838981398
ENSG00000135482.6	-0.140173701547922	3.20096782461571	-5.66496359470322	2.27160241248882e-08	4.22343310075807e-06	8.80957535886808
ENSG00000179593.15	0.719855553752326	1.95934813204507	5.65485561461342	2.40362127846002e-08	4.40117623487718e-06	8.77899790653541
ENSG00000174327.6	-0.296773946315477	2.00329090348407	-5.64359561573775	2.55652889608881e-08	4.63187216217968e-06	8.71938528380525
ENSG00000108055.9	-0.126683594867031	5.69051660877015	-5.67265535426645	2.17680379084082e-08	4.11041778317364e-06	8.69586375407606
ENSG00000253719.3	-0.120759238035801	6.53110984871651	-5.66529028480275	2.26749560372281e-08	4.22343310075807e-06	8.64666335083765
ENSG00000162407.8	-0.290392634611383	9.01180014653699	-5.65590844883717	2.38835909991555e-08	4.40117623487718e-06	8.63561362204745
ENSG00000197054.11	-0.202817164063653	2.78118453725236	-5.62816077549856	2.78366980636909e-08	4.94715435440742e-06	8.6334484608913
ENSG00000172113.8	-0.114103485343566	3.42992026484004	-5.61911342393829	2.92581348479688e-08	5.13281411090175e-06	8.55600271965397
ENSG00000196337.11	0.496241186801794	-2.31394828126342	5.74826529149484	1.42793145733211e-08	3.02578244766615e-06	8.54462012057068
ENSG00000214021.15	0.204338380743964	7.3299702324012	5.64278899519983	2.56793905557334e-08	4.63187216217968e-06	8.53416507557824
ENSG00000136485.14	-0.105011564809731	6.36159027832899	-5.64082016464485	2.59599785128912e-08	4.6477976344932e-06	8.5167560922343
ENSG00000226396.1	0.392439397658442	0.766082286749984	5.59935558810299	3.26120443747632e-08	5.51211966809809e-06	8.44932906256961
ENSG00000184254.16	0.464609335310271	1.01826319012175	5.58885930227104	3.45429364297712e-08	5.69621501523641e-06	8.41207705011765
ENSG00000207304.1	0.251233907714838	0.283389509925085	5.59955092520983	3.25771242992817e-08	5.51211966809809e-06	8.4078405329481
ENSG00000169047.5	-0.258666464974349	7.00056603245584	-5.61883091052961	2.93060962889715e-08	5.13281411090175e-06	8.40237025953762
ENSG00000198642.6	-0.140307339310744	5.23295996861877	-5.61120246664276	3.05586890497772e-08	5.27573938809367e-06	8.38759964873051
ENSG00000151576.10	-0.12464622635122	4.35937021472788	-5.59937033063965	3.26094076076585e-08	5.51211966809809e-06	8.38299090023817
ENSG00000165660.7	-0.137935949377337	4.13235314125581	-5.58832616746508	3.46439225171598e-08	5.69621501523641e-06	8.34358546304601
ENSG00000175283.7	-0.27124530518114	3.4785774887591	-5.57633208860888	3.69932210313938e-08	5.96084101552526e-06	8.33221293717375
ENSG00000119328.11	0.173943579068484	4.81656688682894	5.59618454705883	3.31840436604753e-08	5.56984955051173e-06	8.32800570366864
ENSG00000139567.12	-0.249159907294215	6.20274831082915	-5.58933541491088	3.44561243466133e-08	5.69621501523641e-06	8.24601607362761
ENSG00000143786.7	0.227424946336165	2.00166398132178	5.5497881807271	4.275626548217e-08	6.68449707645515e-06	8.2378203275115
ENSG00000261351.2	0.184277595308144	1.3226328454935	5.54931269500208	4.28670685498779e-08	6.68449707645515e-06	8.22225141809683
ENSG00000104221.12	-0.213233200703054	1.9561829244145	-5.5458181775767	4.36900072046259e-08	6.76915047522953e-06	8.21674764006522
ENSG00000106366.8	0.836632768900311	6.26146878903296	5.58167399977498	3.59470760668322e-08	5.83114650023714e-06	8.20676327667926
ENSG00000177352.9	-0.178456424591495	4.35624359767231	-5.56039798032699	4.03550229856856e-08	6.37503859845765e-06	8.18036963162315
ENSG00000259663.2	0.912638593358896	-1.53812294279461	5.6171583142301	2.95831042243835e-08	5.1440548856356e-06	8.17743319839149
ENSG00000135111.15	-0.223922858666891	7.63093979334317	-5.56987881382876	3.83205861930118e-08	6.13383157804699e-06	8.15254292812477
ENSG00000271646.1	-0.195241009772976	2.55170400154936	-5.53039275600597	4.75097967394161e-08	7.21139218038166e-06	8.13422476446697
ENSG00000130772.13	-0.27328848870174	2.61319158333474	-5.52951053543616	4.7737805083205e-08	7.21139218038166e-06	8.12878819279315
ENSG00000278834.1	-0.229195323564817	1.76453783588716	-5.51398603688596	5.19284754637521e-08	7.68439953171904e-06	8.05267325370222
ENSG00000204086.4	0.765323721444929	-3.05207545585705	5.68443580887207	2.0390325076698e-08	3.91138219923644e-06	8.02589152101616
ENSG00000000457.13	-0.115598545833736	4.24827607278482	-5.5235653249723	4.93022989981108e-08	7.37535834328814e-06	7.99638804973815
