logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000144031.11	-1.0484213820125	2.7764230344953	-9.68128597714521	5.11430161196013e-21	1.19429171242493e-16	36.9296658681842
ENSG00000004455.16	-0.437909784301909	6.50712064568898	-9.58535005546698	1.17809617492783e-20	1.37554509384573e-16	36.142963185392
ENSG00000176014.12	-0.912824620468761	7.3921760721222	-9.33989599805772	9.70228894561465e-20	4.53135702915987e-16	34.0817681666639
ENSG00000163564.14	1.19404418112198	1.20911133318515	9.40771381491774	5.4386022046846e-20	3.17505596709487e-16	33.93501967272
ENSG00000112319.17	1.16460335546417	0.489709924815715	9.43904541224325	4.15925133200807e-20	3.17505596709487e-16	33.8751036935895
ENSG00000013375.15	-0.679644206034863	5.47054995896976	-9.0253258069389	1.35753688428784e-18	5.28353355364829e-15	31.492151253427
ENSG00000181938.13	-0.523940557976997	2.55311102686155	-8.8929704944479	4.03159623552779e-18	1.34494050417207e-14	30.4033043888386
ENSG00000062485.18	-0.569555819354157	7.60165607115153	-8.80712685778879	8.11411644054813e-18	2.368510588996e-14	29.7522546597433
ENSG00000127418.14	-0.907330607172777	5.96602004303995	-8.66070911616123	2.64339678563423e-17	6.85873352645894e-14	28.5883579256562
ENSG00000048540.14	0.796731095919843	5.5390811313824	8.63494517405973	3.24833958764521e-17	6.8959296409719e-14	28.3962581757981
ENSG00000114646.9	-0.823206887495321	-0.155047821786493	-8.64442397852837	3.0097108199658e-17	6.8959296409719e-14	28.0379366235752
ENSG00000006625.17	-0.980760900812984	5.26494768985261	-8.58675689781936	4.76962566053178e-17	9.28169153539484e-14	28.0102036488594
ENSG00000109519.12	-0.579579693862637	4.98076442049643	-8.56220239522221	5.79490970766244e-17	1.04094408841026e-13	27.8227205543197
ENSG00000131828.13	-0.465077166382501	6.00993417970512	-8.51962817100274	8.11717207729063e-17	1.33472996877694e-13	27.4898770508522
ENSG00000119689.14	-0.303729007474293	7.07284835255177	-8.51270503332035	8.57354810365458e-17	1.33472996877694e-13	27.4422687353077
ENSG00000142208.15	-0.364779942693527	6.65422517861274	-8.47037125721372	1.19697421165074e-16	1.74698386190426e-13	27.1132465357285
