logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	1.49576203712685	-0.0436771961065306	12.6810577169957	5.09394810159865e-34	1.16610659941796e-29	64.2412132170275
ENSG00000081803.15	0.500667059153685	4.2513383278772	12.2615274555941	4.53286406112996e-32	5.18831620436936e-28	61.954948052205
ENSG00000184226.14	1.01502019804541	3.00391723499375	9.42217203466534	3.62576725832587e-20	2.76670213591986e-16	34.9968920825106
ENSG00000234546.3	1.00960494802947	-1.01066074634528	9.35539767513674	6.45458524999636e-20	3.69395913857291e-16	33.3963113315
ENSG00000185633.10	1.15469934483987	6.62173500526993	9.23058753420233	1.88394216968081e-19	8.62544082966662e-16	33.3658509157085
ENSG00000170381.12	1.62434043170305	0.479497356833045	8.86169578666181	4.15876779474644e-18	1.58670853928893e-14	29.8814839186856
ENSG00000124813.20	0.876463657738132	2.08872153132454	8.79793603547793	7.02351235327945e-18	2.2968892113039e-14	29.8228997620133
ENSG00000178163.7	-0.45713115948941	3.57293879771148	-8.7411086501915	1.11802546198291e-17	3.19922985946409e-14	29.4140065093794
ENSG00000153253.16	1.11251309964707	2.084814437838	8.62047758277522	2.97582925610594e-17	6.81226833307772e-14	28.4061069245746
ENSG00000136485.14	-0.255643558249983	5.94241389441204	-8.62187947746667	2.94146564142774e-17	6.81226833307772e-14	28.4052491367172
ENSG00000151575.14	0.70629537023019	0.468197518840747	8.55196433500132	5.16068938824374e-17	1.0739863770516e-13	27.6838467880756
ENSG00000228526.6	0.787369986577937	3.78089808774354	8.46040450310444	1.0719624393634e-16	2.04494701349225e-13	27.2357058273017
ENSG00000108387.14	0.433932032008908	5.66105618692019	8.42885375234746	1.37601311034885e-16	2.42305324016198e-13	26.8978911344037
ENSG00000046889.18	0.717146577080952	4.42327067287186	8.36738737984459	2.23672010612248e-16	3.65735690495399e-13	26.4869129296116
ENSG00000166529.14	-0.255495718217412	2.0899726485369	-8.31190347784552	3.45531856891626e-16	5.27327684530874e-13	26.1016935016473
ENSG00000164091.11	-0.246459189497469	6.7926592096497	-8.30268349102701	3.71377070988964e-16	5.3134774431746e-13	25.9300203507748
ENSG00000170581.13	0.312550647885337	6.83881841473371	8.27056819619694	4.77208863411068e-16	6.27436933614677e-13	25.6779510153251
ENSG00000185008.17	1.74711377595033	1.25915692159953	8.2663840336366	4.93354220036003e-16	6.27436933614677e-13	25.5327636638559
ENSG00000172667.10	0.417009515574873	5.40201651136593	8.20188692532739	8.13593958338615e-16	9.80252257594083e-13	25.1629389615686
ENSG00000239789.5	-0.308494146908621	3.26620092557291	-8.15483814819246	1.1700367342362e-15	1.27800304416591e-12	24.8901164961683
ENSG00000048540.14	0.889780525693595	4.80812954738892	8.15466078070983	1.17237742126001e-15	1.27800304416591e-12	24.8540944970365
ENSG00000225511.6	0.877228948994682	-1.02755118022596	8.14821083793357	1.23130395820109e-15	1.28122773686997e-12	24.2512243021481
ENSG00000185567.6	0.670509712604797	5.72813818172985	8.01501914636207	3.4111604816904e-15	3.12353142987427e-12	23.7562970350871
ENSG00000176049.15	1.39797942846331	-0.517660662056768	8.03010992879141	3.03976808255781e-15	2.89943212274639e-12	23.4436261396973
ENSG00000166847.9	-0.256583409612183	5.75610781577587	-7.9632637300988	5.04496110220411e-15	4.44189421352525e-12	23.3629165649207
ENSG00000119630.13	1.10259025539814	5.16541664539217	7.94537602381541	5.77724330662301e-15	4.89824643611903e-12	23.2817544807105
ENSG00000177595.17	0.359792671684232	4.54164684861605	7.9294620761036	6.50916100025434e-15	5.24221651967685e-12	23.1670245424225
ENSG00000183520.11	-0.289946400465874	4.47416878173505	-7.92679837501421	6.64093478379472e-15	5.24221651967685e-12	23.1232738836809
ENSG00000137558.7	-1.27972434728425	1.88570462759851	-7.91198819566104	7.42719492841181e-15	5.66744487670678e-12	23.1191661865363
ENSG00000072041.16	1.51512852636003	-2.21307677885051	8.04405565397077	2.73366530011181e-15	2.72082895870259e-12	23.0179402378154
ENSG00000214021.15	0.429844257116142	6.27579641412695	7.89388092713992	8.50336962772834e-15	6.2793270167083e-12	22.852075607599
ENSG00000161513.11	0.660915068041346	2.59825400391402	7.86077959760266	1.0893659541887e-14	7.79305169477744e-12	22.7552267373329
ENSG00000143318.12	-0.76861856253767	1.71877532247374	-7.83645642205006	1.30612319579707e-14	9.06053702975349e-12	22.5804999268654
ENSG00000118496.4	-0.383790908467108	4.83238391857412	-7.73908839684483	2.6878646983733e-14	1.70918329653227e-11	21.7387579047877
ENSG00000182179.12	0.412458367220363	5.7976431528239	7.73043120892414	2.86493267256527e-14	1.77254158757741e-11	21.6675144149752
ENSG00000061794.12	-0.276711731253807	4.79346152219446	-7.7139760159318	3.2337501626303e-14	1.94807917691929e-11	21.5619925449007
ENSG00000187068.2	-0.554239228007873	4.78955025017336	-7.70438611653859	3.47128161904944e-14	2.03755330316102e-11	21.4866379207898
ENSG00000106536.19	1.50320040013915	-1.14576174998494	7.77709081349454	2.02989002678314e-14	1.32766407123199e-11	21.475326559979
ENSG00000134574.11	0.434576823604003	4.78623926142288	7.69693764797913	3.66490392045377e-14	2.09742451367569e-11	21.4672724585894
ENSG00000188636.3	-0.32119279024304	5.12951923362746	-7.68737296504085	3.93125765239211e-14	2.19498415069659e-11	21.360094177725
ENSG00000250337.5	1.42510973141615	-2.82930245006612	7.81771503977545	1.50164902727512e-14	1.01105145683477e-11	21.3205913335528
