logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000205464.11	0.557937722513558	2.996896870487	9.3169885316013	5.74447983356799e-20	1.37109244667601e-15	34.4830278305675
ENSG00000282826.1	-0.703092636568852	1.89571863153511	-9.01432108173537	7.87899697536107e-19	9.4027949903959e-15	31.9468801399998
ENSG00000176783.14	0.292512315699497	4.70567786188694	8.60666185416483	2.38606438631746e-17	1.89835282575417e-13	28.6943974891539
ENSG00000115970.18	0.311593668896777	3.63249793299469	8.45210987148812	8.3928721199322e-17	5.00802679396354e-13	27.4691801571687
ENSG00000132470.13	1.30372505845978	5.05506703837487	8.03635377010144	2.24362974304328e-15	9.27608449316349e-12	24.2760082460601
ENSG00000272864.1	1.26434729430275	-1.223676396291	8.03135445159521	2.33184627781888e-15	9.27608449316349e-12	23.2838858566913
ENSG00000130177.14	0.238010953165337	5.56548764386117	7.8256942289433	1.12236580070527e-14	3.34857836640417e-11	22.695550404037
ENSG00000256577.2	1.04377968509287	-0.711628135124671	7.85877944115091	8.73758561227403e-15	2.97926704848224e-11	22.309325877663
ENSG00000233830.2	-0.861778737587086	-2.08774917640817	-7.59360579138669	6.3347267480584e-14	1.67996953358509e-10	20.5554301262284
ENSG00000100802.14	0.409751247197797	1.945688437222	7.43239265175104	2.0518482190168e-13	4.74595858051115e-10	19.8702016704006
ENSG00000149531.15	-0.642947963198876	2.78842850037796	-7.42302431253198	2.19540736086539e-13	4.74595858051115e-10	19.8406354634839
ENSG00000266050.2	-0.754501173203593	1.17169249149508	-7.35751889041144	3.51512062551523e-13	6.45376146844596e-10	19.3689182325111
ENSG00000172878.13	0.295708684573501	2.84112669270413	7.30109923222323	5.25693365574816e-13	8.96232089252836e-10	19.0027375713187
ENSG00000130023.15	0.329557569586072	3.93692734883671	7.28720916321868	5.80208999372824e-13	9.23228559802038e-10	18.8919561198509
ENSG00000271980.1	1.30457897500962	-2.97685983910856	7.41146972259792	2.38610285596338e-13	4.74595858051115e-10	18.5885024694192
ENSG00000143179.14	-0.421827940310332	1.80619275184339	-7.20696100217194	1.02270721076071e-12	1.39724695382988e-09	18.3564810243233
ENSG00000187049.9	0.433296409548381	3.18469791400085	7.20270837305195	1.05373073441167e-12	1.39724695382988e-09	18.3328592943776
ENSG00000231429.2	-0.982537154885099	-3.15750281755927	-7.27388447055254	6.37712303868631e-13	9.5130732929603e-10	18.1716882740791
ENSG00000185670.7	0.378124082025499	1.57241035770824	7.17237166815648	1.30351699369381e-12	1.63749176870968e-09	18.0845580339436
ENSG00000187838.16	0.312316777562098	3.60902117868877	7.1152549374236	1.94145456097726e-12	2.28721592106764e-09	17.7330779369683
ENSG00000145545.11	-0.481707462874432	4.5818399626157	-7.10951381526995	2.02047436939208e-12	2.28721592106764e-09	17.6513149639291
ENSG00000166411.13	-0.424379474777186	4.44756840772757	-7.10339108522173	2.10820974792559e-12	2.28721592106764e-09	17.612023982287
ENSG00000226415.1	-0.723162917512209	-0.509635801813063	-7.08005308034593	2.47828019866884e-12	2.57180833834034e-09	17.3785268882292
ENSG00000125520.13	0.504666841378628	4.42304941964969	7.06387601519483	2.77152487330445e-12	2.62146735933482e-09	17.3674175154119
ENSG00000138231.12	0.27386279428399	2.89823065875326	7.05194374560566	3.00937424658727e-12	2.62146735933482e-09	17.3232941136255
ENSG00000218283.2	-0.416165565694528	3.23060963028471	-7.04880099947444	3.07529269571706e-12	2.62146735933482e-09	17.2800312800941
ENSG00000076555.15	0.62952387666591	4.90172364275053	7.04902675724689	3.07061583226896e-12	2.62146735933482e-09	17.2564673985536
ENSG00000171865.9	-0.392267183875151	2.93137326335641	-7.01955073260081	3.76086225992691e-12	3.09531932482536e-09	17.0961963339818
ENSG00000262165.2	1.03582133059726	-0.444494463138079	7.05319847584252	2.9834673976869e-12	2.62146735933482e-09	16.977154111192
ENSG00000109265.13	-0.595786993489848	2.51923821255536	-6.97163512048573	5.22121525952082e-12	4.15399886047477e-09	16.7857651918497
ENSG00000164463.12	0.296027908237133	4.76124738770433	6.946765236211	6.18560050297259e-12	4.76251331628871e-09	16.5742769414596
ENSG00000149016.15	0.272471506880856	3.99798661619073	6.89657967319696	8.6940022896475e-12	6.28813474694868e-09	16.2691718809025
ENSG00000174028.6	-0.705984785089081	-0.594608537334213	-6.90492925295433	8.21656348721171e-12	6.12852929102404e-09	16.2412267015264
ENSG00000131370.15	-0.679014744117237	3.1875559388493	-6.8903347502675	9.06909564597275e-12	6.36650514347287e-09	16.227404880648
ENSG00000137692.11	-0.298646774445527	3.14348606311376	-6.86059887874105	1.10822928800733e-11	7.3475601794886e-09	16.0486685104192
ENSG00000254427.1	0.688190473050901	0.306270951119638	6.87173938906505	1.02812120656749e-11	7.01119913095797e-09	15.9893728682272
ENSG00000105607.12	0.418991961972591	3.97427525659652	6.82821298419168	1.37750570854241e-11	8.88602871661901e-09	15.8305921107502
