logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000166126.10	-1.38812299345539	-0.508923091641191	-6.45989854597916	4.14412355885317e-10	9.79380720663769e-06	11.4577023955118
ENSG00000114491.13	-0.244490160918637	4.3382302317701	-4.79843544250348	2.50899700035919e-06	0.0148237815273722	4.46142672364819
ENSG00000147889.17	0.937645433560551	0.381880170165891	4.90034995988728	1.55749906724678e-06	0.0122694584854144	4.27592968745418
ENSG00000244681.1	1.80174190022425	-3.9857435321798	5.4368047063177	1.11431559029925e-07	0.00131673101727711	4.09294849875885
ENSG00000114650.18	-0.247446828197123	6.44143825578483	-4.66413829379062	4.64643243663394e-06	0.0157631698906068	3.8708957527837
ENSG00000185085.2	-0.275840824529249	4.50310121677996	-4.61292593750488	5.85583238581267e-06	0.0157631698906068	3.67126031683218
ENSG00000158480.10	-0.203988885883905	3.63941936327073	-4.6074049922429	6.00298434458009e-06	0.0157631698906068	3.66928696582212
ENSG00000163564.14	0.962647629324794	0.401567529136803	4.74746850777365	3.17518957420505e-06	0.0150078510414376	3.64366770916355
ENSG00000141431.10	0.580172661939027	1.22848017234109	4.52528431687864	8.65927768721153e-06	0.020464470958187	3.11211519841866
ENSG00000213380.14	-0.162185450898514	4.31126560469202	-4.46473626117378	1.13068009515451e-05	0.0233972711613487	3.07125249449087
ENSG00000214022.11	-0.276917602373124	6.2972518908019	-4.45343469893476	1.18803052484316e-05	0.0233972711613487	2.9976418923947
ENSG00000101138.11	-0.193042985098694	4.35852601461072	-4.41429937947468	1.4089673762237e-05	0.0256139430786882	2.86609631564941
ENSG00000206053.12	-0.290160696512989	5.68621355504081	-4.38988019296662	1.56623244945134e-05	0.0259366083263621	2.73933282631176
ENSG00000166189.7	-0.362301599156072	3.68888924477991	-4.37725792120644	1.65398200168064e-05	0.0259366083263621	2.73717100760937
ENSG00000141385.9	-0.25571125066052	5.1095693043422	-4.35385614826734	1.82927768955257e-05	0.0259366083263621	2.60186218846203
ENSG00000188522.14	-0.537075729693378	2.65792358780734	-4.33602233722919	1.97466604682647e-05	0.0259366083263621	2.58773929036437
ENSG00000065000.15	-0.214960419292522	7.11164488246991	-4.30670673862769	2.23797330846495e-05	0.0272933979878696	2.42017546163489
ENSG00000196277.15	1.336126928356	-1.89932937051933	4.64315707991756	5.10960118306586e-06	0.0157631698906068	2.37260501640378
