logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	1.52383265992304	-1.95155607010122	6.63947981965317	7.70031481356994e-11	1.14867964623573e-06	12.8650713050665
ENSG00000273203.1	0.841378176067266	-0.780187427829434	6.45525470010153	2.41287116872942e-10	1.81455954792348e-06	12.51504672192
ENSG00000263826.1	-0.809064183351026	-0.0187890436307421	-6.33886747007844	4.89832543659369e-10	2.76277800437476e-06	12.3004471049124
ENSG00000250337.5	1.64458346764227	-3.64258428606418	6.59479129687523	1.01828788283829e-10	1.14867964623573e-06	11.7623386198673
ENSG00000163811.11	-0.307793675491225	4.6547656450821	-6.13817059067663	1.62012820309519e-09	7.31034247800611e-06	11.2686888005788
ENSG00000269343.6	-0.4181058623772	2.95076777368074	-6.05398795727099	2.6507100051874e-09	7.47533355337911e-06	10.8631466845535
ENSG00000279838.1	-0.762510496860432	-1.03027689857301	-6.06186574758671	2.53195996654569e-09	7.47533355337911e-06	10.635096835871
ENSG00000112319.17	1.08372720936151	-0.69282980241129	6.06875840148266	2.43233377142275e-09	7.47533355337911e-06	10.4390889772312
ENSG00000131080.14	0.57867377088934	1.70840187077523	5.77526497826905	1.29964026013007e-08	3.2579093231994e-05	9.32411025846995
ENSG00000198824.5	-0.308975799131039	4.29553784659445	-5.67049384915507	2.32470437828759e-08	4.37063795654552e-05	8.73291536299681
ENSG00000261026.1	-1.40037336932842	-2.84952666989022	-5.74129048391364	1.5709257217833e-08	3.5441655209153e-05	8.67621122808099
ENSG00000183977.13	-0.561769824714643	-1.60727258185268	-5.67713968861498	2.24110759773974e-08	4.37063795654552e-05	8.53001070571593
ENSG00000245060.6	0.277582520773689	3.76028361942942	5.53487119498749	4.87018192968674e-08	7.17819532373987e-05	8.08568875394284
ENSG00000135924.15	0.222619202026661	6.26097902836378	5.55178622743381	4.44469547895114e-08	7.17819532373987e-05	8.05180357015107
ENSG00000265206.5	-1.12635654062262	-0.223650076644366	-5.53331058128876	4.91199588232356e-08	7.17819532373987e-05	8.04943116484128
ENSG00000276672.1	-0.611109187756652	-0.34785209006081	-5.5266622116888	5.0906930180328e-08	7.17819532373987e-05	7.98156911351903
ENSG00000197162.9	0.270864302834405	3.54466968273317	5.47115241296142	6.85798376249438e-08	7.61930914466613e-05	7.77209548071843
ENSG00000278970.1	0.232679010633313	4.44941239709689	5.46580606748014	7.05673115241364e-08	7.61930914466613e-05	7.68717851410307
ENSG00000175606.10	-0.423132593163388	4.43533597421215	-5.46867291256203	6.94949778984462e-08	7.61930914466613e-05	7.67337040670394
ENSG00000198492.15	-0.222402986140816	5.73584289618404	-5.47554928214133	6.69861701641948e-08	7.61930914466613e-05	7.66224824382361
ENSG00000132467.3	-0.259852473640029	4.48646189708474	-5.46486926260322	7.09212765559987e-08	7.61930914466613e-05	7.65744839242567
ENSG00000255284.1	0.485818011834619	2.13754635492988	5.44162181982734	8.02787099437651e-08	8.23258170473311e-05	7.64630382364357
ENSG00000135763.9	-0.382112215266529	3.12195451612206	-5.38067597760178	1.10864492451658e-07	0.00010421724225841	7.31559758667646
ENSG00000271754.1	-0.599759045358142	-1.63408163682924	-5.42066566772236	8.97334840888594e-08	8.80207449795112e-05	7.29153701193776
ENSG00000007908.15	-1.4869940982333	0.839399926990453	-5.34467731835881	1.33976075597187e-07	0.000120905369661925	7.1699409784787
ENSG00000179523.4	0.219248134660156	3.37127703773311	5.32016692032874	1.52289024282165e-07	0.000127251580623331	7.02395537716808
ENSG00000169964.7	0.271710889142876	3.01970635671139	5.29606286426502	1.72674184148999e-07	0.000130401322431442	6.92178078937776
ENSG00000269688.1	-0.839755924183063	-1.81220360073328	-5.32143717471765	1.51282137141726e-07	0.000127251580623331	6.82593845488624
ENSG00000278918.1	-0.441011976164427	-0.00330357795660546	-5.28281725918482	1.84977889443964e-07	0.00013041519261704	6.81995136659357
ENSG00000174173.6	-0.297613367327876	3.77355786868791	-5.28618426059043	1.81772090763923e-07	0.00013041519261704	6.80835034441548
ENSG00000264577.1	-0.542923219187703	-0.158643933163536	-5.26457147793703	2.03326272150098e-07	0.00013491894194054	6.72797168835444
ENSG00000147889.17	0.539177937386793	-0.23124621514032	5.26973262991873	1.97964434122068e-07	0.00013491894194054	6.67749900777469
ENSG00000188404.8	-0.875176947213988	0.99755616893819	-5.23895234730375	2.32111849344215e-07	0.000145463206473746	6.65594947703818
ENSG00000118246.13	-0.198223188114349	4.67560615464681	-5.25456724991326	2.14123156743041e-07	0.000138023786836564	6.59411429306663
