logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000164089.8	-1.71072050998054	1.81864824545366	-6.77880919849226	3.31049681316774e-11	3.42752287551322e-07	14.9545455816427
ENSG00000244681.1	1.6993929646097	-1.56409354154327	6.8139745721003	2.64531049501961e-11	3.42752287551322e-07	11.9115700193116
ENSG00000070831.15	-0.348359497690443	6.33072523486253	-6.12327000639017	1.81318829938509e-09	8.49920088482324e-06	11.1986196675986
ENSG00000168395.15	0.304359140313428	4.67487929802949	6.07170554275235	2.44961586637053e-09	8.49920088482324e-06	10.9365400091228
ENSG00000105976.14	-0.726904592117277	3.39651889072501	-6.0214527695929	3.27773697348318e-09	8.49920088482324e-06	10.6586871399215
ENSG00000131080.14	1.2593290876403	0.990892867460067	5.9636576991696	4.57015342207002e-09	1.00620671436838e-05	9.6714294168437
ENSG00000134574.11	0.545395449464583	3.0321966203103	5.81539857659466	1.05934131087566e-08	1.82798171035852e-05	9.49682031165848
ENSG00000151136.14	-0.967685555084863	-0.501431829391531	-5.85714384712846	8.37528810232297e-09	1.57660991577092e-05	9.30108584947957
ENSG00000174780.15	-0.365294553287029	4.8542141674268	-5.72313994943576	1.77173469547844e-08	2.65338586904702e-05	9.07057838179638
ENSG00000244694.7	1.739459608491	-1.65736006554994	6.19593882821725	1.18244531525355e-09	8.16163171431845e-06	8.97603997543628
ENSG00000273203.1	1.39129313050303	-1.82013517839729	6.02902828538955	3.1372528430345e-09	8.49920088482324e-06	8.35643589525512
ENSG00000105849.5	-0.39556895981799	3.12547278824527	-5.57441832612488	4.00148199302812e-08	5.17866797685207e-05	8.30157181614902
ENSG00000073969.18	-0.332540007243873	3.92361362337989	-5.5418667116382	4.77124075433663e-08	5.81165190000286e-05	8.13876479698341
ENSG00000164934.13	-0.422168062120769	3.59326596302324	-5.52865222374177	5.12323530813476e-08	5.89371297364147e-05	8.07216559371889
ENSG00000151164.18	-1.06647919837847	-0.739520139195811	-5.58303677549971	3.81880929771976e-08	5.17866797685207e-05	7.93569169492567
ENSG00000121350.15	-0.392030066460435	2.7048709726318	-5.50222089283223	5.90461311245303e-08	6.43509598524026e-05	7.93049114118999
ENSG00000248713.1	-2.00968393887915	1.56774720899417	-5.47032692392694	7.0035264969961e-08	6.92863559506397e-05	7.77609781757107
ENSG00000187266.13	0.605184213783865	3.97876457469126	5.46919170604121	7.04500364367161e-08	6.92863559506397e-05	7.77220734492602
ENSG00000150893.10	-1.484397002208	-3.00138267582116	-5.72088906207511	1.79395384008588e-08	2.65338586904702e-05	7.74786534659185
ENSG00000164022.16	-0.256954000763747	4.61865405316599	-5.45929182286183	7.4266440711443e-08	6.92863559506397e-05	7.72236111972949
ENSG00000148459.15	-0.503510039619635	1.03731554453659	-5.45260068690137	7.69588152250308e-08	6.92863559506397e-05	7.56342867767015
ENSG00000120992.17	-0.52879095723013	4.57182916100503	-5.37568357163372	1.15586256795743e-07	9.97268591445605e-05	7.30725807205293
ENSG00000173744.17	-0.316184855550508	5.29771610949227	-5.35689521683744	1.27566624453264e-07	0.000101597003559759	7.21632021281395
ENSG00000117528.11	-0.579053766842034	5.33562898663576	-5.32641734821047	1.49606135217697e-07	0.000114736823776032	7.06799308979937
ENSG00000234546.3	1.48586453466004	-3.19144977684898	5.95294318257358	4.85925877417484e-09	1.00620671436838e-05	7.05157103196056
ENSG00000128050.8	-0.513326628173793	4.49051741118516	-5.30183256945474	1.70035072651609e-07	0.000125747008907031	6.94489264004644
ENSG00000143155.12	-0.31675383531599	4.34973805110639	-5.27029933125385	2.00227602203764e-07	0.000142969412373563	6.7913610140915
ENSG00000171476.21	-1.28981053302406	3.62505865553354	-5.25315545329762	2.18788364755178e-07	0.000143309892495321	6.70952314258035
ENSG00000143933.16	-0.350547223586026	7.68316581494141	-5.25265479389003	2.19325670604502e-07	0.000143309892495321	6.69798445542355
ENSG00000111684.10	-0.755050663962908	2.8093958433974	-5.24738063198863	2.25385805943165e-07	0.000143309892495321	6.68643816057096
ENSG00000118217.5	-0.302061662618098	4.72087733157463	-5.24024146190807	2.33807340838071e-07	0.000143309892495321	6.64623406155446
ENSG00000187325.4	-0.334966226581195	3.82351042806443	-5.23648843580327	2.3836519830762e-07	0.000143309892495321	6.63009864202539
ENSG00000004975.11	0.262506347608479	4.06419078574155	5.23336056874033	2.42229499074527e-07	0.000143309892495321	6.61713487826662
ENSG00000003147.17	-0.472221571747284	4.80478935034628	-5.20995530837856	2.73135066611721e-07	0.000151367613915008	6.50147341396273
ENSG00000079246.15	-0.313047176099026	6.64712727606699	-5.20666215844183	2.77778979512739e-07	0.000151367613915008	6.49149964925183
ENSG00000135535.15	-0.391464160076794	6.48332555513912	-5.19952094886013	2.88113534888915e-07	0.000152973511972943	6.45772852166427
ENSG00000261292.2	2.14500651368381	-4.02946883733993	6.02113658693816	3.28360492000705e-09	8.49920088482324e-06	6.40605917864283
ENSG00000173674.10	-0.418728959824379	5.25604588235515	-5.15592711235947	3.5975927882725e-07	0.000185618327329464	6.24629487936171
