logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	1.87089362074926	-0.680139211117095	6.22804950640645	1.29248702599475e-09	2.99895764641562e-05	9.59367460522444
ENSG00000162998.4	1.25875461464976	3.87689020801648	5.40571999929459	1.16494081529752e-07	0.000901004057911615	7.273033814062
ENSG00000131080.14	0.94294367055357	1.88232841937883	5.26971637760192	2.33460771423745e-07	0.00135424756983629	6.46227714723921
ENSG00000145242.13	2.25366890511029	-3.35520821525015	5.91967921856902	7.40577062859521e-09	8.59180479476473e-05	6.43119286684496
ENSG00000148053.15	1.93575490307131	3.61698612249237	5.16853267321578	3.88459763234807e-07	0.00180268637726744	6.11248542201152
ENSG00000053438.8	-0.527132502389667	0.923288587450007	-5.04791078738531	7.04363604727491e-07	0.00272389145341533	5.51210840196137
ENSG00000164400.5	-1.63065870794952	-1.55661510076818	-4.99216754479292	9.24388947880377e-07	0.00298632972800768	5.05034481265541
ENSG00000147889.17	0.992342152802055	0.409117751893438	4.95152483704081	1.12467087374654e-06	0.00298632972800768	4.83215543291183
ENSG00000134057.14	-0.824363938151743	1.9672385926583	-4.83372103297639	1.97293165251119e-06	0.00416163028483792	4.6753771613214
ENSG00000066382.16	1.09247975800061	-0.558139577364566	4.94539842415695	1.15834019532255e-06	0.00298632972800768	4.51244783548325
ENSG00000198542.13	1.03124762885278	3.65171177689971	4.79318546078288	2.38847169786296e-06	0.00461830906712619	4.50452119229352
ENSG00000237438.7	1.01218825728945	-0.901535072495621	4.91995382975196	1.30889628955382e-06	0.00303703206065174	4.31286610835512
ENSG00000115252.18	0.677065984242756	2.63944743468017	4.745104218522	2.98940264439525e-06	0.0046242073038602	4.27357390270466
ENSG00000106829.18	0.323888188497911	5.1224106027848	4.74707541504785	2.96209800533274e-06	0.0046242073038602	4.25879511818369
ENSG00000166448.14	1.76172193091939	2.64735753733732	4.74837194982783	2.94578960431673e-06	0.0046242073038602	4.22609126523253
ENSG00000134121.9	0.722741768447925	3.6657085884716	4.62026141870176	5.3116077330121e-06	0.0067871991618843	3.77663005642789
ENSG00000186193.8	-0.950670677228129	-0.0506026683920946	-4.64260744919645	4.79666460137165e-06	0.0067871991618843	3.75603892555047
ENSG00000102743.14	-0.530443933642037	1.01483043110973	-4.61565101351986	5.42427288975062e-06	0.0067871991618843	3.70604778726373
ENSG00000102996.4	-0.543294229494878	4.77618587248594	-4.57737682930098	6.45252809671373e-06	0.00748590047140243	3.51629360198478
ENSG00000102466.15	0.97690703954023	2.11803093120972	4.50378525062719	8.97934535681467e-06	0.00976035771063101	3.24832588088973
ENSG00000183171.5	0.884772015233367	-0.761026775216792	4.61030609506955	5.55776339593163e-06	0.0067871991618843	3.24156095812993
ENSG00000243989.8	-0.477981211463386	3.92335604340649	-4.48703281114019	9.67496562274332e-06	0.00976035771063101	3.18088659366386
ENSG00000155622.6	-1.49237354229973	-1.23453926160138	-4.48816416878622	9.62909949919292e-06	0.00976035771063101	3.06717176077086
ENSG00000164649.19	-0.426420589741379	3.38542568777133	-4.44198025478713	1.18115539291666e-05	0.0109625394327381	3.02571773479859
ENSG00000112562.18	0.82159961004398	4.5615119699496	4.43122431675863	1.23883920716404e-05	0.0110556869707028	2.976774147757
ENSG00000157593.18	-0.306626351096365	5.14273446746206	-4.44382457912454	1.17158426102006e-05	0.0109625394327381	2.95280259480934
ENSG00000113319.12	0.801521711292887	3.6176215297944	4.41342602641495	1.33932354014706e-05	0.0110986871792972	2.93377225909262
ENSG00000127616.17	-0.259287744294096	6.71816578657637	-4.4157636144561	1.32557874751944e-05	0.0110986871792972	2.81824607182858
ENSG00000134690.10	-0.750268674659656	1.29356259820048	-4.37193263879498	1.60554618085442e-05	0.0118181431456766	2.75985946041843
ENSG00000064490.13	-0.304591346796707	4.34255900804788	-4.35975910335478	1.69283663561527e-05	0.0118181431456766	2.64638310871799
ENSG00000160321.14	0.716508799301669	0.355378770140649	4.36755750123599	1.63641023039658e-05	0.0118181431456766	2.58803725310762
ENSG00000174672.15	0.632890718533087	0.322660168163284	4.36172476647686	1.67844081831995e-05	0.0118181431456766	2.57297474707602
ENSG00000073111.13	-0.629070010100567	3.26404779093788	-4.32869415294036	1.93664549736246e-05	0.0118181431456766	2.56774756523075
ENSG00000162267.12	0.693009727207464	2.93440455037403	4.317231689841	2.03481739031049e-05	0.0118181431456766	2.5560164300377
ENSG00000100285.9	-0.667365714583547	-0.049992863237656	-4.33473251884497	1.88676727208392e-05	0.0118181431456766	2.5421220889997
ENSG00000153093.18	-0.980343865960038	2.53317993257412	-4.31684246466691	2.03885578634441e-05	0.0118181431456766	2.53954427690596
ENSG00000168028.13	-0.315454396786324	8.98522927606987	-4.33903444018339	1.85198443684131e-05	0.0118181431456766	2.52775977640204
ENSG00000102452.15	0.787424583665525	1.28547121535313	4.3142233488656	2.06136053116613e-05	0.0118181431456766	2.47324785403639
ENSG00000117399.13	-0.98355440452752	1.26883930912437	-4.28567775750196	2.33053442338862e-05	0.0121013082216782	2.43118323987521
ENSG00000005187.11	-0.659693018451965	2.62548639277573	-4.28201530294451	2.36708106965929e-05	0.0121013082216782	2.40998973251187
ENSG00000107317.12	0.779703601112209	7.79372812755748	4.31129380902164	2.08828112301315e-05	0.0118181431456766	2.39444240302408
ENSG00000146938.14	0.979906927671008	1.3925084283675	4.29295133276916	2.2587163743209e-05	0.0121013082216782	2.39432176095646
ENSG00000126602.10	-0.326153817924017	5.20432479024709	-4.29956129998878	2.19553460614999e-05	0.0121013082216782	2.3648535015361
ENSG00000167747.13	-0.51547025831096	4.10108451753777	-4.27887673661406	2.39908709303623e-05	0.0121013082216782	2.3275100982127
ENSG00000145934.16	-0.936893684600265	0.718922505502654	-4.24798873020254	2.73692728408739e-05	0.0132301924526416	2.27109124294903
ENSG00000087586.17	-0.654409732603493	1.43703436129516	-4.23375432023503	2.90748193125901e-05	0.0132959153045694	2.23184677816876
ENSG00000072571.19	-0.916591678590308	0.365289281581937	-4.23876863348809	2.8462753669309e-05	0.0132959153045694	2.22225135595995
ENSG00000214548.14	0.813405939840346	6.74414830384641	4.26344080198943	2.56349668560268e-05	0.0126554922544764	2.20745082874561
ENSG00000140538.16	0.748965868929896	4.23160525553269	4.22652949051032	2.99840397928143e-05	0.0132959153045694	2.1773396296692
