logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000131080.14	0.877316677335189	2.73230844568337	8.38552659619673	9.23363507764072e-16	2.0554995046336e-11	25.0581508718539
ENSG00000163564.14	1.09077714042357	1.09795567965211	8.21734614393435	3.07741807242319e-15	3.42532018551063e-11	23.4791875641391
ENSG00000151883.17	0.467473126978245	4.71914675590272	7.69919651126936	1.12976208520073e-13	8.38321125955112e-10	20.5150597684262
ENSG00000244694.7	0.928151322430989	0.392430014016296	7.60246999728564	2.17359670980683e-13	1.20966090892525e-09	19.3126566954551
ENSG00000128710.5	1.22263934297521	1.54900106080833	7.51960487729647	3.79312264881723e-13	1.68877406570641e-09	19.0894175575065
ENSG00000181234.9	-0.860288809954396	4.09727733557781	-7.37958256504348	9.6289228262968e-13	3.57249085060322e-09	18.4194307973994
ENSG00000103647.12	0.468643127841556	5.20639159094111	7.33445442390027	1.2917623054862e-12	4.10798866891833e-09	18.1264486831624
ENSG00000114270.17	0.829077410872123	5.35090810894892	7.28238611187245	1.82172106483269e-12	4.73355755501248e-09	17.7990125603341
ENSG00000072041.16	1.78520387508079	-0.794335254249122	7.27440118911127	1.91375131373758e-12	4.73355755501248e-09	16.2760430020485
ENSG00000176871.8	-0.317288276238328	5.62748990929604	-6.97311902743969	1.32608013295321e-11	2.95198698396715e-08	15.8298935327509
ENSG00000228526.6	0.563143678937126	4.18666569231927	6.92892336664926	1.75260459036717e-11	3.25122756551363e-08	15.6502604970741
ENSG00000147889.17	1.27028122746786	0.417396375227383	6.9540711385003	1.495680732192e-11	3.02684988902966e-08	15.3262879190508
ENSG00000164690.7	0.856995347103725	4.98753255757592	6.83853131778433	3.09463866220872e-11	5.29921163534064e-08	15.0702113408337
ENSG00000140479.16	-0.67525850738939	2.73536000318163	-6.80669166755212	3.76481302309363e-11	5.98632162193481e-08	14.9314460145256
ENSG00000146090.15	0.776852317715849	4.23355086384355	6.77545151902102	4.57598769632819e-11	6.79107080719746e-08	14.7281772858527
ENSG00000182667.14	0.864015900538181	4.96461911070301	6.67868574160007	8.30754441968175e-11	1.03195018574033e-07	14.1160687721347
ENSG00000108091.10	-0.192690991826248	5.5089702929284	-6.68506218864895	7.97237532422817e-11	1.03195018574033e-07	14.091218508882
ENSG00000155980.11	0.742780546948772	4.4068071143865	6.53212517046909	2.02186724210619e-10	2.20603815842084e-07	13.2861785607237
ENSG00000008196.12	2.41912233376324	-0.00641233055948228	6.67796595508443	8.34423581300301e-11	1.03195018574033e-07	13.1779252302006
ENSG00000082781.11	-0.354516548715796	7.25486690430376	-6.52708062338589	2.08107458455764e-10	2.20603815842084e-07	13.1734732335133
ENSG00000178163.7	-0.342302087445192	3.71828550857612	-6.4507578180167	3.28760950792595e-10	3.29440312904315e-07	12.8092920244821
ENSG00000237125.8	1.35069559945645	1.28653178602505	6.44513705736698	3.403767663986e-10	3.29440312904315e-07	12.6604813956795
ENSG00000132359.14	0.643812405335671	4.45001344929683	6.41033814024315	4.18569518882604e-10	3.88240669160235e-07	12.5773863468349
ENSG00000128709.12	0.646592280274496	3.39796616586108	6.37414424491046	5.18140083907859e-10	4.61372656314914e-07	12.4231537717049
ENSG00000106078.17	0.633697069695841	5.96687675607648	6.35216745125828	5.90849612549584e-10	5.05880893267934e-07	12.1550926806866
ENSG00000197535.14	0.305819044791582	6.21950559071048	6.33781361019155	6.41912121933612e-10	5.10343062370148e-07	12.0626841041852
ENSG00000197885.10	-0.258843459964188	2.92905177604576	-6.30013863847455	8.00813753977577e-10	5.75061773461124e-07	11.9992436365135
ENSG00000181690.7	0.540195851739596	4.73329356052873	6.30779482579833	7.66164570117478e-10	5.68519649846172e-07	11.9695608671168
ENSG00000198910.12	0.524881072063597	7.64264961361214	6.30934566303387	7.5926846469356e-10	5.68519649846172e-07	11.9138448046346
ENSG00000070759.16	-0.379485836695597	4.1060191470435	-6.26020497499378	1.01126216843317e-09	7.03490847859091e-07	11.6968639902657
ENSG00000171877.20	0.669772599683142	3.78705104209023	6.23905246891315	1.14451675098103e-09	7.72063254351174e-07	11.6490316376288
ENSG00000162433.14	-0.433596594062182	4.48859419111744	-6.22400004740508	1.24825614323604e-09	8.17277353075809e-07	11.4648620176879
ENSG00000164749.11	1.39215372077713	-1.0307251908194	6.33946105336117	6.35719015114618e-10	5.10343062370148e-07	11.3234430443873
ENSG00000197959.13	0.483573915508438	4.17978840381802	6.1550580776707	1.85903680367475e-09	1.18240052247439e-06	11.1505978233679
ENSG00000162390.17	0.474584659679266	2.42147119649055	6.13287119352178	2.11173502242228e-09	1.25776145328239e-06	11.0926391965673
ENSG00000128713.13	1.74145493388501	-3.20512404028376	6.60076252329847	1.33315636243897e-10	1.5619680939081e-07	11.0742066591913
ENSG00000184313.19	0.59915693972702	3.67521845458821	6.11887385252763	2.28849501259158e-09	1.27360468688253e-06	10.9886714959192
ENSG00000055163.19	0.471603615087486	4.53099299847358	6.12998147211649	2.14702552557077e-09	1.25776145328239e-06	10.9859931125347
ENSG00000138758.11	-0.248853097962705	6.80194820350111	-6.13593318417526	2.07495970285056e-09	1.25776145328239e-06	10.9344516331436
ENSG00000136002.18	0.607425314162266	4.89937471246055	6.1212412921568	2.25971500867253e-09	1.27360468688253e-06	10.9188516250792
ENSG00000204252.13	1.16068776993946	4.53023089754385	6.08492461206475	2.78213940639173e-09	1.47460012680206e-06	10.7740689389393
ENSG00000128872.9	0.576003903916949	7.92592847769027	6.09574197716087	2.61413481768037e-09	1.41934768722885e-06	10.7239194605564
ENSG00000164107.8	1.17820416363003	0.990507693152604	6.07687988740485	2.91018507633539e-09	1.50659604614656e-06	10.653218170823
ENSG00000160469.16	0.527739771677015	3.92111420517422	6.05055587564552	3.37782513689635e-09	1.70894921301022e-06	10.595899429828
ENSG00000250120.6	0.565955845483424	1.05654550449691	6.01982592987405	4.02014611587712e-09	1.94548853664219e-06	10.423463247895
ENSG00000182263.13	0.47288678247834	6.26631465415349	6.03289313829598	3.73601860372774e-09	1.84816689194629e-06	10.3596151591333
ENSG00000181856.14	-0.694508990905715	3.05062815518074	-6.00090172323555	4.47750046549757e-09	2.0341558747437e-06	10.325660189469
ENSG00000134762.16	1.08066324210509	1.86034352745859	5.99268929672489	4.68962479735598e-09	2.03846088922718e-06	10.3096569076232
ENSG00000022840.15	-0.204175192022353	7.74259558578158	-6.00354200963052	4.40740561989975e-09	2.0341558747437e-06	10.2300276829431
ENSG00000253522.5	1.09526840962935	0.562628916866419	6.00459485998182	4.38243296566841e-09	2.0341558747437e-06	10.2263883291564
ENSG00000162836.11	0.417075550322175	4.9333670571828	5.99270472658831	4.68508819080046e-09	2.03846088922718e-06	10.2015228564848
ENSG00000134574.11	0.307519917608146	5.0988960685681	5.98649743821811	4.85175893470484e-09	2.03846088922718e-06	10.150106160938
ENSG00000087266.15	0.343722486681268	7.19074624528112	5.98644247582503	4.85326028161541e-09	2.03846088922718e-06	10.1123876040185
ENSG00000151090.17	-0.422686916268081	3.34715226915452	-5.9453338238021	6.11311818472663e-09	2.47425679836726e-06	10.0202163770985
ENSG00000182752.9	0.778340247075706	3.14591416769213	5.92177546823776	6.97878372174202e-09	2.67852938671895e-06	9.95026266539635
ENSG00000187699.10	0.573007649127565	5.7266150852954	5.9297555298882	6.67759472058361e-09	2.65446314419485e-06	9.81773213603859
ENSG00000262222.1	0.863355872211551	1.45833135213402	5.90021979852135	7.86420738200534e-09	2.91775200884701e-06	9.81475195996517
ENSG00000065320.8	-0.459333976965299	5.31302304989234	-5.9226473401234	6.94371398362635e-09	2.67852938671895e-06	9.76597038377281
ENSG00000165105.9	2.36539724175672	1.66349199600016	5.90394248868264	7.71292884413045e-09	2.91012727117268e-06	9.73610555618148
ENSG00000127863.15	0.533911300128448	5.22659614168073	5.89048232906975	8.30832388157745e-09	3.03199340865239e-06	9.63362391947039
