logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000276747.1	-5.55208636966184	-4.2004265112499	-10.5131262692265	2.8492901504517e-19	6.14221477732872e-15	32.4419389512859
ENSG00000171487.14	-5.03137787723784	-4.01293499144379	-9.75193205824206	2.38724423673943e-17	2.57309120056959e-13	28.3006289707341
ENSG00000250584.2	-3.82505856549019	-4.98044681641363	-9.31407671176117	2.91311659197373e-16	1.91206613728548e-12	25.2890316684786
ENSG00000117148.7	-3.55289701248956	-5.41033954488288	-9.27977295895536	3.54792621846357e-16	1.91206613728548e-12	24.7820895157158
ENSG00000116996.9	-4.09414630780808	-5.16251256036713	-8.79571519816897	5.63210997796909e-15	2.42822789590159e-11	22.5839266781296
ENSG00000152670.18	-3.0794515191098	-4.05241696853458	-8.30370774742155	8.99854473461759e-14	2.77116612634502e-10	20.2939828835289
ENSG00000184571.13	-3.34985404770645	-5.21010323189823	-8.3511557336753	6.90185476112633e-14	2.47972138476001e-10	20.118955448179
ENSG00000106410.14	-3.03596615885312	-5.72486785009491	-8.05110632724263	3.66507037032684e-13	9.87599024664197e-10	18.3241637359315
ENSG00000103310.10	-3.40975817853357	-4.14837234829763	-7.78907287846972	1.54952200873961e-12	3.71144954915554e-09	17.6882479570693
ENSG00000160505.15	-3.2123418068617	-5.05548882177877	-7.66214758250804	3.09647558811223e-12	6.19613466004469e-09	16.7330616259663
ENSG00000184608.8	-3.16020716140017	-5.44486057758714	-7.65831225740904	3.16173313821458e-12	6.19613466004469e-09	16.5463661764404
ENSG00000173572.11	-3.62591488399726	-4.90870156326787	-7.53853850954465	6.05253038377471e-12	1.08728664569193e-08	16.2388597446884
ENSG00000183324.10	-2.70856920351529	-4.45736659428846	-7.49268274277365	7.75287034279617e-12	1.28560481522813e-08	16.007200294475
ENSG00000256463.8	-2.6742594914675	-5.11304008741997	-7.14395460414864	4.99631772878131e-11	7.69325866280991e-08	14.1080597175458
ENSG00000205089.7	-1.47370760724867	-1.61039200227023	-6.89902294734423	1.80844019122743e-10	2.59896968015265e-07	13.4837539502513
ENSG00000185792.9	-2.65159560455275	-3.46422503673373	-6.76990062435448	3.53460005880239e-10	4.23307630375573e-07	12.7207996883958
ENSG00000185467.7	-3.29526897455472	-4.53663852699946	-6.79587461062853	3.09026486251447e-10	3.91863762595438e-07	12.7051980669238
ENSG00000183733.6	-2.45701084013173	-3.65479025482307	-6.72411065682594	4.47659333737558e-10	5.07904855651607e-07	12.4497431204047
ENSG00000149507.6	-2.58159837284211	-5.79416981204392	-6.82075077638198	2.71657756049699e-10	3.6600789044771e-07	12.3612934900777
ENSG00000088386.16	-2.36607120570314	-3.88286696998654	-6.70407132743114	4.96308048509726e-10	5.09472028653532e-07	12.2977020041282
ENSG00000167634.12	-2.74600062309313	-4.39058501321887	-6.70428190887414	4.95770663621243e-10	5.09472028653532e-07	12.2400276735592
ENSG00000137948.18	-2.21364665697917	-4.77114179724426	-6.58933108713564	8.93471864232645e-10	8.5065831219919e-07	11.5453183573909
ENSG00000187569.2	-2.90839847048435	-5.49703533953185	-6.5862562433625	9.07600370208348e-10	8.5065831219919e-07	11.4469564350522
ENSG00000169169.14	-0.795861315812608	3.86715971972754	-6.48465316441934	1.52120099253223e-09	1.31170119184069e-06	11.1569336521164
ENSG00000162624.14	-2.58490986079262	-5.73256253153635	-6.52483640124623	1.24074130277403e-09	1.11444417766249e-06	11.0520302560415
