logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000147889.17	0.833170853160204	0.409877161245157	4.62308200905952	7.55050904090435e-06	0.0600135744405997	2.85678030845966
ENSG00000172667.10	0.387196175359178	4.96301890981409	4.45814771029502	1.51414703518968e-05	0.0600135744405997	2.84422944241413
ENSG00000009694.13	-1.18908087363584	5.1896064810586	-4.40402409869598	1.89614184036436e-05	0.0600135744405997	2.61450304344757
ENSG00000268573.1	-0.450397168557374	1.4927280049595	-4.43466893859171	1.66938665490448e-05	0.0600135744405997	2.60889928701206
ENSG00000187773.8	-1.02287079574253	-0.620676757844614	-4.47112726693151	1.43438859517805e-05	0.0600135744405997	2.39688823932721
ENSG00000171357.5	-0.334381622259914	2.01773763576907	-4.3435577703605	2.42966321755179e-05	0.0634277081070882	2.33867416707739
ENSG00000219159.4	-1.65485305186293	-1.65604440415433	-4.44811421245482	1.57955824788487e-05	0.0600135744405997	2.11728019730012
ENSG00000135678.11	-0.862177562281876	5.47942429367908	-4.25604766273572	3.46752505461028e-05	0.0678912509650572	2.05523108531844
ENSG00000140057.8	-0.441972980894828	0.305494398872961	-4.29302638606614	2.98471347997959e-05	0.0637507665564732	1.93940033630682
ENSG00000278949.1	-0.4886102111606	-0.309960912265538	-4.30922853093802	2.79468594201351e-05	0.0637507665564732	1.86669814472308
ENSG00000233527.8	-0.289176860152415	1.76282905737445	-4.17982241969103	4.70286395209497e-05	0.084995221964978	1.74379094526125
ENSG00000157869.14	0.233200888458719	4.20906785024331	4.03221431198048	8.39648680967926e-05	0.10382918820706	1.3024883312006
ENSG00000102575.10	-0.760525616313688	4.11335090241412	-4.03599420689206	8.27749083340771e-05	0.10382918820706	1.29650840134613
ENSG00000234380.1	1.02289551386651	-1.9705102784826	4.38575144369621	2.04345007671759e-05	0.0600135744405997	1.19506840741115
ENSG00000250320.5	1.30048069022134	-2.56324967082195	4.45366259708582	1.54268672581064e-05	0.0600135744405997	1.09721813982652
ENSG00000261136.1	-0.662531641463768	1.38545419292955	-3.96606972715835	0.000108334368633002	0.115696181410562	1.02173452768569
ENSG00000105464.3	-0.762714880366505	0.509760819035578	-3.98198529362605	0.000101919950872602	0.114029011702466	0.993528082118516
ENSG00000184156.16	-0.839329400942342	1.68549628829972	-3.90431785895319	0.000137074771612063	0.128822870361017	0.848657096837227
ENSG00000161031.12	-1.63343918681672	-1.92500716444531	-4.05306418539358	7.74649988715514e-05	0.10382918820706	0.83314633562687
ENSG00000074370.17	-0.636361085474213	6.34785143760998	-3.90799127058058	0.000135202360641522	0.128822870361017	0.799472165016089
ENSG00000130294.15	-1.10698449424283	4.88328224342697	-3.87448351324176	0.000153438593918139	0.13240499218024	0.699778024732459
ENSG00000204271.12	-0.241751050260459	4.9663723711811	-3.86695744347377	0.000157792712536571	0.13240499218024	0.686772642479058
ENSG00000180458.2	-0.869858473791175	-1.92356020292148	-4.01760813626908	8.88485199983156e-05	0.104374798868021	0.587750828526192
ENSG00000035720.7	0.97399841902378	-1.12995640687616	4.05867207082708	7.57631780195638e-05	0.10382918820706	0.576611040101973
ENSG00000181523.12	-0.287953486929002	6.18400286660102	-3.8332304684652	0.000179049063671922	0.139563491135009	0.543454217305153
ENSG00000269834.5	-0.487358061806789	2.28972022590195	-3.80258502753794	0.000200694781051977	0.142888602448976	0.535158163242937
ENSG00000261308.2	-0.534124916279129	-0.541311296826091	-3.88502100038732	0.000147416683846138	0.13240499218024	0.513960692861496
ENSG00000177606.6	0.617158709336761	7.82985735260551	3.81969470456434	0.00018838057797379	0.139563491135009	0.497344386140751
ENSG00000128250.5	-1.40346183663454	-2.97079765873764	-4.05622502387772	7.64884254976381e-05	0.10382918820706	0.472272880567877
ENSG00000254567.2	-1.56958514489625	-3.85904287197312	-4.14118720356014	5.48129827168909e-05	0.0919879306380965	0.466049192130484
ENSG00000268521.1	-0.444549007652553	-0.45072396767665	-3.81719309857244	0.000190084346300077	0.139563491135009	0.323697903472923
ENSG00000179292.4	-0.853048063180026	-2.11512734420594	-3.91860015478009	0.00012982707863697	0.128822870361017	0.256069504110307
ENSG00000163013.11	-0.398077705968736	3.94920646645117	-3.71849834093788	0.000273543001048094	0.168477780259092	0.234052401665618
ENSG00000268087.1	-0.38709067714219	0.460412516252226	-3.74281303318634	0.000250244262576997	0.163319137479071	0.228298352550711
ENSG00000148408.12	-0.827820468959507	1.38823648036721	-3.69624901997893	0.000296689117645087	0.168477780259092	0.175494894749971
ENSG00000092096.16	-0.524444804166012	7.13002132302136	-3.71918877200777	0.000272931831444607	0.168477780259092	0.158974383650697
ENSG00000279794.1	-0.5161456458677	-0.50699226971185	-3.75527217687457	0.000239046049524543	0.160468198102261	0.143847638815243
ENSG00000174233.11	-0.233074710254709	6.59551907380209	-3.70646446578399	0.000285819074371377	0.168477780259092	0.115213903144634
