logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000233392.5	-1.85429400069347	-2.52513725147468	-5.76897944277885	4.8767940415883e-08	0.00106792035922701	7.54626185910542
ENSG00000177807.8	-1.11512825938049	0.837443924801859	-5.36183737281506	3.30076422976248e-07	0.00247703448666042	6.36075622661054
ENSG00000275385.1	-1.75940136794261	3.03355539809368	-5.27299024474406	4.9568939557206e-07	0.00247703448666042	5.97222537969496
ENSG00000145850.8	-1.99684088067435	-0.66469539987459	-5.27450428689917	4.92287196230123e-07	0.00247703448666042	5.92130654301216
ENSG00000012223.12	-1.31856258355664	2.59877249512764	-5.2254169038509	6.15073106486404e-07	0.00247703448666042	5.79875625415362
ENSG00000213171.2	-1.37246765833467	-1.35927952261374	-5.20352503437007	6.78701567264704e-07	0.00247703448666042	5.5064900755782
ENSG00000087237.10	-1.54434084228726	0.433424599861035	-5.14425325022176	8.86357763657676e-07	0.00277278032979654	5.44735838543734
ENSG00000186818.12	-0.815997833833401	3.04848221678869	-5.00859714199956	1.61914195810559e-06	0.0039395522887329	4.88003531298079
ENSG00000171241.8	-0.968638692132196	1.785323626712	-4.92821467682637	2.30289125821413e-06	0.00405468030983568	4.58836793771242
ENSG00000211752.3	-1.73634055439269	-1.43181925499255	-4.90984318757845	2.4954370534841e-06	0.00405468030983568	4.37391015028324
ENSG00000253522.5	-1.21054725464237	1.30963803845609	-4.86301258261571	3.05744207752554e-06	0.00405468030983568	4.32756989106671
ENSG00000272711.1	-0.994025296619416	-0.914402164324904	-4.87334652811043	2.92211144737501e-06	0.00405468030983568	4.2571239638656
ENSG00000237702.2	-1.67427748177933	-1.77455935394823	-4.88823697350761	2.74101864296579e-06	0.00405468030983568	4.24067988425148
ENSG00000164485.14	-2.16481323346551	-2.70395872724225	-4.9066008899325	2.53087866029424e-06	0.00405468030983568	4.18754185430653
ENSG00000153044.9	-0.621871589526783	1.96796460033982	-4.81184433625582	3.80966360621669e-06	0.00439073756047016	4.12269934426022
ENSG00000116455.13	-0.295300579196678	4.38665317703037	-4.8418318261798	3.34841668747352e-06	0.00407353492346085	4.11800238345075
