logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000131080.14	1.17312912851205	1.49311335627342	5.83283078423995	2.34401759095091e-08	0.000505604594368112	7.71500503292434
ENSG00000176387.6	-0.963893638466023	3.00814612111686	-4.7510937061943	4.01592461090633e-06	0.0216558734643124	4.04308669653288
ENSG00000183691.4	-1.25279977521255	-2.00917262774606	-4.90994741242039	1.9726291015822e-06	0.0195233093059106	3.21300896863406
ENSG00000263934.4	-1.83655284368557	-0.807078913729924	-4.67575144810692	5.58967055189624e-06	0.0241138387608804	3.1887721247963
ENSG00000228526.6	0.664190950495306	3.28648629113438	4.48458539843452	1.26968976471424e-05	0.0349054848129706	2.95606644281687
ENSG00000198838.13	-0.649663628695995	2.70794610625384	-4.45209598866376	1.45641800332283e-05	0.0349054848129706	2.85997537681359
ENSG00000184344.3	-1.00718080490743	-0.575244720787275	-4.46726226832159	1.36618322970489e-05	0.0349054848129706	2.38765053435908
ENSG00000104321.10	-1.19074742056242	-2.42231056870656	-4.59404961014812	7.95472187904776e-06	0.0285972251551767	1.91260250724671
ENSG00000267744.1	-1.16314334443848	-3.62501034132651	-4.83885322292259	2.71534204532832e-06	0.0195233093059106	1.709027663557
ENSG00000159713.10	-0.760838869574945	3.47139995010112	-4.09177778060963	6.35408447997354e-05	0.102978251886495	1.55041444370094
ENSG00000147889.17	0.535056852037905	2.06885745532487	4.10304971734611	6.0715451120561e-05	0.102978251886495	1.48935543910377
ENSG00000117069.14	-1.15975760273423	-1.72141495289369	-4.1848790476077	4.37821217552655e-05	0.0944380366261076	1.09611693435354
ENSG00000219545.11	0.278590571990973	3.39430289856474	3.95214348814143	0.000109568712376083	0.139357124972722	1.07077059846856
ENSG00000178826.10	-0.575305414470659	-0.558437546627504	-4.07877522107597	6.68379938067189e-05	0.102978251886495	1.05934538805675
ENSG00000121690.10	-0.698146514438615	-1.08881320847452	-4.11388041614084	5.81598946037544e-05	0.102978251886495	1.01697509010101
ENSG00000128918.14	-0.773757045286734	2.47869640114933	-3.91585608305831	0.000126032831564012	0.143080430359776	0.946531254666972
ENSG00000249700.8	-0.453049006955999	0.791297055940033	-3.92259437704766	0.000122757723672924	0.143080430359776	0.836912853818933
ENSG00000237772.1	-1.00949360718853	-1.07790758806248	-4.02828839035372	8.15102437216181e-05	0.117211730471687	0.830924491474383
ENSG00000100285.9	-0.562996370705367	1.89389853269286	-3.78812601778445	0.000204250004993167	0.191550982943592	0.507128654118403
ENSG00000188001.9	0.463482495534647	1.19167215500587	3.81149846845794	0.000187131015195477	0.187312854814775	0.45261041240237
ENSG00000074410.13	-0.723762547610007	0.972233023867529	-3.6912964064238	0.000292266765813863	0.24164633992032	0.15612947298471
ENSG00000172667.10	0.279836272827868	4.8130717561863	3.6306245933823	0.000364530536934607	0.279794223708988	-0.0459136780129858
ENSG00000203499.11	-0.582202026993071	-1.52243849268544	-3.80597848852831	0.000191046954377611	0.187312854814775	-0.0508457836958875
ENSG00000159387.7	-1.00924329987392	0.852336123567111	-3.5925413164476	0.000418363415977374	0.280706357214392	-0.137161412004149
ENSG00000171208.9	-0.368135278102543	4.75054032569195	-3.58511663609068	0.000429453397685439	0.280706357214392	-0.210996127031663
ENSG00000231943.7	-0.824732598020346	-0.788308264252747	-3.6219297367607	0.000376172113470591	0.279794223708988	-0.27456842028869
ENSG00000229921.6	-1.26827817048073	-2.398814506746	-3.76137137987036	0.000225664634665047	0.202816090405211	-0.308148936007221
ENSG00000050030.13	0.599246631800108	0.056690218493224	3.6070394462493	0.000396926271651349	0.280706357214392	-0.357758603375442
ENSG00000087884.14	-0.334629468612495	2.00785207633177	-3.50188524298351	0.000577220163151066	0.338135447441877	-0.381252670615762
ENSG00000166446.14	0.29193106244758	3.7515588695833	3.49752168493818	0.000586153430553004	0.338135447441877	-0.415014287328379
ENSG00000107954.10	-0.450975964866984	1.99476245576341	-3.48577233491035	0.000610856443089308	0.338135447441877	-0.427914221719433
ENSG00000159212.12	0.62464184000786	1.57129295423341	3.48553215459973	0.000611371462690459	0.338135447441877	-0.479694432774579
ENSG00000198178.10	-1.3318288721205	-3.41049029929366	-3.85151700547587	0.000160933430032703	0.17356670429027	-0.502826753915866
ENSG00000250295.6	0.875817007446261	-1.04134761018005	3.69282019699706	0.000290639114538132	0.24164633992032	-0.553182945295728
ENSG00000137656.11	-0.129798432565244	4.57392160207247	-3.46992610523297	0.000645722284946109	0.339712919177746	-0.561783747010527
ENSG00000235890.2	-0.792660500219475	2.56629194220069	-3.43667781771178	0.00072537610286852	0.370754653461897	-0.586221473763611
ENSG00000233005.1	-0.884991893563142	-2.33151235840286	-3.68191566137785	0.000302478033279956	0.24164633992032	-0.611105864815649
ENSG00000250116.2	0.476200296598552	0.169874375671605	3.47140363790763	0.000642394109759947	0.339712919177746	-0.675455549939772
ENSG00000080823.22	-0.33494898519448	2.92099223462046	-3.39969508601197	0.000823914484301227	0.385922578875984	-0.696810162358121
ENSG00000227591.5	-0.555258779395819	-1.55983200726957	-3.5579558017118	0.000473234138406467	0.300225304865514	-0.69705349003499
ENSG00000198522.13	-0.151033275405769	4.95008016793479	-3.43113574440612	0.000739102925306517	0.370754653461897	-0.700406029645628
ENSG00000250337.5	1.73702028719731	-1.99606664350268	3.95152179782512	0.000109831762843592	0.139357124972722	-0.704574328064284
ENSG00000261324.2	0.395169066891399	3.23169091435932	3.38154582574013	0.000876930504391262	0.385922578875984	-0.7436353390352
ENSG00000102900.12	-0.196948050363791	5.52537266867264	-3.42037404571515	0.000767167378906237	0.376086371886535	-0.749003594277463
ENSG00000204001.9	-1.37946385131456	0.249100386074154	-3.38212027137207	0.000875716075044379	0.385922578875984	-0.766279151217694
ENSG00000164440.14	0.379949610107917	2.674497723642	3.36083717332548	0.000941310438655972	0.390462810804025	-0.79519911105205
ENSG00000129235.10	-0.252930597697411	4.64660708295956	-3.37069859262677	0.000910121262544982	0.385922578875984	-0.877137204197689
ENSG00000145358.6	-0.871421499729103	-0.492040366548046	-3.37381119662686	0.000900544266563933	0.385922578875984	-0.881632279235639
ENSG00000213085.9	-0.533836313796859	0.831348707274239	-3.32448750991865	0.00106510278422772	0.399483599262491	-0.92564829712934
ENSG00000211821.2	-1.1610152439361	-2.54788604892015	-3.53881590032899	0.000506570370821958	0.31219208281799	-0.938088091638286
ENSG00000162408.10	-0.175821113316196	5.67150338532276	-3.34837177462691	0.000982163930594412	0.392319925609657	-0.971914833307955
ENSG00000267506.5	-0.64621821594827	-1.40980566326265	-3.40796466718082	0.000800765688091912	0.383833686492057	-1.00845317904637
ENSG00000138002.14	-0.23285614315634	5.49021233297545	-3.32821429448528	0.00105174514770265	0.399483599262491	-1.03139842718044
ENSG00000141431.10	0.758879358555403	-0.194919166740577	3.369943967189	0.000912473413197737	0.385922578875984	-1.04160960860015
ENSG00000153707.16	-0.590457524188717	1.5428169102803	-3.27236641242815	0.00126927786381069	0.409895360779996	-1.0476997027933
ENSG00000115295.19	0.309668257448146	5.00384748319265	3.30222183930255	0.00114826069329042	0.399483599262491	-1.08124603901558
ENSG00000167552.13	-0.391653880044114	6.65061909224831	-3.30860030701022	0.00112394122596727	0.399483599262491	-1.08388514757782
ENSG00000150867.13	0.192025012995863	7.0637386207256	3.30639394042247	0.00113223215974213	0.399483599262491	-1.09104415086939
ENSG00000168447.10	-0.489614569172317	2.72175385827561	-3.26015504491323	0.00132211415645376	0.409895360779996	-1.10259620975039
ENSG00000185332.6	-0.81403786987237	-1.18679164006599	-3.32042878277233	0.00107983003837952	0.399483599262491	-1.14161181273933
ENSG00000006712.14	-0.160648584935386	6.19191629520166	-3.28729136357077	0.00120736941762377	0.409895360779996	-1.15625188487186
ENSG00000272341.1	0.428891756298472	2.90166273147659	3.22019125655028	0.00150967356357108	0.418444898820754	-1.19845143231476
ENSG00000165801.9	-0.351745445704169	7.53449664074538	-3.26423731997965	0.00130422742759482	0.409895360779996	-1.20072332607204
ENSG00000091732.15	-0.158993002985726	4.35191363368675	-3.25431094189328	0.00134811783148465	0.409895360779996	-1.20568403695734
ENSG00000177469.12	-0.309886923937554	8.30718278975311	-3.25387093940258	0.00135009477510665	0.409895360779996	-1.21546268495316
ENSG00000166333.13	-0.182746361143008	7.21120190873916	-3.25746633075718	0.00133401925671203	0.409895360779996	-1.22967764129269
ENSG00000177311.11	0.278091837951459	5.70415483797394	3.26058611924483	0.00132021466058028	0.409895360779996	-1.23223976924586
ENSG00000197555.9	-0.256486733386643	6.94604718437031	-3.25120584389213	0.00136212685325542	0.409895360779996	-1.25206019969063
ENSG00000250155.1	0.669971951565154	-0.60368000810541	3.30881236964411	0.00112303665371891	0.399483599262491	-1.28171950831
ENSG00000171617.13	-0.396937910222759	4.92502474139919	-3.23923833010179	0.00141758689456518	0.412534208458971	-1.28748371537229
ENSG00000172578.11	0.336778628795932	5.96863855234527	3.23564292405918	0.00143440267197139	0.412534208458971	-1.30980922467784
ENSG00000125726.10	0.646852050587857	0.753839827957169	3.20064427351268	0.0016101495874883	0.418444898820754	-1.31587421249611
ENSG00000100461.17	-0.124875883085503	6.72437132099782	-3.22840669169025	0.00146920812204652	0.416984463059781	-1.3251277793787
ENSG00000131848.9	-0.196533134178633	2.0313337145097	-3.17132096325198	0.00177256421339847	0.439473679115	-1.32719854128508
ENSG00000189238.5	0.666439287736934	0.042658350835165	3.23854563868489	0.00142065748212316	0.412534208458971	-1.32842859883769
ENSG00000054690.13	-0.433152452847814	3.28370868615873	-3.1850838196568	0.00169453176227135	0.435131548954678	-1.34870473142941
ENSG00000135919.12	-0.423375372630428	4.75360099370191	-3.20885214401576	0.00156754509197376	0.418444898820754	-1.37172912527369
ENSG00000118156.12	-0.393612412263505	0.086995839545635	-3.16581441647192	0.00180470760692436	0.440316735071787	-1.39681331970279
ENSG00000186204.14	-0.457282259298286	2.82893421756904	-3.15555716706091	0.0018660263923662	0.447224325370433	-1.4042069623978
