logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000112319.17	1.61612830612204	0.806355326682788	13.7520110961414	6.80274992421694e-37	1.55606101766538e-32	71.453638116613
ENSG00000144031.11	-1.38932192640851	2.58164569633781	-13.1839617698605	2.02843353147364e-34	2.3199194299464e-30	67.296000512626
ENSG00000163564.14	1.70329541128457	1.57247573232317	12.6034072350044	6.01752856248881e-32	4.5881649446123e-28	60.9348940952801
ENSG00000178821.12	-1.36006960719038	-0.399715678425305	-11.9856945941557	2.22694750423203e-29	1.27347993029508e-25	55.2347343556184
ENSG00000139197.10	-0.710504558696844	5.94902811164207	-11.8917400567078	5.39744692660257e-29	2.46922401998215e-25	55.0442918662886
ENSG00000127418.14	-1.23935830508626	5.77828364887593	-11.8066238883301	1.20441600001636e-28	4.59163526406235e-25	54.2526573409825
ENSG00000172667.10	0.700226486036291	4.67474505644991	11.7687363142756	1.70996448587504e-28	5.58767537855795e-25	53.9125829005323
ENSG00000062485.18	-0.753580658517165	7.51066651269008	-11.7296017459438	2.46436867439082e-28	7.04624613225194e-25	53.5510274115214
ENSG00000181938.13	-0.724817190413525	2.45096072553147	-11.631318118131	6.15167126552772e-28	1.56348142808535e-24	52.5867072364043
ENSG00000182890.4	-0.793971485453736	0.947140147037228	-11.5591978556301	1.20034684080627e-27	2.74567336366026e-24	51.6886232508526
ENSG00000179604.9	-1.03652066568672	7.24514835062682	-11.516261820337	1.79141833801806e-27	3.72517300580228e-24	51.5939547613788
ENSG00000174145.7	-2.80724648556753	0.845896546569923	-11.4813325972612	2.47261239159738e-27	4.71321132044988e-24	51.1725729971186
ENSG00000130707.17	-1.01773321769547	7.50245521067047	-11.4028404372393	5.08490127717291e-27	8.94707937031178e-24	50.566265557465
ENSG00000131080.14	1.52813758661163	2.14588528404714	11.1508360152325	5.05566623888286e-26	8.26023639630047e-23	47.9959037707851
ENSG00000176974.19	-1.14679935472595	5.43296102074804	-11.0515381921132	1.24240199693613e-25	1.86479818572135e-22	47.403941134611
ENSG00000186951.16	-0.68718863410694	4.8820599544399	-11.0440670340694	1.32467919938972e-25	1.86479818572135e-22	47.3442742844242
ENSG00000176014.12	-1.11689579497951	7.30787372713416	-11.0394010778965	1.3859215334993e-25	1.86479818572135e-22	47.3065837109044
ENSG00000175198.15	-0.606663107636821	4.68326936361392	-11.0256405469867	1.56370710677251e-25	1.98712424223969e-22	47.1840512210338
ENSG00000169021.5	-0.635127624477683	5.73240192707271	-10.9951667773228	2.05657081158931e-25	2.47589477601547e-22	46.9056360542377
ENSG00000131828.13	-0.59706863086889	5.95317625147691	-10.9779141298638	2.40115519757876e-25	2.74620119947083e-22	46.7531740233826
ENSG00000006625.17	-1.240685463462	5.14263341850145	-10.962030666327	2.77744782685962e-25	3.01298594540482e-22	46.6110053964403
ENSG00000189077.10	-0.77409234256833	5.73444649561675	-10.9571131881344	2.8978617993751e-25	3.01298594540482e-22	46.5677403009851
ENSG00000083720.12	-0.841142519099246	5.34752348889981	-10.885671538119	5.49557674251003e-25	5.2377426003406e-22	45.9368345222321
