logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000141485.16	-2.65950439959735	0.780899096234253	-8.07643456681574	1.32298791918104e-12	2.6943971962041e-08	18.085404681609
ENSG00000178075.19	-1.48092585928886	1.82272927114764	-7.22243076186813	9.09354369211757e-11	9.25995554168332e-07	14.1653489504161
ENSG00000105711.11	1.00198422545567	4.01803206770134	6.4586524775656	3.53842281355704e-09	1.20105865034838e-05	10.7205098912776
ENSG00000178538.9	-1.4809049854445	0.837386575768026	-6.47567697338564	3.26791571133529e-09	1.20105865034838e-05	10.6998464525299
ENSG00000157600.11	-0.583650399993236	5.15872082062004	-6.46183830184085	3.48466901881618e-09	1.20105865034838e-05	10.6893141593883
ENSG00000244694.7	2.86495503772808	-1.85285884157912	6.94810252404129	3.43336431536473e-10	2.33079658822394e-06	10.0593956366495
ENSG00000138623.9	-0.946551133344238	2.33790045031417	-6.26774427651976	8.6344429330189e-09	2.19811330967329e-05	9.86671381565832
ENSG00000163923.9	-0.865941353607757	0.129686144907876	-6.28941079643707	7.80693237918101e-09	2.19811330967329e-05	9.75528759647105
ENSG00000198822.10	-1.90577397544736	0.238158584708537	-6.10153038779874	1.86577872701998e-08	4.22204995049877e-05	9.04304228624325
ENSG00000125744.11	-0.860137737089169	2.96951085513389	-6.01097055287035	2.81829966613626e-08	5.35030417301458e-05	8.74054892226154
ENSG00000076944.15	-0.569695871786691	4.72169023560823	-6.00548379107192	2.88978424350193e-08	5.35030417301458e-05	8.65583249757245
ENSG00000180448.10	0.623162241448944	4.55225008364229	5.95563472796909	3.62659980034836e-08	6.15494429449123e-05	8.47211782416045
ENSG00000124762.13	1.39548958114383	6.82791216095356	5.84670891769966	5.95198380336818e-08	9.32446939533818e-05	7.9509951994504
ENSG00000267121.5	1.17898221599685	0.623516248690757	5.79885148115702	7.36770174309728e-08	0.000107179009785657	7.59652385663572
ENSG00000062282.14	-1.58187171648745	1.75685152615079	-5.63183603890572	1.55558534827387e-07	0.000211207008019638	7.13309891999548
ENSG00000170231.15	1.32662694130613	2.29021488932123	5.57330783404948	2.01247017167636e-07	0.000239025672452561	6.86245432961406
ENSG00000184922.13	0.849839299131505	3.69991298689732	5.54108330946656	2.31811155609338e-07	0.000248477157638935	6.74568332688589
ENSG00000133878.8	-1.02305401220432	4.49538748430028	-5.56257451957447	2.11257100272321e-07	0.000239025672452561	6.7446845336251
ENSG00000186212.3	-2.03955710714477	-1.65151675670518	-5.59699703699005	1.81489140056356e-07	0.000231012989149234	6.67972603507247
ENSG00000177363.4	-0.908295267556662	3.15504806370452	-5.47670973787192	3.07813173779048e-07	0.000306464079841011	6.45427040502106
ENSG00000149403.12	0.839809983909514	2.58169113389296	5.46011254015836	3.3056254826963e-07	0.000306464079841011	6.42252141556363
ENSG00000153294.11	-1.77889266223607	-0.33939973307037	-5.46015501992628	3.31052231979881e-07	0.000306464079841011	6.34149529605201
ENSG00000105707.13	1.39981595125508	0.231830703862314	5.40424961142302	4.2162708279007e-07	0.000357785715337607	5.92824546081656
ENSG00000235665.5	-1.18394313642453	-1.78247192313763	-5.41481096175729	4.02708957634295e-07	0.000356590027442611	5.85402087151805
ENSG00000135905.18	0.679706967586638	4.7941705772063	5.33664831025551	5.65039502170715e-07	0.000460303780048351	5.8331360311894
ENSG00000236780.5	-0.905448822005069	2.05724478823482	-5.30618896573076	6.44323591695933e-07	0.000487190115488664	5.7974363977793
