logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000163155.11	-1.21290036235365	1.48560079021302	-10.6444287409012	1.63677604504753e-23	3.48436884469717e-19	42.5484395394933
ENSG00000273002.1	-1.42172385376953	0.685374057088449	-10.0492575640847	2.24544180425157e-21	2.39004825644537e-17	37.6957990110311
ENSG00000261485.1	-1.41702007044668	-0.379505441932521	-9.91375133217439	6.72939702576433e-21	4.77518012948237e-17	36.4928326372971
ENSG00000168612.4	-0.86925901821255	2.53386488574957	-9.69612269322815	3.85000444289555e-20	2.04897236450901e-16	35.0248829749928
ENSG00000108798.8	1.08015952628242	5.69763732187557	9.5324744437729	1.40716782495842e-19	5.99115773154298e-16	33.7648210960292
ENSG00000168209.4	2.21061089082399	6.94720729803287	9.4043513973619	3.86945829658181e-19	1.17675754596619e-15	32.7745499879097
ENSG00000135835.11	-1.55554643185561	-0.0913409416974274	-9.40432154863888	3.846111128339e-19	1.17675754596619e-15	32.6386782698963
ENSG00000147872.9	2.37835649479577	7.96585461081651	9.35784826241218	5.56173742675562e-19	1.47997832925967e-15	32.4206264812175
ENSG00000103343.12	-0.710025368306061	2.40023900949466	-9.21311082687014	1.69703847455965e-18	3.68501174180334e-15	31.3266880171811
ENSG00000165527.6	0.511016165674368	6.74689369972463	9.19817490075448	1.90413045658759e-18	3.68501174180334e-15	31.2152829084651
ENSG00000260822.1	-1.06785760779665	4.05521471221103	-9.1809684071877	2.17390073517638e-18	3.85649990420291e-15	31.0861781664186
ENSG00000204947.8	-1.29409347292212	-0.837026331722396	-9.20243132334323	1.84268698620542e-18	3.68501174180334e-15	31.0204705989459
ENSG00000174151.14	-1.1145981592325	3.85137578873358	-9.12714934190101	3.28686744047512e-18	5.3823718517565e-15	30.6824367820597
ENSG00000243155.1	-1.6888164404073	-1.25441388862401	-8.99288979913003	9.1564662008898e-18	1.3923060891753e-14	29.4556807852221
ENSG00000159792.9	-0.810960718539531	3.66400901553474	-8.89330548972166	1.94537773874776e-17	2.73794964146433e-14	28.9453254882369
ENSG00000160703.15	-1.04408222661869	4.16757408717058	-8.87953931516646	2.15803736610321e-17	2.73794964146433e-14	28.840321037208
ENSG00000235706.7	-0.977255572535943	1.736194513457	-8.8778026824936	2.18644982642303e-17	2.73794964146433e-14	28.8270837248747
