logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000185633.10	1.9064721206459	7.14793940856247	15.8026888648588	1.28485852678199e-46	1.54436258547438e-42	95.1958200363863
ENSG00000244694.7	2.01180184593825	0.273911066532295	15.7930881913222	1.40402980633154e-46	1.54436258547438e-42	93.4891074548907
ENSG00000081803.15	0.640794955307642	4.34177424740209	15.5516105573247	1.93550931946929e-45	1.41930898396683e-41	92.5008817749711
ENSG00000178163.7	-0.748178099308471	3.39032785186586	-13.9291043476466	5.6769211435902e-38	3.12216470594602e-34	75.4699261991003
ENSG00000136485.14	-0.416765925367239	5.84885414105046	-13.5209755291542	3.74857243728434e-36	1.64929690095637e-32	71.2834631116582
ENSG00000234546.3	1.29778130749241	-0.838629645637617	13.0659143963833	3.72698282217435e-34	1.36649825175023e-30	65.5793095638417
ENSG00000151575.14	1.21644100183226	0.834674590717523	12.9173590093923	1.64393208585931e-33	5.16640885097414e-30	64.8894925034205
ENSG00000124813.20	1.32233660183583	2.3919680552879	12.7473541665632	8.88664068838547e-33	2.4437151062974e-29	63.5385561271866
ENSG00000143319.16	-0.403446372728465	4.53205197268468	-12.5044751792934	9.69928516199713e-32	2.3708286030975e-28	61.2299891763604
ENSG00000172667.10	0.616026496833467	5.54602362832313	12.3691626679444	3.63349001663977e-31	7.99331468760583e-28	59.9105235245055
ENSG00000184226.14	1.27912156257457	3.15351560769739	12.2536035118874	1.1176232707333e-30	2.23514493935108e-27	58.8512718014466
ENSG00000166529.14	-0.422511354516731	1.98389977636661	-12.0036957157568	1.23630243007863e-29	2.26645142994165e-26	56.4812509118978
ENSG00000166847.9	-0.423342803021588	5.65728431706666	-11.8655348730777	4.61746969970459e-29	7.81382430183087e-26	55.1012089626056
ENSG00000146350.13	0.672169798487492	1.78778480046337	11.8481089730276	5.44895613652936e-29	8.56225614625067e-26	54.9593878335601
ENSG00000145391.13	-0.477884836698865	7.17647357494949	-11.816250438302	7.37261779542865e-29	1.01368886801022e-25	54.6596057624978
ENSG00000185008.17	2.6240477917497	1.85337181894895	11.8319693468495	6.39053311886267e-29	9.372355872124e-26	54.6212586829114
ENSG00000131080.14	1.22138100283993	3.38618874783876	11.7642864799631	1.20973816994991e-28	1.47850166670712e-25	54.2467993922932
ENSG00000188636.3	-0.56961345475344	4.96737272930096	-11.7449505221405	1.44792918099948e-28	1.59264970264038e-25	53.9766482830033
ENSG00000164168.7	-0.363559627668072	4.40706237522797	-11.7183846934955	1.86079743349431e-28	1.93267463450984e-25	53.7511005547128
ENSG00000214021.15	0.671022689551984	6.44804216343976	11.7143634400562	1.93276248735017e-28	1.93267463450984e-25	53.6839571423545
ENSG00000237512.6	1.83958168095331	-1.10829382058808	11.7740309879048	1.09980953024072e-28	1.42321822680974e-25	53.2453538118866
ENSG00000170615.14	1.30080168077686	-1.83886204554889	11.7579781696286	1.28016424177526e-28	1.48222806077968e-25	52.9322058903777
ENSG00000228526.6	0.95801334476271	3.87229817422337	11.6230507645909	4.56804253809961e-28	4.36923338241971e-25	52.9300756786944
ENSG00000115339.13	1.35612216895656	0.914783617652214	11.6092051042352	5.19929593126585e-28	4.76580463299656e-25	52.5629524428911
ENSG00000126215.13	0.722272701311549	4.36905564014604	11.516890222333	1.23404591864804e-27	1.05440535268435e-24	51.9181971241744
ENSG00000112276.13	-0.763652741169376	4.41014829001978	-11.5159724558022	1.24617206099337e-27	1.05440535268435e-24	51.8604842529264
ENSG00000082805.19	-0.514175369236457	6.37363296512458	-11.5079685756642	1.34126819841831e-27	1.09283552211128e-24	51.7717831898132
ENSG00000228223.2	-0.590227607734896	3.07355531224996	-11.4929875969614	1.54254442752328e-27	1.1701529262443e-24	51.7224216590641
ENSG00000101266.17	-0.258895115881541	5.94720630155383	-11.4975349562293	1.47846471393979e-27	1.16159804435577e-24	51.6686337650614
ENSG00000164091.11	-0.390206699914776	6.71377679427279	-11.4851922243514	1.6588831921597e-27	1.21645904481071e-24	51.5661722348572
ENSG00000143149.12	-0.41663868167904	5.57136165770653	-11.4649383499882	2.003558244739e-27	1.40774534350432e-24	51.3680216452478
ENSG00000048828.16	-0.389597619025393	6.93116315782879	-11.4625977073744	2.04772266885487e-27	1.40774534350432e-24	51.3623888453919
ENSG00000170581.13	0.438053958499499	6.92900290605025	11.4575660135486	2.14596751737796e-27	1.4305799822666e-24	51.3062233578866
ENSG00000116128.10	-0.519152971676712	4.78150442682249	-11.4315679361611	2.73334128952229e-27	1.76855220671179e-24	51.0736749703506
ENSG00000170381.12	2.12262399807193	0.766931938913313	11.4285735290304	2.81876811484484e-27	1.77171656452776e-24	50.7546315397161
ENSG00000183475.12	-0.37688760149638	3.42889316054694	-11.355109608463	5.5573339583798e-27	3.30421053379452e-24	50.4453029921108
ENSG00000067596.10	-0.378043343256359	5.33765804560262	-11.3609022282766	5.26698935461351e-27	3.21856941144841e-24	50.4133948592813
ENSG00000196652.11	-0.323752162107399	3.52092366033701	-11.3334627736691	6.79030694849139e-27	3.93105164631216e-24	50.2439783750828
ENSG00000118564.14	-0.426739380030857	6.75884778636596	-11.2289106790575	1.78148156762655e-26	1.00489264118504e-23	49.2182068766077
ENSG00000132313.14	-0.4158938528575	4.63555826299266	-11.224861795248	1.84908026238213e-26	1.01694791730361e-23	49.1889516980054
ENSG00000103194.15	-0.375867684249091	5.43007868444575	-11.2130209383451	2.06175479078611e-26	1.10625716201228e-23	49.0615551586022
ENSG00000239789.5	-0.481349075087955	3.16575326587407	-11.1627248803147	3.27138391644194e-26	1.71350416137634e-23	48.70589423643
ENSG00000170677.5	-0.418246997666475	4.2522923627946	-11.1408296112699	3.99796935262688e-26	2.0453797160102e-23	48.4448937741376
ENSG00000152229.18	0.625040937826409	2.9420583331825	11.1263305461846	4.56524936993088e-26	2.23179824198021e-23	48.4039771389737
ENSG00000153253.16	1.480403931036	2.29834644214717	11.1267705117914	4.55756814161383e-26	2.23179824198021e-23	48.3641994508667
ENSG00000169016.16	-0.539333988559259	2.87064537514946	-11.0683397991762	7.75317758872025e-26	3.62898199519695e-23	47.8667984370525
ENSG00000132825.6	-0.47438375592916	2.84761628182525	-11.0635479285557	8.0994033783935e-26	3.71205781085997e-23	47.8261455427858
ENSG00000138650.8	1.7894196629366	5.22097879364919	11.0480852721106	9.37035373894828e-26	4.20690636536986e-23	47.6366379350233
ENSG00000205129.8	1.2615609123181	-0.564958427418116	11.0976204067238	5.93517483717982e-26	2.83843285311128e-23	47.5867817235866
ENSG00000110400.10	-0.614449748185714	3.18429839923167	-11.0345323940529	1.05494684245671e-25	4.64020638357492e-23	47.5446809193539
ENSG00000187068.2	-0.86527505208756	4.59524331561386	-11.0328384773302	1.07573310406073e-25	4.64020638357492e-23	47.4411325387714
ENSG00000048540.14	1.21127588241064	5.0051521621033	11.0164996311451	1.24899797204786e-25	5.17737203639959e-23	47.3387491081316
ENSG00000170185.9	-0.384758658225776	4.38120710459264	-11.0140602582247	1.27086726653747e-25	5.17737203639959e-23	47.2950949332826
ENSG00000176049.15	2.06249113459071	-0.0829991572478244	11.0292628588166	1.10727565911934e-25	4.68441485095507e-23	46.9751397445452
ENSG00000119630.13	1.57783958931788	5.47514032193374	10.9681990561018	1.9363512111191e-25	7.74505278061984e-23	46.8919881338468
ENSG00000188786.9	-0.453983881787115	4.03874079069631	-10.9476305361917	2.32203322524237e-25	8.8073118831219e-23	46.7167617947558
ENSG00000141219.15	-0.401497252283928	4.09030070871324	-10.9476720915881	2.32115952163536e-25	8.8073118831219e-23	46.7158821178322
ENSG00000185009.12	-0.357480339858528	5.34498333139215	-10.9528603591364	2.21460359016454e-25	8.69983292500529e-23	46.7134219409561
ENSG00000124641.15	-0.404444620451757	3.21261200656851	-10.9405005779433	2.47688293540737e-25	9.23541486373334e-23	46.7077820648321
ENSG00000067646.11	-0.658547095277009	0.245083334913445	-10.914620972227	3.13022447923437e-25	1.14769680531128e-22	46.5099842452885
ENSG00000147124.12	-0.397177798318729	3.06841045512516	-10.9087498742982	3.30080253580184e-25	1.1903992620509e-22	46.4325413655191
ENSG00000116016.13	-0.669019220394761	9.91439953668097	-10.8935494973491	3.78656040475596e-25	1.3435571345843e-22	46.2818833193208
ENSG00000152990.13	-0.535363179922475	4.51535897530752	-10.8915822931761	3.85440792263085e-25	1.34592253793581e-22	46.1873493045355
ENSG00000094880.10	-0.312556627300236	4.4418844214778	-10.8876257416292	3.99454589264483e-25	1.37306273581709e-22	46.1614305008698
ENSG00000046889.18	0.938171046802839	4.55973094776148	10.8513153649484	5.56103405141364e-25	1.88211058610844e-22	45.8784603552076
ENSG00000100014.19	-0.468662620786254	6.33367580922996	-10.8276831850904	6.85502616290603e-25	2.28490485693591e-22	45.5990682213318
ENSG00000118160.13	-1.25542803906868	-0.191246416115966	-10.7761798549567	1.08862121790889e-24	3.5744146526534e-22	45.1846202549089
ENSG00000118496.4	-0.567967110000634	4.72549176284862	-10.7735240887659	1.11485422519209e-24	3.60671736764719e-22	45.1277880419949
ENSG00000214193.10	1.05918940059361	2.01458867530594	10.7550770799943	1.31523780131293e-24	4.12922363444367e-22	45.0709629211935
ENSG00000179119.14	-0.532842475064705	3.97106683322908	-10.7497346118923	1.37968460304788e-24	4.21551133089587e-22	44.9574954716226
