logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000176783.14	0.359422200120332	4.72815840471729	11.8331742437029	5.51467607772305e-31	1.34387141338033e-26	59.4725976371886
ENSG00000132470.13	1.73006658260931	5.44143955552268	11.1042822252585	1.29248337857494e-27	1.57482637262464e-23	51.8341698119207
ENSG00000145545.11	-0.671514678611139	4.35608680430713	-10.8655299914897	1.50059898649223e-26	1.21893655672764e-22	49.4340892672289
ENSG00000282826.1	-0.737714418691992	1.82039146017613	-10.5252819636174	4.57213283452722e-25	2.78545762611484e-21	46.0002205437293
ENSG00000268182.5	-1.28560953646804	0.568579572289432	-10.3869151470925	1.7869263442832e-24	8.70912161676747e-21	44.5857126101324
ENSG00000149531.15	-0.790506280361162	2.60355897739657	-10.3348405357735	2.97278545972849e-24	1.20739681446873e-20	44.2251858028601
ENSG00000100916.13	-0.486658922068185	3.74869591846372	-10.292275914934	4.49934138088323e-24	1.56634928729634e-20	43.8313354654033
ENSG00000205464.11	0.608064227695342	3.00869105208092	10.2280528727889	8.38537930797964e-24	2.55429135445195e-20	43.1613239150985
ENSG00000218283.2	-0.546915847151062	3.05642325141008	-10.2069589882351	1.02804167696446e-23	2.78359418066076e-20	43.0167508446841
ENSG00000174028.6	-0.933852645453089	-0.859452575893335	-10.0752549385141	3.6388672360525e-23	8.86755556753633e-20	41.3429489292138
ENSG00000186479.4	-1.44329270914724	2.85592184188198	-10.0156698808136	6.4175126310906e-23	1.42171241188224e-19	41.2237541032321
ENSG00000166411.13	-0.556915631343885	4.27793911764571	-9.99236750223107	8.00417534651947e-23	1.62544790849444e-19	41.0040782536373
ENSG00000118495.18	-0.731755748121868	2.77148535361417	-9.87301244789049	2.46610213300229e-22	4.62280329839483e-19	39.9028485777023
ENSG00000272779.1	-0.515450915217783	2.79668191675119	-9.74268767410247	8.3144573258671e-22	1.40449605301532e-18	38.7112938931146
ENSG00000266050.2	-0.997206994164453	0.893832260886702	-9.73848084571364	8.64518067841513e-22	1.40449605301532e-18	38.5841737172227
ENSG00000146223.14	-0.321628860662154	5.97685793534933	-9.61082510798565	2.80359460020947e-21	4.01887040073557e-18	37.5150294420571
ENSG00000007202.14	-0.410666814265145	6.16422814575369	-9.60172591545617	3.04727734643483e-21	4.12550564751502e-18	37.4344470161705
ENSG00000157014.10	-0.352915735516279	5.63824634247194	-9.5938020262019	3.27649242646916e-21	4.20236020740141e-18	37.3609759103201
ENSG00000226415.1	-0.917992112867398	-0.765322360848999	-9.62757851361124	2.40431934510791e-21	3.66192863255841e-18	37.3351976884228
ENSG00000130177.14	0.282448429400688	5.56584885381399	9.45509481711302	1.15640389879591e-20	1.40902033048788e-17	36.1230026916742
ENSG00000171865.9	-0.492569343533184	2.79355572999883	-9.32096986561245	3.85582559702417e-20	4.47441018923247e-17	34.9598464614395
ENSG00000196214.10	0.342836153245122	3.12225128677677	9.22606692111556	8.95873535520852e-20	9.9234282668671e-17	34.1317634892222
