logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000059804.15	1.92093826184695	7.47348423395644	7.52346170095815	1.93813510128583e-12	4.449570565532e-08	17.8463439772942
ENSG00000124217.4	-0.521714005719524	2.32274862745408	-7.19480332705918	1.32456513149037e-11	1.5204683144378e-07	15.9110858667853
ENSG00000166189.7	-0.578698548997556	3.50410713135652	-7.0835764707026	2.51419535861941e-11	1.92402990143948e-07	15.3764721113107
ENSG00000177606.6	1.55672015271786	9.36922312595316	6.9852304617791	4.4203968548137e-11	2.53708677482032e-07	14.8345814515048
ENSG00000142871.16	1.287194117971	8.90273760339228	6.89890150515971	7.21276012867179e-11	2.75984245056745e-07	14.3614906181184
ENSG00000189120.4	-1.24218500641989	1.16115855680482	-6.86870053198379	8.53526319905545e-11	2.79932246462736e-07	14.0668410574348
ENSG00000173456.4	-0.410346657680757	4.3453796399932	-6.8170747819478	1.14120906282869e-10	2.91109751826901e-07	13.916631031378
ENSG00000087074.7	0.984728671625559	7.36244073916321	6.77647234471964	1.43572395915446e-10	3.28357658143939e-07	13.68551375314
ENSG00000114650.18	-0.378270923994569	6.31722406221206	-6.74471178463549	1.7110426630944e-10	3.28357658143939e-07	13.513682469068
ENSG00000125648.14	-0.541957488759882	5.18396094461627	-6.71649994050734	2.0023552635313e-10	3.28357658143939e-07	13.360293005728
ENSG00000147889.17	1.30838086413824	0.44037188924184	6.83888789485487	1.00955764208725e-10	2.89717804337988e-07	13.3527268794413
ENSG00000067082.14	0.732042651500552	8.89089880400649	6.70058582471343	2.18768067222234e-10	3.34831819152536e-07	13.2958534173367
ENSG00000179886.5	-0.495638083453031	2.84755208854067	-6.67018000351232	2.5899119676168e-10	3.71619993453416e-07	13.1296502014994
ENSG00000166126.10	-1.66046067672627	-0.69937120748451	-6.72662772029776	1.89255429392879e-10	3.28357658143939e-07	12.9662268033658
ENSG00000163564.14	1.55089077170042	0.721837114843624	6.7414621978261	1.74234520426133e-10	3.28357658143939e-07	12.8526082149462
ENSG00000166224.16	-0.447084227382581	5.3338150810658	-6.51806701272953	5.98448730821847e-10	7.63288109011553e-07	12.3029835151695
ENSG00000174151.14	-0.825640349939471	3.1720283079035	-6.49979353517053	6.61281923883313e-10	7.99037389921742e-07	12.2441891708715
ENSG00000101138.11	-0.315182058722206	4.23739276224501	-6.47581296929809	7.53663030195291e-10	8.65129792361175e-07	12.1037853292826
ENSG00000213380.14	-0.253109860171936	4.21670054998513	-6.44887834353344	8.72594755477657e-10	9.53953828393145e-07	11.9645743261059
ENSG00000250906.1	1.22091643805258	-1.91909281000029	6.62303125589023	3.36171825682616e-10	4.53990163177735e-07	11.0753051241419
ENSG00000244681.1	2.66643915100071	-3.33018510184607	6.92172636429129	6.32532114063682e-11	2.75984245056745e-07	11.0665641255761
