logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	2.86591419929284	-1.06971378779291	13.321230305964	1.7078459929044e-32	3.79534615003144e-28	60.8765831530718
ENSG00000112319.17	2.11537118457507	-0.00731893169081725	12.8279830374306	1.16513078329023e-30	1.29463506985294e-26	57.8483902458073
ENSG00000263826.1	-1.49812291969572	-0.461849688854965	-11.5350365418263	5.79943030533238e-26	4.29602465584671e-22	47.9383337773643
ENSG00000278970.1	0.473483181279409	4.61398631846084	11.4389002644398	1.27399436710697e-25	6.27145128553669e-22	47.4370834434686
ENSG00000131080.14	1.19435468183282	2.12989523072938	11.4263967247452	1.41102715329539e-25	6.27145128553669e-22	47.2592083720917
ENSG00000247626.4	-1.28829201182029	2.00703509418143	-11.2869553617793	4.3981725417431e-25	1.55857731422226e-21	46.22823123292
ENSG00000215251.3	-0.683989431616296	3.61705313648705	-11.2733439539068	4.90934671266517e-25	1.55857731422226e-21	46.1214224351164
ENSG00000174173.6	-0.671639595022133	3.5225920529005	-11.1253847577854	1.62779281690573e-24	4.521804971262e-21	44.9421849182862
ENSG00000172409.5	-0.878987766077015	2.69585571119466	-10.9729251014241	5.5582106763671e-24	1.37244573178785e-20	43.7455653520328
ENSG00000198824.5	-0.656741982728009	4.06886177840695	-10.9507270376735	6.64235743124865e-24	1.47613109194639e-20	43.5309489817638
ENSG00000182810.6	-0.98722765701887	2.42555893849666	-10.9172206299694	8.6896590518723e-24	1.69289964711733e-20	43.3049335710581
ENSG00000113810.15	-0.581460127267139	4.26379931598204	-10.904177001042	9.64678254932922e-24	1.69289964711733e-20	43.1544470102581
ENSG00000265206.5	-2.28258295096211	-0.997978897564767	-10.9014102907823	9.90311632656494e-24	1.69289964711733e-20	42.9079261198564
ENSG00000210144.1	-2.81336132427729	-3.06508865814847	-10.8102740008854	2.04950535927268e-23	3.25329697136549e-20	41.6986182054462
ENSG00000188211.8	-1.35289623787775	1.90889447440421	-10.6339483650987	8.313947213907e-23	1.2317389928977e-19	41.0815167733837
ENSG00000147889.17	1.24677511312095	0.250697334401368	10.6024243317939	1.06509318580131e-22	1.4793478667539e-19	40.5364290023472
ENSG00000198492.15	-0.47378289691202	5.57507125809436	-10.5026235530314	2.34093992717027e-22	3.06015929420617e-19	39.9568720193315
ENSG00000115590.13	-2.43312599629285	1.55558116426185	-10.4489030013839	3.584830345133e-22	4.42587137554948e-19	39.649792786632
ENSG00000278991.1	-1.47401197261038	-1.63778593720514	-10.2328191820058	1.93318365735529e-21	2.14805702087033e-18	37.6175389840624
ENSG00000162639.15	-0.759672592706871	1.92621403092717	-10.1021280800212	5.3239006934271e-21	5.63395452904906e-18	36.999152497165
ENSG00000112996.10	-0.394640135196088	4.51683687795732	-10.0809759455933	6.26863677253657e-21	6.33217795436728e-18	36.7492557378818
ENSG00000250337.5	2.73857864944783	-2.96240846695406	10.3171556275256	1.00207578317293e-21	1.17205948049747e-18	36.7333214081631
ENSG00000253710.2	-0.570445411725402	1.91262240627027	-9.98236281455544	1.33947166035094e-20	1.26431471692314e-17	36.0938771134796
ENSG00000210194.1	-1.99930494877602	-1.78897617807712	-9.98001911288406	1.36541210485332e-20	1.26431471692314e-17	35.7660709053245
ENSG00000163082.9	-2.13997331502456	1.42215349464653	-9.93150217711066	1.98488824408237e-20	1.63925440504459e-17	35.7116761573128
ENSG00000279838.1	-1.29923644378149	-1.35790833818555	-9.93064964952915	1.99162439527534e-20	1.63925440504459e-17	35.4295978546716
ENSG00000273203.1	1.45760771489926	-0.387676390653187	9.94400984429753	1.79780926900596e-20	1.59810861540477e-17	35.4226919049914
ENSG00000132467.3	-0.549019561250648	4.2985713173499	-9.87163764348426	3.12780319165874e-20	2.48247036886543e-17	35.1723381163245
ENSG00000162377.5	-0.666963529626571	3.50959609346158	-9.84726340380199	3.76732908559916e-20	2.88694325066449e-17	35.0379145202426
ENSG00000160218.12	-0.533507781150501	4.56168671617489	-9.83033539736118	4.28632367265424e-20	3.16870047031581e-17	34.8460806223634
ENSG00000100335.13	-0.490836764042709	5.15352180368965	-9.82629978691834	4.42018244970481e-20	3.16870047031581e-17	34.7891362805647
ENSG00000271933.1	-1.20893720784318	-0.902801836003419	-9.77614473231863	6.47416838038625e-20	4.49610762241637e-17	34.370361685772
ENSG00000269343.6	-0.728637775737336	2.76083596214769	-9.70281351335404	1.12907238937269e-19	7.6034471845543e-17	33.9952544584651
ENSG00000141385.9	-0.781825066492977	5.11371191595637	-9.61665286310743	2.16832078226384e-19	1.41725272777204e-16	33.2174981760112
ENSG00000186603.5	-2.32232795925475	-0.711495518228576	-9.56954619807267	3.09335071325127e-19	1.90974896096982e-16	32.9310121874795
ENSG00000178409.13	-0.969519518336018	1.71788022319762	-9.54618716684934	3.67622649758898e-19	2.20802112043027e-16	32.8529243686097
ENSG00000198890.7	-0.542043070016758	3.29703364529164	-9.54125456877954	3.81483603214558e-19	2.23097634585187e-16	32.7761083838142
