logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000112319.17	2.04562054617635	0.261989829629672	12.7573177245779	6.5992650930408e-33	1.53657288426362e-28	62.2209288310437
ENSG00000004846.16	2.21052915714628	-3.3217057018438	11.4389767610003	2.22409657499951e-27	2.58929323261443e-23	48.4216667950576
ENSG00000206195.10	1.60637146382019	-2.15855196152394	10.8881326098274	3.54203932492145e-25	2.74909478804904e-21	44.3608840204772
ENSG00000244694.7	1.61255534317653	-1.58275805387471	10.7899109600961	8.60441012551843e-25	5.00862713406428e-21	43.7677228969281
ENSG00000123444.13	-0.553857580094801	2.1249508569727	-10.520725836016	9.54076950548227e-24	4.44294554331298e-20	43.0218954050094
ENSG00000172409.5	-0.694211272852712	2.90359951917326	-10.3314332350389	5.05820901257696e-23	1.6825048378406e-19	41.4778845465739
ENSG00000215417.12	-1.30183384611299	-1.08686929079408	-10.3419077605932	4.61464252529122e-23	1.6825048378406e-19	40.8694559606579
ENSG00000100764.13	-0.660544312564549	3.97249023472183	-10.2293062658752	1.23371166802582e-22	3.19174916425701e-19	40.6361577576037
ENSG00000273203.1	1.1230207965433	-0.134820915991218	10.3114176088801	6.02681390775808e-23	1.75410418785299e-19	40.5610760133958
ENSG00000213762.11	-0.405362485282965	4.21378000369984	-10.1673839937356	2.11223927907034e-22	4.53580215208556e-19	40.1086030025342
ENSG00000131845.14	-0.390885596590423	3.70880651769876	-10.1657243288608	2.14283729912993e-22	4.53580215208556e-19	40.091462700643
ENSG00000176396.10	-0.430273321876564	3.3107391114689	-10.1413969755972	2.6452438697704e-22	5.13265485531117e-19	39.8752400431257
ENSG00000166860.2	-0.523367527871036	3.23767706222125	-10.1095237089791	3.48412504117285e-22	6.24033595835913e-19	39.6045089338346
ENSG00000169564.6	-0.538722264773217	6.26199524593851	-10.0969536366833	3.88331436170952e-22	6.35908195534968e-19	39.4984767978293
ENSG00000278318.4	-0.549320638153875	2.15710175722453	-10.0907524712248	4.09664273021153e-22	6.35908195534968e-19	39.3687460636667
ENSG00000124486.12	-0.487989798912622	6.90673282420626	-10.0798680365316	4.49956841587448e-22	6.54799693720134e-19	39.3542890628804
ENSG00000141367.11	-0.460939816810961	7.6916630899091	-10.0497647789585	5.83041164512718e-22	7.9856061614789e-19	39.1018457745888
ENSG00000198824.5	-0.499374827536346	3.82744625064439	-10.0376586876846	6.46976656908061e-22	8.36900248858183e-19	39.0104309662287
ENSG00000169021.5	-0.466929642544084	5.90156444042417	-10.0234572210963	7.30890977582149e-22	8.95687659053829e-19	38.8772086405503
ENSG00000047315.15	-0.452333534443557	6.07704254738107	-9.97645421128976	1.09341843677022e-21	1.21220720916734e-18	38.4808972188332
ENSG00000138663.8	-0.354725374351233	4.79826463825559	-9.97038187261756	1.15171610110845e-21	1.21220720916734e-18	38.4388216698162
ENSG00000170881.4	-0.379804316643757	4.7125728551714	-9.94784131611882	1.39637814179577e-21	1.3547195272322e-18	38.2505543396908
ENSG00000177946.5	-0.724414863207347	0.848584538407878	-9.97570851007162	1.10041680236025e-21	1.21220720916734e-18	38.2475700251041
