logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000164089.8	-2.28637865364699	1.32135999822785	-9.64347882642502	7.71105123418931e-20	5.54025695635773e-16	34.2244491094146
ENSG00000131080.14	1.78196075221799	1.4059673139064	9.77137935360538	2.81404026867351e-20	5.54025695635773e-16	34.0493466814121
ENSG00000244694.7	2.4251190137437	-1.08902825113637	9.6357694478195	8.17629420950079e-20	5.54025695635773e-16	30.0839506037167
ENSG00000151136.14	-1.21005947217822	-0.740388949467846	-8.16432063570392	4.75290712105197e-15	1.93234191913489e-11	23.0458859905101
ENSG00000244681.1	2.04608941095799	-1.31129537401321	8.24983176586367	2.59499162383837e-15	1.31877474323466e-11	21.4613309968094
ENSG00000150893.10	-1.92801071891622	-3.42445898451247	-7.89717786276488	3.06211558049788e-14	1.03744475867268e-10	20.2162957644742
ENSG00000134574.11	0.730910591807344	3.17417449944974	7.21538339176852	2.91698287387312e-12	8.47091826572753e-09	17.3813308302135
ENSG00000175606.10	-0.81636481195214	3.9586066407401	-6.95060332699551	1.58022278659086e-11	3.21227688058191e-08	15.7578486077086
ENSG00000111684.10	-0.971214413533392	2.60025879843512	-6.85747662292894	2.83199450340141e-11	5.19930313773394e-08	15.2072612770414
ENSG00000117528.11	-0.739636545321327	5.17904289219522	-6.84446685875119	3.06924624423491e-11	5.19930313773394e-08	15.1241991111342
ENSG00000163071.10	1.2568456153861	1.61028015263009	6.82914640780263	3.3759143292163e-11	5.27889126802377e-08	14.860065992279
ENSG00000106305.9	-0.898220928896566	2.76390307299132	-6.74305086529717	5.74987343764049e-11	8.04913197541981e-08	14.5244876606756
ENSG00000104643.9	-0.466646256233822	3.8693325648571	-6.73578707839456	6.01082174483188e-11	8.04913197541981e-08	14.4705311814875
ENSG00000105976.14	-0.844950360783809	3.28549457616581	-6.72727460325106	6.33540493933083e-11	8.04913197541981e-08	14.4238306693033
ENSG00000172974.11	-1.02562953348932	-0.138619941501311	-6.69093325152735	7.91384755742385e-11	9.46309959690071e-08	14.092467052512
ENSG00000070831.15	-0.398479663771943	6.27261298026837	-6.63994975391156	1.08003616974773e-10	1.1555250136122e-07	13.9221202879402
ENSG00000120992.17	-0.666691231515049	4.4309597918059	-6.59475192229049	1.42073434993017e-10	1.44403439326902e-07	13.6408930929344
ENSG00000148459.15	-0.622197571150806	0.916748262151794	-6.58481922646914	1.50868497035348e-10	1.46040705130217e-07	13.5637956895583
ENSG00000009844.15	-0.525497017824307	4.02173959750929	-6.55903140191206	1.76272697123715e-10	1.62875972142312e-07	13.4326234825752
ENSG00000080224.17	2.27259274958933	-2.58226113673271	6.9857098323661	1.26618628954837e-11	2.85989276599324e-08	13.4086771255979
ENSG00000261292.2	2.67317599541254	-3.63074442958565	7.1759180712642	3.76320044823739e-12	9.56229233897121e-09	13.3070562586003
ENSG00000105849.5	-0.511258857035408	3.01317468027098	-6.51002001171918	2.36637848914454e-10	2.01999483011434e-07	13.1662422067257
ENSG00000168395.15	0.349011895876045	4.68496442705365	6.50871998165085	2.38488173567219e-10	2.01999483011434e-07	13.1414416287961
ENSG00000085377.13	-0.49385760354024	4.48184555762575	-6.49204292061075	2.63520621457046e-10	2.14273887719154e-07	13.0453519463295
ENSG00000139131.12	-0.452916379656771	2.52256627962729	-6.47490011116604	2.91934198612396e-10	2.28247630361261e-07	12.9756002297808
ENSG00000074211.13	-1.16501175987966	1.07024396060053	-6.465076311209	3.09684565747532e-10	2.33158068611697e-07	12.9134264216458
ENSG00000248713.1	-2.23585962576668	1.40011288917961	-6.44356864456749	3.51981512183568e-10	2.55538577845271e-07	12.7924046062248
ENSG00000131966.13	-0.452124780500848	5.06297817116887	-6.3963061689193	4.65608126172175e-10	3.26375240994068e-07	12.5026178887258
