logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000198542.13	1.766011057045	4.21390410981823	8.43721494849882	2.80226389014956e-15	4.64802697691143e-11	24.0707614883428
ENSG00000102452.15	1.42791143604036	1.78470801832478	8.37929696752849	4.08923325290232e-15	4.64802697691143e-11	23.3040433439176
ENSG00000164161.9	-2.56866906006878	2.78115022747457	-8.16869948380917	1.64313824116908e-14	1.24511538788322e-10	22.4417910505712
ENSG00000162998.4	1.9060434911215	4.35755634127129	8.01982992655939	4.31154580920336e-14	1.73814534928596e-10	21.4480954582638
ENSG00000153093.18	-1.78188746603247	1.84569731005489	-7.98605763024627	5.3521389367887e-14	1.73814534928596e-10	21.2636736129411
ENSG00000147889.17	1.56363622188445	0.859349911927966	8.01543037826639	4.40586211594177e-14	1.73814534928596e-10	20.7823150202313
ENSG00000155622.6	-2.51424853680685	-2.04962125286866	-8.00812750187028	4.6272575865345e-14	1.73814534928596e-10	20.7319943365593
ENSG00000164400.5	-2.59138861659352	-2.26918307342494	-7.9440198517952	6.99358686450175e-14	1.98731512738398e-10	20.2996302296498
ENSG00000100285.9	-1.18621308876964	-0.484453939459151	-7.89165233783777	9.75949634933157e-14	2.46514033899283e-10	20.2593864951171
ENSG00000134057.14	-1.25219099376122	1.60567290159371	-7.60411484433571	6.02370551303428e-13	1.24488088570735e-09	18.8936163053874
ENSG00000073111.13	-1.07769000945156	2.88090484468771	-7.56292935810284	7.79253930074257e-13	1.27757421183296e-09	18.7019408464347
ENSG00000122786.19	0.672793481102099	9.01215939147182	7.56138773526904	7.86787444053203e-13	1.27757421183296e-09	18.668949588148
ENSG00000102466.15	1.56262147578006	2.59648727494188	7.56719814622677	7.58763161134214e-13	1.27757421183296e-09	18.540979423848
ENSG00000244694.7	2.53830371016826	-0.222158426265096	7.76504260205584	2.18555366507068e-13	4.96841914680517e-10	18.4409784069035
ENSG00000131080.14	1.42554022319274	2.25340073148456	7.48987426328424	1.22781181979084e-12	1.86078973995367e-09	18.0534677949155
ENSG00000156398.12	-0.993319111237818	2.94526764319785	-7.40622115647084	2.05978121242938e-12	2.92656289388482e-09	17.7644108785929
ENSG00000186193.8	-1.48358259727282	-0.500972437705472	-7.32357737316504	3.42217970654087e-12	4.57625948639962e-09	16.993425992026
ENSG00000106624.10	0.887684150504764	9.31207959740958	7.24751705258557	5.44362154955665e-12	6.87499159367063e-09	16.7908876791541
ENSG00000117399.13	-1.51063673144969	0.849524108402618	-7.20911968613781	6.87455046175393e-12	8.2252187182659e-09	16.5238846807155
ENSG00000128311.13	-1.14268756986792	3.70389037172355	-7.1556116648565	9.52704652123024e-12	1.08289174283563e-08	16.2693184537773
ENSG00000243989.8	-0.743031780486667	3.70000748132692	-7.11862391443957	1.18722408744187e-11	1.22678023544618e-08	16.0644361997665
ENSG00000248890.1	-1.55432470994416	1.32987060099042	-7.09496525827847	1.37112365927569e-11	1.32801425596267e-08	15.9098876702617
ENSG00000103876.11	-0.850100642963346	4.39627652505993	-7.08537225872667	1.44971471407087e-11	1.32801425596267e-08	15.8472974425556
ENSG00000213398.7	0.667453239348872	5.45801129708392	7.08414249588256	1.46044764875145e-11	1.32801425596267e-08	15.8409635902746
ENSG00000001626.14	-1.89207714660888	2.00957178300056	-7.0612665085738	1.68313539247658e-11	1.42329918157631e-08	15.7410526412905
ENSG00000143248.12	1.37831758920153	7.28506453401861	7.05627266158833	1.73417374758275e-11	1.42329918157631e-08	15.6532797167097
ENSG00000182134.15	-0.771276300636476	2.448363373909	-6.9851069654821	2.63826666726855e-11	1.99144037675677e-08	15.3053982885446
ENSG00000180543.4	-0.706623198797332	3.50706936217456	-6.97489945268188	2.80324163358188e-11	1.99144037675677e-08	15.2404063292321
ENSG00000014257.15	-1.3574697946171	1.34838107122384	-6.97515623624956	2.79896952202117e-11	1.99144037675677e-08	15.2233096304864
ENSG00000007933.12	1.22564339558365	4.92672845946017	6.97015435818945	2.89250473096736e-11	1.99258515300246e-08	15.2118582505214
ENSG00000173930.8	-1.92903581052123	2.26420293731792	-6.91314508263869	4.05939056523438e-11	2.63846338600817e-08	14.8923689106869
ENSG00000064490.13	-0.487005690353395	4.18273747009986	-6.91066118812758	4.10085540045303e-11	2.63846338600817e-08	14.8550942941833
ENSG00000152128.13	-1.87235094508787	2.42271630729237	-6.9060192942406	4.23374611931731e-11	2.63846338600817e-08	14.8500767042078
ENSG00000143839.14	-2.21294052754014	-3.30359059936281	-7.0525982191506	1.76415836069106e-11	1.42329918157631e-08	14.8419497553603
ENSG00000266964.5	1.07944861569932	4.83051937203253	6.90312277903532	4.29433621969393e-11	2.63846338600817e-08	14.8296545585452
ENSG00000248608.2	-2.19121565226749	-3.23282218463692	-7.04778494427624	1.81567220629539e-11	1.42329918157631e-08	14.8243804643643
ENSG00000129116.17	0.784269150989163	8.45298727120013	6.8877861212702	4.69322625331865e-11	2.80766085307087e-08	14.6923912712981
ENSG00000058335.15	-2.12488061248454	2.18199605313897	-6.85538838442044	5.70360539965403e-11	3.32461696282911e-08	14.5639647829713
