logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000159212.12	-2.02954420379611	0.326761754546712	-13.914515450324	1.56246625322281e-35	3.03634066988788e-31	69.4212685995272
ENSG00000116329.10	-2.39862852855934	-1.88941587861115	-12.4381025539764	8.39433519558958e-30	8.15635579279461e-26	55.7608555990195
ENSG00000124635.8	-1.59204095112544	-0.60037845604203	-12.2826103863418	3.24120131059418e-29	2.09954216895923e-25	54.9276647721025
ENSG00000082397.17	1.15338004222553	3.79506613597897	11.9226897571477	7.34002413372142e-28	3.56596722476521e-24	52.4535724794142
ENSG00000274750.2	-1.71142310229515	0.154174581705341	-11.6876643769213	5.5591806143836e-27	2.16063113758633e-23	50.2128852338461
ENSG00000148468.16	-0.989686949420081	2.42318964022035	-11.4820520885394	3.16948858143274e-26	1.02654452671638e-22	48.7629061486068
ENSG00000005020.12	0.848646301803688	3.25195015542405	11.0214137551665	1.51538890539696e-24	3.6810690748224e-21	44.9574960991535
ENSG00000147231.13	1.50088553140896	1.26706228818546	11.0637521006521	1.06538547084806e-24	2.95766226499863e-21	44.9097005331604
ENSG00000154144.12	-0.582943464962741	4.33289421277225	-10.8867135185921	4.6287342200397e-24	9.99446578867018e-21	43.906717793895
ENSG00000213341.10	-0.665351919345389	4.28071620480015	-10.8595862906687	5.79124055166929e-24	1.12541177640589e-20	43.6865099560705
ENSG00000280010.1	-1.22617318377503	-0.0647065052381209	-10.740348168644	1.54551239168837e-23	2.73035839160729e-20	42.4257717190022
ENSG00000173253.15	-1.09496173769579	0.610084956737751	-10.6129331953835	4.38531980095573e-23	7.10165997433106e-20	41.5306324348367
ENSG00000122696.13	-0.599526780067746	2.39466737417457	-10.3773125476582	2.96672970509795e-22	4.33643468949024e-19	39.7984342040414
ENSG00000280323.1	-1.48010707543044	3.57851409785271	-10.3743795238539	3.12407171578569e-22	4.33643468949024e-19	39.7696311689867
ENSG00000242689.2	-1.23481724744939	0.742435340218383	-10.3189940441052	4.74549773366435e-22	5.7637035911437e-19	39.2435189256165
ENSG00000183665.5	-0.558271977512622	2.86647844266275	-10.2863825987087	6.16730995488772e-22	7.04996084431371e-19	39.0949032077098
ENSG00000281969.1	-1.39003823045021	-1.10777264578979	-10.3401771639695	4.00175945722387e-22	5.18441276881543e-19	39.0373066296387
ENSG00000228526.6	1.80039086152405	0.547668739660647	10.2543902204368	7.97905604759709e-22	8.61427756516413e-19	38.2654936740084
ENSG00000129204.16	2.02873698028925	5.60522378257764	10.1764260591945	1.52895274254928e-21	1.56379677084001e-18	38.2110543833339
ENSG00000000457.13	-0.459382070351407	3.05880438090413	-10.1495817436837	1.84264293330031e-21	1.79040400614125e-18	38.024777739902
ENSG00000150776.17	-0.405357111019025	4.39251300849221	-10.1007972217553	2.7172377127858e-21	2.51448002250316e-18	37.6448352358809
ENSG00000133226.16	0.426378326261108	6.60776555292988	10.0513081263127	4.02532216713412e-21	3.40104720321379e-18	37.2602044278421
ENSG00000166582.9	-0.687854938463196	3.13351919871593	-10.0409830239798	4.36869145105901e-21	3.53736587368457e-18	37.1802872573124
ENSG00000181915.4	-0.648076056153654	3.73844568502244	-10.0256910154165	4.93136609339817e-21	3.68581681896179e-18	37.0612993242144
ENSG00000011007.12	-0.567511218636493	5.14135894287073	-9.97303229850152	7.47853849095299e-21	5.38260883313664e-18	36.6505896009974
ENSG00000092020.10	-0.485020998280194	3.93578699822996	-9.94222485448129	9.53626682879483e-21	6.61850976014178e-18	36.4138537537361
ENSG00000100522.8	-0.713640933792084	2.4235783871525	-9.87087547367298	1.67172113370446e-20	1.12022609625099e-17	35.8589812556472
ENSG00000174473.15	3.26556525576446	-2.13385663836178	10.0879446342245	3.02126786406913e-21	2.66874083647525e-18	34.8358322112541
ENSG00000139233.6	-0.502399758658348	3.79454884693465	-9.69648234439658	6.52967425184086e-20	4.09326321729108e-17	34.5274148194559
ENSG00000141034.9	-0.74847498878545	4.99880897306176	-9.67362396626073	7.79848357867959e-20	4.59236155710547e-17	34.3496236138032
ENSG00000131080.14	2.63674879701688	1.08197154279578	9.73993176229393	4.75205437751946e-20	3.07822242394453e-17	34.3485644732565
ENSG00000147889.17	2.6529190917677	-2.74998395822304	10.0354155783082	4.56575479356397e-21	3.54905251613314e-18	34.3418105768078
ENSG00000085760.14	-0.542102887406756	5.00363593737206	-9.65283381983873	9.16349697716117e-20	5.23747755168156e-17	34.1910198760444
ENSG00000164989.16	1.04914360017344	0.748242793169257	9.68436412975134	7.17444500215411e-20	4.3569059289644e-17	34.1691878699974
ENSG00000154813.9	-0.744173186145328	4.91202331294253	-9.64646893148395	9.62698222241965e-20	5.34517558652231e-17	34.1427963768699
ENSG00000166451.13	-0.8749287364273	0.71489846950992	-9.63351287582273	1.06435118397429e-19	5.74542682171454e-17	33.9655035338488
ENSG00000146122.16	-1.31191728733557	5.72691585013742	-9.61767890419245	1.22521313236221e-19	6.43501805437699e-17	33.9109755250306
ENSG00000155729.12	-0.468362548318218	3.27744415361886	-9.59233579108817	1.46357816981402e-19	7.32533329201499e-17	33.7396664969047
ENSG00000137692.11	-0.507399028443257	3.89692618262357	-9.59175871648148	1.47011783249413e-19	7.32533329201499e-17	33.7308358801489
ENSG00000003137.8	2.08430198202809	2.62060547613403	9.51471237277928	2.72136132713716e-19	1.32210536675641e-16	33.0586142111987
ENSG00000128833.12	0.797168287365198	2.66358594773789	9.48863627078612	3.25292630487311e-19	1.54180772884388e-16	32.9417509741244
ENSG00000022840.15	-0.518518090918035	8.27941959393605	-9.47965178123884	3.48516412064023e-19	1.61255224658099e-16	32.8912232594477
ENSG00000213753.10	-0.651780738635065	3.34951967396939	-9.42551468629765	5.27636699245345e-19	2.33035544918972e-16	32.4823501015695
ENSG00000175324.9	-0.511321854880961	2.68125123855151	-9.41090022262554	5.90002031050784e-19	2.5478909932022e-16	32.376292608058
ENSG00000163071.10	1.49517249126591	0.283921561355886	9.45963338007052	4.06343712608092e-19	1.83639008537513e-16	32.3063045516601
ENSG00000261824.6	-0.537938064809747	1.86960219897853	-9.40130939155415	6.34848567281556e-19	2.68195917564836e-16	32.2913024980151
ENSG00000136816.15	-0.576514290160068	3.31248321921213	-9.3933421877848	6.74661787307365e-19	2.78951117292426e-16	32.2422622603286
ENSG00000100139.13	-0.569066547895769	3.93833242611836	-9.38435179281019	7.22568123507104e-19	2.92534715502366e-16	32.1689743286822
ENSG00000108010.11	-0.444336366916108	4.71437541142803	-9.36164846052882	8.59091352395471e-19	3.36452271261186e-16	31.9953849128861
ENSG00000164077.13	-0.736077074454981	3.33493532002184	-9.35909333761398	8.75974603572215e-19	3.36452271261186e-16	31.985462089165
ENSG00000112031.15	-0.523228280214628	3.14083176948708	-9.3580465601866	8.82985943205912e-19	3.36452271261186e-16	31.9805096373651
ENSG00000196652.11	-0.428264697325034	3.26933237182228	-9.34854582511221	9.49221528334211e-19	3.54735037694591e-16	31.9090778353253
ENSG00000111726.12	-0.425202886489637	4.79840183740525	-9.22558237604413	2.41121528405422e-18	8.84097105943881e-16	30.9832362550249
ENSG00000179562.2	-0.674749894144311	3.21693109194932	-9.21534003494912	2.60504953099558e-18	9.35428902352571e-16	30.919757824656
ENSG00000168259.14	-0.402517751680868	5.9164116540005	-9.20752436412124	2.76328096273731e-18	9.58907838372752e-16	30.8535954884331
ENSG00000145949.9	-2.43598819397331	3.08784543940359	-9.18854234635888	3.25104087899874e-18	1.10837679651899e-15	30.6986308429475
ENSG00000070882.12	-1.23822104239075	2.6554721043902	-9.18390802805604	3.34211875803142e-18	1.11978265215215e-15	30.6790341491045
ENSG00000124356.15	-0.487972906812128	4.86301886985131	-9.16583140397346	3.78283706397946e-18	1.22519787773855e-15	30.5417136518467
ENSG00000130997.16	0.910715054417224	-0.245841076857199	9.21319870448839	2.64748570109563e-18	9.35428902352571e-16	30.4814242526872
ENSG00000235560.3	-0.995013950651154	-0.352239277030884	-9.17594268892808	3.50569456235379e-18	1.15468071915629e-15	30.460950700197
ENSG00000164168.7	-0.512227175342192	4.07127408340949	-9.15395119435972	4.13631945570699e-18	1.31772288496318e-15	30.457801714765
