logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000178163.7	-0.662596938866403	1.91814275272408	-8.21077287271007	3.6784513863248e-13	6.92578827017234e-09	19.4406392162881
ENSG00000148082.9	1.9906498304128	3.38404660152764	7.72674851929768	4.87196613080234e-12	4.58646891553732e-08	16.9825222417196
ENSG00000224945.1	1.92758339573656	1.71911664751235	6.7929307485954	5.29907614847455e-10	3.32570019078263e-06	12.3277875231421
ENSG00000204176.13	-1.11890383026836	-0.315064604860894	-6.57478067405793	1.5048733819898e-09	7.08343900902599e-06	11.2471364183371
ENSG00000163071.10	1.08445938391677	1.81753444363341	6.23434975903814	7.77874584193277e-09	2.9291645342382e-05	9.91197838104867
ENSG00000104722.13	-1.1606124540992	0.566194140304946	-6.00972911474721	2.25448370993889e-08	7.07456988178824e-05	8.90225477716551
ENSG00000159212.12	-0.738942382752748	2.07283716593849	-5.96049449868587	2.83370975610297e-08	7.62186961255811e-05	8.72352339700999
ENSG00000088882.7	-1.31427980192539	0.952585362163166	-5.30922927961999	5.52855032560698e-07	0.0013011443191316	5.93300736370434
ENSG00000233695.2	1.04130907172729	2.07662702241856	5.21115591255449	8.4126123321057e-07	0.00158392664988886	5.5400460275602
ENSG00000147889.17	1.32443891701576	-0.960436603306184	5.21377215371537	8.28277699436067e-07	0.00158392664988886	5.06220438376519
ENSG00000132274.15	0.567756057008497	3.50242114526394	4.85143832411671	3.89330065299866e-06	0.0066639149722417	3.99159475366275
ENSG00000206195.10	1.21269377719627	0.145207853308726	4.7496616722886	5.94533434497199e-06	0.00849299781240985	3.65133479966491
ENSG00000163293.11	-0.42994322889898	0.940532851809297	-4.71818979252446	6.76625064723538e-06	0.00849299781240985	3.60909707402471
ENSG00000147027.3	0.563211352359762	3.24812165081511	4.72679080514077	6.53093209298277e-06	0.00849299781240985	3.5244349708036
ENSG00000267532.5	0.441679309077047	0.477665571073406	4.66253507442334	8.49988890034027e-06	0.00850654170374891	3.39565796433914
ENSG00000272870.1	0.640233693206775	-0.171452891323026	4.67628512821562	8.03534081958234e-06	0.00850654170374891	3.38900707849849
ENSG00000176014.12	-0.51349526676196	4.18872213997187	-4.68590098518552	7.73411609461152e-06	0.00850654170374891	3.25479497299132
ENSG00000259134.5	1.4859127918655	-2.01572160355004	4.76038225424948	5.68558545732187e-06	0.00849299781240985	2.9931930195461
ENSG00000253958.1	-0.610618907741766	1.63144675347167	-4.54465807110918	1.37045183618293e-05	0.0107996763577395	2.91980114833809
ENSG00000100196.10	-0.603415008896096	3.23907110577028	-4.57151495238226	1.23283439942346e-05	0.0107996763577395	2.8729083993829
ENSG00000184697.6	-1.47209872397956	-1.86389177195698	-4.55541824213703	1.31341611374674e-05	0.0107996763577395	2.83684601014249
ENSG00000185010.13	1.255053761384	3.68747369757838	4.54640137316292	1.37663178556271e-05	0.0107996763577395	2.82569848353423
ENSG00000104140.6	-0.593017642441554	3.2780253896393	-4.55214063026395	1.33256178240702e-05	0.0107996763577395	2.79554840263314
ENSG00000189420.8	-0.441762922559354	0.771353852166905	-4.49561385110896	1.6680598945469e-05	0.0125624926778116	2.78189670039463
ENSG00000131080.14	1.09672078483082	1.91190708854385	4.43615848029551	2.12691732062153e-05	0.0154021535817931	2.54525836571848
ENSG00000244694.7	1.62485392203914	-2.71237318554241	4.66011634436934	8.58425177242561e-06	0.00850654170374891	2.34622510358178
ENSG00000165474.5	-0.605742499273375	0.0531439671513377	-4.37041734441472	2.73813824539243e-05	0.0190939506978699	2.33843078728992
ENSG00000162998.4	0.780983935339802	1.4812889800512	4.33683955725408	3.12271551284296e-05	0.0209980313127883	2.20267340555947
ENSG00000213023.10	-0.975104917517063	-1.42103623846732	-4.32718169525511	3.24263194794512e-05	0.0210525083847968	2.10708792887109
ENSG00000105664.10	1.43947912280141	0.514090604762092	4.29420000512312	3.70805010517652e-05	0.0232717224600878	2.05258470263297
ENSG00000213225.7	-0.886999167687326	-2.10861302819494	-4.26372823237267	4.1480263739392e-05	0.0251932388930733	1.76844195428998
ENSG00000103449.11	1.22030472945982	0.00708719474042889	4.21526096002065	5.00442964180638e-05	0.0270682360168915	1.76026830783744
ENSG00000181690.7	-0.421471387869247	1.24955718047486	-4.18078604830528	5.70298663895829e-05	0.0270682360168915	1.63005776385755
ENSG00000215417.12	-0.839769811007901	0.702248652477405	-4.16791183778761	5.99575595249949e-05	0.027249250846946	1.60425522392564
ENSG00000170421.12	-0.498034880556931	8.88070095359662	-4.18999859930509	5.50594399991589e-05	0.0270682360168915	1.54745714210648
ENSG00000152503.9	-0.586458845259568	0.505564792769483	-4.13889965551708	6.68741320729488e-05	0.0286771768939	1.52071540143428
ENSG00000130202.9	-0.341812970685708	5.25080165936208	-4.22773356503359	4.7649377833865e-05	0.0270682360168915	1.5196306865861
ENSG00000144504.15	0.241907797136691	3.41199905714751	4.20032379261824	5.29286938995512e-05	0.0270682360168915	1.51821995116522
ENSG00000179750.15	-1.10616419197858	-0.514744423096318	-4.1324019658175	6.86725613112934e-05	0.0286771768939	1.51043890848382
ENSG00000249992.1	-0.573904586464129	0.31921496084326	-4.12659358635017	7.00632110218503e-05	0.0286771768939	1.48428112393429
ENSG00000151882.11	0.869416948159515	3.27589401254969	4.16606746453903	6.07854544068266e-05	0.027249250846946	1.44563579667571
ENSG00000188229.5	-0.509987381575808	5.8522866120096	-4.19682228782318	5.37172467437103e-05	0.0270682360168915	1.42704319985413
ENSG00000121351.7	-1.83645685548561	4.00859191633459	-4.19915847721954	5.36331545635096e-05	0.0270682360168915	1.42655914148117
ENSG00000180543.4	-0.445043574378159	3.43110581017635	-4.18194756832249	5.67777572899253e-05	0.0270682360168915	1.41771591122711
ENSG00000169218.13	1.27218655761834	-1.45030007066006	4.17860420807317	5.75063437792468e-05	0.0270682360168915	1.40946637517533
ENSG00000152495.10	0.818397084707254	-0.983644051110794	4.1286204129279	6.95281237714753e-05	0.0286771768939	1.40014677755302
ENSG00000277758.4	-0.766774933258982	0.245397624773139	-4.08479599217023	8.20190480364044e-05	0.0321719715922796	1.34155112422838
ENSG00000121966.6	1.00079370931229	2.1063798168327	4.09221675828562	8.02100726851702e-05	0.0321318137982209	1.30755787356603
ENSG00000184378.2	-0.658816895433745	-1.34575107233297	-4.07220019295539	8.59895189965873e-05	0.033041033952403	1.25630142444268
ENSG00000166736.11	-1.82108887344457	-0.500435505592575	-4.03405259670961	9.99278112835678e-05	0.0354988836008871	1.17544794960432
ENSG00000163739.4	-1.19409402628777	2.20528890711973	-4.05756923645585	9.15426326366288e-05	0.034471293745649	1.07211134249887
ENSG00000198939.7	0.384636995329824	1.11590398524201	4.00517346909242	0.000110407189120859	0.0384953066068062	1.0581338345199
ENSG00000178773.14	1.02626709290896	-0.41414892176419	3.99442390471696	0.000114893730951122	0.0386289136847807	1.02289272701859
ENSG00000213809.8	0.868075264213692	-0.402661263449516	3.9740504732452	0.000123879255015304	0.0395321798886127	0.95886910452703
ENSG00000267251.2	0.783988438324899	-2.21618058586	4.0491432024057	9.37389898511415e-05	0.0346062294297508	0.890036022132024
ENSG00000079841.18	-0.506043257862583	0.30066412185939	-3.92975379469531	0.000145787086918105	0.0442776942286377	0.825497248402284
ENSG00000182771.18	0.59930778285773	0.297012803551269	3.92062663445102	0.000150738927086251	0.0442776942286377	0.810623046078938
ENSG00000121904.17	0.947703059460751	-0.190747732948224	3.91680409517693	0.00015286010860747	0.0442776942286377	0.788432833740506
ENSG00000237643.1	1.55067094266004	2.92730012012823	3.95601628102458	0.000133337480100717	0.0418413012556049	0.786780058362684
ENSG00000174307.6	0.595091021638873	3.81607720197688	3.99658619613035	0.000114366183095985	0.0386289136847807	0.774700913629998
ENSG00000137843.11	-0.358769972715071	2.8269881633202	-3.97981712107949	0.000121270032103634	0.0393667614559865	0.771805114256039
ENSG00000015532.9	0.236808621196624	4.34444372745736	3.98534776001901	0.000118816966290521	0.0392471200231215	0.678577674264777
ENSG00000256628.3	-0.349653767654744	-0.0778935292382826	-3.87892586285472	0.000175475881840413	0.0465125269563398	0.673638795937808
ENSG00000272674.3	0.584967067731705	1.13807961423366	3.88270672332969	0.000173082654553117	0.0465125269563398	0.655426218649009
ENSG00000158571.10	0.799522092350844	-0.111204393551748	3.86536872319686	0.000184319141871042	0.0475391890842188	0.630850509844013
ENSG00000137101.12	0.567334613659689	1.18591460391278	3.8751952633097	0.000177868171917169	0.0465125269563398	0.623645403639333
ENSG00000184226.14	0.719087016455384	2.43401245482258	3.88313580300566	0.000173172405296312	0.0465125269563398	0.552648625418487
ENSG00000204969.6	0.913117670483416	-1.61336576468498	3.88450248994637	0.000171956884970009	0.0465125269563398	0.52121295396944
ENSG00000140835.9	0.930752944939566	1.85986372194724	3.85029613236676	0.000195376258167106	0.0490472558502702	0.508422712313105
ENSG00000224307.1	-0.713534815617656	-0.706294659375084	-3.82468038549504	0.000213479304442228	0.052057972660196	0.505022852259359
ENSG00000100987.14	1.03852293673392	-2.18946196356384	3.89342994516139	0.000166463034151584	0.0465125269563398	0.412770815717214
ENSG00000054598.6	0.531813613932183	2.10899337924958	3.83305582879815	0.0002071394827535	0.0513160813326697	0.409474616721383
ENSG00000249396.1	1.49639941523173	-1.48600746136372	3.85444324637581	0.000191827889608247	0.0488072365614063	0.408398340446626
ENSG00000205560.12	0.359293694956602	4.78914201781644	3.89935728067446	0.00016290826369694	0.0464732846800906	0.366795324991656
ENSG00000225783.6	0.627221474168486	0.23644916269839	3.77862449237058	0.000251772745205912	0.0551206656597315	0.356834512684646
ENSG00000153283.12	0.907559586047764	-1.09767767750225	3.78484310061125	0.00024624532278766	0.0551206656597315	0.315028979698347
ENSG00000175544.13	0.661312019159522	-0.623629402023523	3.76534885878968	0.000263969800614948	0.0561043217329363	0.304656227306283
ENSG00000144810.15	0.774316328144512	0.738012264809905	3.7523825389159	0.000276422901453197	0.0561043217329363	0.261476100406205
ENSG00000008323.15	-0.375966741049353	2.3016148417734	-3.7980079513994	0.000234921806791201	0.0540482148161	0.220499764847132
ENSG00000198597.8	1.10637982520884	-2.04358114680708	3.81334369315055	0.000222355179188679	0.0529937128324615	0.215296476238379
ENSG00000138311.15	0.857645393314121	-1.73461841901937	3.7794210507271	0.00025105819629174	0.0551206656597315	0.197558940584381
ENSG00000215067.9	0.266917315324659	0.957961952672591	3.74079912731088	0.00028801771394547	0.0565197981372285	0.19495755998244
ENSG00000186510.11	0.615495300283699	2.10738798620144	3.753411344131	0.000275475650539018	0.0561043217329363	0.148165286262481
ENSG00000145908.12	-0.325808744701212	3.10417197297714	-3.79406266839137	0.00023826225991801	0.0540482148161	0.115861523263792
ENSG00000114346.13	-0.430848950321573	1.43887233858741	-3.73616860002897	0.000292780720816344	0.0568296434178363	0.113749986915377
ENSG00000109320.11	-0.27401871274267	4.74180989363144	-3.82184895570285	0.000215664004009735	0.052057972660196	0.0970108366623572
ENSG00000129682.15	0.666039563516476	-0.59347718569728	3.68541923673944	0.000350122504306187	0.0633856395295855	0.0635988435837538
ENSG00000167244.18	-0.990408767544509	3.52905210285513	-3.79841238033359	0.00023604040897424	0.0540482148161	0.0587826883525819
ENSG00000114251.14	0.588279980895588	3.22123553372622	3.76223211521504	0.000267454856284595	0.0561043217329363	0.0439590260148481
ENSG00000058085.14	-0.755159179460352	2.38875038066257	-3.75298727964287	0.000277124597469889	0.0561043217329363	0.0387081915164416
ENSG00000004838.13	0.601287418573203	0.75323678680841	3.68136118398537	0.000355140518989269	0.0636817684907614	0.0293622235632975
ENSG00000119139.17	-0.231700125789767	5.5971735524788	-3.79836304026765	0.000234623348318868	0.0540482148161	0.0274882251252633
ENSG00000198496.10	0.401045638253147	1.62462806605794	3.69478659066468	0.000338794549877794	0.0631566711395951	0.000981035793322427
ENSG00000119547.5	0.757734707692905	3.7609945216545	3.75863333883422	0.000271971975426261	0.0561043217329363	-0.0159625053143726
ENSG00000164794.8	-0.587432303017743	-1.03872093651605	-3.65120752231357	0.00039461872523763	0.0668604940083815	-0.0334452507682101
ENSG00000215068.7	0.506550948964976	-1.17963303714114	3.65422931435658	0.00039048263792073	0.0668604940083815	-0.0594547917420094
ENSG00000188011.5	1.4307749939447	-3.69077026975927	3.92117094026448	0.000150439176923662	0.0442776942286377	-0.0596676491201462
ENSG00000109667.11	-0.417401583918142	0.138175046834082	-3.64616636193419	0.000401611266185776	0.0668604940083815	-0.072560431597311
ENSG00000039068.18	-0.351319766969593	7.47684596522245	-3.74063768837944	0.000288182527149667	0.0565197981372285	-0.0747764204995303
ENSG00000237886.1	0.687917452513651	-0.789271913291567	3.640826648566	0.000409145733238568	0.0668604940083815	-0.0758226714068355
ENSG00000166451.13	-0.329336466042414	0.466146825559845	-3.64534997528942	0.000402754642231086	0.0668604940083815	-0.0920914337348337
ENSG00000281205.1	0.52104296747532	0.188117926394961	3.63319751969512	0.000420143003608208	0.0670155935759112	-0.0949403806880298
ENSG00000167281.18	0.720051005974576	-1.03666296591126	3.63973299832957	0.000410705315005142	0.0668604940083815	-0.0978783958059752
ENSG00000240401.8	0.458850827905392	0.649269510754094	3.63619879760359	0.00041578375216746	0.0669092007334097	-0.106226917676756
ENSG00000240241.5	-1.41665184182962	-5.77761690436759	-4.03826076076549	9.76245772365263e-05	0.0353476065424869	-0.114258383624513
ENSG00000136383.6	-0.475193803224265	5.11936794645831	-3.75615582818315	0.000273288261337006	0.0561043217329363	-0.123193865155029
ENSG00000162692.10	-0.902293120786205	3.40266900335405	-3.7328419701299	0.000297982328532452	0.057249094710296	-0.145555855641001
ENSG00000189233.11	1.42047497174623	-3.955859824963	3.92417761229743	0.000148793613620793	0.0442776942286377	-0.167434350847515
ENSG00000175505.10	-0.500328041930215	2.13744485858237	-3.67471936018841	0.000363500821733634	0.064565976147178	-0.173339753773747
ENSG00000159399.9	-0.584222956003999	2.51001343035077	-3.68799570874864	0.000347458596651352	0.0633856395295855	-0.176192398265555
ENSG00000163687.13	1.04577675089874	-1.2466102609642	3.62134736794796	0.000437780935858549	0.0681201608292955	-0.186565605837068
ENSG00000008405.11	-0.362755594877966	3.47598145244324	-3.70347951984786	0.000328593681085616	0.0618676182747998	-0.22708390010227
ENSG00000057657.15	0.543997979260021	1.01950762945487	3.60123314768081	0.00046933225771494	0.0702637493514515	-0.240610469915556
ENSG00000104723.20	-0.393640325070919	4.57713245925807	-3.71545507610953	0.000315125115966367	0.05993106750924	-0.25508396369194
ENSG00000228223.2	-0.417025624689679	0.487063409303461	-3.59392672451711	0.000481316268015327	0.0702637493514515	-0.256208732184909
ENSG00000261621.1	-0.926253283440993	-2.18206017983267	-3.58765830443515	0.000491827611451457	0.0702637493514515	-0.28108968817313
ENSG00000171817.16	0.416865339857208	1.85592713454726	3.61323129128796	0.000450262582731382	0.0689231212005404	-0.283878671866558
ENSG00000187583.10	-0.705614821163563	-0.0817229319001623	-3.57054334092944	0.000521642478812414	0.0702637493514515	-0.299505166809356
ENSG00000164379.6	0.75275696707993	1.33674685491877	3.58753177653515	0.000492369606484809	0.0702637493514515	-0.302375829420202
ENSG00000105609.16	-0.800973079314224	0.242942387036594	-3.57657526093919	0.000511319098972627	0.0702637493514515	-0.305274801350516
ENSG00000237223.6	0.988226453966109	-2.21133063442378	3.6308630418434	0.000423563609280509	0.0670155935759112	-0.306356155289607
ENSG00000205089.7	-0.488210172871642	0.00295617034877159	-3.56801199401867	0.000526194426309468	0.0702637493514515	-0.308443203843603
ENSG00000100504.16	-0.492967211459074	2.56573974290211	-3.64448790691864	0.000404045935278662	0.0668604940083815	-0.317410616248532
ENSG00000074706.13	0.537987010216232	0.88867780927022	3.56954060984525	0.000523441156619775	0.0702637493514515	-0.32787777115461
ENSG00000162341.16	0.267331116365443	4.35178556649134	3.68545367232005	0.000350080211617265	0.0633856395295855	-0.332568269851493
ENSG00000152154.10	0.6397744208301	1.48140274879631	3.58167418863527	0.000502064235165668	0.0702637493514515	-0.334721043143343
ENSG00000262089.1	0.586880407283588	-1.38995077524015	3.55952287704381	0.000541735090586371	0.0718294949687338	-0.348218728899202
ENSG00000104067.16	-0.235777010250303	6.08877860562632	-3.67144898711634	0.000367685529414207	0.0646989079234645	-0.372851662854975
ENSG00000255284.1	0.57557247078216	0.542967119303995	3.54127992976251	0.00057660947601281	0.0740811260616948	-0.388561097002278
ENSG00000266904.5	0.353829898591491	1.89468306216691	3.57613132880076	0.000511725267776193	0.0702637493514515	-0.404175114227197
ENSG00000154065.16	0.575042076911841	-0.109408692016911	3.52349579211609	0.000612636886913866	0.0758863638606202	-0.415594958766754
ENSG00000198270.12	0.27346450700298	1.92900930396935	3.57521912710126	0.000513331933605546	0.0702637493514515	-0.417085258595381
ENSG00000251095.6	1.5220627857425	-3.46959538764392	3.74250347774416	0.00028628318922579	0.0565197981372285	-0.429613907551629
ENSG00000128739.21	0.220393184074603	4.25299785922176	3.64964414169115	0.000396774851084996	0.0668604940083815	-0.444531065255966
ENSG00000186377.7	0.56265673003247	0.590500574347499	3.52400854875571	0.000611569068958834	0.0758863638606202	-0.445472197275393
ENSG00000236833.1	1.1239224179818	-2.482273860028	3.59601298714973	0.0004778652045468	0.0702637493514515	-0.47373912725949
ENSG00000269834.5	0.392645289391311	-0.499282885749385	3.50213625163211	0.000658712403743638	0.0784951717575014	-0.473834212969557
ENSG00000189283.9	0.356620414922195	2.36017736315342	3.56862138883527	0.000525095178708681	0.0702637493514515	-0.484980695999099
ENSG00000247556.6	0.213897768182495	5.89586143578593	3.63887697130055	0.000411929960960923	0.0668604940083815	-0.495058921500164
ENSG00000060718.20	0.983991022077094	-1.24489273240691	3.50928052155945	0.000642949583024401	0.0771048073196397	-0.502760106136531
ENSG00000176046.8	0.752105774941423	7.43991832965832	3.61876550597846	0.00044403631757171	0.0685271785839356	-0.504105705114233
ENSG00000073792.15	-0.386504934503588	2.99304537176167	-3.59752874410377	0.000475372542003972	0.0702637493514515	-0.517491216451468
ENSG00000225969.1	-0.79735608095142	-0.794577163678698	-3.47826553553901	0.000714060482641107	0.0814807925282834	-0.547038440594369
ENSG00000103855.17	-0.239095314935499	4.64928629698129	-3.6252882531094	0.000431838974891704	0.0677555351605083	-0.549492814820147
ENSG00000180769.8	0.467937990272317	-0.0138752693571118	3.46755861617107	0.000740282909006247	0.0829102065717337	-0.584907084418861
ENSG00000273061.1	0.494228675042678	-0.941176221744062	3.46087347811216	0.000757112216693558	0.0829102065717337	-0.598682312794825
ENSG00000110848.8	0.875269947150295	-0.409596710675032	3.45868336880793	0.000762703461547292	0.0829102065717337	-0.59910540271087
ENSG00000269113.3	0.438585701179226	2.80462934003792	3.54615325505842	0.000567091522928226	0.073635856508225	-0.603816173924814
ENSG00000177738.3	0.411414470037499	-1.05140588643242	3.45547634139767	0.00077096096498065	0.0829102065717337	-0.615829953581043
ENSG00000119973.5	1.52163905598428	-1.26404737313214	3.48201503691737	0.000705985929102883	0.0814807925282834	-0.617750370134225
ENSG00000160233.7	-0.383015338552485	0.838676187997215	-3.48166832441376	0.000705911453618349	0.0814807925282834	-0.62757475882349
ENSG00000182168.14	0.584436976707584	-0.54764396291309	3.44740587314849	0.000792114491964234	0.084259500874026	-0.631524654440684
ENSG00000246223.8	0.583354100630072	-1.24227963705832	3.45547748382328	0.000770958008531313	0.0829102065717337	-0.633464032398701
ENSG00000272872.1	1.28072496543193	-2.07389505546296	3.51539937788491	0.000629732427696263	0.0769692476763046	-0.633689712797763
