logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000232139.5	-2.43776808122192	-3.77883175114411	-6.62553764038713	4.71321053443708e-10	1.07758132448835e-05	9.72537760945889
ENSG00000129221.15	-2.31809919989039	-3.09206193336418	-6.47797948571796	1.03180961632293e-09	1.17951316289955e-05	9.68828622770362
ENSG00000070031.3	-1.9876365890713	-1.3828768915063	-6.24927263227425	3.40862686700719e-09	2.59771453534618e-05	9.65543936942904
ENSG00000136574.17	-2.6273827952652	-2.73335360939608	-6.11521039133831	6.7924342158931e-09	3.8823855869491e-05	8.68155991500926
ENSG00000197467.13	-1.5154235628571	2.33570351914373	-5.32832484628297	3.22812317592197e-07	0.00123007633618507	6.38371598938926
ENSG00000100593.17	-1.57880613665278	-0.0506003684788769	-5.37332369649259	2.60778925542438e-07	0.00119243771493535	6.27857030938981
ENSG00000088882.7	-2.17549961328346	2.36230787271674	-5.0098931335629	1.39635047089368e-06	0.00456068011657746	5.04073078825043
ENSG00000131080.14	1.02601576909703	3.45054291893864	4.94595439463707	1.85783025630144e-06	0.00471950812775776	4.71110884326421
ENSG00000151655.18	-1.77869192864323	1.53520492113195	-4.84600499895154	2.89819348945221e-06	0.00662613977493458	4.34798635856957
ENSG00000164690.7	-2.31801350360228	-2.49332266305424	-4.95013113804745	1.82453386264836e-06	0.00471950812775776	4.12224492441794
ENSG00000180739.13	-1.6713113184084	-0.870543808850415	-4.80803551785923	3.42069068649062e-06	0.00710975010593047	3.87818030750509
ENSG00000204278.12	-1.97320076351988	-1.74882572626257	-4.64731599019432	6.86407707329589e-06	0.013077782843897	3.11237292014539
ENSG00000082175.14	-1.69577960285405	2.9379869137739	-4.5166862330788	1.19511414525086e-05	0.0195170676449075	3.0442867832061
ENSG00000150656.14	-2.19191435161558	-2.80931880186344	-4.59126400372954	8.71568801391528e-06	0.0153282134663189	2.63784893934475
ENSG00000147257.13	-1.43907531954029	6.12543240105745	-4.43097654995368	1.70838544176163e-05	0.0260392109033308	2.62825973150179
ENSG00000134986.13	-1.06567846446328	3.53995339910194	-4.38899824903782	2.03152716800996e-05	0.0290292535263824	2.55288221877529
ENSG00000173451.6	-0.75067636033916	3.60445530251933	-4.3549644539088	2.33395439973886e-05	0.0313889408477821	2.43344020716058
ENSG00000186732.13	-1.67853201346939	1.26458139452569	-4.23897756773907	3.73712828584734e-05	0.0474677577774044	2.03310018650027
ENSG00000185088.13	0.373618091171331	5.57705808349884	4.13625224238231	5.61950136490447e-05	0.0676203472135847	1.56308574998803
ENSG00000167755.14	-1.93401509218588	-1.82726051201207	-4.04457877748152	8.04700353621808e-05	0.091989320924277	1.14315247733256
ENSG00000169071.14	-0.824604253817819	2.49729734069161	-3.93967055529706	0.000120375875795522	0.101931616604186	0.986059716753371
ENSG00000108684.14	-1.63783762498844	-0.225205622711974	-3.9254499733675	0.000127134798237873	0.103810103289732	0.907198646458723
ENSG00000171101.13	-1.72014815902634	-1.78712239034311	-3.96736599564036	0.000108321331919907	0.0952519466032624	0.867941304914076
