logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000213225.7	-1.71346733338926	-0.563983823225955	-7.62294329116577	8.85859922121701e-12	9.96326654410278e-08	15.7176682183473
ENSG00000254567.2	-2.65490358758832	-4.44792888999386	-7.7909368691947	3.75557650942877e-12	8.44779380030909e-08	13.8078950489703
ENSG00000147889.17	1.3288781568904	0.711450787479679	7.09876636257742	1.24291498506937e-10	9.31937655805011e-07	13.3249394320557
ENSG00000250853.1	-1.60659180967355	-1.09210464568387	-6.83227007882084	4.64559895544823e-10	1.67016297118693e-06	11.9695452330502
ENSG00000172667.10	0.621354159779259	5.11999180594768	6.67758324167985	9.90107078842831e-10	2.78393357893633e-06	11.8970897648579
ENSG00000111058.7	0.701674544667273	4.63902642200137	6.63445304628755	1.22122822255215e-09	2.96484746049162e-06	11.7130048214475
ENSG00000092096.16	-0.743018663355748	7.04402714832887	-6.61894841893598	1.31806146549819e-09	2.96484746049162e-06	11.5976213473289
ENSG00000026103.21	0.826763672941147	4.64463585345543	6.59342183996478	1.49188281903969e-09	3.05076473922535e-06	11.5222720991013
ENSG00000240498.6	1.04693079529561	-1.18155382322776	6.80940896329623	5.19744856330956e-10	1.67016297118693e-06	11.21563249253
ENSG00000149177.12	-0.74370556633235	5.31219368376435	-6.51269229232647	2.20514340427864e-09	3.54303540970312e-06	11.0983597797283
ENSG00000134193.14	-2.65031434177891	-1.14365153129808	-6.5737523738488	1.6461797878458e-09	3.08576401231695e-06	10.9264504899953
ENSG00000250320.5	2.03072170590539	-2.12606444587748	6.93993127816465	2.73313964667907e-10	1.53698108030998e-06	10.7769658973533
ENSG00000111052.7	1.0561060378669	2.861473419968	6.43054206158359	3.2685434160259e-09	4.59516347500542e-06	10.7457113235591
ENSG00000128311.13	-0.60125839672389	4.4144932503811	-6.41132216678821	3.58402919894711e-09	4.74230310594802e-06	10.6597149248467
ENSG00000110848.8	1.39828914550228	2.72126234497574	6.37963090773298	4.18382216986486e-09	5.22838310494112e-06	10.4912034251568
ENSG00000106538.9	0.958712299450556	7.14393363118403	6.34258842456518	4.9970400928158e-09	5.91596946567361e-06	10.301269915074
ENSG00000161031.12	-2.72373639696089	-2.5523135946471	-6.53231425894147	2.01113456180932e-09	3.47988160256453e-06	10.2296771542093
ENSG00000168264.10	0.534724468131145	6.90645834610469	6.31367202513854	5.71353585477959e-09	6.28140803200728e-06	10.1701329728729
ENSG00000261120.1	-2.16393598526997	-4.2861703315561	-6.8252357573653	4.80892508139055e-10	1.67016297118693e-06	10.1530208126981
ENSG00000059804.15	1.56930599006147	5.80798991366917	6.28078400053414	6.70520976995723e-09	6.60767312182023e-06	10.0476043439917
ENSG00000153132.12	-1.58964981191408	3.50275179972114	-6.27082729229056	7.02966187783423e-09	6.60767312182023e-06	10.0366597294489
ENSG00000152217.16	0.592376551435465	6.04955511323372	6.26944692313416	7.05006468052305e-09	6.60767312182023e-06	9.97093388201676
ENSG00000128250.5	-2.20914338839692	-3.38169465401923	-6.47925714467313	2.58644654832731e-09	3.87863524387163e-06	9.44294884509509
ENSG00000169876.13	-2.96593668572939	-2.41162047679692	-6.30898533984864	5.86421128621646e-09	6.28140803200728e-06	9.40537548144754
ENSG00000074370.17	-1.03837483605288	6.13668305693327	-6.13014361250844	1.36574979843872e-08	1.13782133207706e-05	9.32827749099205
ENSG00000219159.4	-2.30994923143459	-1.91244519636465	-6.25321873719609	7.63993668815054e-09	6.87410943453033e-06	9.2924576449414
ENSG00000157734.13	-1.44928875949436	3.30061567966298	-6.08298174145909	1.70376803817749e-08	1.32389542085898e-05	9.19738807852624
ENSG00000235531.9	1.10608502514426	2.40767104455407	6.04875181238781	1.99292709178621e-08	1.41508536294605e-05	9.02199621277505
ENSG00000130294.15	-1.47021513684833	4.75956130469758	-6.05634471384797	1.9297666383214e-08	1.41508536294605e-05	9.01337387103893
ENSG00000172986.12	1.04884487774234	2.28264208919187	6.04659495338955	2.01310267690378e-08	1.41508536294605e-05	9.00479519957027
ENSG00000224870.6	-0.433524623808757	4.22660915367213	-6.03739742508747	2.10141685296544e-08	1.43240214213953e-05	8.96855876229059
ENSG00000269343.6	-0.70689912691764	3.24305763441028	-6.02514552813428	2.22500197091718e-08	1.47203512746503e-05	8.9530747306392
ENSG00000168918.13	0.82772694906349	5.35662252418571	6.00762865891839	2.42189697934472e-08	1.55651859009658e-05	8.80693631547897
ENSG00000124713.5	-1.62607951438059	3.20172949114172	-5.98884721675728	2.64295780891614e-08	1.65140813760443e-05	8.7790293951174
ENSG00000106128.18	-2.53050030047867	-2.27885726641198	-6.08260072818949	1.70680924712859e-08	1.32389542085898e-05	8.50180502050194
ENSG00000083814.13	-0.531920382621825	3.66088498088234	-5.9220698969447	3.59085344558803e-08	2.07109377961685e-05	8.48237336582288
ENSG00000143786.7	0.667844033354415	1.51927152276874	5.89928814666702	3.98945008260879e-08	2.18874854044395e-05	8.32334928463824
ENSG00000234380.1	1.61760909377545	-1.60160880142718	6.13647323080182	1.32122292049918e-08	1.13782133207706e-05	8.18832782140504
ENSG00000177839.6	1.13034381490894	0.478568367130726	5.90686826631711	3.85222393287605e-08	2.16629812865285e-05	8.15936852066651
ENSG00000101276.14	-1.36772854997862	3.55810307979823	-5.82531689974485	5.62366887582714e-08	2.91779033674233e-05	8.0434050142112
ENSG00000101951.16	1.87603602554769	5.2592784736651	5.81675000980056	5.84897246914313e-08	2.91779033674233e-05	8.00134418966252
ENSG00000179627.9	-0.8368135899401	4.04360938099098	-5.81922562330384	5.78297029908559e-08	2.91779033674233e-05	7.99831054918169
ENSG00000122870.11	0.781216316078953	4.05586651619859	5.80580165428743	6.13282337384476e-08	2.93514316960136e-05	7.98250431188584
ENSG00000258794.3	-1.7933953065058	-1.98576682808693	-5.94585091078125	3.21653711359458e-08	1.90402067982096e-05	7.967735945957
ENSG00000166250.11	0.805568452534245	5.06252032359933	5.8123960753709	5.96685140438104e-08	2.91779033674233e-05	7.95346104055404
ENSG00000278318.4	-0.542099310537062	2.66198812977733	-5.78580044007533	6.72027182910803e-08	3.02331589047912e-05	7.91438377053239
ENSG00000260303.1	-2.34811285948516	-2.66165487736447	-5.97577017167989	2.80410140831454e-08	1.70474208320614e-05	7.89328400298244
ENSG00000121966.6	1.30693717223815	5.12291365569085	5.78705435518005	6.70070575581639e-08	3.02331589047912e-05	7.857371191853
ENSG00000158435.7	-0.256107639178476	5.25897687888484	-5.79796090559116	6.35654612422865e-08	2.97883642746665e-05	7.85568665343915
ENSG00000067798.14	0.968500967230608	3.2655195273621	5.76748543215391	7.31172991183426e-08	3.18604371890626e-05	7.83491837815931
ENSG00000120327.6	0.747623678613533	3.15047621106758	5.76157185230959	7.50690482359882e-08	3.18604371890626e-05	7.8100229766015
ENSG00000170100.13	-0.414331396703271	3.76148134041009	-5.76573704339091	7.36551972383583e-08	3.18604371890626e-05	7.79271401010593
ENSG00000188483.7	1.02849107717624	3.62100082542048	5.74845322375604	7.98764111023044e-08	3.32729628025044e-05	7.74896591840199
ENSG00000174358.15	-3.21087844805132	-2.00258206123938	-5.83825379660265	5.29949774983711e-08	2.83825958059133e-05	7.67389698525017
ENSG00000013392.7	-0.705310302154182	4.39900808706348	-5.73927547037876	8.3178827364311e-08	3.40186280496875e-05	7.63040383397989
ENSG00000122643.18	0.3130117521944	4.25455615126132	5.72933854578939	8.69490094244524e-08	3.44706245006917e-05	7.62511456839897
ENSG00000187650.3	-0.540160793038843	3.81225333556381	-5.72833042194555	8.73488751017795e-08	3.44706245006917e-05	7.62358709233639
ENSG00000157869.14	0.343484129280243	4.29293807903478	5.71779192344784	9.16384160673251e-08	3.49375344240408e-05	7.57323714017933
ENSG00000166189.7	-0.507122315755983	3.37679292458397	-5.69882675439029	9.98845098420437e-08	3.71791047247337e-05	7.52013200069326
ENSG00000111490.12	-0.640885641333748	3.64661223345938	-5.68758180725126	1.05113059771854e-07	3.72935523270881e-05	7.45425476100633
ENSG00000134107.4	1.0769617821841	8.0370139183983	5.69528125045763	1.01776874925958e-07	3.71791047247337e-05	7.40041298463028
ENSG00000169499.14	0.412322345488466	5.23374209676245	5.68550483772569	1.06107733125884e-07	3.72935523270881e-05	7.37773381534457
ENSG00000171316.11	-0.612598834758259	4.46288395462285	-5.66248010727472	1.17771931762679e-07	3.9830091623586e-05	7.29434560228384
ENSG00000101052.12	0.393622176677892	4.43472369527339	5.65276884490811	1.23060447510597e-07	4.07076721515203e-05	7.28355061163214
ENSG00000197892.12	-0.498243170981556	5.71784726362318	-5.66985007312934	1.13907785375372e-07	3.94191034497478e-05	7.28013836804453
ENSG00000143479.15	0.62961290430791	2.0461074573066	5.64164523934956	1.29404512623947e-07	4.21858711154066e-05	7.27386978697826
ENSG00000177606.6	0.838408480243269	7.96032809987306	5.66144303980259	1.18636798203088e-07	3.9830091623586e-05	7.25288767872132
