logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000111412.5	-1.00988551258507	4.78825815979566	-6.92258481078156	2.20655140558563e-09	3.06207313220246e-05	11.2582429678364
ENSG00000177628.15	-0.719123188710666	4.7956210503764	-6.7821810213712	3.91650033476561e-09	3.06207313220246e-05	10.7086379486503
ENSG00000188227.12	0.85782569003289	3.12768470765444	6.74082600896931	4.63617730973072e-09	3.06207313220246e-05	10.4006607549855
ENSG00000134508.12	-0.665971688283447	3.96066708088232	-6.67785190202054	5.99229983439633e-09	3.06207313220246e-05	10.2960513654629
ENSG00000188603.18	-0.55794097470992	5.51323226266895	-6.62421032616705	7.4539268067246e-09	3.06207313220246e-05	10.0921299297709
ENSG00000154222.14	-0.369260341423053	5.4340803943101	-6.26469953564411	3.19270866514312e-08	8.71800277407717e-05	8.69853454500337
ENSG00000119686.9	-1.037838920351	3.47844653104234	-6.22073916152235	3.81006027850045e-08	8.71800277407717e-05	8.53363143203824
ENSG00000006377.10	1.26956273414497	0.864476247890674	6.38659326433321	1.95299667042439e-08	6.68575860175284e-05	8.46725360798704
ENSG00000103043.14	-0.41633547602264	5.27675929648508	-6.17302705632132	4.61448677422738e-08	8.71800277407717e-05	8.346340868037
ENSG00000198715.11	-0.678652550467156	4.65611789344675	-6.16610842310778	4.74433183702152e-08	8.71800277407717e-05	8.32292508746233
ENSG00000260852.1	-1.20107457632029	1.27609123984465	-6.17796157306981	4.52403616034954e-08	8.71800277407717e-05	8.20171222711445
ENSG00000164626.8	1.83390633380875	6.10955867115751	6.13363760896638	5.51772327473238e-08	8.71800277407717e-05	8.1818967421898
ENSG00000186462.8	0.761487229998076	1.83731763983324	6.14053240464514	5.25653804692101e-08	8.71800277407717e-05	7.9837474151449
ENSG00000105929.15	1.67674792713144	4.01802379466624	6.02560705925854	8.37447380235138e-08	0.000114674461266865	7.75469831003947
ENSG00000100290.2	-1.0512512776526	3.07203652231193	-5.98321462107594	9.85401284361078e-08	0.000126500889879853	7.62980421154563
ENSG00000205325.1	-2.07227950013186	-1.14874149755765	-6.07773995040913	6.75823518259897e-08	9.91529647504164e-05	7.30982071265533
ENSG00000162066.14	-0.642794691963643	4.18246741701161	-5.88704524034613	1.44404452444015e-07	0.000174474556070593	7.26670494267915
ENSG00000197081.12	-0.557973860271362	7.03635321070704	-5.83769894354035	1.75577395878612e-07	0.000200353317297038	7.07387940575608
ENSG00000166340.15	-0.601791526267068	6.64759192909999	-5.73940872483777	2.58804076239792e-07	0.000246296340857967	6.70111243453367
