logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000101152.10	-0.349720624778873	6.43225344408294	-9.77931902098142	2.08870662305945e-21	2.28660082178369e-17	37.8387932516862
ENSG00000156959.8	1.31053299042867	-1.91093135107971	9.74134773560419	2.91819562911093e-21	2.28660082178369e-17	34.7526928193365
ENSG00000006831.9	-0.2534778066926	6.41236230429744	-9.40069097211137	5.60487629280733e-20	3.29384567537555e-16	34.6183951101843
ENSG00000179886.5	-0.422158167375391	3.4580029409986	-9.36372616468713	7.68599356478032e-20	3.61349301454582e-16	34.2430489445117
ENSG00000259882.2	1.80023480956817	-5.0272887851317	9.78618815089853	1.96588167112885e-21	2.28660082178369e-17	34.0147850850019
ENSG00000176095.11	-0.338048788430142	5.87811081065924	-9.11052376753455	6.51107100352945e-19	2.55092910133278e-15	32.2208050181598
ENSG00000166860.2	-0.409247932724683	3.30395525955079	-8.74003517121826	1.36489258462944e-17	4.01056624836053e-14	29.2086772926454
ENSG00000259956.1	-0.403174683682331	5.95092701650138	-8.6146700633054	3.73518980894697e-17	9.3323326010673e-14	28.2636521819539
ENSG00000169926.10	-0.615182560898754	7.00307661487391	-8.60703014943353	3.97002280217267e-17	9.3323326010673e-14	28.1982169807779
ENSG00000255442.1	2.11124250968801	-3.92856400832367	8.93277767514019	2.83837298471534e-18	9.53166196452907e-15	27.9331539029735
ENSG00000174151.14	-0.561759331548466	4.70798510349183	-8.47975091194227	1.08933552040064e-16	2.21564788804095e-13	27.22985558209
ENSG00000260804.3	-0.656233775671722	2.18826816117699	-8.47498177115266	1.13105775541291e-16	2.21564788804095e-13	27.0499927206488
ENSG00000128607.13	-0.280366617566359	5.41748091890122	-8.4326460075652	1.57782805619339e-16	2.85307723976446e-13	26.8629315591153
ENSG00000107185.9	-0.411374082894893	4.94483393026316	-8.25021361886857	6.52123827906226e-16	1.02196498817278e-12	25.4849052339355
ENSG00000107021.15	-0.320293053318519	4.95324022845225	-8.23659769944719	7.24245147333857e-16	1.06405191739856e-12	25.3833200245276
ENSG00000165671.19	-0.271105514569488	6.37706517895372	-8.19364583237062	1.00737130721445e-15	1.28119246446619e-12	25.0452546330601
ENSG00000168924.14	-0.317140018493334	5.84039675630354	-8.19004643510376	1.03554927574159e-15	1.28119246446619e-12	25.0230377752839
ENSG00000180035.12	-0.355152540695642	2.87776584978072	-8.19266774235498	1.01495254654417e-15	1.28119246446619e-12	25.0083046948972
