logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000164485.14	-2.89966664880409	-2.781223617777	-5.79878978796068	1.55943739197371e-07	0.00270354870980613	6.40078854307171
ENSG00000127399.14	-0.481175664896527	3.08059869738344	-5.56380266261172	4.04142719372117e-07	0.00292302957497873	6.27369265458475
ENSG00000188322.4	-0.974766708736825	1.1615738945968	-5.37954764402973	8.46136132999597e-07	0.00367189236276505	5.57336860437552
ENSG00000244694.7	2.74572799721087	-3.21299376585008	5.68346896835967	2.49197963849768e-07	0.00270354870980613	5.36008951129137
ENSG00000124134.8	-1.76892561320886	-3.09114611025969	-5.4283464251534	6.96366240223355e-07	0.00367189236276505	5.02458048284877
ENSG00000112319.17	1.49321945543965	-0.632391447119446	5.284247352499	1.2358448269238e-06	0.00446922684243211	4.99963973620259
ENSG00000211810.3	-1.93167066327454	-1.94152782817458	-5.24340690988034	1.45333470984818e-06	0.00450492236204082	4.74437381162677
ENSG00000273669.1	-1.4579089219889	-1.09704600561926	-5.13244294920871	2.24638406681124e-06	0.00609275518520877	4.50854558515626
ENSG00000163154.5	-1.03271586582594	2.45124947478289	-5.0776657054691	2.78311909186295e-06	0.00639575835924401	4.46934412389308
ENSG00000078081.7	-1.83758008733544	1.53834430832454	-5.01317593040826	3.57798901627883e-06	0.00639575835924401	4.24673457383473
ENSG00000107815.7	-0.559643401144912	3.24081722868962	-4.99503345169563	3.83191347913043e-06	0.00639575835924401	4.13611565255033
ENSG00000262406.2	-2.97227466184646	1.23761148640869	-4.95379929954749	4.5004141539712e-06	0.006729145070269	4.03457335046844
ENSG00000151136.14	-0.891399650415035	1.76874303117248	-4.94328001847002	4.6790315667451e-06	0.006729145070269	3.99734322557774
ENSG00000171649.11	-0.916104278043872	2.35797943093478	-4.92813335500895	4.96203894941026e-06	0.006729145070269	3.93150491075454
ENSG00000253522.5	-1.54306728717578	1.30260587390686	-4.89821505542734	5.57233105801095e-06	0.00711226113510127	3.8371998666063
ENSG00000211764.1	-1.64154140572923	-3.09950950296627	-5.04404600389661	3.16893858648398e-06	0.00639575835924401	3.78604316644433
ENSG00000189433.5	-1.82910357147243	-3.08016386038289	-5.02290687347685	3.43988365060136e-06	0.00639575835924401	3.73330426883573
ENSG00000225614.2	-0.922394054082469	2.06830401133649	-4.84771417032591	6.75141036646085e-06	0.00760089768787635	3.65184383213702
ENSG00000260804.3	-0.509067753261753	3.0850349955659	-4.84479797349062	6.82528274285155e-06	0.00760089768787635	3.60221009594918
ENSG00000211752.3	-1.75612750027742	-1.226150755347	-4.8383012812698	7.00608137881496e-06	0.00760089768787635	3.50298965052661
ENSG00000181631.6	-1.31864539582678	2.52544241981965	-4.77009540936087	9.08081772935385e-06	0.00895616286779636	3.35578498556116
ENSG00000162711.16	-0.892981965745088	2.06140068635453	-4.73248034326253	1.04561905278302e-05	0.00902120114073382	3.24499039823625
ENSG00000211793.2	-1.86293110453101	-1.90963181748084	-4.77543522978856	8.89714106865306e-06	0.00895616286779636	3.19921808932572
ENSG00000112837.16	1.18726124459764	0.850100210838109	4.68784797747408	1.23774234385122e-05	0.00902120114073382	3.0950936028695
ENSG00000040341.17	0.389893982535269	4.71754658369366	4.72258029248508	1.08526134047329e-05	0.00902120114073382	3.04651832412432
