logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000131080.14	1.51088345715116	1.54566487732032	6.62324163379979	4.30148794165784e-09	8.91526390788004e-05	10.0331734269636
ENSG00000172667.10	0.450501569835819	4.90207920397191	6.06701904782798	4.59311927691488e-08	0.000317323300444459	8.32531146290075
ENSG00000244681.1	1.10418950887617	1.46857277773222	5.874402843994	1.02818823350781e-07	0.000532755733192073	7.26740666224128
ENSG00000228526.6	0.90849308221739	3.36958815061428	5.78954138838251	1.46246113103037e-07	0.000606219388034709	7.21113999264248
ENSG00000147889.17	0.805948481428963	2.20024291242592	5.69259154205305	2.18251341536158e-07	0.000652094711766298	6.73954989840321
ENSG00000250337.5	3.0681907942331	-1.30554984877484	6.19880113735438	2.63529629009466e-08	0.00027309575454251	5.91744183721061
ENSG00000237772.1	-1.55923545107621	-1.31864530576994	-5.49145462483521	4.96930566310591e-07	0.000972070748345454	5.29751745027372
ENSG00000121690.10	-1.08650236024751	-1.23145252069421	-5.48222664791149	5.15911330300106e-07	0.000972070748345454	5.24719409672693
ENSG00000151025.9	1.33053723917198	-1.19768176815671	5.57019832466452	3.6054823256905e-07	0.000934090333528267	4.94568128818779
ENSG00000183691.4	-1.80337620094402	-2.16601502861492	-5.4829641006899	5.14368643905605e-07	0.000972070748345454	4.85159010099328
ENSG00000100285.9	-0.982478398999831	1.69913448032753	-5.16656027169704	1.83178447185027e-06	0.00316379708029739	4.8288384458891
ENSG00000111087.9	-0.806386902084026	1.22851582680327	-5.13538321890436	2.07250281737355e-06	0.00330420718406802	4.67552557798456
ENSG00000124225.15	-0.427494503365693	4.15783755021279	-5.07801790003604	2.59892579005665e-06	0.00384752399462243	4.50307393129399
ENSG00000219545.11	0.358559155146839	3.42588346762487	4.9866460753202	3.71852283344538e-06	0.00481688151537431	4.20289728122676
ENSG00000135519.6	-1.10777869679732	1.82956403372138	-4.94298827045865	4.41523343041846e-06	0.00538294871052076	4.03540948476941
ENSG00000114631.10	-0.700629482253779	1.5810301244424	-4.89836753810049	5.24182868498294e-06	0.00603567451805313	3.86135308264448
ENSG00000242021.2	2.08142975011361	-2.58660589936974	5.69039003761094	2.20238491863557e-07	0.000652094711766298	3.85805894367064
ENSG00000234546.3	1.2614775422875	-1.12623233841805	5.04461078729445	2.96359428354391e-06	0.00409489700804874	3.42173681077665
ENSG00000153822.13	2.1969171903657	1.76846671058526	4.76683299453261	8.78392606473185e-06	0.00910278258088162	3.30179156287588
ENSG00000141431.10	1.18282236368264	0.0520681718414015	4.81965702575248	7.10244026307919e-06	0.00774764088908312	3.24951585201781
ENSG00000184344.3	-1.2487876395576	-0.557758900681626	-4.67546284488907	1.23162359046303e-05	0.0121555383504461	2.87012588356973
ENSG00000128918.14	-1.09734150423455	2.39452800847565	-4.41627045745979	3.2570111821064e-05	0.0281270057334739	2.20701730414746
ENSG00000240498.6	0.681811146979445	0.0365353000819725	4.44891113503897	2.87667112428736e-05	0.0259225590095565	2.13104803801052
ENSG00000188001.9	0.607945302980679	1.23245828196592	4.39762711466662	3.4753838680403e-05	0.0288123224196013	2.1204442789386
