logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000112319.17	1.47699526276319	0.405733464181513	7.38616949171712	1.73566195466214e-11	3.64471653859503e-07	14.3413492579369
ENSG00000198824.5	-0.496682552699237	4.17500924749304	-6.24689946114007	5.74717722191424e-09	4.80958075454044e-05	10.2275356880244
ENSG00000132467.3	-0.507352641685711	4.43275167968907	-6.21038796815388	6.87115684728859e-09	4.80958075454044e-05	10.0586553695982
ENSG00000169564.6	-0.369035520768106	6.115760854001	-5.92900595370786	2.67429539547585e-08	0.000112315058019195	8.75559810873672
ENSG00000143368.9	-0.336790353307951	5.3668895720166	-5.86424893578939	3.63949696833813e-08	0.000127376328063554	8.46423173384145
ENSG00000177613.8	-0.431317708124592	4.80141301989956	-5.81709371372056	4.54998698250772e-08	0.000136493109493828	8.25768624352684
ENSG00000147889.17	1.64522183660546	0.157360793977119	5.94623301118454	2.46307725142445e-08	0.000112315058019195	8.0230159590106
ENSG00000102878.16	0.660458531783106	4.78189597912066	5.74780685810814	6.30572269186149e-08	0.000165517338507999	7.95317884092594
ENSG00000172409.5	-0.587560597335341	2.88066827808191	-5.56440571256706	1.48055743610902e-07	0.000345446951120592	7.14127089655909
ENSG00000174173.6	-0.44579886051895	3.63964654405438	-5.44290940280632	2.58415496924099e-07	0.000542646701990915	6.63236006636967
ENSG00000085872.14	-0.245546246078564	4.94573269633817	-5.35343963179822	3.87715767883434e-07	0.000729386938012018	6.22126928343672
ENSG00000132341.11	-0.34965384045812	6.78175471507223	-5.32960080433686	4.3169553326518e-07	0.000729386938012018	6.10994197785875
ENSG00000179950.13	-0.263776389897851	6.30373758564957	-5.31700410007119	4.5686399791215e-07	0.000729386938012018	6.05407850616109
ENSG00000198841.3	-0.467869078849927	2.49388717175471	-5.25495077021121	6.03286684048162e-07	0.000844561138555157	5.82209053182052
ENSG00000215251.3	-0.356449995669887	3.73627776784182	-5.22333897034166	6.94565095444423e-07	0.00086949442211033	5.70319601937675
ENSG00000185085.2	-0.352030236856382	4.27331359241181	-5.22033459843328	7.03909956468194e-07	0.00086949442211033	5.67492833879612
ENSG00000132773.11	-0.381977258568092	3.26382982332176	-5.20619546290225	7.49559710297952e-07	0.000874444686474817	5.63825379726698
ENSG00000174840.8	-0.325161225577676	4.54826168958104	-5.1514399463768	9.55157559248853e-07	0.00105565018877193	5.37834186352647
ENSG00000123444.13	-0.424046555089004	2.10612721280305	-5.1173548160815	1.10986818125898e-06	0.00106127605249238	5.24067061470843
ENSG00000161057.11	-0.278543412420597	5.61147325052442	-5.11262323474606	1.13318650024509e-06	0.00106127605249238	5.19423586441467
ENSG00000204519.10	-0.343826917215487	2.17356527513304	-5.04570347484756	1.51872440571842e-06	0.00132882057482005	4.95737873557582
ENSG00000278867.1	0.695778915741023	0.486395926581903	5.106826397739	1.1624053148876e-06	0.00106127605249238	4.95439706080724
ENSG00000230333.6	0.984139225769225	-1.50330402050544	5.30311233029851	4.86281114918246e-07	0.000729386938012018	4.93046414043914
ENSG00000130810.19	-0.349546874415918	4.33417072536718	-5.02058166694331	1.69418781776248e-06	0.00140339532732016	4.84518212730857
ENSG00000182481.8	-0.715422712072786	4.39227612548191	-5.01486362487125	1.73761981572094e-06	0.00140339532732016	4.81694050446244
ENSG00000166133.17	-0.40143847386984	2.53695514119626	-5.00306801732527	1.8280131122143e-06	0.00142129450150078	4.80421284703605
ENSG00000149480.6	-0.261739242994942	6.01708090195703	-4.99474625779447	1.8951495805525e-06	0.00142129450150078	4.70527737316337
ENSG00000188636.3	-0.411277798258419	5.08845978204095	-4.97744500572866	2.0424869719727e-06	0.00147897185946396	4.64466646484412
ENSG00000118246.13	-0.309208506068501	4.49492132870669	-4.96544853178998	2.15112225210408e-06	0.00150571387239778	4.6145382147634
ENSG00000131043.11	-0.345607409331325	5.11710153264978	-4.95462772672098	2.25391187876434e-06	0.00152677082394105	4.55119053158794
ENSG00000226479.3	-0.382547627005037	3.36243999251517	-4.91763819451662	2.64258864815284e-06	0.00164587749578752	4.46325583007378
ENSG00000168209.4	0.819179443256456	5.43730739567691	4.91819593947084	2.63943677588341e-06	0.00164587749578752	4.40474811274699
ENSG00000167721.10	-0.341161447529497	4.70180037248952	-4.90953244290223	2.73607454809023e-06	0.00164587749578752	4.38021400091274
ENSG00000140259.6	-0.308450938419707	4.46738631038472	-4.90398581236169	2.80188739566525e-06	0.00164587749578752	4.36666884951178
ENSG00000132603.13	-0.410947232011009	3.45492619410531	-4.88709984178035	3.01184600378599e-06	0.00164587749578752	4.3386460567388
ENSG00000172315.5	-0.270491006286727	3.73882727766913	-4.88363518161736	3.05677519575757e-06	0.00164587749578752	4.31615427143666
ENSG00000204574.12	-0.254587749896244	6.13698328619139	-4.89437990147263	2.91951789682365e-06	0.00164587749578752	4.29655642635947
ENSG00000198492.15	-0.267113679566463	5.57157930628524	-4.88505481508212	3.03828749098365e-06	0.00164587749578752	4.2615941058969
ENSG00000175792.11	-0.347072553661998	4.00432344618182	-4.85726519706349	3.4207121542359e-06	0.00179578836316999	4.1986780722526
ENSG00000196497.16	-0.404339922531195	4.8047632827981	-4.84808415187471	3.55702559888978e-06	0.00182180440368504	4.12898756121633
ENSG00000104356.10	-0.565327970801819	2.21433723782377	-4.81749877260651	4.050215839095e-06	0.00193296550920809	4.06805436658805
ENSG00000166226.12	-0.287071797962906	6.13190468444878	-4.8264420835239	3.89952773506228e-06	0.00190432983508309	4.02322265338707
ENSG00000171453.17	-0.366222152915526	3.59312520439973	-4.79115863216034	4.5275625566737e-06	0.00211276191394647	3.95413203593
ENSG00000010072.15	-0.274390444572903	2.7058062288594	-4.75976072609197	5.16803490368871e-06	0.0021279130380894	3.85163630674294
ENSG00000244462.7	-0.266480738530268	5.41532839855436	-4.77992638619641	4.7473098121361e-06	0.00212103742010736	3.8424678201552
ENSG00000164818.15	-0.257227455777297	4.38925332316084	-4.76568093298685	5.04091058163117e-06	0.0021279130380894	3.818418599096
ENSG00000215417.12	-1.09706696487128	0.173261048069637	-4.7854336377414	4.63830485918318e-06	0.00211738616821712	3.78717488178329
ENSG00000161956.12	-0.214336842121183	5.39751055397332	-4.76024277358919	5.15756884198069e-06	0.0021279130380894	3.76473963670211
ENSG00000101361.16	-0.334240998779262	6.07321631038694	-4.76077331009777	5.14607373703178e-06	0.0021279130380894	3.76143180722742
ENSG00000169813.16	-0.306280127700585	7.01978446634647	-4.70783903835166	6.4243112492835e-06	0.00259430984468662	3.55702250738741
ENSG00000112578.9	-0.436984150709797	3.07379214632937	-4.68014807360578	7.21039313140543e-06	0.00275688751784642	3.53936111296468
ENSG00000168040.4	-0.513930396877224	1.35367137508717	-4.68859699950423	6.96117590193649e-06	0.00275688751784642	3.53569881030797
ENSG00000165810.16	0.674197727936794	5.0173451630884	4.67992123013318	7.22076353548041e-06	0.00275688751784642	3.4681831755698
ENSG00000119574.12	-0.303399575120961	3.57599127910161	-4.65899265737715	7.87287063705561e-06	0.0029429467913451	3.44039771948163
ENSG00000268442.1	0.846539177727902	-1.38662624973585	4.83656454239289	3.73552803430909e-06	0.00186767507601087	3.40583985166566
ENSG00000135763.9	-0.493268203656635	2.99392682511135	-4.63847435790343	8.57142053396728e-06	0.00299985432987965	3.38156426765975
ENSG00000115053.15	-0.299653717391689	8.26506151298996	-4.6554812845555	7.98837883264303e-06	0.0029429467913451	3.36717005726751
ENSG00000180543.4	-0.413554658657755	4.30313932781113	-4.64061102841843	8.49597066359593e-06	0.00299985432987965	3.33114473302629
ENSG00000197451.11	-0.334431622569768	6.3060211916466	-4.64582563371096	8.31451935748096e-06	0.00299985432987965	3.30948280123791
ENSG00000188486.3	-0.572687672864148	3.97087405150725	-4.62680251470773	8.99514883965847e-06	0.00309654312268833	3.29311656905263
ENSG00000168806.7	-0.386144077697947	2.97715492282573	-4.60501981817201	9.84071995229576e-06	0.00322883247309779	3.25531108110637
ENSG00000262905.1	1.58959439335722	-3.40494878186115	5.10937089180421	1.14949065066401e-06	0.00106127605249238	3.24938794729052
ENSG00000088205.12	-0.279343226449123	5.56712622163119	-4.61523457405441	9.43504949226679e-06	0.00319559039174372	3.19304829220316
ENSG00000125484.11	-0.321452919793053	4.51247190812527	-4.6066869732829	9.77337834140396e-06	0.00322883247309779	3.190914220167
ENSG00000143799.12	-0.25009558990771	6.23690331174557	-4.59940360886968	1.0070891641908e-05	0.00325351774751425	3.12871647803168
ENSG00000007933.12	0.839482612200984	1.46185493432072	4.58312916684624	1.07676335024459e-05	0.00342590205936152	3.12541175477394
ENSG00000115816.14	-0.304507744816963	4.49703345838059	-4.56976968162141	1.13741693561776e-05	0.00351244385750549	3.04963679435163
ENSG00000088247.17	-0.195186224895861	6.59617662934247	-4.57579077816209	1.10968276186934e-05	0.00347794452484988	3.03881464690378
ENSG00000172534.13	-0.232046928189757	6.3691377279484	-4.55989754712214	1.18434411984472e-05	0.00360435393806076	2.976470360907
