logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	2.65758888967802	-0.805192543820357	10.8749776214777	4.82271339803748e-21	1.33024903658068e-16	31.203775835074
ENSG00000184635.14	-0.58682591657275	2.5784758454159	-8.75804168281353	2.46434569933569e-15	2.84718416657787e-11	23.9824474046877
ENSG00000223492.1	-1.60718689685793	-2.09027310892895	-8.7201153964663	3.09667276936287e-15	2.84718416657787e-11	21.9004680351671
ENSG00000161381.13	0.8947364550065	4.66290678928996	7.1240580161553	3.2283113893081e-11	2.22616282628213e-07	15.1441536185897
ENSG00000131080.14	1.13466405591793	2.32277976131891	6.97917466590695	7.164771992188e-11	3.95251811721043e-07	14.1486751140267
ENSG00000139835.13	0.520508582248562	3.94376868966759	6.9207517438594	9.82431956511855e-11	4.51640344274442e-07	14.0606204342348
ENSG00000048540.14	0.73487919015373	1.17549749696358	6.75729880431874	2.38247231110286e-10	7.30174819523892e-07	12.9045092577914
ENSG00000225511.6	0.658191225009838	0.674108534894924	6.77374053115719	2.18043785201938e-10	7.30174819523892e-07	12.8987137010554
ENSG00000113319.12	0.311203883393126	3.60579224932988	6.6946431092157	3.33604902072776e-10	9.20182401387338e-07	12.8885034048006
ENSG00000197614.10	1.20258899300659	1.98824114282494	6.63905586878472	4.50454942887135e-10	1.12953624451417e-06	12.4017377156559
ENSG00000140284.10	-0.561110789827806	0.537404815476058	-6.44247298043119	1.27133805078193e-09	2.92227645455983e-06	11.3887426392673
ENSG00000226681.1	-2.01579434730639	-4.23024821472895	-6.82230019303881	1.67902241479265e-10	6.61606789531796e-07	11.1757059331991
ENSG00000180139.11	0.900743786607687	3.40362511882237	6.25192877310563	3.43706208574051e-09	7.1342700663496e-06	10.6588484342333
ENSG00000101443.17	-1.1481289170461	2.12389090929688	-6.22843181310829	3.87971036490752e-09	7.1342700663496e-06	10.5358787470053
ENSG00000253634.1	-1.1160317314705	0.77909070311697	-6.2332251398517	3.78508582241148e-09	7.1342700663496e-06	10.4481356366193
ENSG00000102452.15	0.48759108662609	1.7110677564447	6.15239967955554	5.71809161482948e-09	9.8576325632401e-06	10.0748500725237
ENSG00000213390.10	-0.264257821510416	6.27487848245603	-6.12239202468846	6.66533523954829e-09	1.08147024654389e-05	10.0089383693251
ENSG00000078053.16	-0.370675447574833	3.07672816103328	-6.08011729755803	8.265836365696e-09	1.19998191828944e-05	9.84885656314423
ENSG00000164136.16	0.580278219955243	1.47386657758838	6.10362397046981	7.33436466393416e-09	1.1239098918072e-05	9.81833614089927
ENSG00000259284.1	1.68024784073925	-0.0790866624808395	6.0696438115818	8.73683098654188e-09	1.20494004550892e-05	9.19789280422591
ENSG00000101310.14	-0.259620295089618	6.16929238361132	-5.88850024540779	2.16843376815647e-08	2.39247634508239e-05	8.87698196019897
ENSG00000234956.5	2.06420514740658	-0.000672268238260937	5.99719074341272	1.26025730352677e-08	1.65531796205614e-05	8.82165162047707
ENSG00000182667.14	0.547975912872678	0.751279340797893	5.89347784579233	2.11527254399059e-08	2.39247634508239e-05	8.77456257921952
ENSG00000117748.9	-0.213231191257382	6.30780967933652	-5.80424589342705	3.29443996746663e-08	3.36557546750489e-05	8.47347516350907
ENSG00000004846.16	0.605068546610685	0.779825240582247	5.74587075514879	4.39234510128322e-08	4.32693053316768e-05	8.11090182786915
ENSG00000158161.15	-0.217611671638709	6.17497773637264	-5.67372571406533	6.25186563021999e-08	5.94638654063303e-05	7.86141673698408
ENSG00000174607.10	-0.383181974058963	2.82469676623562	-5.64907717420698	7.04881675156789e-08	6.47194954719402e-05	7.82865497678028
ENSG00000171209.3	-1.15536368383861	-2.40077645348865	-5.81469087316667	3.12860006485215e-08	3.31908367649296e-05	7.82409769872214
ENSG00000257611.1	-1.44094310815403	-3.95471189383669	-5.98550864739907	1.33377651961468e-08	1.67225262456963e-05	7.79624183565236
ENSG00000213049.3	-1.81500243679734	-3.59448527311684	-5.89417424031879	2.11220039802474e-08	2.39247634508239e-05	7.72212480261422
ENSG00000198730.7	-0.285117228630699	6.31977709208945	-5.64261435663528	7.27369887115305e-08	6.47194954719402e-05	7.71290779341836
ENSG00000267259.1	-0.547682710637201	1.74402551129946	-5.62707250210639	7.84359584540162e-08	6.76093450636602e-05	7.69721835194909
ENSG00000172765.16	-0.200994531354383	5.8794710517178	-5.62023488681923	8.10793274462804e-08	6.77700329985076e-05	7.61907380548746
ENSG00000145423.4	1.05475811414242	0.857277352588488	5.60944204890636	8.55756145227023e-08	6.88474145620691e-05	7.4862907470747
ENSG00000103194.15	-0.259352241921043	5.86584123339936	-5.58945336332569	9.40975793904209e-08	7.01484738466481e-05	7.47606878094432
ENSG00000062650.17	-0.247648730405951	6.70420998370824	-5.59194043454505	9.2974020968595e-08	7.01484738466481e-05	7.47153599254495
ENSG00000143621.16	-0.228984118254302	7.481954660571	-5.54015608972932	1.19312087132797e-07	8.43842384457418e-05	7.22262298269285
