logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	1.80528367057144	1.06220584641942	9.90584708153971	4.75126023277757e-20	1.11982452426335e-15	32.8868648578301
ENSG00000178163.7	-0.506480709337057	4.3692110549881	-9.36850016452605	2.43740438102004e-18	2.87235919281307e-14	30.9942024186554
ENSG00000163071.10	1.03093498857821	2.32104497188663	8.38999009086029	2.354926151669e-15	1.85010848228955e-11	23.8904762535528
ENSG00000172409.5	-0.764038315770173	2.45519239614006	-8.12289113679645	1.42713229186054e-14	8.40902024671527e-11	22.4623266290506
ENSG00000172667.10	0.462817679553624	4.89709627873099	7.63744529479397	3.44692161841935e-13	1.62480991249052e-09	19.4769023839382
ENSG00000166189.7	-0.612812097555357	3.28083936069232	-7.48245667454456	9.28524653008013e-13	3.64739959112431e-09	18.5147372064145
ENSG00000059804.15	1.46523897653521	6.97906101889253	7.30391781307152	2.87234853844491e-12	9.0361903758794e-09	17.4023903468088
ENSG00000133561.15	-0.870669173484927	4.97296659668992	-7.293418372159	3.06714425758561e-12	9.0361903758794e-09	17.3419202142432
ENSG00000101138.11	-0.435079705979494	4.28150814538084	-7.26427967173239	3.66461946317592e-12	9.59682401417702e-09	17.1890877653173
ENSG00000174173.6	-0.546445465566994	3.1404387100026	-7.1776651066584	6.27407988632147e-12	1.34430717127919e-08	16.6740184548011
ENSG00000198963.10	1.07613437212774	0.98245768328607	7.18705380158891	5.92005610732602e-12	1.34430717127919e-08	16.2264442949719
ENSG00000182810.6	-0.629117641583111	2.50387595914521	-7.06756744314609	1.23515668252669e-11	2.10058947311271e-08	16.0001755060644
ENSG00000273203.1	0.955601216880472	0.35286757936989	7.15953060634444	7.01794501074394e-12	1.3783828829852e-08	15.8705538020866
ENSG00000196411.9	-0.497413226280781	5.89984656858113	-7.04406826005326	1.42600159403468e-11	2.10058947311271e-08	15.8439374166378
ENSG00000212916.4	-0.7255428390916	1.50067325071859	-7.04656631485486	1.40440841073412e-11	2.10058947311271e-08	15.7879658178659
ENSG00000180884.9	-0.61390737169079	2.41317532947734	-7.01473426968316	1.70536474024182e-11	2.29753853892379e-08	15.6865204468752
ENSG00000198841.3	-0.561436995400128	2.08950707765388	-7.00674171261193	1.79039890356773e-11	2.29753853892379e-08	15.6118764671364
ENSG00000235070.3	-1.06046362839929	2.16020297439876	-6.9969982896868	1.90235675175136e-11	2.29753853892379e-08	15.5853817330242
ENSG00000116128.10	-0.342899341319162	5.02311371691223	-6.99273253256704	1.94962750979999e-11	2.29753853892379e-08	15.5535390177914
ENSG00000130513.6	1.93596586239604	2.83021030679834	6.98202392738513	2.08756677268953e-11	2.34294577454855e-08	15.341172767916
ENSG00000108448.20	-0.977992551767969	3.56759868733018	-6.93574348497179	2.76291730433111e-11	2.95996354299e-08	15.2472957428391
ENSG00000119913.4	-1.85274190418657	-2.1072640386593	-7.05334860863766	1.34791746920156e-11	2.10058947311271e-08	15.0333901231519
ENSG00000102878.16	0.789122489897876	5.94318991444701	6.89253276911636	3.58420581680307e-11	3.67287595201006e-08	14.9611893883285
ENSG00000138696.10	1.03700392989453	1.09633931035431	6.8761262141501	3.944661987769e-11	3.87382243290531e-08	14.5325948918757
ENSG00000134107.4	1.30139355979644	7.72483194501215	6.81496237974508	5.70792045463236e-11	5.3811990878092e-08	14.5027895184357
ENSG00000138231.12	-0.364772482542612	3.82469596992068	-6.78447776842588	6.82524482993588e-11	5.95793316284292e-08	14.3795701359653
