logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000076944.15	-0.398021056241369	4.75496402790992	-4.67889072328212	9.56908398754434e-06	0.119433403047421	3.31140205787378
ENSG00000186767.6	0.354054214160987	2.02017763815713	4.45071955057147	2.33248041675922e-05	0.128074131622223	2.36521169772097
ENSG00000257298.1	0.680238350091832	-0.840394875085719	4.62323162816756	1.19195013021378e-05	0.119433403047421	2.1298229845695
ENSG00000185046.18	0.564185864091158	1.75862270419293	4.29537994274924	4.21577657445938e-05	0.128074131622223	1.83208469244497
ENSG00000178035.11	0.319847315819553	6.60822467527823	4.26065067915018	4.80413819823949e-05	0.128074131622223	1.82241631744697
ENSG00000133424.20	-0.314704020769831	4.90361949152397	-4.24404162234066	5.1127397853183e-05	0.128074131622223	1.7734824092341
ENSG00000197903.7	-0.573500093503482	2.38106957736515	-4.26107928066771	4.79641702591187e-05	0.128074131622223	1.76682285942335
ENSG00000185697.16	0.488591246508935	0.486210371946453	4.16284537806797	6.91714890806238e-05	0.154021849019522	1.21929597894953
ENSG00000267121.5	0.598303508229196	0.433342789202164	4.1140032429529	8.28242755884276e-05	0.165979848279209	1.06808634059593
ENSG00000164099.3	1.0073342011575	-1.2557464209581	4.27902286907661	4.48367711571468e-05	0.128074131622223	1.00173071639481
ENSG00000113732.8	-0.215029861931226	7.12130394665182	-3.99708660061258	0.000126804926153919	0.199837585037358	0.939294487273265
ENSG00000104221.12	-0.453866542680053	2.14526228387248	-3.970673160257	0.000139467245617425	0.199837585037358	0.836174490854158
ENSG00000215193.12	-0.161020553110608	5.59774553743353	-3.94958279937841	0.000150437561437104	0.199837585037358	0.774609515289454
ENSG00000169490.16	-0.245368152116714	5.13579945720029	-3.94021103339485	0.000155572891979079	0.199837585037358	0.752230944875344
ENSG00000159348.12	-0.355309600370254	6.0843031633151	-3.92209052307861	0.000165981292920641	0.199837585037358	0.683529158713568
ENSG00000177363.4	-0.690830329724347	3.30784415930267	-3.88126542331526	0.000192059955528466	0.199837585037358	0.609258780983453
ENSG00000162542.13	-0.209046389749771	4.91703261041413	-3.89067310996169	0.000185622856490082	0.199837585037358	0.597171959788409
ENSG00000111816.7	-0.621538451218884	2.93775937055382	-3.87175659409806	0.000198593684375411	0.199837585037358	0.573908469919407
ENSG00000170439.6	-0.928301697205622	0.404931614986717	-3.96059322198186	0.000144661914043267	0.199837585037358	0.553512571012825
ENSG00000256073.3	-0.320282834531728	2.50504281294897	-3.84983429313181	0.000214488660131244	0.199837585037358	0.493867043900719
ENSG00000144802.11	0.517836027044185	3.89852213368819	3.81935488009454	0.00023888288266123	0.199837585037358	0.401655326707591
ENSG00000131100.12	-0.229345121369399	7.22977575110503	-3.82241658112801	0.000236218789190949	0.199837585037358	0.374992659685376
ENSG00000173638.18	0.261921211834118	4.57796457601183	3.78349473952131	0.000270697951543166	0.199837585037358	0.263690560617896
ENSG00000160410.14	-0.208475321466826	5.3408155140315	-3.76984140031534	0.000283890308401922	0.199837585037358	0.200377704725265
ENSG00000228271.1	0.700905193594088	0.725210197681891	3.79297957243728	0.000261879189680426	0.199837585037358	0.194452009649238
ENSG00000170542.5	0.48055042136464	4.76889694577115	3.76124775579702	0.000292691755463877	0.199837585037358	0.185229136609541
ENSG00000102780.16	0.35987992304654	3.38934955035626	3.74197909854442	0.000312734397958239	0.199837585037358	0.177482750815877
ENSG00000115446.11	-0.198827040779231	5.05165161467899	-3.75570478737359	0.000298193199604378	0.199837585037358	0.16294739191289
