logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000170615.14	0.699591944162784	-1.86050940126783	7.42575125865013	6.3582445318376e-13	1.36047358247729e-08	17.3462285264941
ENSG00000151575.14	0.545609441127303	0.677942046660871	7.20233718691333	2.77805887523397e-12	2.97210628766907e-08	17.1032354866956
ENSG00000196208.13	-0.978943596810674	0.554219921753034	-6.06884463370662	2.89397914850517e-09	1.49320695089112e-05	10.5795706353984
ENSG00000138834.12	0.24179551747696	6.64603404766711	6.03398329660298	3.52907912246612e-09	1.49320695089112e-05	10.5078315102197
ENSG00000176049.15	0.847051579939771	-0.193040626068139	6.04273997984121	3.35765615729812e-09	1.49320695089112e-05	10.4037268953781
ENSG00000186472.19	0.747358338585277	1.33430846464831	6.0025867935694	4.22021647955838e-09	1.49320695089112e-05	10.3885189688029
ENSG00000185633.10	0.741484664424221	6.82949612212384	5.97681593012905	4.88500661599187e-09	1.49320695089112e-05	10.2034286284428
ENSG00000258472.8	0.377258794021968	0.98223421060136	5.87800920234902	8.50066658190383e-09	1.87998258308046e-05	9.70035037415377
ENSG00000237512.6	0.829969532121443	-1.39082231296768	5.8720835252447	8.78619705136447e-09	1.87998258308046e-05	9.24125121112779
ENSG00000236714.1	0.762732009557824	-2.06534805469987	5.91813284893596	6.79200272128945e-09	1.81660602784288e-05	9.22732536369889
ENSG00000146350.13	0.303444856915569	1.70518052606132	5.76827195879622	1.56058296750444e-08	2.71459398151451e-05	9.1825263788583
ENSG00000203761.5	0.286760168503635	1.79529477141918	5.72847992926478	1.94076667935453e-08	2.76843897587659e-05	8.98186813555638
ENSG00000100568.10	-0.168541903317582	5.8118481253441	-5.73569122669976	1.86574698888657e-08	2.76843897587659e-05	8.89633653024416
ENSG00000184441.4	0.252904765792037	3.13480808205462	5.688564687895	2.41226489718026e-08	2.90563550907272e-05	8.76745334141924
ENSG00000213339.8	0.205268217449535	5.00964592501179	5.68613352515568	2.44433514807257e-08	2.90563550907272e-05	8.64892916343571
ENSG00000205129.8	0.574151446807379	-0.797709867965092	5.7142583444961	2.0974260908492e-08	2.80491412911877e-05	8.61326908992484
ENSG00000205702.10	0.338866175985549	0.435127199843841	5.62593874069787	3.38491495596759e-08	3.5091470464966e-05	8.37179858912669
ENSG00000126215.13	0.297313196960626	4.29954886644553	5.61407478180868	3.60804014688626e-08	3.5091470464966e-05	8.30930851817859
ENSG00000230910.2	0.575195765973808	2.17568372195371	5.59377739471022	4.02433846380914e-08	3.7438595700054e-05	8.30552275710532
ENSG00000250120.6	0.564421422057553	-1.20906213445859	5.61578667061356	3.57498267112541e-08	3.5091470464966e-05	8.03688957808091
ENSG00000260918.1	1.07417310072202	-0.869080875002172	5.56554674378692	4.68196420491254e-08	4.00719952370054e-05	7.90300453512596
ENSG00000173209.22	0.254633595313567	7.00168583636692	5.52589514912558	5.77896411959818e-08	4.75586520257855e-05	7.83253021728734
ENSG00000214021.15	0.299974174648995	6.41506128282957	5.49375667741902	6.8511225484192e-08	5.42938774698243e-05	7.65527662547676
ENSG00000242866.9	0.64655605025055	-2.54273077154264	5.61692033550786	3.55325346179454e-08	3.5091470464966e-05	7.63376106992808
ENSG00000226849.1	0.298378474846046	1.62036970637329	5.45624236112456	8.34825696401763e-08	5.76218239545436e-05	7.614791743293
ENSG00000165424.6	-0.289005869623737	6.8587694271557	-5.48407194233841	7.21051491401789e-08	5.5101209862586e-05	7.61252495031919
ENSG00000140488.15	0.385986546215991	3.4685790086831	5.46447021587542	7.994860896407e-08	5.76218239545436e-05	7.60701640055458
ENSG00000232931.5	0.361421640700787	4.14785251464771	5.46201562845403	8.09999689644853e-08	5.76218239545436e-05	7.5453404336795
ENSG00000196767.6	1.02071825987629	-4.49111894955537	5.75820321861153	1.64928362666208e-08	2.71459398151451e-05	7.52485258691684
ENSG00000182841.12	0.270599856771535	3.14394781818906	5.42666511348221	9.74841326922599e-08	6.51833746005089e-05	7.4417074394874
ENSG00000174460.3	0.769927830593457	-2.55228340605711	5.57036728237952	4.56036867460755e-08	4.00719952370054e-05	7.43124219431674
ENSG00000199038.1	0.870400433002017	-5.06464910259857	5.77404991672465	1.51180025563793e-08	2.71459398151451e-05	7.2995180590014
ENSG00000204410.14	0.355141013553718	2.41456056795128	5.38525172613474	1.20981988291402e-07	7.84439879839734e-05	7.26820796241839
ENSG00000139174.11	-0.425458103363483	2.35722655925054	-5.37394592781235	1.2829895757362e-07	8.03893862891796e-05	7.21794161712641
ENSG00000145391.13	-0.191924611048417	7.22466216670249	-5.36920073475058	1.31496402305056e-07	8.03893862891796e-05	7.04874039785849
ENSG00000189157.13	0.451166179360017	1.24644364108445	5.33356018358618	1.58112274349433e-07	8.90296930067058e-05	7.0114240689291
ENSG00000181656.6	0.931231214893461	-0.0141726891452478	5.34608277627301	1.48287300325967e-07	8.81362045854085e-05	6.99095696104546
ENSG00000185008.17	0.886110778132495	1.79587325775593	5.31595043271848	1.73214863643838e-07	9.50327804458254e-05	6.9381301939517
ENSG00000101199.12	0.197799009076851	6.39639977426033	5.33461331348164	1.57255692246233e-07	8.90296930067058e-05	6.85883082618288
ENSG00000187609.15	0.252587318082171	4.55692956653369	5.30314280032574	1.84902552899865e-07	9.89089981099602e-05	6.73209941239119
ENSG00000109158.10	1.14054488261279	1.57810520823728	5.23457112065025	2.62567436425804e-07	0.000133765605647689	6.55009606015096
ENSG00000256537.4	-0.200605935624012	4.57028924055746	-5.25369754782818	2.38105169776966e-07	0.00012426186140775	6.49819981679464
ENSG00000276975.2	0.511813951032826	0.608097222115495	5.19457705566267	3.21354344357427e-07	0.000149478671874258	6.32934364143736
