logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000204934.10	-0.322755190685863	2.49280567345668	-8.73860256243248	1.71805574757071e-17	4.07711809456005e-13	28.9401469747451
ENSG00000151650.7	1.15523350142536	-0.779849119231783	8.48608532268607	1.26109628316566e-16	1.49635379479022e-12	26.2432343991238
ENSG00000171130.17	-0.341177417596931	7.44649888177626	-7.54545608732331	1.39820194543958e-13	8.29518259180666e-10	20.2883841295821
ENSG00000274419.6	-1.65122590099142	-4.92439556713384	-7.74994185224431	3.22311520027134e-14	2.54959156058797e-10	19.8333877826666
ENSG00000234665.8	-0.931238996138446	-1.38005961839887	-7.42304588112712	3.31500163097864e-13	1.57336607409508e-09	18.8721281509133
ENSG00000166523.7	0.977774322456203	-1.10292686302816	7.12566018040308	2.57127760164918e-12	1.01698314607895e-08	16.9993151714313
ENSG00000263006.6	-0.406923466440628	1.11084077758127	-6.93964832117366	8.93689985685086e-12	2.36418352971816e-08	16.2196608268867
ENSG00000258227.6	1.11222138305626	-1.01567327368334	6.97501790271439	7.0676971713475e-12	2.36418352971816e-08	16.086016914849
ENSG00000227582.2	-0.940466101758218	-1.86948321098154	-6.93916774313119	8.96618421788521e-12	2.36418352971816e-08	15.7240379879657
ENSG00000100311.16	0.26902628914392	3.96419121897957	6.76699993600053	2.77154371303619e-11	6.57715038540618e-08	15.1793828483543
ENSG00000229391.7	0.96773735577165	1.01078903124464	6.70139090233401	4.23482365143936e-11	9.13605455202795e-08	14.7264573691028
ENSG00000014824.13	-0.186605125748884	5.93320342394233	-6.65022827661321	5.87854096745757e-11	1.16253046415613e-07	14.4269589389251
ENSG00000226121.2	0.479146146417688	-2.27229723431878	6.48321947647016	1.69040560395734e-10	3.08577041442398e-07	12.9278765546658
ENSG00000158825.5	0.593151683566957	0.443376416347468	6.28354785922693	5.80067429429979e-10	9.17705344520189e-07	12.2288023104507
ENSG00000273133.1	0.574747590489367	-2.76759766029284	6.33835480319354	4.14854725473839e-10	7.03208392158547e-07	12.0187224757031
ENSG00000078401.6	0.596318432090767	3.17783163012916	6.171756012117	1.14048481614236e-09	1.59204971599261e-06	11.6374983127181
ENSG00000264745.1	0.628459004955159	-3.11609985150567	6.24079210311078	7.52099929773481e-10	1.1155052145909e-06	11.422839181593
