logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	1.26102783740223	-1.38448692444109	6.84023011703867	5.88776955144049e-11	1.28806734476864e-06	13.0891018147013
ENSG00000107815.7	-0.385220975420544	3.13270771419446	-6.191468291821	2.38470874095498e-09	1.73900910419573e-05	10.9377937560989
ENSG00000112319.17	0.983636702437562	-0.227770174288317	6.29803324987066	1.32082293755907e-09	1.44478217024899e-05	10.9119493976465
ENSG00000241057.2	0.351573783841962	1.69861693253224	5.88896884674651	1.22777862065491e-08	6.71502822101689e-05	9.28016735430322
ENSG00000138442.9	-0.315405817806943	4.04273596593842	-5.6289891138509	4.79139906926771e-08	0.000209642874876739	8.16312734453518
ENSG00000125630.15	-0.366906004585212	3.70292830378766	-5.52213762462823	8.2775945811781e-08	0.000301814894420722	7.64958974888979
ENSG00000258168.5	0.734857111807668	1.25228244873536	5.45460071769153	1.16484966956589e-07	0.000351057067630335	7.19622269741461
ENSG00000132109.9	-0.287242110648129	4.18569144741432	-5.34705768424147	1.99412759255165e-07	0.000484728103802804	6.81748268971343
ENSG00000198824.5	-0.327461314970097	4.18493607354023	-5.22588242353734	3.62001453070025e-07	0.00073813982652728	6.25720576845984
ENSG00000041802.10	-0.269885357913819	5.11987297991897	-5.20828545310235	3.94411228857055e-07	0.00073813982652728	6.13995248052182
ENSG00000107443.15	-0.296384363018063	2.96550513844749	-5.17087379417483	4.72943593351312e-07	0.00073813982652728	6.01541711411101
ENSG00000146674.14	0.690989214065202	6.73881003261094	5.18429106999242	4.43363144134432e-07	0.00073813982652728	6.00964584178447
ENSG00000174173.6	-0.352686036458709	3.66951017705839	-5.16244865900114	4.92617913824572e-07	0.00073813982652728	5.98160472216995
ENSG00000162148.10	0.353499224430693	2.29879342851618	5.14742726712155	5.29683009599749e-07	0.00073813982652728	5.89387691282868
ENSG00000229367.1	1.39169036596973	-3.20720153175329	5.43527772569548	1.28374847604456e-07	0.000351057067630335	5.84056391769691
ENSG00000037280.15	0.558653403107201	4.25185270556001	5.12047824661019	6.03312900526913e-07	0.00073813982652728	5.76249913692631
ENSG00000130935.9	-0.207958959553062	4.89886377835299	-5.11901346745223	6.07328101544592e-07	0.00073813982652728	5.73911502787486
ENSG00000126749.14	-0.189428036073067	4.26756022179076	-5.08972408094954	6.98881636633185e-07	0.000804707029717063	5.63381772584741
ENSG00000166133.17	-0.287975778776326	2.92125493548654	-5.07078104108535	7.65073481023495e-07	0.000816576047429023	5.5704310732524
ENSG00000112029.9	-0.355507893029542	1.85663713163041	-5.06223475639277	7.96888206497286e-07	0.000816576047429023	5.47995212515606
ENSG00000144191.11	1.0387284922193	2.59048439706986	5.04706291637298	8.56881617718287e-07	0.000816576047429023	5.46781441185789
ENSG00000124217.4	-0.324304366547567	2.63102054480317	-5.03680003456737	8.99341878826888e-07	0.000818399627995113	5.41288477016398
ENSG00000215417.12	-0.963479673424454	-0.41799268566704	-5.12503955877947	5.90030851520276e-07	0.00073813982652728	5.36660247489692
ENSG00000151576.10	-0.304835310523156	3.74555228858577	-5.02389929631613	9.5607327015884e-07	0.000818399627995113	5.36084046170161
ENSG00000143786.7	0.449385484072563	0.523423457360268	5.04658687685344	8.58492896232003e-07	0.000816576047429023	5.31615640682448
ENSG00000171453.17	-0.261601645990812	3.50459988649657	-5.00755406608209	1.03294472758559e-06	0.000836953029829256	5.29377782924632
ENSG00000113810.15	-0.348254315956569	4.36106913523865	-4.98341039421563	1.15754047019778e-06	0.00090441117380417	5.15849297120249
ENSG00000130052.13	0.356177899120557	3.79356787581758	4.97022683291803	1.23159247064899e-06	0.000912840941054942	5.11478158496025
ENSG00000280339.1	0.647760864934959	2.53488095762996	4.95981474310606	1.29350775575733e-06	0.000912840941054942	5.08536409418234
ENSG00000132122.11	0.308657622549016	3.8728513744636	4.96176276585618	1.28152974461272e-06	0.000912840941054942	5.07478919538103
ENSG00000198547.8	0.839339170779289	-0.971951746555737	5.0202722881716	9.7263748813242e-07	0.000818399627995113	4.96502713422515
ENSG00000182481.8	-0.518498649120151	4.43407372631064	-4.93427361923994	1.45801247292246e-06	0.000938145260886017	4.94177040824542
ENSG00000140044.12	0.28954752005032	5.08827619877295	4.94273289014425	1.40106135877942e-06	0.000928818768061136	4.93602665948915
ENSG00000198890.7	-0.294526201055437	3.42396941854306	-4.92128403049337	1.54872271068193e-06	0.000941602709722393	4.91912906708514
ENSG00000101138.11	-0.207695978986675	4.22505291021572	-4.9069266280504	1.65585626658736e-06	0.000941602709722393	4.82660412012366
ENSG00000173210.19	0.523952117512006	4.7591173414481	4.91549809266033	1.59162069888342e-06	0.000941602709722393	4.82612566134789
ENSG00000154065.16	0.597356617570741	2.74772541440165	4.88074440479397	1.87017715573613e-06	0.000974139658000936	4.74771461934665
ENSG00000127870.16	-0.252363159217138	4.67157094370403	-4.89323543402375	1.76467116600165e-06	0.000941602709722393	4.7448297230785
ENSG00000133028.10	-0.247861002108306	5.14521321615585	-4.89705101562957	1.73366983635218e-06	0.000941602709722393	4.73993534726902
ENSG00000162591.15	0.654822746632873	5.02335582888754	4.89797568922184	1.72683166894423e-06	0.000941602709722393	4.73821065864438
ENSG00000184058.12	0.660491766050299	1.26407882325526	4.87296883914981	1.93852991702994e-06	0.000985132967143001	4.66115507726243
ENSG00000167447.12	-0.374594735405106	3.42842833298941	-4.85945495636634	2.06353845160345e-06	0.000985132967143001	4.65349042736764
ENSG00000104356.10	-0.369360041793805	2.20504959605803	-4.85397338432059	2.11643504391466e-06	0.000985132967143001	4.61458120420259
ENSG00000008256.15	0.313066893112137	5.66463538940645	4.86697071992246	1.99308420477883e-06	0.000985132967143001	4.58866171230288
ENSG00000278053.4	-0.204848280136749	4.63125083217676	-4.85555455106155	2.10104398681312e-06	0.000985132967143001	4.58198006895691
ENSG00000198730.7	-0.249862958546474	5.16316203739825	-4.84872707809566	2.16828672078011e-06	0.000988241845635551	4.52841564851291
ENSG00000180383.3	0.785078720227453	-0.828964089399687	4.89799399919925	1.72608968162238e-06	0.000941602709722393	4.50743107305312
ENSG00000172409.5	-0.46239844747442	2.91041436334081	-4.82233655271614	2.44829091539631e-06	0.00101196526672272	4.49893701331434
ENSG00000112996.10	-0.220707771484791	4.61710151125628	-4.83546789178774	2.30486229095367e-06	0.00101196526672272	4.49610231956876
ENSG00000118004.17	0.676590564774569	0.906579450850302	4.83111854300921	2.3514454004037e-06	0.00101196526672272	4.46345440691458
ENSG00000132603.13	-0.354028986934903	3.60986324726448	-4.81024760162024	2.58792606972105e-06	0.00101196526672272	4.43849739779695
ENSG00000077585.13	0.319439874147087	3.89793363377501	4.81264162367032	2.55967667994807e-06	0.00101196526672272	4.42622645452505
ENSG00000114491.13	-0.317361016631841	4.07589993001566	-4.80626519360795	2.63558644667726e-06	0.00101196526672272	4.40122596048699
ENSG00000176422.13	-0.312793807779129	3.81450147204727	-4.80072572852685	2.70329260967182e-06	0.00101196526672272	4.38978864155736
ENSG00000150753.11	-0.349256161396183	5.97257698620381	-4.82070262506197	2.46690117057867e-06	0.00101196526672272	4.38648460202103
ENSG00000072501.17	-0.270303090825302	6.53452016434728	-4.81895415592175	2.48660917736092e-06	0.00101196526672272	4.37523730554591
ENSG00000244617.2	0.402092479778669	1.03517491415941	4.80099335231195	2.69998332705094e-06	0.00101196526672272	4.34297654009852
ENSG00000232859.9	0.454877688655945	2.71100135432987	4.77768910444668	3.00330811589711e-06	0.00103727581513073	4.31158441914094
