logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000077380.15	-0.268518628968177	6.45909067882	-7.09493299773986	5.10609109092525e-12	7.75158740354037e-08	16.8476040386259
ENSG00000269958.1	0.331788263675858	3.42685583383341	7.04648398701279	6.98970911049627e-12	7.75158740354037e-08	16.489124447811
ENSG00000189171.14	0.307228922983893	5.39372839907174	6.78627361829906	3.66936191789405e-11	2.712881577963e-07	14.9535287154676
ENSG00000164944.11	-0.209272444603068	5.46153594577068	-6.68319061790856	6.98352289703634e-11	3.87236344640665e-07	14.3365328859332
ENSG00000175198.15	-0.338103328965253	4.36988808708334	-6.59626874504233	1.19440689439374e-10	5.29838898353061e-07	13.8217140865348
ENSG00000263001.5	-0.48144376511236	4.65148899939412	-6.54081800137011	1.67726422623394e-10	6.20028675631146e-07	13.4996752277372
ENSG00000196455.7	-0.220402768185973	4.7810742744554	-6.51157208634517	2.00432005936173e-10	6.35083127380617e-07	13.3295985611474
ENSG00000232442.1	0.383512399084787	2.52084155238425	6.43042017079141	3.27515793405493e-10	7.62427600861208e-07	12.7729928230299
ENSG00000047315.15	-0.273259053095395	6.18931132008925	-6.40074649201645	3.91460688372253e-10	7.62427600861208e-07	12.6825901710058
ENSG00000164902.13	-0.242919426184679	4.62686314114259	-6.39590188690615	4.03001812708186e-10	7.62427600861208e-07	12.6631180817391
ENSG00000100412.15	-0.399978786639245	6.24493410419264	-6.38205072294164	4.37868633598987e-10	7.62427600861208e-07	12.5753397125197
ENSG00000108094.14	-0.212954041590701	4.87067199619399	-6.37865066014194	4.46869197979969e-10	7.62427600861208e-07	12.5630760187928
ENSG00000176024.17	-0.25171983936826	2.21323788427043	-6.40317143336879	3.85806047688484e-10	7.62427600861208e-07	12.5560892430593
ENSG00000164068.15	-0.267291411748335	4.79547075108289	-6.33876610995233	5.66970546411276e-10	8.79144037669898e-07	12.3364747482287
ENSG00000135829.16	-0.211237175382414	6.82116242785469	-6.32051587286925	6.31966158575924e-10	8.79144037669898e-07	12.2247066038133
ENSG00000170365.9	-0.280434773734673	3.32783325407589	-6.31992482427328	6.34188665586942e-10	8.79144037669898e-07	12.2024054245472
ENSG00000120733.13	-0.214131578240219	6.51923067020883	-6.3041473685117	6.96427419885655e-10	9.08632951356696e-07	12.1310517212301
ENSG00000234353.2	0.410751847348488	2.53284879498137	6.24360932018172	9.95704163224807e-10	1.19355944719169e-06	11.7353394574987
ENSG00000116062.14	-0.208720725796085	5.23792219557854	-6.20882043739801	1.22126741145673e-09	1.23125959936865e-06	11.5989223789442
ENSG00000253710.2	-0.27166844786981	1.80857089951969	-6.23617566278715	1.04018969325149e-09	1.19355944719169e-06	11.5823598340509
ENSG00000232807.2	0.368357036311582	1.30060702328227	6.23037494128362	1.07624837438385e-09	1.19355944719169e-06	11.5080717319425
ENSG00000079785.14	-0.240317597823914	6.46831017528809	-6.18180043654036	1.43026201335466e-09	1.37927006331332e-06	11.4423248592338
ENSG00000067248.9	-0.200801176093973	5.29530037802827	-6.14773598436575	1.74408221434611e-09	1.54734974056787e-06	11.2578154378048
ENSG00000138663.8	-0.224697404643106	4.87957959982886	-6.13913127071162	1.83344901342462e-09	1.5640730429907e-06	11.2155253380212
ENSG00000077097.15	-0.212097438979588	6.98249612668816	-6.13214220378568	1.90931713040069e-09	1.56846866489953e-06	11.1675969903892
ENSG00000039123.15	-0.174085185984597	5.51210599218085	-6.09090419634076	2.42355476611051e-09	1.91980159686896e-06	10.9411271809114
ENSG00000270640.1	1.42733778151242	-1.40243217347016	6.21185716727199	1.20004845629919e-09	1.23125959936865e-06	10.811900943774
ENSG00000123444.13	-0.337469438177656	2.24396648922469	-6.0768598796516	2.62784377405247e-09	2.00984741063737e-06	10.7777631070042
ENSG00000111530.12	-0.16536980354087	6.55051542593195	-6.05973028512264	2.89987648692274e-09	2.06022827757693e-06	10.7667170950822
ENSG00000174943.9	0.197198019610203	3.99224127519014	6.05543008400861	2.97237623455644e-09	2.06022827757693e-06	10.7632322011332
ENSG00000155827.11	-0.238933783172632	5.37876931714937	-6.05773730501762	2.93325996507752e-09	2.06022827757693e-06	10.7605324854645
ENSG00000136861.17	-0.19789002023283	5.56695524404285	-6.04428667108404	3.16858969836014e-09	2.07284466976304e-06	10.6846624294744
ENSG00000257596.1	0.687447322629498	-1.05971629732534	6.17216861057626	1.51291177036353e-09	1.39818262777763e-06	10.6650104216601
ENSG00000166164.15	-0.191288668372867	5.89893386258132	-6.03999921145464	3.24740679897903e-09	2.07284466976304e-06	10.6589296189092
ENSG00000102125.15	0.266990924581191	5.0521589564634	6.03381888159157	3.36440072639628e-09	2.07284466976304e-06	10.6315819699652
ENSG00000023228.13	-0.261268157697715	6.31533105429092	-6.01603414295484	3.72451377442093e-09	2.23269501396368e-06	10.5272477760811
ENSG00000125895.5	0.518286163828608	1.62556146024788	6.03560166258487	3.33023651630676e-09	2.07284466976304e-06	10.5206162627601
ENSG00000171103.10	-0.255061357190731	2.76951024113329	-5.9763443956506	4.66925352934161e-09	2.65548828925121e-06	10.2933850906402
ENSG00000141367.11	-0.266348088353824	7.80988459211954	-5.97034295794502	4.83111546952209e-09	2.67885352785e-06	10.285767869837
ENSG00000086758.15	-0.212425942319189	7.89580711589567	-5.95655329319516	5.22406349088694e-09	2.82609093238713e-06	10.2119223323994
ENSG00000143799.12	-0.258347647845837	6.5125126381983	-5.9410903068193	5.7018457483021e-09	3.01111758803192e-06	10.1207383961923
ENSG00000267049.1	0.367035021263737	0.203749489168806	5.99196912240343	4.27228116618679e-09	2.49366305963219e-06	10.0700128073173
ENSG00000175216.14	-0.199264645686552	6.16635170260739	-5.91318751313206	6.67417650439725e-09	3.44263336901235e-06	9.9701891845748
ENSG00000181472.4	-0.195238910193389	3.58757180633305	-5.88467357230043	7.83447590914162e-09	3.94928808329002e-06	9.84380977711464
ENSG00000198093.10	-0.303638892903548	2.75097341687369	-5.88062470421888	8.0144300993015e-09	3.95022354672238e-06	9.78717100860494
ENSG00000144028.14	-0.188646635826468	7.63653441102663	-5.8741402475791	8.31106794293954e-09	3.9938502880249e-06	9.76731170923576
ENSG00000168993.14	0.471842521017414	3.03196300873097	5.87008036118785	8.50221515888487e-09	3.9938502880249e-06	9.7588881761866
