logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000183615.5	-1.29555148302601	4.1916449932529	-4.07695899498541	0.000527637134325811	0.997447696079532	-3.44919616451779
ENSG00000139132.14	0.52884072325618	4.71223292185577	3.34862639936598	0.00298007140942429	0.997447696079532	-3.63209632148102
ENSG00000163072.15	-0.813777354335897	4.7771117569208	-3.30539061414722	0.00329956980256446	0.997447696079532	-3.6556889376091
ENSG00000168899.4	-0.536565101804616	4.81030863749853	-3.23806230969458	0.00386457669897911	0.997447696079532	-3.67685048839551
ENSG00000104419.14	0.980854392310761	9.05043661947066	3.80418868216185	0.00100627851473542	0.997447696079532	-3.68806084377672
ENSG00000135636.13	-0.629962852806301	5.12759648191964	-3.1589368846538	0.00464923577823724	0.997447696079532	-3.69396811016223
ENSG00000128052.8	-0.717079081682808	5.54683289866903	-3.03691541360396	0.00616961487144285	0.997447696079532	-3.74249180673849
ENSG00000125848.9	-0.844955129238672	4.78572913785832	-3.10551877890612	0.00527995717125208	0.997447696079532	-3.75025929497855
ENSG00000079385.21	-0.644024838219902	5.77270774342521	-2.97056150627816	0.0071871570420156	0.997447696079532	-3.77516058416125
ENSG00000162086.14	-0.454841525674894	3.96315136267443	-3.25339904769475	0.00372813244515547	0.997447696079532	-3.7822811959482
ENSG00000151240.16	0.455916912777072	4.97081897492918	2.94165161290468	0.00767926513912402	0.997447696079532	-3.80599159981932
ENSG00000138411.10	-1.18482907914792	2.92073933101064	-3.92057546238102	0.000760574248857933	0.997447696079532	-3.81294048587966
ENSG00000163659.12	0.955595373075066	4.22782895456448	3.07163634655479	0.00572563855255958	0.997447696079532	-3.8222303677447
ENSG00000139318.7	-0.660409913780011	5.73182995396993	-2.84329333051195	0.00960678623593689	0.997447696079532	-3.83784896508913
ENSG00000179094.15	0.760374707104806	7.2891454671568	2.97244487385675	0.00715617100768218	0.997447696079532	-3.85151163917882
ENSG00000130653.15	0.709439806448942	4.8347885984613	2.85759188718164	0.0093003443436343	0.997447696079532	-3.85783787737258
ENSG00000265107.2	-1.19879908786533	4.0257257542715	-3.08928565531972	0.00552493228457901	0.997447696079532	-3.86630209233679
ENSG00000072682.18	0.59559016734452	4.66093715025083	2.79193261818337	0.0107888566960931	0.997447696079532	-3.89821876389572
ENSG00000170619.9	-0.329503723806818	3.98639160500328	-2.9412123761836	0.00768698553013092	0.997447696079532	-3.90548746734071
ENSG00000250722.5	0.620276138624503	5.50992298205162	2.70310008071058	0.0131663107546727	0.997447696079532	-3.91169775831666
ENSG00000223745.7	0.490373246195159	5.0488351169451	2.69127171854768	0.0135180066762234	0.997447696079532	-3.92430751442559
ENSG00000065485.19	-0.438932888795973	4.46199255286202	-2.77051452417971	0.0113216219817328	0.997447696079532	-3.92567413093888
ENSG00000146576.12	-0.320853498403836	4.43434007369791	-2.74789963919953	0.011911239328331	0.997447696079532	-3.93679498869321
ENSG00000136720.6	-0.506653692112272	6.43640837231975	-2.67305323745771	0.0140771243602543	0.997447696079532	-3.93836388067768
ENSG00000165724.5	-0.428081646506244	3.85353395239856	-2.91124755552631	0.00823160312705063	0.997447696079532	-3.9391312954092
ENSG00000146826.16	-0.586022680624746	4.68375895360047	-2.70493976253338	0.0131123950592012	0.997447696079532	-3.93927443840795
ENSG00000170846.16	-0.350840393148554	3.61156365930036	-3.00452154372087	0.006647730915836	0.997447696079532	-3.93946810232042
ENSG00000179134.15	0.332743436534603	5.8087644356468	2.6324410848561	0.0154030579938827	0.997447696079532	-3.94485370841587
ENSG00000003137.8	-1.35229548290029	4.02880449477906	-2.90343981946338	0.00848318432971215	0.997447696079532	-3.94986281060344
ENSG00000148339.12	0.617373013479515	5.32882692074226	2.62337404864503	0.0157147433865374	0.997447696079532	-3.95204525699397
ENSG00000113555.5	-0.673261777415973	4.54522005852053	-2.69594947308768	0.0133778726930801	0.997447696079532	-3.95584309422123
ENSG00000215908.10	-0.309419572560335	5.49669150966031	-2.59468181423847	0.0167406190303069	0.997447696079532	-3.95913309862691
ENSG00000005801.16	-0.404897409696868	4.03686146014612	-2.79484896432163	0.0107181852860117	0.997447696079532	-3.96148493461893
ENSG00000178974.9	0.344288747873245	4.48164665088071	2.68007363919523	0.0138591319855184	0.997447696079532	-3.96167036969552
ENSG00000156675.15	0.697479709887754	3.97181455319477	2.80354160563792	0.0105101413620883	0.997447696079532	-3.96258187614078
ENSG00000167874.6	-0.866696624441815	3.52342548377856	-2.99082306993462	0.00686046395759236	0.997447696079532	-3.97275354838008
ENSG00000154133.14	-0.722871010794648	5.16183165901497	-2.58132139190896	0.017283827758954	0.997447696079532	-3.97554350134664
ENSG00000130332.14	-0.423755433399267	4.19805518926151	-2.71804450674706	0.0127343358870439	0.997447696079532	-3.97555356794932
ENSG00000129226.13	0.926183117065784	5.72180594691881	2.58077799197495	0.0173791550670481	0.997447696079532	-3.97820679099272
ENSG00000120832.9	-0.382996802232989	4.5560315462079	-2.62389229447288	0.0156967695149141	0.997447696079532	-3.9841068275336
ENSG00000224870.6	-0.438500482580982	3.86451962084471	-2.79444016128059	0.0107280651459925	0.997447696079532	-3.98498960044074
ENSG00000130307.11	-0.889572934099886	3.67743933511462	-2.89030799928053	0.00864771803743667	0.997447696079532	-3.9858140769102
ENSG00000170260.8	-0.391451011511977	3.69460554780985	-2.8218426265978	0.0100846340712427	0.997447696079532	-3.99722633646322
ENSG00000163348.3	-0.2759116553743	5.43966329951771	-2.51290159738479	0.020020246569947	0.997447696079532	-3.99956005472255
ENSG00000176022.4	-0.516993682902147	3.77677847168149	-2.79090807341848	0.010813789391249	0.997447696079532	-4.00023751760723
ENSG00000165125.19	-1.0440843182525	3.93652755460216	-2.77125559837714	0.0113827079111702	0.997447696079532	-4.00269770208373
ENSG00000184384.13	0.432075524193815	4.5385604814201	2.57838057661079	0.0173511639960638	0.997447696079532	-4.00463153487873
ENSG00000213689.11	-0.367985923326993	3.8119376733599	-2.75311475374391	0.0117727393323019	0.997447696079532	-4.00764634345717
ENSG00000166035.10	-0.93100365037738	2.8469985038672	-3.24804586101839	0.00377521675571604	0.997447696079532	-4.01080173037374
ENSG00000013288.8	0.279608281138034	5.72889911963083	2.49433074763279	0.0208443853003919	0.997447696079532	-4.01083499943886
ENSG00000163762.6	-0.686372309750912	4.14613736696844	-2.66025361534146	0.0144829263213405	0.997447696079532	-4.01162829566453
ENSG00000144426.18	0.591438261196887	3.23987892726615	2.94976734399958	0.00753794719455754	0.997447696079532	-4.01228841866496
ENSG00000197355.10	0.549558051630773	5.22897575575827	2.49179047937306	0.0209595476311724	0.997447696079532	-4.01667731542167
ENSG00000180901.10	-0.314120637558774	5.65037578777098	-2.47384512775444	0.0217901488153729	0.997447696079532	-4.0181450969053
ENSG00000280138.1	0.697726812333936	3.34389504338239	2.87562393746352	0.0089271789176691	0.997447696079532	-4.02262783642492
ENSG00000119965.12	-0.406320225568967	2.72530957032183	-3.22929541871679	0.00394473888949832	0.997447696079532	-4.02395100457974
ENSG00000171115.3	-0.556241281597172	4.23090271696666	-2.60303916187654	0.0164354859259907	0.997447696079532	-4.02482449497233
ENSG00000163481.7	-0.348278853646716	4.01634143229888	-2.64722106597946	0.0149074381363499	0.997447696079532	-4.02520725703749
ENSG00000089335.20	-0.291058675172943	4.8579313819134	-2.49090894737135	0.0209996501329164	0.997447696079532	-4.02655052207106
ENSG00000130300.8	-0.626737470197749	7.2802245172274	-2.55572365808112	0.0182345209910251	0.997447696079532	-4.02844270927057
ENSG00000211895.4	2.33812960641232	6.3813426865498	2.54687447016016	0.0187480554120696	0.997447696079532	-4.03021500931387
ENSG00000125266.6	-0.460048144082301	4.95197700841332	-2.47077945873266	0.0219350739105499	0.997447696079532	-4.0331444086494
ENSG00000204237.4	-0.408376027229204	3.75100815309157	-2.70519298476239	0.0131049902341376	0.997447696079532	-4.03536313509494
ENSG00000114999.7	-0.367442359659769	4.83144706727831	-2.47112577565372	0.0219186574194031	0.997447696079532	-4.03766092989005
ENSG00000197841.14	-0.337247318765594	3.42580300405551	-2.8145967893594	0.0102511031144588	0.997447696079532	-4.03939526203427
ENSG00000151693.9	0.568672533146669	4.00618424085184	2.59865664386613	0.0165948370839756	0.997447696079532	-4.0438507376576
ENSG00000218510.6	-0.329972220777056	3.46318748848051	-2.78253271550129	0.0110196718820765	0.997447696079532	-4.04524565932573
ENSG00000051108.14	0.428692199477219	7.01061220645733	2.49728302746259	0.0207112862501383	0.997447696079532	-4.04794621570214
ENSG00000214193.10	0.690612481379708	4.5447501875277	2.4853838763305	0.0212922555050245	0.997447696079532	-4.04970501623739
ENSG00000186715.10	-0.732773271860866	5.37502994374922	-2.41306367431879	0.0249329890045752	0.997447696079532	-4.05192688040795
ENSG00000179833.4	0.517284684950486	4.49348411166844	2.48235133654318	0.0213926871973442	0.997447696079532	-4.05225024842123
ENSG00000051128.18	-0.456155775947722	5.63751196690285	-2.40221562529604	0.0254201038694204	0.997447696079532	-4.05307168551827
ENSG00000175213.2	-0.461522300762361	2.95601025859624	-3.00173791179796	0.00669043970430592	0.997447696079532	-4.05317276933447
ENSG00000213462.4	0.60681722486175	3.19393047025036	2.84757050265499	0.00951412362155682	0.997447696079532	-4.05486391019011
ENSG00000269973.1	-0.618351658027914	2.25977905192015	-3.41604063868818	0.00254123909081218	0.997447696079532	-4.05851203097457
ENSG00000136870.10	-0.342551627442921	4.3722327712571	-2.48731654876028	0.0211638159925474	0.997447696079532	-4.0601220909201
ENSG00000168672.3	-0.45340292047967	5.85402611414408	-2.38457873700216	0.0263961021240449	0.997447696079532	-4.06306966853194
ENSG00000136243.16	-0.384834456420547	4.07348508082027	-2.54352012768242	0.0187276102817133	0.997447696079532	-4.06325805050028
ENSG00000156218.12	1.01961677967168	2.87455421951823	2.95846517309431	0.00739130472822332	0.997447696079532	-4.06777536647705
ENSG00000068001.13	-0.616245837369977	5.9798223511278	-2.37803576042157	0.0267911670816383	0.997447696079532	-4.06842071209998
ENSG00000196187.11	0.39453811356302	6.62363328325178	2.41590570235357	0.024685671747145	0.997447696079532	-4.07042112041525
ENSG00000178988.10	-0.230813624488522	5.36305145722485	-2.36488908876637	0.0275265672218656	0.997447696079532	-4.07202251015005
ENSG00000185298.12	-0.429386446635951	4.25156991792756	-2.48269931198909	0.0213765724151427	0.997447696079532	-4.07275555186358
ENSG00000169016.16	-0.363451935381179	2.94374082172831	-2.9366251143149	0.00776806105635749	0.997447696079532	-4.07397454597322
ENSG00000130844.16	0.814285140304882	4.45396453920421	2.44745730531191	0.0231607456742575	0.997447696079532	-4.07501506019068
ENSG00000164442.9	0.486831664447311	5.96684976743799	2.36840990501078	0.0273211947184511	0.997447696079532	-4.0760349213195
ENSG00000136098.16	-0.28956764882901	4.17750230108568	-2.48673036199368	0.0211907169111365	0.997447696079532	-4.07650189264255
ENSG00000198830.10	0.39620203998006	6.5230387686854	2.39321343961569	0.0259140186776948	0.997447696079532	-4.07758933378917
ENSG00000141627.13	0.27420650319391	4.95068382974353	2.36892548979849	0.0272912392322954	0.997447696079532	-4.08012688709672
