logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000223553.6	1.38090056226727	-5.1319407149308	6.19050125510214	2.55842110456941e-09	4.77299041268468e-05	7.95263419433295
ENSG00000274750.2	-0.953213255021481	0.700589655058546	-5.4791273653488	1.07616615279036e-07	0.000669231858215232	7.3068814687719
ENSG00000056487.15	0.905073605291124	-2.00344518994365	5.54872055152582	7.5552642576805e-08	0.000669231858215232	7.05149308650856
ENSG00000101199.12	0.277664136674261	5.40202574999155	5.30522533363091	2.54631615129612e-07	0.00100865531308806	6.56382709194631
ENSG00000184441.4	0.374189126375309	1.36189357892667	5.26787111073003	3.05726793220505e-07	0.00100865531308806	6.41880000428159
ENSG00000213753.10	-0.409571648631181	3.43813478320094	-5.23497207020512	3.58873668200239e-07	0.00100865531308806	6.26467876962148
ENSG00000160767.20	-0.374499364201233	4.68788673478624	-5.22402986263072	3.78462006411687e-07	0.00100865531308806	6.19010778582985
ENSG00000091536.16	0.690524873454011	-0.320051828851322	5.15551876864269	5.26897545261639e-07	0.00116245230797782	5.80163655442729
ENSG00000262855.1	1.11883597107649	0.28882724782315	5.13502641780695	5.84054522109047e-07	0.00116245230797782	5.77852166889033
ENSG00000205959.3	0.486758857565638	1.67699089319945	5.09701082892776	6.97169782103557e-07	0.00116245230797782	5.66249477983086
ENSG00000133134.11	0.916223312111225	0.852913185494474	5.09911752354466	6.92605835407686e-07	0.00116245230797782	5.65271700001412
ENSG00000228526.6	0.708949412511675	0.4427920273053	5.08231207494715	7.47718036863948e-07	0.00116245230797782	5.55972216653828
ENSG00000147231.13	0.604810064333913	1.22797459755823	4.99065226112101	1.15284191554113e-06	0.00139033973681167	5.19318437833211
ENSG00000100139.13	-0.321201493756676	4.04438656628368	-4.99168124089404	1.1472893086555e-06	0.00139033973681167	5.1544887971722
ENSG00000203761.5	0.456689378480842	-0.391424702038864	4.99900220950203	1.10852446686479e-06	0.00139033973681167	5.12203760444491
ENSG00000148468.16	-0.439743560873544	2.42726616937917	-4.97106495360955	1.26363734300869e-06	0.00139033973681167	5.10788301926956
ENSG00000138867.16	-0.360820843200219	6.93652952740439	-4.91866615135246	1.61308774319198e-06	0.00139033973681167	4.83778056836081
ENSG00000162341.16	0.301778851289282	3.5880442776638	4.91621627629764	1.63152992620357e-06	0.00139033973681167	4.83147026414034
ENSG00000177025.3	0.443164814873022	-0.0566295661955797	4.90621361943754	1.70896647829375e-06	0.00139033973681167	4.77152201262749
ENSG00000001497.16	0.203958603211191	4.60123805840331	4.89987790936946	1.75984097459817e-06	0.00139033973681167	4.73872558877302
ENSG00000157045.8	-0.320953093761958	3.39786052732293	-4.88399697451148	1.89388080724703e-06	0.00139033973681167	4.70294787560345
ENSG00000241769.7	0.461803447555772	1.6830996012333	4.86930772579845	2.02661166332495e-06	0.00139033973681167	4.67537737396722
ENSG00000003137.8	0.862448732243028	2.41927182676385	4.86353832506594	2.08951832880674e-06	0.00139033973681167	4.6332618063044
ENSG00000127586.16	0.420913677141049	2.27033513950795	4.84592705074396	2.25661397215083e-06	0.00139033973681167	4.56728440098491
ENSG00000242689.2	-0.687259431785324	0.890015122068247	-4.8406904248129	2.31200644741324e-06	0.00139033973681167	4.53817490264715
ENSG00000280010.1	-0.691408113548669	0.0858649733166319	-4.85328204768074	2.18166947734378e-06	0.00139033973681167	4.53747156674036
ENSG00000124635.8	-0.833677371653427	-0.43587952792902	-4.86169412345682	2.09893643991676e-06	0.00139033973681167	4.49735653435019
ENSG00000140488.15	0.461519836235963	1.23486977371381	4.82149757307215	2.52381588225652e-06	0.00139033973681167	4.47281973452505
ENSG00000166682.10	0.418190966838414	0.99386555247929	4.82062945305472	2.53385243629914e-06	0.00139033973681167	4.46594340727122
ENSG00000130340.15	-0.186823038752959	5.29255962748891	-4.83566970503476	2.36529822512633e-06	0.00139033973681167	4.45849320074408
ENSG00000215252.11	0.608153990420399	3.99217452812823	4.8288363806699	2.44842650519118e-06	0.00139033973681167	4.43788620038866
ENSG00000166704.11	0.296428289132391	2.35431951503153	4.81147630731374	2.64204763899557e-06	0.00140828687866004	4.41934655309939
ENSG00000181690.7	0.509089944365217	0.469946775767271	4.78336113458916	3.00301047197856e-06	0.0015141665774387	4.29682207895854
ENSG00000129204.16	1.08723740117164	5.36169687286601	4.78986744194984	2.92654053561489e-06	0.0015141665774387	4.26336846166524
ENSG00000170381.12	0.862608273603081	-2.76668099954839	4.92270051665836	1.58315639259685e-06	0.00139033973681167	4.25019184321439
ENSG00000264057.1	0.875863539429791	-3.34673057217184	4.96924551767791	1.27443700276146e-06	0.00139033973681167	4.2207770654202
ENSG00000213563.6	-0.408163243011138	3.52434851012437	-4.7620526743261	3.30783949763547e-06	0.00162397509652335	4.17718464909084
