logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000131080.14	0.557852532235961	3.02079413197078	6.29189221011157	2.12333575879167e-09	4.60593992797088e-05	10.9875738995738
ENSG00000178163.7	-0.305091271382363	3.59039599728367	-5.85746568016032	2.04474062706167e-08	0.000147848378940739	8.93826737204335
ENSG00000166451.13	-0.404670697446699	0.999576440626556	-5.88990869253197	1.73269022179752e-08	0.000147848378940739	8.53561747314155
ENSG00000046647.13	0.209531119791832	5.02493540902671	5.65343528896561	5.71484046035098e-08	0.000309915798164834	8.01492092549663
ENSG00000082781.11	-0.312374543659551	7.11657495334964	-5.48121482070629	1.33551543893496e-07	0.000579400018027544	7.21020526436614
ENSG00000260804.3	-0.360420020209974	3.52199372199312	-5.23373241558058	4.38440109023791e-07	0.00155422351960744	6.09591615533068
ENSG00000058091.16	-0.25697582582775	5.06006945826499	-5.18966282821944	5.39675057789371e-07	0.00155422351960744	5.90098654387802
ENSG00000138615.5	-0.675402008417469	5.58499219389962	-5.15211344391675	6.45406512767927e-07	0.00155422351960744	5.72628271127086
ENSG00000064042.17	-0.54906605796158	7.22897624018457	-5.15065736108548	6.4981434096958e-07	0.00155422351960744	5.71956487712575
ENSG00000147852.15	-0.52321734382873	4.32296898784162	-5.12848392016276	7.20296449967208e-07	0.00155422351960744	5.6449226443206
ENSG00000162734.12	-0.331478061921824	8.43247451448268	-5.08991507964025	8.59795419292332e-07	0.00155422351960744	5.4701641887075
ENSG00000128641.18	-0.301558912019992	6.12580014385775	-5.04664385809436	1.05024381930361e-06	0.00155652601731524	5.26122779741357
ENSG00000176871.8	-0.221163908825508	5.5320460226831	-5.01907939403195	1.19226795858812e-06	0.00161641728485585	5.14704607920297
ENSG00000237125.8	0.727926018269721	1.68322315553302	5.04161547397244	1.07633644936975e-06	0.00155652601731524	5.13695714132476
ENSG00000163235.15	-0.773582193272968	3.60356163194174	-4.98324835175778	1.40852896787762e-06	0.00169743390951119	5.02023877135043
ENSG00000129910.7	0.59749657918999	3.1449934100324	4.98360775716628	1.40530041539184e-06	0.00169743390951119	5.01852917249188
ENSG00000171094.16	0.748718315172084	0.093225821445368	5.09837988687073	8.26677790122781e-07	0.00155422351960744	5.00504632293139
ENSG00000007264.14	0.562769593014961	0.287605075906255	5.07020301005455	9.4198476759033e-07	0.00155652601731524	4.95004940773606
ENSG00000124920.13	0.531855655413514	4.85806156741719	4.94704181411601	1.66114881900507e-06	0.0018016820090929	4.84793900007326
ENSG00000165105.9	1.325012345401	1.94719922609804	4.92188770955902	1.86193908180959e-06	0.00180680974142757	4.69196244530893
ENSG00000092929.11	0.415749971054859	5.94667817571978	4.91314835995831	1.93585565567325e-06	0.00180680974142757	4.68696464533326
ENSG00000064651.13	-0.36090530178678	6.07990499697771	-4.90913887870912	1.96955105511072e-06	0.00180680974142757	4.67032398785872
ENSG00000177595.17	0.246851896912875	5.51550678139527	4.90409963593034	2.01307444959069e-06	0.00180680974142757	4.6538347132968
ENSG00000147889.17	0.711266482374218	0.88320138265462	4.94916938793866	1.64137783742847e-06	0.0018016820090929	4.63036786880626
ENSG00000128710.5	0.675699809204677	1.80228439465492	4.85022066147404	2.56850022011137e-06	0.00214291949133292	4.37913162521203
ENSG00000118407.14	-0.431667753130427	4.38830866015035	-4.80794801459223	3.10265566454571e-06	0.00245298907902253	4.28365258264433
ENSG00000175040.5	-0.626154716545194	5.27948621859839	-4.80362989911228	3.16631450362488e-06	0.00245298907902253	4.23961382976726
ENSG00000108091.10	-0.134974948382076	5.47945628707346	-4.78513833474064	3.43000318773115e-06	0.0025656423844229	4.15585732782213
