logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000196767.6	2.91540509669238	-4.54445419637329	9.4457381916424	4.17025388958012e-17	9.08698322539508e-13	21.9624127598201
ENSG00000109705.7	1.86373088596421	-0.705490639079084	7.34358810273317	9.99537693884881e-12	7.25997544991718e-08	15.423177480595
ENSG00000259663.2	2.19256892988715	-3.47338711495359	7.63812887559702	1.89422777355517e-12	2.06376115928836e-08	14.9048219122922
ENSG00000214575.9	0.685589931787703	4.23297813291341	6.53682259488571	8.0147070228469e-10	3.74463432789126e-06	12.0617322987656
ENSG00000154655.15	0.56041954098944	3.89402935717319	6.52361385299473	8.59255238157701e-10	3.74463432789126e-06	12.0074668174845
ENSG00000181690.7	0.848899252220438	3.75677065724538	6.37450106456489	1.88135603223437e-09	6.83245799039784e-06	11.2571610991642
ENSG00000228784.7	0.997775654182635	1.7781276325309	6.26509289270308	3.30457321094875e-09	9.00083128332165e-06	10.6670677801263
ENSG00000108375.12	0.889734537977348	0.897645428581568	6.27891028309227	3.0773755508006e-09	9.00083128332165e-06	10.6186445844786
ENSG00000145242.13	1.16390124235188	1.19855600864191	6.07277694509764	8.82435477049244e-09	2.13647433832256e-05	9.70143572675914
ENSG00000185272.13	0.596526286707931	2.58804151071869	5.87265444490534	2.40597167545053e-08	3.9185529232899e-05	8.84324930245701
ENSG00000107147.12	1.07654224923439	4.32654845855578	5.88442653851892	2.27970316565912e-08	3.9185529232899e-05	8.8332731031359
ENSG00000170365.9	-0.555748972937108	2.83442449531337	-5.83713009926634	2.86891968393772e-08	3.9185529232899e-05	8.67125100616278
ENSG00000077616.10	0.616322989796678	4.44516241922739	5.83756250686922	2.86426539253386e-08	3.9185529232899e-05	8.61413698718991
ENSG00000100764.13	-0.464450210159018	3.74477377540228	-5.79130444731123	3.596652522524e-08	3.9185529232899e-05	8.45843066555656
ENSG00000137672.12	-1.16965357545998	1.68228710065241	-5.81428265006145	3.21163644603254e-08	3.9185529232899e-05	8.4569838429228
ENSG00000136451.8	-0.244293740238048	6.15002727550293	-5.81208290707051	3.24667462928431e-08	3.9185529232899e-05	8.44143224100555
ENSG00000178502.5	-0.717368843156186	0.985937656890441	-5.79562179622871	3.52102021016049e-08	3.9185529232899e-05	8.30758870466675
ENSG00000072501.17	-0.352199018956666	6.51572519570908	-5.7662885361496	4.06722181002971e-08	4.22022682097844e-05	8.22268328270708
ENSG00000136485.14	-0.295344281587883	6.06362477329819	-5.71716410376821	5.17312007683178e-08	5.1237402942802e-05	7.99461484226653
ENSG00000260816.2	1.33487128559738	-2.06551706153321	5.87487648262946	2.37958263805251e-08	3.9185529232899e-05	7.99133287378472
ENSG00000133640.18	1.44469676218686	-1.52356919040242	5.81737199453409	3.16305277395578e-08	3.9185529232899e-05	7.98451377451927
ENSG00000125304.8	-0.347070584413839	6.69583334170942	-5.7017014237373	5.5785198453837e-08	5.2850411926483e-05	7.91878497025897
ENSG00000037749.11	-0.483182460813551	3.20689827868872	-5.66760164687167	6.58547746578211e-08	5.97906474914134e-05	7.89638718323094
