logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000234409.6	1.09643288586481	-0.719997250391346	5.21383828406361	4.55353766335726e-06	0.0913439655269467	2.74531771008796
ENSG00000214706.10	-0.387903529097555	5.2056221519841	-4.68882093985602	2.59536979165643e-05	0.175127143684843	2.49082229648918
ENSG00000112343.10	0.357216875522154	5.45396681162842	4.62733922729386	3.17257543397302e-05	0.175127143684843	2.30330059322994
ENSG00000146409.10	0.323904005075139	4.48442268920271	4.52601594602864	4.40992447187671e-05	0.175127143684843	2.00709575488405
ENSG00000172167.7	0.481334041228515	1.55587171652364	4.52917482504492	4.36501970358155e-05	0.175127143684843	1.83525105250775
ENSG00000091542.8	-0.325391163840512	6.22646902585697	-4.42327794179923	6.14449875916118e-05	0.175127143684843	1.69235224128078
ENSG00000106714.17	0.844249692028128	3.08883064016614	4.2722127663686	9.96319058276673e-05	0.175127143684843	1.26704067163511
ENSG00000106078.17	-0.658016632874437	6.02669684137599	-4.26151384157714	0.000103079888912314	0.175127143684843	1.21340949511007
ENSG00000197927.12	0.641398612653851	0.718521720254207	4.32493328266911	8.42190216147449e-05	0.175127143684843	1.15031005734698
ENSG00000173933.19	-0.264079162845211	6.18049054129311	-4.23656876384266	0.000111577097294241	0.175127143684843	1.14093376258706
ENSG00000115307.16	-0.334801075589497	6.6852736327745	-4.22773383093172	0.000114747329429371	0.175127143684843	1.11980290759095
ENSG00000126062.3	-0.322136477890825	5.13984757563113	-4.18244634540321	0.000132426545643711	0.175127143684843	0.984921082852838
ENSG00000128805.14	0.567839045048713	1.9154400516467	4.17044070579485	0.00013754144739127	0.175127143684843	0.912494111568915
ENSG00000101445.9	0.74134482157817	2.17076787435161	4.13642513832843	0.000153099829421957	0.175127143684843	0.843681828280536
ENSG00000276045.2	-0.373666604176374	4.45336130971825	-4.1184248101863	0.000162012399633581	0.175127143684843	0.815451361091517
ENSG00000180901.10	-0.305966620241898	5.44620935083138	-4.09443655317937	0.00017467721004835	0.175127143684843	0.726478846877289
ENSG00000102452.15	0.777054195119953	-0.38578970045036	4.27656823106459	9.82607017931243e-05	0.175127143684843	0.718749018381511
ENSG00000108639.7	-0.425221398554764	7.4616754774554	-4.07953442996289	0.000183023937151498	0.175127143684843	0.700233851805818
ENSG00000230373.8	0.644913702862813	1.75959001580678	4.07899452439888	0.000183333500367981	0.175127143684843	0.65556291131333
ENSG00000233461.5	-0.662597083740429	0.854116364346934	-4.11584225745583	0.000163331791243726	0.175127143684843	0.612044707070938
ENSG00000244242.1	0.771715297522146	3.8265314071645	4.02483718977309	0.000217109900226794	0.179765715019492	0.564338261866123
ENSG00000214290.8	0.82935565198592	2.17663647451599	3.97362133063935	0.000254559451201317	0.179765715019492	0.407388215062817
ENSG00000185215.8	0.861493112230265	7.73875388648847	3.9569849047543	0.000268097084020922	0.179765715019492	0.357717683496204
ENSG00000186792.16	-0.532724790137268	1.31640572357063	-3.97879096548839	0.000250512091617424	0.179765715019492	0.334107318243641
ENSG00000163870.14	-0.250679263039892	5.22542484839358	-3.93372637925972	0.000287996747571202	0.179765715019492	0.268676065412137
ENSG00000073670.13	0.819714631514472	0.586583371458195	3.98025811696959	0.000249374850089754	0.179765715019492	0.258827488490358
