logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000055044.10	-0.442132153312456	5.6776664701666	-5.10548483430785	3.76818031265803e-06	0.0444958196864316	4.20621453223162
ENSG00000138640.14	0.5489207263138	5.23380538285321	5.07446824678729	4.22001324795444e-06	0.0444958196864316	4.10121204633138
ENSG00000155561.14	-0.382484704954043	5.87779820893347	-4.91922046228828	7.41286198303932e-06	0.0521074778327777	3.59307190164214
ENSG00000162496.8	0.716910674251255	5.9820043663799	4.64974135221722	1.94402994830399e-05	0.0530073237182376	2.71710215729527
ENSG00000079387.13	-0.238637845119417	3.9328396855453	-4.61053352929287	2.23015013759054e-05	0.0530073237182376	2.52612117601036
ENSG00000269386.5	0.521449514801784	0.627230428828898	4.78780164366263	1.18858193929522e-05	0.0530073237182376	2.41106319680079
ENSG00000125485.17	-0.549913088688353	3.64494664100615	-4.54353585661534	2.82218011586056e-05	0.0530073237182376	2.27342879207444
ENSG00000100417.11	0.588776375562365	4.94848866591527	4.49423774679112	3.35346393219698e-05	0.0530073237182376	2.2184043251343
ENSG00000119285.10	-0.455409762396398	5.05471974782153	-4.4752777052881	3.58211323883973e-05	0.0530073237182376	2.15636851907975
ENSG00000169084.13	0.438401347754815	3.67729405585226	4.4546501694003	3.84863921251085e-05	0.0530073237182376	2.04355183403737
ENSG00000167705.11	0.88765808655449	4.08177640862809	4.438014637624	4.08311524957286e-05	0.0530073237182376	2.02434343264223
ENSG00000130713.15	-0.379486472509683	4.64112179661833	-4.40198759589036	4.61963774152202e-05	0.0530073237182376	1.92091406541347
ENSG00000107815.7	-0.492890253406395	3.26217387366187	-4.43625477325464	4.10253329402063e-05	0.0530073237182376	1.90303038991511
ENSG00000152952.11	0.87817592251128	5.30816965589624	4.38514112093211	4.90531656791155e-05	0.0530073237182376	1.87601783042011
ENSG00000164713.9	0.410354391531345	6.03645752516236	4.36901093031464	5.1768194800075e-05	0.0530073237182376	1.82674361729559
ENSG00000130935.9	-0.257371975734021	5.00901059822079	-4.34269233070625	5.66786419317789e-05	0.0530073237182376	1.74383384838103
ENSG00000146909.7	-0.282468324938165	4.49875432643552	-4.34407464093836	5.64098418280095e-05	0.0530073237182376	1.73986556042122
ENSG00000197594.11	0.837275690920279	2.96516829933092	4.35747149026237	5.38764511094449e-05	0.0530073237182376	1.68740157947345
ENSG00000085511.19	-0.252887139082737	5.36769324064277	-4.3104103511443	6.33218766042846e-05	0.0530073237182376	1.64490583530793
ENSG00000100439.10	0.598724092034007	5.58884788919578	4.28209329369379	6.98044849708103e-05	0.0530073237182376	1.55621941024979
ENSG00000141971.12	0.378672988618387	4.64351388719773	4.27317471128586	7.19251053340546e-05	0.0530073237182376	1.52882236476266
ENSG00000145860.11	-0.429011139443596	6.12232943904031	-4.26704141928624	7.3446912241549e-05	0.0530073237182376	1.5097639395292
ENSG00000074416.13	0.792976652825705	7.05314861246705	4.24803244821785	7.84832766575587e-05	0.0530073237182376	1.44965681874551
ENSG00000175054.14	-0.411136074712549	4.93783189729464	-4.23728842754658	8.12835596197667e-05	0.0530073237182376	1.41923319565999
ENSG00000153107.11	-0.36250699611289	4.4506450752136	-4.23556963954976	8.17602203918889e-05	0.0530073237182376	1.40767505803932
ENSG00000167969.12	0.493639893352375	5.34092285152964	4.22771467576575	8.39732890721698e-05	0.0530073237182376	1.38959657271134
ENSG00000005882.11	0.722749819909838	4.95930707014474	4.222069920317	8.56799247515772e-05	0.0530073237182376	1.37238932056116
ENSG00000160862.12	1.28025387174082	3.46877986268591	4.22364393405516	8.52779541700679e-05	0.0530073237182376	1.34745450565434
ENSG00000276261.1	1.10502681909538	-1.47861050125664	4.71474511980501	1.54218511602967e-05	0.0530073237182376	1.32653852652875
ENSG00000092201.9	-0.253538753929711	6.76808551905809	-4.20308933537856	9.1293991081541e-05	0.0530073237182376	1.31210716522569
ENSG00000128059.8	-0.471169762938155	2.76787057128685	-4.25377216589242	7.68469230826589e-05	0.0530073237182376	1.30482459296678
ENSG00000119335.16	-0.274709634136763	7.40126136764589	-4.19574607702665	9.35941630161506e-05	0.0530073237182376	1.28998374637894
ENSG00000148840.10	-0.489538434358935	5.40852099097193	-4.17703544941296	9.97115557786727e-05	0.0530073237182376	1.23547034199641
ENSG00000136156.12	0.349533617139348	8.56888313781413	4.17694979854445	9.97404299002004e-05	0.0530073237182376	1.2341640475369
ENSG00000164040.16	0.497699730273706	6.3978953703066	4.16202737039608	0.000104896479394522	0.0530073237182376	1.18627419737544
ENSG00000168306.12	0.877762507427924	4.60295424863086	4.15531561517487	0.000107460371245078	0.0530073237182376	1.1692538140446
ENSG00000130810.19	-0.458987040636415	4.72794063351714	-4.1457911593531	0.000110799391423371	0.0530073237182376	1.1409132900468
ENSG00000253729.7	-0.352705488840315	6.86342205680687	-4.14091886135488	0.000112632613007572	0.0530073237182376	1.12192336072171
ENSG00000123737.12	-0.331081012886363	4.57208800866852	-4.13309010714205	0.000115639813836468	0.0530073237182376	1.10190420864247
ENSG00000126005.16	0.459053801305212	5.08250107619466	4.13126805633177	0.000116350764189741	0.0530073237182376	1.09644109570679
ENSG00000064652.10	0.589348109619124	2.99644120882551	4.1505971389509	0.000109019417139836	0.0530073237182376	1.08147686656276
ENSG00000094916.15	-0.331885362057581	6.2562022491185	-4.11919426718628	0.000121169800895332	0.0530073237182376	1.05616225363312
ENSG00000231500.6	-0.412806880817102	9.73566653557613	-4.11032692026889	0.000124831369839326	0.0530073237182376	1.03366520775793
ENSG00000117597.17	-0.36319199760868	4.29136615313621	-4.10908558282432	0.000125352410082182	0.0530073237182376	1.02528269058398
ENSG00000126062.3	0.350266794941447	5.19317279189371	4.10355440151585	0.000127699736128123	0.0530073237182376	1.01217032907098
ENSG00000172262.11	-0.265130401146444	4.64603396461715	-4.10094396780965	0.000128822255471497	0.0530073237182376	1.00652373440902
ENSG00000101940.17	0.286961087970785	6.55647597816552	4.09835538861479	0.000129944790656829	0.0530073237182376	0.992431050367314
ENSG00000117791.15	0.839296487634877	5.14288019159236	4.09151608201106	0.000133146913641065	0.0530073237182376	0.974528498275958
ENSG00000130830.14	0.644681004049591	5.20787954465975	4.09120096999581	0.000133194825704202	0.0530073237182376	0.973873497966505
ENSG00000101040.19	0.394811433892192	6.11508288053513	4.0855873674563	0.000135621359612155	0.0530073237182376	0.953981088371329
ENSG00000233554.5	1.01509356818356	-0.00842783252547748	4.28496493443609	6.90851351116838e-05	0.0530073237182376	0.938533581723749
ENSG00000183020.13	0.223080168937503	6.61530519694216	4.07420323358069	0.000140884100703796	0.0530073237182376	0.919333090826913
ENSG00000151576.10	-0.28911371444055	4.16078716011996	-4.07037173235058	0.000142699314911727	0.0530073237182376	0.908518596379297
ENSG00000161677.11	0.366492318654279	4.06547387595069	4.06282226652913	0.000146342277317318	0.0530073237182376	0.88919666980512
ENSG00000148737.16	0.673320320118385	5.56503619437856	4.0628100726887	0.000146470070704138	0.0530073237182376	0.886214557964312
ENSG00000120800.4	-0.443503017492252	4.53684369389191	-4.05057544914148	0.000152443685183859	0.0530073237182376	0.855693998464234
ENSG00000101361.16	-0.405930313943922	6.58411883830384	-4.04923141214403	0.000153128053888365	0.0530073237182376	0.844118347317705
ENSG00000171621.13	0.741198294959314	5.87875506435395	4.04728858762724	0.000154322871569094	0.0530073237182376	0.837903411696441
ENSG00000085741.12	1.03879449551739	1.73452272213954	4.11299998153743	0.000123770348859992	0.0530073237182376	0.832745227214018
ENSG00000198146.4	-0.424440731892125	4.03939940384575	-4.04555256714155	0.000155016483314333	0.0530073237182376	0.830045211376188
ENSG00000083520.14	-0.222642457108392	5.43979952802648	-4.03783933206025	0.000159049094503166	0.0530073237182376	0.814118207581656
ENSG00000041880.14	0.506136677669597	5.23415564266724	4.03318605142092	0.000161530670762686	0.0530073237182376	0.800028553862428
ENSG00000130826.17	-0.382479686843393	5.42054474893241	-4.02693275940144	0.000164924430516863	0.0530073237182376	0.782141656504254
ENSG00000137337.14	-0.420099976929339	5.89303236199165	-4.01844130625792	0.000169643178388721	0.0530073237182376	0.753656080520267
ENSG00000103044.10	-0.661378304281939	1.62246470790201	-4.11083119431336	0.000124620303838338	0.0530073237182376	0.732072319035461
ENSG00000186815.12	0.302451849980637	7.0525975499828	3.99833936855751	0.000181338712354332	0.0530073237182376	0.691714699179826
ENSG00000142552.7	0.601904583669042	5.28540799847891	3.99450585468083	0.000183781130649648	0.0530073237182376	0.683426896228374
ENSG00000167930.15	0.546068773532875	6.67719111644013	3.99216696270131	0.000185156560861943	0.0530073237182376	0.672606359053688
ENSG00000166197.16	-0.400400690134724	6.04653912826835	-3.98775119430167	0.000187807799665958	0.0530073237182376	0.661072846630214
ENSG00000260804.3	-0.450602626083973	3.12617785288356	-4.0079939297587	0.000175627703358205	0.0530073237182376	0.65775841476267
ENSG00000112159.11	-0.444151331313909	6.32860586946341	-3.98511023472899	0.000189455691171082	0.0530073237182376	0.65227559869976
ENSG00000095321.16	0.749855734618553	6.2180951217893	3.97768079226767	0.000194420874051749	0.0530073237182376	0.628689975576984
ENSG00000164091.11	-0.223272295736048	6.80744842424136	-3.97571468056063	0.000195432003666105	0.0530073237182376	0.623686778291701
ENSG00000136891.13	-0.331989811877991	4.89407103387641	-3.97088190221647	0.00019857637394446	0.0530073237182376	0.619895237710271
