logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244681.1	0.8164989450244	1.32898818427171	6.07915910923637	3.94325623632907e-08	0.000403730289756551	7.87152402489895
ENSG00000250337.5	1.78708584925438	-1.22855542918377	6.44569620156976	8.16580499972773e-09	0.000167211188979425	7.68669894106901
ENSG00000155085.15	0.362622640991883	3.24564694378776	5.27708340631845	1.10463601655783e-06	0.00728313833704766	5.28685938672985
ENSG00000137193.13	-0.620251299436684	6.92085043855061	-5.20135798733039	1.49884990175586e-06	0.00728313833704766	5.04008048229384
ENSG00000179912.20	0.222743853311327	6.48537143998247	5.15862772065167	1.77837044905202e-06	0.00728313833704766	4.87936077506693
ENSG00000154655.15	0.427171229084859	2.86727023558931	4.98262763653057	3.57643376122583e-06	0.00920079535382556	4.19284148551296
ENSG00000196230.12	-0.526118422650884	8.16166835399267	-4.95798881785862	3.94045722197064e-06	0.00920079535382556	4.14299144259648
ENSG00000261879.5	0.457386560407991	1.12367325351994	5.03791899791466	2.87499047149962e-06	0.00920079535382556	4.11461873593231
ENSG00000155158.20	0.562277118769065	4.82150284795724	4.92452934142623	4.49323404494094e-06	0.00920079535382556	4.01613734589564
ENSG00000245904.3	0.639797527803164	2.66952093536897	4.93174723242702	4.36792773485785e-06	0.00920079535382556	4.00251087512847
ENSG00000188229.5	-0.60521659976529	6.53900017454326	-4.84414875827504	6.16065016141277e-06	0.0114683303050227	3.71456437190268
ENSG00000165264.10	-0.379008926486486	4.35229865721846	-4.78049470681705	7.86865503505741e-06	0.0117747020757355	3.50832693031676
ENSG00000167553.15	-0.664519262349683	4.11593181261503	-4.76835268399054	8.24659144157493e-06	0.0117747020757355	3.46590065424928
ENSG00000226476.3	1.10197330344312	2.22036279475891	4.74276980594168	9.14178612307593e-06	0.0117747020757355	3.31894960622707
ENSG00000052841.14	0.221355883636411	6.58827120287842	4.72746008105863	9.6521741587725e-06	0.0117747020757355	3.29736816082895
ENSG00000172172.7	-0.38589765349499	3.85229911627454	-4.69394109656596	1.09761800049856e-05	0.0118294335769521	3.20309529624031
ENSG00000225975.6	0.506352045838953	0.411115685638553	4.78929109099034	7.60568328729385e-06	0.0117747020757355	3.12804525160843
ENSG00000115290.9	0.960260367694891	1.50148272687076	4.70926335877229	1.03503754145255e-05	0.0117747020757355	3.12007068287979
ENSG00000142507.9	-0.402454743171029	5.71511855776927	-4.64923760383185	1.30196557994966e-05	0.0124106521686999	3.0161091037355
ENSG00000136026.13	-0.69520050170441	5.85551615879955	-4.64227229223341	1.34263355864959e-05	0.0124106521686999	2.98845755574239
ENSG00000148248.13	-0.27148354659563	7.17653176404957	-4.63076966993778	1.3967818007168e-05	0.0124106521686999	2.95652903201403
ENSG00000100865.14	-0.276964224476762	4.15818048072039	-4.62279983917686	1.43974175338685e-05	0.0124106521686999	2.95335208982392
ENSG00000184983.9	-0.300123836746504	5.01822050993901	-4.61979697796662	1.45625880458788e-05	0.0124106521686999	2.92308555963655
ENSG00000277791.4	-0.417638007785818	5.93146763829679	-4.60277930701419	1.55339847687415e-05	0.0124106521686999	2.84982164128882
ENSG00000138002.14	0.298753025788986	5.49400344915831	4.59186975682313	1.61895161970873e-05	0.0124106521686999	2.81215194865391
ENSG00000126067.11	-0.325364731935621	6.10581419824546	-4.58903666199654	1.63640967209502e-05	0.0124106521686999	2.80061559689767
ENSG00000102100.15	-0.238267633863055	4.29908106317582	-4.56329404632412	1.80364574549024e-05	0.0127540658521536	2.74290888878386
ENSG00000100650.15	0.338420308971699	9.4938804985567	4.52681638278272	2.06931085272823e-05	0.0127731425131735	2.6193276979366
ENSG00000106588.10	-0.351430844710701	6.11770297869263	-4.53568235345892	2.00144764061632e-05	0.0127731425131735	2.61286355256253
ENSG00000186818.12	-0.72682590860613	4.80566849687705	-4.51624666675786	2.1614734309837e-05	0.0127731425131735	2.5695314609235
ENSG00000166432.14	0.45743820303863	6.1320294892803	4.51378979514726	2.17308515980293e-05	0.0127731425131735	2.53795058763151
ENSG00000100902.10	-0.358694840796596	6.36369049678621	-4.50189732075806	2.27221863412911e-05	0.0127731425131735	2.49527188639123
ENSG00000139180.10	-0.32474927181969	5.50771983828952	-4.49902978644487	2.29677006597287e-05	0.0127731425131735	2.4892340826898
ENSG00000101040.19	0.231100797586008	6.288297945474	4.49772968497827	2.30798590119363e-05	0.0127731425131735	2.48195092217171
ENSG00000133226.16	0.24102636387932	7.33317197915601	4.48734232202829	2.39952338892319e-05	0.012930273798679	2.45793164780804
ENSG00000270344.2	0.408334346998212	2.97766220758217	4.46055392489303	2.65212902953148e-05	0.0131363672406536	2.39325408813715
ENSG00000136522.13	-0.345015956835619	4.03575713124047	-4.45370012916465	2.72078741742777e-05	0.0131363672406536	2.37206156163077
ENSG00000132963.7	-0.354765617397886	5.90025528518236	-4.4634121498973	2.62399517250826e-05	0.0131363672406536	2.36112821827621
ENSG00000171155.7	-0.425966018196012	3.99766302926214	-4.43647132578761	2.90106825279857e-05	0.0131363672406536	2.31470816266719
ENSG00000262319.1	1.16818487409392	-0.202644919775982	4.56291027947862	1.80626024179545e-05	0.0127540658521536	2.30663874003157
ENSG00000173209.22	0.333149288367471	7.7607179048921	4.43866103080868	2.87752938135703e-05	0.0131363672406536	2.29555011994972
ENSG00000123416.15	-0.627569235355452	6.2387848655108	-4.44349559690185	2.83516025751017e-05	0.0131363672406536	2.2893931351121
ENSG00000232931.5	0.353079847965973	5.47718415796338	4.43619200054415	2.90408431716702e-05	0.0131363672406536	2.26788576903674
ENSG00000100926.14	-0.317226683796139	5.33272945247733	-4.43188432165356	2.95098350866857e-05	0.0131363672406536	2.2594380258539
ENSG00000105281.12	-0.420971882327879	5.85790443715789	-4.41014266282379	3.19910731078534e-05	0.0136475250839482	2.17730601215663
ENSG00000184009.9	-0.400490351969282	10.7959870034219	-4.39548224834368	3.37769142063029e-05	0.0138329974440493	2.17704230821933
ENSG00000146021.14	0.380408982282126	4.55152155119152	4.39791485044499	3.34740571428005e-05	0.0138329974440493	2.1563526741585
ENSG00000197978.9	0.576469684589158	1.05669855381728	4.42515651426684	3.02570193676546e-05	0.0131824039487546	2.11717981059992
ENSG00000111481.9	-0.255652247241831	6.53610825546033	-4.38160494614215	3.55559905149649e-05	0.0142760787799007	2.0800537321408
ENSG00000144891.17	0.641761384877395	2.99459003467205	4.35249511943614	3.9587133768845e-05	0.0143241433044323	2.0346442783942
ENSG00000169976.6	-0.31070389648864	5.64284141964429	-4.36488715795123	3.78197849455308e-05	0.0143241433044323	2.02324352165093
ENSG00000132432.13	-0.481002740824628	5.00559282668417	-4.35624697324966	3.90437849658551e-05	0.0143241433044323	2.01127577953558
ENSG00000187446.11	-0.281879928359267	5.51085924411748	-4.35388042733991	3.93856655742575e-05	0.0143241433044323	1.98734035892413
ENSG00000116459.10	-0.33229176218251	6.50453831861582	-4.35054221970266	3.98728411560599e-05	0.0143241433044323	1.97301585411039
ENSG00000168374.10	-0.347781245829613	6.43334018044051	-4.34461665886368	4.07519985945725e-05	0.0143875633658804	1.95216052239311
