logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000130935.9	-0.280325167152474	4.67692083596906	-5.04475841007669	1.6863182061757e-06	0.0155431304074618	4.88533667097455
ENSG00000198890.7	-0.408677988404121	3.30786554876981	-5.02779065469791	1.81353534141416e-06	0.0155431304074618	4.80890267233175
ENSG00000130766.4	0.728670420138901	4.1141283594497	4.85851088316381	3.71916405232144e-06	0.0155431304074618	4.15147757266412
ENSG00000279700.1	0.633404803458888	0.342511127197166	4.90064483814311	3.11343979831713e-06	0.0155431304074618	3.98543224969327
ENSG00000125630.15	-0.428602115486334	3.73107071870422	-4.79893312096665	4.7691778879218e-06	0.016609456857669	3.93266228383627
ENSG00000144231.10	-0.272314372064634	3.92966613166017	-4.6852030064652	7.63418456758755e-06	0.0201613742269836	3.49677633771233
ENSG00000115514.11	-0.321054996541144	3.3754275593875	-4.59784625099378	1.09061246619048e-05	0.0207319645527172	3.17412002640579
ENSG00000179335.18	0.227828232294215	5.93940975444619	4.58501956557785	1.14885380102236e-05	0.0207319645527172	3.07296828628506
ENSG00000185085.2	-0.328510668906436	4.32166488004397	-4.57121661723685	1.21488513796614e-05	0.0207319645527172	3.05723153611002
ENSG00000168806.7	-0.387971031843833	3.11744167335506	-4.55640970616933	1.28979488507525e-05	0.0207319645527172	3.01768007029398
ENSG00000187566.5	-0.630105935915307	-0.0425771588775659	-4.6825199493645	7.7187497040519e-06	0.0201613742269836	2.99730929647383
ENSG00000265625.1	1.22347185259113	-2.67180930173605	4.86027814066273	3.68993396485602e-06	0.0155431304074618	2.76590710110803
ENSG00000161010.14	0.332295821793374	5.51256435650671	4.50055607942241	1.61461584955272e-05	0.0240773603133622	2.75661919522269
ENSG00000167447.12	-0.420586060239211	3.45313931523303	-4.48354096257355	1.7283710025863e-05	0.0240773603133622	2.75448993215962
ENSG00000164743.4	-0.912163207510201	-1.04086767101062	-4.62482511047482	9.77282787277022e-06	0.0207319645527172	2.3997985733554
ENSG00000146223.14	-0.249821578093406	5.9890002509096	-4.40010228576728	2.40774926612945e-05	0.0283372279530485	2.38284832561487
ENSG00000126814.6	-0.250424532298046	3.48298907523347	-4.35247030226804	2.90424323803755e-05	0.0283372279530485	2.280257233116
ENSG00000261505.1	0.382242711657195	2.76462041593898	4.34817339356675	2.95359121569117e-05	0.0283372279530485	2.26852696799584
ENSG00000168209.4	0.716079308866563	5.42151187034277	4.35960973890627	2.82606456687687e-05	0.0283372279530485	2.2359012001515
ENSG00000229598.1	0.77013500281575	-0.494721741632514	4.43801574609528	2.07205928220223e-05	0.0270610942255612	2.23385472430219
ENSG00000258168.5	0.772980361894341	0.393457279214736	4.36706658528763	2.74247072968725e-05	0.0283372279530485	2.16696002571453
ENSG00000161847.13	-0.240300634173827	5.606117125099	-4.33678008665115	3.08837677468777e-05	0.0283372279530485	2.15365940439481
ENSG00000100226.15	0.337079361677609	6.00003237322818	4.3266273377059	3.21345829926603e-05	0.0283372279530485	2.11429214144988
ENSG00000178802.17	-0.240578174136266	4.64761719719982	-4.31290620984457	3.39026942393861e-05	0.0283372279530485	2.09276143769243
ENSG00000126368.5	0.908214991090055	5.23755569553167	4.3159020440433	3.35529823436147e-05	0.0283372279530485	2.0783238817362
ENSG00000198841.3	-0.416943515523008	2.59626782282078	-4.25134003219487	4.30550512682139e-05	0.0333214204185406	1.92213006788539
ENSG00000143799.12	-0.255754406928128	6.25600543959004	-4.25280598408377	4.28118427703461e-05	0.0333214204185406	1.84760496562175
ENSG00000124207.16	-0.233596961971987	5.61273791576196	-4.21867446933415	4.88317260396048e-05	0.0364424195472708	1.72785675175388
ENSG00000165055.15	-0.192392722771857	3.96654535239613	-4.17169563042819	5.84600860068198e-05	0.0397514824461517	1.62168871534774
ENSG00000105852.10	0.658899866307157	0.957861264836295	4.16940736075667	5.89728156503974e-05	0.0397514824461517	1.57546766298173
ENSG00000163395.16	1.16892924179056	-0.00867858785439173	4.18022835433468	5.65865339844327e-05	0.0397514824461517	1.52156277764383
ENSG00000105327.17	0.533705881698813	2.51757833033429	4.13114797448484	6.82117697049554e-05	0.0431925193865075	1.51608134778652
