logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000235070.3	-0.868596344852339	2.2690427510187	-5.40745051457483	1.77920274303502e-07	0.00316077496770157	6.70975157303773
ENSG00000139200.13	-0.658136859978818	0.796529320213534	-5.31406556406525	2.79615619931137e-07	0.00316077496770157	5.97393201474223
ENSG00000212916.4	-0.504703232624677	1.72975804633389	-5.19981310846739	4.8310300823275e-07	0.003640664270042	5.74873793162353
ENSG00000228223.2	-0.316880748445536	3.20145101530588	-5.01813412956934	1.13277011251421e-06	0.00640241667593032	5.19169067532819
ENSG00000130513.6	0.980647783179883	2.49246564980166	4.89031830128272	2.03943884586356e-06	0.006499380030117	4.63361506896911
ENSG00000136866.13	-0.281502575828808	2.31533305855909	-4.83186140417811	2.65335605970601e-06	0.0066652304219815	4.3473861604087
ENSG00000225950.8	0.687103093178504	-0.033460166280372	4.86351027088412	2.29985139069958e-06	0.006499380030117	4.07790182764945
ENSG00000205869.2	0.948754738388538	-0.873427108581359	4.92484298413066	1.73993147218364e-06	0.006499380030117	4.01856215058659
ENSG00000196659.9	-0.401729338654834	2.74785495820418	-4.71846894305941	4.40407456365478e-06	0.00863224376424155	3.93144854752089
ENSG00000171649.11	-0.307655114978011	3.25689164715433	-4.70952877214899	4.58187036318554e-06	0.00863224376424155	3.92480912775482
ENSG00000240303.7	0.293691199128503	5.9977837395587	4.71368177082715	4.4984335646348e-06	0.00863224376424155	3.8997318839366
ENSG00000178163.7	-0.219860781095964	4.45878090453059	-4.67125229838306	5.42453791935999e-06	0.0087598538057779	3.76363440800632
ENSG00000178502.5	-0.509771062054334	1.15626131687224	-4.6801069037497	5.21723414922536e-06	0.0087598538057779	3.58629409057358
ENSG00000116128.10	-0.218568148315064	5.09156941608999	-4.6122569466475	7.02281759668154e-06	0.0105847906817184	3.50182140379606
ENSG00000125503.12	0.199600705682574	7.23856690466624	4.58186869500064	8.01438025501008e-06	0.0113243193003292	3.36897309861209
ENSG00000169035.11	1.04273217333025	-2.27521049742812	4.92682079773952	1.72427540558346e-06	0.006499380030117	3.29681368097698
ENSG00000165495.15	-0.337036338051049	4.72331670946035	-4.46482661769137	1.32486514760854e-05	0.0166403062539633	2.9277138295981
ENSG00000166860.2	-0.314473746121959	3.39308772598194	-4.43185907092758	1.52372170866187e-05	0.0169793923869325	2.8373056957863
ENSG00000257591.5	-0.303612196040463	0.98945294876992	-4.4721980089681	1.28394438068386e-05	0.0166403062539633	2.80177179222606
ENSG00000179593.15	0.879309677990845	2.09804309793258	4.42591528781319	1.56410606088205e-05	0.0169793923869325	2.78305240719407
ENSG00000085465.12	0.37719551829296	2.32148295570143	4.38000305654418	1.89565507914752e-05	0.0194804409224396	2.61754905465574
ENSG00000196581.10	0.553068742662047	2.01310848191934	4.36207150298201	2.04345840058879e-05	0.0200863076176136	2.53615344210242
ENSG00000126214.21	0.139054548747692	7.03781484128822	4.3321551624247	2.31495816191675e-05	0.0201572861094834	2.37872067146773
ENSG00000197128.11	-0.253110105645385	3.7001452682743	-4.30693371307123	2.57040681079409e-05	0.0201572861094834	2.35797475729118
ENSG00000158691.14	-0.214743494804819	3.51568138166407	-4.30416020135711	2.60009184059875e-05	0.0201572861094834	2.35139967763242
ENSG00000124217.4	-0.35553207024072	2.54586506823554	-4.3075801779018	2.56353447676358e-05	0.0201572861094834	2.35051483749847
ENSG00000156026.14	0.194634365540071	4.1663406161711	4.2990830245186	2.65528611032393e-05	0.0201572861094834	2.30443912040893
ENSG00000159147.17	0.265104506101722	3.84274119586094	4.2793571547945	2.88056828256882e-05	0.0201572861094834	2.24363569865984
ENSG00000198551.9	-0.180923167917583	3.98302615131958	-4.2742115178067	2.94227902341185e-05	0.0201572861094834	2.22397433373893
ENSG00000119328.11	0.234394029646366	4.72040448569435	4.27754529381948	2.90215489073344e-05	0.0201572861094834	2.19450462484692
ENSG00000132640.14	-0.209900370555465	5.34601517242562	-4.28089310521006	2.86238938029327e-05	0.0201572861094834	2.1877644051081
ENSG00000182890.4	-0.43157218103584	-0.788362258167836	-4.42370310916285	1.57717285972037e-05	0.0169793923869325	2.17692511378327
ENSG00000105643.9	0.286790164929572	6.52266259272717	4.26446394150385	3.06266707920022e-05	0.0203649345078114	2.11333702480255
ENSG00000186130.4	-0.278369013149781	3.27939169063362	-4.23891000621849	3.40106828824499e-05	0.0219689576744694	2.1116937698943
ENSG00000104892.16	0.571551766931006	-0.811422033639744	4.34815495075255	2.16572212260863e-05	0.0201572861094834	2.02028196757056
ENSG00000162148.10	0.310127969313432	2.34558196223721	4.21512926956903	3.74790137661191e-05	0.0235368206451228	2.01360657755433
ENSG00000090612.20	-0.183035277532355	4.47836042061053	-4.18386235276333	4.25564740675054e-05	0.0260031558302206	1.8604590231512
ENSG00000172113.8	-0.138405795220543	3.45827016035644	-4.13723348804543	5.13662775336687e-05	0.0297766359610559	1.73553514060942
ENSG00000253710.2	-0.231454917440146	2.27043490709356	-4.12278071096689	5.44333468671953e-05	0.0302278955432804	1.67588734302375
ENSG00000197557.6	-0.333907422074462	3.07860765999842	-4.11500112247516	5.61558569009987e-05	0.0302278955432804	1.66251221217997
ENSG00000167644.11	0.457745645109002	2.16610562376561	4.11613399236658	5.59018274126228e-05	0.0302278955432804	1.65565389892216
ENSG00000280173.1	-0.510170188618236	0.762008907584204	-4.14391180425986	5.00054479677596e-05	0.0297506096751345	1.61493945247654
ENSG00000170365.9	-0.252330657311866	3.66585932010794	-4.0810860462839	6.42915229585202e-05	0.030925590447792	1.52653855965608
ENSG00000198824.5	-0.242290067462898	4.33833750107639	-4.08779590527418	6.25976254476682e-05	0.030925590447792	1.51521237296655
ENSG00000221955.10	-0.410897308752514	5.95940088153598	-4.09889568605531	5.99294872802617e-05	0.030925590447792	1.49164522561198
ENSG00000166856.2	-0.606276901522432	1.49416996384421	-4.08294914296043	6.38168534313204e-05	0.030925590447792	1.48338247914713
ENSG00000125630.15	-0.233781154994802	4.42636186447152	-4.05471166083253	7.13828531371295e-05	0.032303974594058	1.38958246163549
ENSG00000117597.17	-0.185678822981587	4.11898810329912	-4.04948991009219	7.28725541532625e-05	0.032303974594058	1.38833680995851
ENSG00000180543.4	-0.227123817147029	4.43388383071773	-4.05404403407061	7.1571688026324e-05	0.032303974594058	1.38661324167411
ENSG00000189369.8	-0.28731103257758	3.05613919289622	-4.00988526098071	8.51752018679571e-05	0.0343864457826924	1.29017331028533
ENSG00000137845.14	-0.162122576845109	6.43383641786193	-4.028042270078	7.93077589170773e-05	0.0332035150666164	1.23022010959332
ENSG00000187566.5	-0.483144939393843	0.641957771096884	-4.0301185518768	7.86618785773098e-05	0.0332035150666164	1.22244535896591
ENSG00000143315.6	-0.217782927634408	3.67399589080736	-3.99488563225458	9.03317395747407e-05	0.0358284204965919	1.21773569747765
ENSG00000055483.19	0.16383776126931	6.68723616910477	4.02081582610958	8.1595330050207e-05	0.0335401313050014	1.20721488236021
ENSG00000147679.11	-0.172639187036118	3.89265489054809	-3.98838760843488	9.26566430385223e-05	0.0361169204450847	1.18258780726693
ENSG00000183317.16	0.596836933300873	-0.91354337507206	4.08365730866442	6.36373088398705e-05	0.030925590447792	1.14803970986436
ENSG00000184545.10	0.49025954486944	3.58085447503526	3.96440352250054	0.000101793805208956	0.0371981848813175	1.10448819062848
ENSG00000197037.10	-0.175487522005537	4.19869476827189	-3.96371789948442	0.000102012007370917	0.0371981848813175	1.07627233770908
ENSG00000196466.10	-0.194748241704747	2.23242551872428	-3.94511364170716	0.000109654102891563	0.037515510366357	1.06134201739594
ENSG00000183696.13	0.310405279024065	4.57797547869781	3.95713383626774	0.000104656749401982	0.037515510366357	1.0201117099296
ENSG00000167447.12	-0.328915366891034	3.35337208706282	-3.93366805564341	0.00011462270193371	0.037515510366357	1.01779974943501
ENSG00000169047.5	-0.351855032144908	6.98396318857036	-3.96404380494289	0.000101911289749646	0.0371981848813175	1.00404507684325
ENSG00000167767.13	0.765944639684744	1.14587715596169	3.93847560073696	0.000112568787129723	0.037515510366357	1.00162587028439
ENSG00000180787.5	-0.288467167359375	4.04656132591655	-3.93022802402987	0.000116157365784014	0.037515510366357	0.970217028085162
ENSG00000203879.11	0.155425769295066	7.56281699528321	3.94485375808722	0.000109764613257731	0.037515510366357	0.948844012509175
ENSG00000068028.17	0.23813572593042	5.547556527875	3.9454071584792	0.000109529417843517	0.037515510366357	0.93800298491787
ENSG00000178732.5	-0.560499097729686	-0.980018303620197	-4.05337846913863	7.17604134700042e-05	0.032303974594058	0.937424995804418
ENSG00000112782.15	0.398505788941617	4.94149118738868	3.93743995970735	0.000113025363231463	0.037515510366357	0.929137348615487
ENSG00000170385.9	-0.258788213610793	4.83085448303514	-3.91822281742551	0.000121667464826544	0.0387011733783814	0.876722417301703
ENSG00000198890.7	-0.221882601771264	3.50909582291253	-3.89413130625267	0.000133482571587265	0.0408051106159351	0.873495839834042
ENSG00000132801.6	-0.314392381215147	1.75585447722489	-3.89214680625657	0.000134502912010137	0.0408051106159351	0.866104136749653
ENSG00000196110.7	-0.278661682838097	1.44878588171949	-3.89047682452999	0.000135367272478553	0.0408051106159351	0.84501204099814
ENSG00000121410.11	0.32240060272174	2.343233984012	3.87946453794093	0.000141200454850994	0.0414579205619644	0.84384793402862
ENSG00000143774.16	0.152712383018838	7.36081305254103	3.91486574894669	0.000123252144517138	0.0387011733783814	0.838059294948001
ENSG00000197013.9	-0.206901429681842	3.16299178381377	-3.87582132236364	0.000143182201461143	0.0415008103927375	0.823695072372579
